[{'X': 0.7003713250160217, 'Y': 0.8961168527603149, 'Z': -5.979101115372032e-05}, {'X': 0.6492992639541626, 'Y': 0.8578821420669556, 'Z': -0.0017975685186684132}, {'X': 0.6183125376701355, 'Y': 0.775902509689331, 'Z': 0.004588759038597345}, {'X': 0.598408043384552, 'Y': 0.7103124260902405, 'Z': 0.008305894210934639}, {'X': 0.5779524445533752, 'Y': 0.6769015192985535, 'Z': 0.01160813495516777}, {'X': 0.6600624322891235, 'Y': 0.6732240915298462, 'Z': 0.02773328498005867}, {'X': 0.6436750292778015, 'Y': 0.5844375491142273, 'Z': 0.022324541583657265}, {'X': 0.6336796879768372, 'Y': 0.5297665596008301, 'Z': 0.009977960959076881}, {'X': 0.6255279183387756, 'Y': 0.48120540380477905, 'Z': -0.0027085666079074144}, {'X': 0.6929210424423218, 'Y': 0.6629555821418762, 'Z': 0.01711917109787464}, {'X': 0.6882482767105103, 'Y': 0.5606628656387329, 'Z': 0.019495518878102303}, {'X': 0.6820339560508728, 'Y': 0.4963822364807129, 'Z': 0.001429051044397056}, {'X': 0.6774685978889465, 'Y': 0.4450976252555847, 'Z': -0.013909455388784409}, {'X': 0.7243368625640869, 'Y': 0.6719099879264832, 'Z': 0.0025234261993318796}, {'X': 0.7252708673477173, 'Y': 0.5738714933395386, 'Z': 0.0019159110961481929}, {'X': 0.720698893070221, 'Y': 0.5134073495864868, 'Z': -0.01245051622390747}, {'X': 0.7153076529502869, 'Y': 0.46180081367492676, 'Z': -0.024733081459999084}, {'X': 0.7545982003211975, 'Y': 0.6980642676353455, 'Z': -0.01236452255398035}, {'X': 0.7663958668708801, 'Y': 0.6227961182594299, 'Z': -0.019760459661483765}, {'X': 0.7702815532684326, 'Y': 0.5723357200622559, 'Z': -0.03085636906325817}, {'X': 0.7698445916175842, 'Y': 0.5268242359161377, 'Z': -0.03991428390145302}]
[{'X': 0.7166646122932434, 'Y': 0.8961149454116821, 'Z': -2.1746373022324406e-05}, {'X': 0.6643175482749939, 'Y': 0.8524729013442993, 'Z': -0.0138997258618474}, {'X': 0.6286196112632751, 'Y': 0.768108069896698, 'Z': -0.026474477723240852}, {'X': 0.6023043990135193, 'Y': 0.7053232192993164, 'Z': -0.041954439133405685}, {'X': 0.5834187269210815, 'Y': 0.6623119115829468, 'Z': -0.05578109994530678}, {'X': 0.6689714789390564, 'Y': 0.6860510110855103, 'Z': -0.021203281357884407}, {'X': 0.6539227962493896, 'Y': 0.6155254244804382, 'Z': -0.05625484138727188}, {'X': 0.6486712694168091, 'Y': 0.6283417344093323, 'Z': -0.09163478016853333}, {'X': 0.6465467214584351, 'Y': 0.648321807384491, 'Z': -0.11459720134735107}, {'X': 0.7007670998573303, 'Y': 0.6724466681480408, 'Z': -0.03405587747693062}, {'X': 0.6926945447921753, 'Y': 0.5696582794189453, 'Z': -0.06482969224452972}, {'X': 0.6836063861846924, 'Y': 0.5403954386711121, 'Z': -0.09006521105766296}, {'X': 0.6737200021743774, 'Y': 0.5284329652786255, 'Z': -0.10632231086492538}, {'X': 0.7314841747283936, 'Y': 0.6785324811935425, 'Z': -0.052073828876018524}, {'X': 0.7321939468383789, 'Y': 0.5745254755020142, 'Z': -0.07789812237024307}, {'X': 0.7239919304847717, 'Y': 0.530582845211029, 'Z': -0.09777715802192688}, {'X': 0.7121396660804749, 'Y': 0.49449747800827026, 'Z': -0.10821069031953812}, {'X': 0.7620617151260376, 'Y': 0.7024189233779907, 'Z': -0.06903555989265442}, {'X': 0.7723808884620667, 'Y': 0.6229216456413269, 'Z': -0.08321192860603333}, {'X': 0.7734651565551758, 'Y': 0.5770382285118103, 'Z': -0.09352724999189377}, {'X': 0.767852246761322, 'Y': 0.5272396802902222, 'Z': -0.10337322950363159}]
[{'X': 0.7228155732154846, 'Y': 0.9037876129150391, 'Z': -6.363371358020231e-05}, {'X': 0.6706945300102234, 'Y': 0.8673103451728821, 'Z': -0.02006388083100319}, {'X': 0.6399857401847839, 'Y': 0.7855000495910645, 'Z': -0.03562169149518013}, {'X': 0.6208385229110718, 'Y': 0.7206850051879883, 'Z': -0.05431617051362991}, {'X': 0.600590705871582, 'Y': 0.6678165793418884, 'Z': -0.06966636329889297}, {'X': 0.6657764315605164, 'Y': 0.6884926557540894, 'Z': -0.016245152801275253}, {'X': 0.6571165919303894, 'Y': 0.6159451007843018, 'Z': -0.053613293915987015}, {'X': 0.656910240650177, 'Y': 0.638381838798523, 'Z': -0.09525634348392487}, {'X': 0.6587368845939636, 'Y': 0.6743508577346802, 'Z': -0.12204720079898834}, {'X': 0.6965730786323547, 'Y': 0.6689509749412537, 'Z': -0.026430169120430946}, {'X': 0.6892693638801575, 'Y': 0.5618178844451904, 'Z': -0.05773267149925232}, {'X': 0.6842465996742249, 'Y': 0.5368677973747253, 'Z': -0.08970365673303604}, {'X': 0.6778515577316284, 'Y': 0.5443700551986694, 'Z': -0.11249405145645142}, {'X': 0.7289840579032898, 'Y': 0.6706805229187012, 'Z': -0.042384639382362366}, {'X': 0.7257611751556396, 'Y': 0.5626932382583618, 'Z': -0.06852932274341583}, {'X': 0.7201669216156006, 'Y': 0.5245753526687622, 'Z': -0.08863987773656845}, {'X': 0.7109231352806091, 'Y': 0.5143160223960876, 'Z': -0.1025737002491951}, {'X': 0.7624248266220093, 'Y': 0.6916508674621582, 'Z': -0.0604107640683651}, {'X': 0.7664056420326233, 'Y': 0.611458420753479, 'Z': -0.07684369385242462}, {'X': 0.7653292417526245, 'Y': 0.5692368745803833, 'Z': -0.0871565192937851}, {'X': 0.7581933736801147, 'Y': 0.5348381996154785, 'Z': -0.09740588814020157}]
[{'X': 0.7199463248252869, 'Y': 0.8975648880004883, 'Z': -4.958190766046755e-05}, {'X': 0.6683105826377869, 'Y': 0.85623699426651, 'Z': -0.017206674441695213}, {'X': 0.6357609629631042, 'Y': 0.7757805585861206, 'Z': -0.030707405880093575}, {'X': 0.6157971620559692, 'Y': 0.7092520594596863, 'Z': -0.048215486109256744}, {'X': 0.5989030003547668, 'Y': 0.6596837043762207, 'Z': -0.06581849604845047}, {'X': 0.66828453540802, 'Y': 0.6730107665061951, 'Z': -0.002166319638490677}, {'X': 0.6651827692985535, 'Y': 0.5880907773971558, 'Z': -0.029534131288528442}, {'X': 0.6636164784431458, 'Y': 0.5808877944946289, 'Z': -0.06849713623523712}, {'X': 0.6628637313842773, 'Y': 0.5996403098106384, 'Z': -0.09787358343601227}, {'X': 0.6991987824440002, 'Y': 0.6595765948295593, 'Z': -0.013311597518622875}, {'X': 0.6969566345214844, 'Y': 0.5523322820663452, 'Z': -0.04412549361586571}, {'X': 0.6909245848655701, 'Y': 0.536952793598175, 'Z': -0.08182740956544876}, {'X': 0.686245322227478, 'Y': 0.5559309720993042, 'Z': -0.110749751329422}, {'X': 0.7285830974578857, 'Y': 0.6636452078819275, 'Z': -0.030525125563144684}, {'X': 0.7292019724845886, 'Y': 0.56134033203125, 'Z': -0.05445839464664459}, {'X': 0.7228662371635437, 'Y': 0.5308660268783569, 'Z': -0.08390208333730698}, {'X': 0.7156276702880859, 'Y': 0.5272507071495056, 'Z': -0.10421116650104523}, {'X': 0.758560836315155, 'Y': 0.6849898099899292, 'Z': -0.04765373468399048}, {'X': 0.762423574924469, 'Y': 0.6057664155960083, 'Z': -0.06515932828187943}, {'X': 0.7591520547866821, 'Y': 0.5652240514755249, 'Z': -0.08232170343399048}, {'X': 0.7504382133483887, 'Y': 0.5356993079185486, 'Z': -0.09790448099374771}]
[{'X': 0.7266233563423157, 'Y': 0.9111300706863403, 'Z': -6.60216755932197e-06}, {'X': 0.6673057079315186, 'Y': 0.8694791793823242, 'Z': -0.017321454361081123}, {'X': 0.6306537985801697, 'Y': 0.7896097302436829, 'Z': -0.027835506945848465}, {'X': 0.6066449880599976, 'Y': 0.7215335369110107, 'Z': -0.04058060050010681}, {'X': 0.591871440410614, 'Y': 0.6747537851333618, 'Z': -0.04942954704165459}, {'X': 0.6664384603500366, 'Y': 0.6773606538772583, 'Z': 0.008084681816399097}, {'X': 0.663118839263916, 'Y': 0.5897654891014099, 'Z': -0.013551282696425915}, {'X': 0.6615033149719238, 'Y': 0.5899335145950317, 'Z': -0.04606475308537483}, {'X': 0.6610661149024963, 'Y': 0.6130827069282532, 'Z': -0.07043132930994034}, {'X': 0.6978803277015686, 'Y': 0.6618835926055908, 'Z': 0.00027842132840305567}, {'X': 0.6937886476516724, 'Y': 0.5517609715461731, 'Z': -0.022312326356768608}, {'X': 0.6865599751472473, 'Y': 0.5473083257675171, 'Z': -0.054498348385095596}, {'X': 0.6817794442176819, 'Y': 0.5746729969978333, 'Z': -0.07855134457349777}, {'X': 0.7263486385345459, 'Y': 0.6649606227874756, 'Z': -0.013993216678500175}, {'X': 0.7265772223472595, 'Y': 0.56070476770401, 'Z': -0.031558454036712646}, {'X': 0.7183396220207214, 'Y': 0.5350481867790222, 'Z': -0.0575055256485939}, {'X': 0.7101353406906128, 'Y': 0.5363900661468506, 'Z': -0.07519662380218506}, {'X': 0.7560625672340393, 'Y': 0.6872028112411499, 'Z': -0.028366370126605034}, {'X': 0.7595235109329224, 'Y': 0.6060987114906311, 'Z': -0.039269790053367615}, {'X': 0.7565861940383911, 'Y': 0.5632660984992981, 'Z': -0.0551106296479702}, {'X': 0.7480769753456116, 'Y': 0.5325973629951477, 'Z': -0.07035727053880692}]
[{'X': 0.7183928489685059, 'Y': 0.9066224098205566, 'Z': -1.2626552233996335e-05}, {'X': 0.6631733179092407, 'Y': 0.8643392324447632, 'Z': -0.01904890686273575}, {'X': 0.6275106072425842, 'Y': 0.7851278185844421, 'Z': -0.03102274425327778}, {'X': 0.6030789017677307, 'Y': 0.7205464839935303, 'Z': -0.045510075986385345}, {'X': 0.5839465260505676, 'Y': 0.6778920292854309, 'Z': -0.05744593217968941}, {'X': 0.6660662889480591, 'Y': 0.6812299489974976, 'Z': -0.0010118735954165459}, {'X': 0.6619000434875488, 'Y': 0.6043343544006348, 'Z': -0.02635173685848713}, {'X': 0.6613640785217285, 'Y': 0.5941808223724365, 'Z': -0.0598258301615715}, {'X': 0.6612353324890137, 'Y': 0.5999586582183838, 'Z': -0.08434268087148666}, {'X': 0.6984348893165588, 'Y': 0.6662100553512573, 'Z': -0.007269196677953005}, {'X': 0.6920193433761597, 'Y': 0.5707736611366272, 'Z': -0.029735194519162178}, {'X': 0.6854564547538757, 'Y': 0.5500266551971436, 'Z': -0.05984359607100487}, {'X': 0.6801502704620361, 'Y': 0.5562797784805298, 'Z': -0.08299841731786728}, {'X': 0.727639377117157, 'Y': 0.6687818765640259, 'Z': -0.02017045021057129}, {'X': 0.7261345386505127, 'Y': 0.5757331848144531, 'Z': -0.03658625856041908}, {'X': 0.7185476422309875, 'Y': 0.5427740812301636, 'Z': -0.0619201622903347}, {'X': 0.7103091478347778, 'Y': 0.5301461815834045, 'Z': -0.07962441444396973}, {'X': 0.7582707405090332, 'Y': 0.6883078217506409, 'Z': -0.03300841897726059}, {'X': 0.7593033313751221, 'Y': 0.6114174127578735, 'Z': -0.04089630767703056}, {'X': 0.7563273906707764, 'Y': 0.5678796172142029, 'Z': -0.05551846697926521}, {'X': 0.7479422092437744, 'Y': 0.5303008556365967, 'Z': -0.07053492963314056}]
[{'X': 0.715339183807373, 'Y': 0.9012209177017212, 'Z': -9.77107174549019e-06}, {'X': 0.6608027219772339, 'Y': 0.8607776165008545, 'Z': -0.019775554537773132}, {'X': 0.6235649585723877, 'Y': 0.7850527763366699, 'Z': -0.0318957194685936}, {'X': 0.5965787768363953, 'Y': 0.7230632901191711, 'Z': -0.0453140027821064}, {'X': 0.576286792755127, 'Y': 0.682220458984375, 'Z': -0.05415910854935646}, {'X': 0.6650106310844421, 'Y': 0.6810701489448547, 'Z': -0.003771549556404352}, {'X': 0.6585079431533813, 'Y': 0.6041340231895447, 'Z': -0.03599123656749725}, {'X': 0.6581839323043823, 'Y': 0.6060613393783569, 'Z': -0.07417844235897064}, {'X': 0.6586163640022278, 'Y': 0.6198614835739136, 'Z': -0.09931198507547379}, {'X': 0.6970106959342957, 'Y': 0.6639658808708191, 'Z': -0.010212990455329418}, {'X': 0.6899273991584778, 'Y': 0.5639340877532959, 'Z': -0.038026247173547745}, {'X': 0.6829728484153748, 'Y': 0.5479376316070557, 'Z': -0.07109607011079788}, {'X': 0.6773953437805176, 'Y': 0.5567686557769775, 'Z': -0.09759794175624847}, {'X': 0.7261176109313965, 'Y': 0.6653832197189331, 'Z': -0.023134909570217133}, {'X': 0.7245913743972778, 'Y': 0.5674453377723694, 'Z': -0.04419800266623497}, {'X': 0.7167132496833801, 'Y': 0.5401707887649536, 'Z': -0.07088075578212738}, {'X': 0.7081133723258972, 'Y': 0.533279538154602, 'Z': -0.08720944821834564}, {'X': 0.7569690942764282, 'Y': 0.6836815476417542, 'Z': -0.03574798256158829}, {'X': 0.7580741047859192, 'Y': 0.605686604976654, 'Z': -0.04393604397773743}, {'X': 0.7539070844650269, 'Y': 0.5639327764511108, 'Z': -0.05674169585108757}, {'X': 0.7436608672142029, 'Y': 0.5300811529159546, 'Z': -0.07048242539167404}]
[{'X': 0.7144896388053894, 'Y': 0.9064953327178955, 'Z': -1.6465110093122348e-05}, {'X': 0.6606561541557312, 'Y': 0.856974720954895, 'Z': -0.004537350032478571}, {'X': 0.6258232593536377, 'Y': 0.7770273089408875, 'Z': -0.00631658686324954}, {'X': 0.5996484756469727, 'Y': 0.7196146249771118, 'Z': -0.0112094571813941}, {'X': 0.577846884727478, 'Y': 0.6950337290763855, 'Z': -0.015752794221043587}, {'X': 0.6655147075653076, 'Y': 0.6685929894447327, 'Z': 0.03534700721502304}, {'X': 0.6563423871994019, 'Y': 0.5819368362426758, 'Z': 0.022865962237119675}, {'X': 0.6483079195022583, 'Y': 0.5690396428108215, 'Z': -0.002680569887161255}, {'X': 0.6431616544723511, 'Y': 0.5824891328811646, 'Z': -0.022280434146523476}, {'X': 0.6958712935447693, 'Y': 0.6574793457984924, 'Z': 0.027296794578433037}, {'X': 0.690845251083374, 'Y': 0.5615687370300293, 'Z': 0.02729245088994503}, {'X': 0.6826558113098145, 'Y': 0.5216426849365234, 'Z': 0.015045183710753918}, {'X': 0.6745589971542358, 'Y': 0.5016345977783203, 'Z': 0.0057944199070334435}, {'X': 0.7248827219009399, 'Y': 0.6632811427116394, 'Z': 0.011820669285953045}, {'X': 0.7248474359512329, 'Y': 0.569857120513916, 'Z': 0.011706407181918621}, {'X': 0.7171050906181335, 'Y': 0.5252513885498047, 'Z': -0.00033088773488998413}, {'X': 0.7083368301391602, 'Y': 0.49346375465393066, 'Z': -0.006160527467727661}, {'X': 0.7550985217094421, 'Y': 0.6869634389877319, 'Z': -0.003762247273698449}, {'X': 0.7613298296928406, 'Y': 0.6197955012321472, 'Z': -0.004438058938831091}, {'X': 0.7619597315788269, 'Y': 0.5725622177124023, 'Z': -0.010593019425868988}, {'X': 0.7584253549575806, 'Y': 0.5259172916412354, 'Z': -0.015716463327407837}]
[{'X': 0.7099160552024841, 'Y': 0.8815207481384277, 'Z': -6.852493970654905e-05}, {'X': 0.6591206192970276, 'Y': 0.8443819880485535, 'Z': 0.0012043132446706295}, {'X': 0.6276159286499023, 'Y': 0.7711001038551331, 'Z': 0.008664020337164402}, {'X': 0.6077092885971069, 'Y': 0.7129678130149841, 'Z': 0.013220428489148617}, {'X': 0.5855628848075867, 'Y': 0.6887122988700867, 'Z': 0.01779850758612156}, {'X': 0.6706081032752991, 'Y': 0.6678885221481323, 'Z': 0.03264162689447403}, {'X': 0.6592322587966919, 'Y': 0.5897388458251953, 'Z': 0.02848946489393711}, {'X': 0.6510639786720276, 'Y': 0.5397791862487793, 'Z': 0.017253495752811432}, {'X': 0.6435531973838806, 'Y': 0.49462854862213135, 'Z': 0.0064260391518473625}, {'X': 0.7006528973579407, 'Y': 0.6568792462348938, 'Z': 0.021999645978212357}, {'X': 0.6961637735366821, 'Y': 0.5628689527511597, 'Z': 0.023891642689704895}, {'X': 0.6907223463058472, 'Y': 0.5020385384559631, 'Z': 0.008101655170321465}, {'X': 0.6853865385055542, 'Y': 0.4505748450756073, 'Z': -0.0047118570655584335}, {'X': 0.7311229109764099, 'Y': 0.6640570163726807, 'Z': 0.006729199085384607}, {'X': 0.7320998311042786, 'Y': 0.5743791460990906, 'Z': 0.008301571011543274}, {'X': 0.7274527549743652, 'Y': 0.5187904238700867, 'Z': -0.004622337874025106}, {'X': 0.7208108305931091, 'Y': 0.47174695134162903, 'Z': -0.013604801148176193}, {'X': 0.7618874311447144, 'Y': 0.6885632872581482, 'Z': -0.008280850946903229}, {'X': 0.771868884563446, 'Y': 0.6194713115692139, 'Z': -0.013164408504962921}, {'X': 0.7757288813591003, 'Y': 0.5711437463760376, 'Z': -0.021937904879450798}, {'X': 0.7751092314720154, 'Y': 0.5270413756370544, 'Z': -0.027929509058594704}]
[{'X': 0.7162874937057495, 'Y': 0.8881732821464539, 'Z': -4.7374651330756024e-05}, {'X': 0.6629507541656494, 'Y': 0.8500758409500122, 'Z': 0.004354199860244989}, {'X': 0.6271975040435791, 'Y': 0.774839460849762, 'Z': 0.014620057307183743}, {'X': 0.6041163206100464, 'Y': 0.7130453586578369, 'Z': 0.020776759833097458}, {'X': 0.5814779996871948, 'Y': 0.6863362789154053, 'Z': 0.028194569051265717}, {'X': 0.6699068546295166, 'Y': 0.6641865372657776, 'Z': 0.040101662278175354}, {'X': 0.6581619381904602, 'Y': 0.5791131258010864, 'Z': 0.044199228286743164}, {'X': 0.6525399088859558, 'Y': 0.5261738896369934, 'Z': 0.040183547884225845}, {'X': 0.6485161781311035, 'Y': 0.4806308150291443, 'Z': 0.03344821184873581}, {'X': 0.7016987204551697, 'Y': 0.6538880467414856, 'Z': 0.03163724020123482}, {'X': 0.6989083886146545, 'Y': 0.5540996789932251, 'Z': 0.04034363105893135}, {'X': 0.6957994103431702, 'Y': 0.49321842193603516, 'Z': 0.030943185091018677}, {'X': 0.6945351362228394, 'Y': 0.4403381645679474, 'Z': 0.022308025509119034}, {'X': 0.7331558465957642, 'Y': 0.6622447967529297, 'Z': 0.01984681934118271}, {'X': 0.7356645464897156, 'Y': 0.5668952465057373, 'Z': 0.02554067224264145}, {'X': 0.7330567836761475, 'Y': 0.5084178447723389, 'Z': 0.016567235812544823}, {'X': 0.7301391363143921, 'Y': 0.45714759826660156, 'Z': 0.00961444340646267}, {'X': 0.7641082406044006, 'Y': 0.689145565032959, 'Z': 0.009006352163851261}, {'X': 0.7765562534332275, 'Y': 0.6214572191238403, 'Z': 0.007690537255257368}, {'X': 0.7837367653846741, 'Y': 0.5753939747810364, 'Z': 0.00015827287279535085}, {'X': 0.7869623303413391, 'Y': 0.5312071442604065, 'Z': -0.007063616998493671}]
[{'X': 0.7170965671539307, 'Y': 0.8931528925895691, 'Z': -2.4346263671759516e-05}, {'X': 0.6624032258987427, 'Y': 0.8498296141624451, 'Z': 0.0052557350136339664}, {'X': 0.6260504126548767, 'Y': 0.7727818489074707, 'Z': 0.014473200775682926}, {'X': 0.6014108061790466, 'Y': 0.712729811668396, 'Z': 0.018708374351263046}, {'X': 0.5780275464057922, 'Y': 0.6899881958961487, 'Z': 0.02385489083826542}, {'X': 0.6705202460289001, 'Y': 0.6615044474601746, 'Z': 0.04295291751623154}, {'X': 0.6591252684593201, 'Y': 0.5763801336288452, 'Z': 0.046828750520944595}, {'X': 0.6533850431442261, 'Y': 0.5232412219047546, 'Z': 0.042861130088567734}, {'X': 0.648684024810791, 'Y': 0.47739773988723755, 'Z': 0.03694555163383484}, {'X': 0.7026089429855347, 'Y': 0.6525460481643677, 'Z': 0.03451968729496002}, {'X': 0.699871301651001, 'Y': 0.5521947741508484, 'Z': 0.04432174563407898}, {'X': 0.6967466473579407, 'Y': 0.49288177490234375, 'Z': 0.03681834787130356}, {'X': 0.6953715085983276, 'Y': 0.44094187021255493, 'Z': 0.029987776651978493}, {'X': 0.7341915965080261, 'Y': 0.661543071269989, 'Z': 0.02251068502664566}, {'X': 0.7375270128250122, 'Y': 0.5668505430221558, 'Z': 0.028864605352282524}, {'X': 0.7347082495689392, 'Y': 0.5095638036727905, 'Z': 0.019966093823313713}, {'X': 0.7316526770591736, 'Y': 0.45832014083862305, 'Z': 0.013842529617249966}, {'X': 0.7657909989356995, 'Y': 0.6887902617454529, 'Z': 0.01123602595180273}, {'X': 0.7781469225883484, 'Y': 0.6213306188583374, 'Z': 0.010790961794555187}, {'X': 0.7842298150062561, 'Y': 0.5749010443687439, 'Z': 0.003296986920759082}, {'X': 0.7862833738327026, 'Y': 0.5282942056655884, 'Z': -0.0032807032112032175}]
[{'X': 0.7160059213638306, 'Y': 0.8949364423751831, 'Z': -3.290823951829225e-05}, {'X': 0.6619336605072021, 'Y': 0.8500547409057617, 'Z': 0.0006042716559022665}, {'X': 0.6246973276138306, 'Y': 0.768468976020813, 'Z': 0.0081338444724679}, {'X': 0.5981440544128418, 'Y': 0.7061269283294678, 'Z': 0.011125202290713787}, {'X': 0.5724924206733704, 'Y': 0.6819109320640564, 'Z': 0.013519315980374813}, {'X': 0.6693934202194214, 'Y': 0.6602862477302551, 'Z': 0.0371178463101387}, {'X': 0.6579028964042664, 'Y': 0.5755138397216797, 'Z': 0.04007597267627716}, {'X': 0.6519858241081238, 'Y': 0.5229817032814026, 'Z': 0.037245817482471466}, {'X': 0.647797167301178, 'Y': 0.4772254526615143, 'Z': 0.03261484205722809}, {'X': 0.7019025087356567, 'Y': 0.6510484218597412, 'Z': 0.029612591490149498}, {'X': 0.6984188556671143, 'Y': 0.5501056909561157, 'Z': 0.03980394825339317}, {'X': 0.6945115327835083, 'Y': 0.49085235595703125, 'Z': 0.033649928867816925}, {'X': 0.6933456063270569, 'Y': 0.4402589797973633, 'Z': 0.028401335701346397}, {'X': 0.7338225841522217, 'Y': 0.660020649433136, 'Z': 0.018505718559026718}, {'X': 0.7376207113265991, 'Y': 0.5638107061386108, 'Z': 0.02388930693268776}, {'X': 0.7348603010177612, 'Y': 0.5054692029953003, 'Z': 0.013663130812346935}, {'X': 0.7323869466781616, 'Y': 0.4536600112915039, 'Z': 0.0075552393682301044}, {'X': 0.766010046005249, 'Y': 0.687432587146759, 'Z': 0.007812333293259144}, {'X': 0.7785012125968933, 'Y': 0.6183355450630188, 'Z': 0.004990517161786556}, {'X': 0.7842838764190674, 'Y': 0.5708845257759094, 'Z': -0.0038428723346441984}, {'X': 0.7869577407836914, 'Y': 0.5239995718002319, 'Z': -0.010686506517231464}]
[{'X': 0.718980610370636, 'Y': 0.8940471410751343, 'Z': -1.5213600818242412e-05}, {'X': 0.6622397899627686, 'Y': 0.8527421951293945, 'Z': 0.0078108045272529125}, {'X': 0.6272545456886292, 'Y': 0.7750066518783569, 'Z': 0.018836762756109238}, {'X': 0.6043391823768616, 'Y': 0.7080629467964172, 'Z': 0.02563554234802723}, {'X': 0.5806055665016174, 'Y': 0.6774533987045288, 'Z': 0.03325587883591652}, {'X': 0.6715673804283142, 'Y': 0.6630419492721558, 'Z': 0.045157548040151596}, {'X': 0.6578447222709656, 'Y': 0.573452889919281, 'Z': 0.054390519857406616}, {'X': 0.6508126854896545, 'Y': 0.5205838680267334, 'Z': 0.05448456481099129}, {'X': 0.6456577777862549, 'Y': 0.4755440652370453, 'Z': 0.0503830723464489}, {'X': 0.7049692273139954, 'Y': 0.6530885696411133, 'Z': 0.03797430172562599}, {'X': 0.7004347443580627, 'Y': 0.5493105053901672, 'Z': 0.05106912925839424}, {'X': 0.6962274312973022, 'Y': 0.48810112476348877, 'Z': 0.04507940635085106}, {'X': 0.6938823461532593, 'Y': 0.43806445598602295, 'Z': 0.039361484348773956}, {'X': 0.7368572354316711, 'Y': 0.6620382070541382, 'Z': 0.0277241300791502}, {'X': 0.7385857105255127, 'Y': 0.562688946723938, 'Z': 0.03695790097117424}, {'X': 0.7360687851905823, 'Y': 0.5052825212478638, 'Z': 0.031339775770902634}, {'X': 0.7333739995956421, 'Y': 0.4569950997829437, 'Z': 0.02733328752219677}, {'X': 0.7678415775299072, 'Y': 0.6885508298873901, 'Z': 0.019527167081832886}, {'X': 0.7788375616073608, 'Y': 0.6169883608818054, 'Z': 0.020104730501770973}, {'X': 0.7843419313430786, 'Y': 0.5717255473136902, 'Z': 0.013971629552543163}, {'X': 0.7862516045570374, 'Y': 0.5296707153320312, 'Z': 0.009368709288537502}]
[{'X': 0.7180718779563904, 'Y': 0.8952199220657349, 'Z': -2.3592845536768436e-05}, {'X': 0.6618704795837402, 'Y': 0.8508065938949585, 'Z': 0.005277239251881838}, {'X': 0.6270269155502319, 'Y': 0.7734441757202148, 'Z': 0.014284835197031498}, {'X': 0.6053900122642517, 'Y': 0.7077134251594543, 'Z': 0.019265364855527878}, {'X': 0.5823671817779541, 'Y': 0.6776465773582458, 'Z': 0.025045590475201607}, {'X': 0.6707690954208374, 'Y': 0.6620925664901733, 'Z': 0.038936104625463486}, {'X': 0.6590430736541748, 'Y': 0.5731431841850281, 'Z': 0.045476555824279785}, {'X': 0.6529385447502136, 'Y': 0.5207653045654297, 'Z': 0.04370000585913658}, {'X': 0.6488152742385864, 'Y': 0.47492122650146484, 'Z': 0.03823009505867958}, {'X': 0.7045006155967712, 'Y': 0.6530336737632751, 'Z': 0.03139960765838623}, {'X': 0.7020423412322998, 'Y': 0.550991952419281, 'Z': 0.04272572323679924}, {'X': 0.6995425820350647, 'Y': 0.4909365177154541, 'Z': 0.034848351031541824}, {'X': 0.6981201767921448, 'Y': 0.4411376118659973, 'Z': 0.026247452944517136}, {'X': 0.7367075085639954, 'Y': 0.6639511585235596, 'Z': 0.020397311076521873}, {'X': 0.739287257194519, 'Y': 0.5672310590744019, 'Z': 0.028247736394405365}, {'X': 0.7373536229133606, 'Y': 0.5116674304008484, 'Z': 0.021532518789172173}, {'X': 0.7347303032875061, 'Y': 0.4641721248626709, 'Z': 0.01599765755236149}, {'X': 0.768091082572937, 'Y': 0.6921362280845642, 'Z': 0.01100403256714344}, {'X': 0.77916419506073, 'Y': 0.6224576234817505, 'Z': 0.010094921104609966}, {'X': 0.7842726111412048, 'Y': 0.5766624212265015, 'Z': 0.0031288282480090857}, {'X': 0.7852815985679626, 'Y': 0.5328612923622131, 'Z': -0.0022074151784181595}]
