[{'X': 0.797926127910614, 'Y': 0.6236802339553833, 'Z': -0.00013930867135059088}, {'X': 0.7100395560264587, 'Y': 0.6064172983169556, 'Z': -0.03880058601498604}, {'X': 0.6433284878730774, 'Y': 0.5205088257789612, 'Z': -0.05036897584795952}, {'X': 0.6104671955108643, 'Y': 0.4334384799003601, 'Z': -0.0680040568113327}, {'X': 0.584733247756958, 'Y': 0.37154480814933777, 'Z': -0.0810386911034584}, {'X': 0.7035874724388123, 'Y': 0.37472712993621826, 'Z': 0.005840826779603958}, {'X': 0.695297122001648, 'Y': 0.25966203212738037, 'Z': -0.0008459648233838379}, {'X': 0.6941226720809937, 'Y': 0.19192391633987427, 'Z': -0.010381263680756092}, {'X': 0.6962021589279175, 'Y': 0.1369699239730835, 'Z': -0.020042255520820618}, {'X': 0.7545039653778076, 'Y': 0.36160507798194885, 'Z': 0.006815914064645767}, {'X': 0.741824209690094, 'Y': 0.23328641057014465, 'Z': 0.006633330602198839}, {'X': 0.7376828193664551, 'Y': 0.16231068968772888, 'Z': -0.010217912495136261}, {'X': 0.7392167448997498, 'Y': 0.10415448248386383, 'Z': -0.020554805174469948}, {'X': 0.8030177354812622, 'Y': 0.3699774742126465, 'Z': 0.0018155161524191499}, {'X': 0.7951493263244629, 'Y': 0.2536413073539734, 'Z': 4.714016540674493e-05}, {'X': 0.7898327708244324, 'Y': 0.18839387595653534, 'Z': -0.013468435034155846}, {'X': 0.7853749990463257, 'Y': 0.13459113240242004, 'Z': -0.02725342847406864}, {'X': 0.8524816036224365, 'Y': 0.3964700698852539, 'Z': -0.009125377982854843}, {'X': 0.8504989147186279, 'Y': 0.3075149357318878, 'Z': -0.016316508874297142}, {'X': 0.8464469909667969, 'Y': 0.2558591365814209, 'Z': -0.028998209163546562}, {'X': 0.8392751812934875, 'Y': 0.20852844417095184, 'Z': -0.038056496530771255}]
[{'X': 0.7963069081306458, 'Y': 0.6393945813179016, 'Z': -0.0001400878099957481}, {'X': 0.7099330425262451, 'Y': 0.6184425354003906, 'Z': -0.035334352403879166}, {'X': 0.6431207656860352, 'Y': 0.5280301570892334, 'Z': -0.04732997342944145}, {'X': 0.6094391942024231, 'Y': 0.4378737807273865, 'Z': -0.06623714417219162}, {'X': 0.5831648111343384, 'Y': 0.3737756609916687, 'Z': -0.07876859605312347}, {'X': 0.7022314071655273, 'Y': 0.3832564353942871, 'Z': 0.005776307545602322}, {'X': 0.6907303333282471, 'Y': 0.267190545797348, 'Z': -0.0013918343465775251}, {'X': 0.6862506866455078, 'Y': 0.19909946620464325, 'Z': -0.009802269749343395}, {'X': 0.6842976212501526, 'Y': 0.14420413970947266, 'Z': -0.0164644792675972}, {'X': 0.7543473839759827, 'Y': 0.3684566915035248, 'Z': 0.002550952835008502}, {'X': 0.7384067177772522, 'Y': 0.23645994067192078, 'Z': 0.004912558477371931}, {'X': 0.7302238345146179, 'Y': 0.16318732500076294, 'Z': -0.008887946605682373}, {'X': 0.7282249927520752, 'Y': 0.10136038064956665, 'Z': -0.01817302219569683}, {'X': 0.8037617206573486, 'Y': 0.3768909275531769, 'Z': -0.006297789514064789}, {'X': 0.79474276304245, 'Y': 0.2569959759712219, 'Z': -0.006843145005404949}, {'X': 0.7880033254623413, 'Y': 0.1883251965045929, 'Z': -0.021037470549345016}, {'X': 0.7809747457504272, 'Y': 0.13049758970737457, 'Z': -0.03668253496289253}, {'X': 0.8540927171707153, 'Y': 0.40428420901298523, 'Z': -0.020837336778640747}, {'X': 0.8550686836242676, 'Y': 0.3111799955368042, 'Z': -0.029388800263404846}, {'X': 0.8522930145263672, 'Y': 0.25571176409721375, 'Z': -0.04474418982863426}, {'X': 0.844883918762207, 'Y': 0.2032320350408554, 'Z': -0.05667947977781296}]
[{'X': 0.7931625843048096, 'Y': 0.635014533996582, 'Z': -0.0001232118665939197}, {'X': 0.7082850337028503, 'Y': 0.6160773038864136, 'Z': -0.038822758942842484}, {'X': 0.6398390531539917, 'Y': 0.5249570608139038, 'Z': -0.04732498154044151}, {'X': 0.6061058640480042, 'Y': 0.43591660261154175, 'Z': -0.0628775805234909}, {'X': 0.5835548639297485, 'Y': 0.3717528283596039, 'Z': -0.07248243689537048}, {'X': 0.6989568471908569, 'Y': 0.37831443548202515, 'Z': 0.01588059589266777}, {'X': 0.6882819533348083, 'Y': 0.2602841854095459, 'Z': 0.015113569796085358}, {'X': 0.6849873661994934, 'Y': 0.19455674290657043, 'Z': 0.011520656757056713}, {'X': 0.6855473518371582, 'Y': 0.14401376247406006, 'Z': 0.006221664138138294}, {'X': 0.7500919103622437, 'Y': 0.36195945739746094, 'Z': 0.016310418024659157}, {'X': 0.73689866065979, 'Y': 0.22755682468414307, 'Z': 0.02408646047115326}, {'X': 0.7309694290161133, 'Y': 0.1574014574289322, 'Z': 0.01664191111922264}, {'X': 0.7299708127975464, 'Y': 0.10308916866779327, 'Z': 0.019021406769752502}, {'X': 0.7987524271011353, 'Y': 0.37070828676223755, 'Z': 0.010420420207083225}, {'X': 0.7976694703102112, 'Y': 0.24715496599674225, 'Z': 0.009763059206306934}, {'X': 0.7981254458427429, 'Y': 0.18290217220783234, 'Z': 0.0008053029305301607}, {'X': 0.7952955365180969, 'Y': 0.1323578953742981, 'Z': -0.006896762177348137}, {'X': 0.8475503325462341, 'Y': 0.40101268887519836, 'Z': -0.0021865800954401493}, {'X': 0.8533351421356201, 'Y': 0.3141704797744751, 'Z': -0.02045115828514099}, {'X': 0.8520304560661316, 'Y': 0.2797884941101074, 'Z': -0.03735783323645592}, {'X': 0.8459068536758423, 'Y': 0.25673604011535645, 'Z': -0.04230271279811859}]
[{'X': 0.7949808835983276, 'Y': 0.6238701343536377, 'Z': -0.00011650274245766923}, {'X': 0.7158525586128235, 'Y': 0.6180835962295532, 'Z': -0.057281021028757095}, {'X': 0.6428647637367249, 'Y': 0.5316312909126282, 'Z': -0.07272455841302872}, {'X': 0.6082709431648254, 'Y': 0.4493090510368347, 'Z': -0.08826765418052673}, {'X': 0.5794663429260254, 'Y': 0.38540929555892944, 'Z': -0.10338485240936279}, {'X': 0.6932919025421143, 'Y': 0.38615697622299194, 'Z': -0.03324006870388985}, {'X': 0.6826744675636292, 'Y': 0.2749236226081848, 'Z': -0.04535692557692528}, {'X': 0.6779873967170715, 'Y': 0.21155881881713867, 'Z': -0.0511721707880497}, {'X': 0.6791338324546814, 'Y': 0.15853069722652435, 'Z': -0.053268421441316605}, {'X': 0.743229329586029, 'Y': 0.3696741461753845, 'Z': -0.03406130149960518}, {'X': 0.7241974472999573, 'Y': 0.24215736985206604, 'Z': -0.0420185886323452}, {'X': 0.714988648891449, 'Y': 0.17049047350883484, 'Z': -0.050468456000089645}, {'X': 0.7162182331085205, 'Y': 0.11389914155006409, 'Z': -0.04704266041517258}, {'X': 0.7897400259971619, 'Y': 0.3847470283508301, 'Z': -0.041857603937387466}, {'X': 0.7932665944099426, 'Y': 0.26047152280807495, 'Z': -0.06886737793684006}, {'X': 0.7915356159210205, 'Y': 0.20255506038665771, 'Z': -0.0912489965558052}, {'X': 0.7879797220230103, 'Y': 0.15204252302646637, 'Z': -0.10254450142383575}, {'X': 0.835658073425293, 'Y': 0.4225252866744995, 'Z': -0.05376194044947624}, {'X': 0.8385183811187744, 'Y': 0.3841199278831482, 'Z': -0.1198587715625763}, {'X': 0.8323885202407837, 'Y': 0.43019407987594604, 'Z': -0.14524169266223907}, {'X': 0.8298594951629639, 'Y': 0.47134488821029663, 'Z': -0.14823463559150696}]
[{'X': 0.7775958776473999, 'Y': 0.6237806081771851, 'Z': -0.00012609601253643632}, {'X': 0.7023292183876038, 'Y': 0.6157212257385254, 'Z': -0.04980599507689476}, {'X': 0.6350042223930359, 'Y': 0.5300120711326599, 'Z': -0.06473038345575333}, {'X': 0.6002739071846008, 'Y': 0.4506292939186096, 'Z': -0.07568167895078659}, {'X': 0.5713825821876526, 'Y': 0.3881642818450928, 'Z': -0.08267809450626373}, {'X': 0.6841976642608643, 'Y': 0.388225257396698, 'Z': -0.043594542890787125}, {'X': 0.6733761429786682, 'Y': 0.2786544859409332, 'Z': -0.06333620101213455}, {'X': 0.6696861386299133, 'Y': 0.21584594249725342, 'Z': -0.07676577568054199}, {'X': 0.6688869595527649, 'Y': 0.1637973189353943, 'Z': -0.08676475286483765}, {'X': 0.7375705242156982, 'Y': 0.37908175587654114, 'Z': -0.0499940887093544}, {'X': 0.721723198890686, 'Y': 0.2553117871284485, 'Z': -0.0690992921590805}, {'X': 0.7133057117462158, 'Y': 0.18169237673282623, 'Z': -0.08815556019544601}, {'X': 0.7121008634567261, 'Y': 0.12212440371513367, 'Z': -0.0954827144742012}, {'X': 0.7864909172058105, 'Y': 0.40133053064346313, 'Z': -0.06086409464478493}, {'X': 0.7905425429344177, 'Y': 0.28849756717681885, 'Z': -0.10069845616817474}, {'X': 0.7856755256652832, 'Y': 0.2297251671552658, 'Z': -0.13479027152061462}, {'X': 0.7781588435173035, 'Y': 0.18341515958309174, 'Z': -0.15399719774723053}, {'X': 0.8330543041229248, 'Y': 0.44446316361427307, 'Z': -0.07453379780054092}, {'X': 0.8280357718467712, 'Y': 0.42172741889953613, 'Z': -0.1363956183195114}, {'X': 0.8102952241897583, 'Y': 0.478793740272522, 'Z': -0.15757548809051514}, {'X': 0.7977409362792969, 'Y': 0.5332983136177063, 'Z': -0.15425148606300354}]
[{'X': 0.7755714654922485, 'Y': 0.6300252676010132, 'Z': -0.00011780610657297075}, {'X': 0.6999194025993347, 'Y': 0.6218118667602539, 'Z': -0.04908958449959755}, {'X': 0.6307393312454224, 'Y': 0.5377355217933655, 'Z': -0.062025923281908035}, {'X': 0.5957673192024231, 'Y': 0.4581371545791626, 'Z': -0.07342877238988876}, {'X': 0.567625880241394, 'Y': 0.39663323760032654, 'Z': -0.08131669461727142}, {'X': 0.677666962146759, 'Y': 0.3996063470840454, 'Z': -0.03656851872801781}, {'X': 0.6653335690498352, 'Y': 0.29106295108795166, 'Z': -0.05533512309193611}, {'X': 0.6576908230781555, 'Y': 0.22723333537578583, 'Z': -0.06590237468481064}, {'X': 0.6522705554962158, 'Y': 0.1732841283082962, 'Z': -0.07369882613420486}, {'X': 0.7293923497200012, 'Y': 0.3875778913497925, 'Z': -0.04258670657873154}, {'X': 0.7110902667045593, 'Y': 0.2641407549381256, 'Z': -0.061978474259376526}, {'X': 0.6985555291175842, 'Y': 0.188149094581604, 'Z': -0.08007293194532394}, {'X': 0.6934588551521301, 'Y': 0.12747889757156372, 'Z': -0.08453454822301865}, {'X': 0.7775570154190063, 'Y': 0.40662509202957153, 'Z': -0.05426093563437462}, {'X': 0.778243899345398, 'Y': 0.29429787397384644, 'Z': -0.09553464502096176}, {'X': 0.7709093689918518, 'Y': 0.23541907966136932, 'Z': -0.12720289826393127}, {'X': 0.7610970735549927, 'Y': 0.18846628069877625, 'Z': -0.1421472430229187}, {'X': 0.823938250541687, 'Y': 0.44587400555610657, 'Z': -0.06756578385829926}, {'X': 0.8192536234855652, 'Y': 0.4195614457130432, 'Z': -0.13441063463687897}, {'X': 0.8045055866241455, 'Y': 0.47412991523742676, 'Z': -0.15922288596630096}, {'X': 0.793873131275177, 'Y': 0.524980366230011, 'Z': -0.15698547661304474}]
[{'X': 0.7787169218063354, 'Y': 0.6293511390686035, 'Z': -0.00012401276035234332}, {'X': 0.7014926075935364, 'Y': 0.6217650175094604, 'Z': -0.04534541070461273}, {'X': 0.6295374035835266, 'Y': 0.5371919274330139, 'Z': -0.05492464825510979}, {'X': 0.5925360321998596, 'Y': 0.45680946111679077, 'Z': -0.06220166012644768}, {'X': 0.5636756420135498, 'Y': 0.39551153779029846, 'Z': -0.0659787654876709}, {'X': 0.673174262046814, 'Y': 0.40154168009757996, 'Z': -0.037027642130851746}, {'X': 0.6602116227149963, 'Y': 0.28788334131240845, 'Z': -0.056826863437891006}, {'X': 0.6534909009933472, 'Y': 0.22286652028560638, 'Z': -0.06790309399366379}, {'X': 0.6503428220748901, 'Y': 0.16950860619544983, 'Z': -0.0765681266784668}, {'X': 0.7263607382774353, 'Y': 0.3883838653564453, 'Z': -0.04301651194691658}, {'X': 0.7060973048210144, 'Y': 0.2632637619972229, 'Z': -0.05979160591959953}, {'X': 0.6925330758094788, 'Y': 0.1896013468503952, 'Z': -0.0752144530415535}, {'X': 0.687870442867279, 'Y': 0.13282239437103271, 'Z': -0.07714135199785233}, {'X': 0.7765630483627319, 'Y': 0.4071609377861023, 'Z': -0.05360705405473709}, {'X': 0.7774955034255981, 'Y': 0.2963699698448181, 'Z': -0.09205207228660583}, {'X': 0.7698682546615601, 'Y': 0.24208912253379822, 'Z': -0.12004201114177704}, {'X': 0.7599159479141235, 'Y': 0.19981668889522552, 'Z': -0.13377098739147186}, {'X': 0.8255800008773804, 'Y': 0.4464680254459381, 'Z': -0.06675541400909424}, {'X': 0.8188775777816772, 'Y': 0.4235196113586426, 'Z': -0.12744514644145966}, {'X': 0.8027048707008362, 'Y': 0.477704256772995, 'Z': -0.1464366763830185}, {'X': 0.7916804552078247, 'Y': 0.5284394025802612, 'Z': -0.13981109857559204}]
[{'X': 0.7780947685241699, 'Y': 0.62917560338974, 'Z': -0.00010304024908691645}, {'X': 0.6996724009513855, 'Y': 0.6215838193893433, 'Z': -0.04428309574723244}, {'X': 0.6281204223632812, 'Y': 0.5378961563110352, 'Z': -0.0522126704454422}, {'X': 0.5919767022132874, 'Y': 0.45766550302505493, 'Z': -0.05860448628664017}, {'X': 0.565238356590271, 'Y': 0.39712098240852356, 'Z': -0.06026061624288559}, {'X': 0.6741762161254883, 'Y': 0.4022495150566101, 'Z': -0.03125206381082535}, {'X': 0.6607763767242432, 'Y': 0.28995537757873535, 'Z': -0.05055786669254303}, {'X': 0.6535378694534302, 'Y': 0.22455960512161255, 'Z': -0.061489250510931015}, {'X': 0.6493427157402039, 'Y': 0.17189058661460876, 'Z': -0.07042399793863297}, {'X': 0.7270954251289368, 'Y': 0.38900521397590637, 'Z': -0.03727142885327339}, {'X': 0.7062172889709473, 'Y': 0.26350724697113037, 'Z': -0.05435702204704285}, {'X': 0.6918060183525085, 'Y': 0.18754374980926514, 'Z': -0.06960223615169525}, {'X': 0.6858733892440796, 'Y': 0.12913888692855835, 'Z': -0.07155074179172516}, {'X': 0.7771456241607666, 'Y': 0.4068264961242676, 'Z': -0.04845110699534416}, {'X': 0.7777734994888306, 'Y': 0.2967890202999115, 'Z': -0.08788958191871643}, {'X': 0.7700981497764587, 'Y': 0.24400757253170013, 'Z': -0.11726807057857513}, {'X': 0.7596914768218994, 'Y': 0.20374074578285217, 'Z': -0.13063132762908936}, {'X': 0.8260337710380554, 'Y': 0.4443235993385315, 'Z': -0.06183088570833206}, {'X': 0.8190009593963623, 'Y': 0.42118310928344727, 'Z': -0.12394526600837708}, {'X': 0.8031707406044006, 'Y': 0.47495371103286743, 'Z': -0.14607356488704681}, {'X': 0.7917832732200623, 'Y': 0.5250145196914673, 'Z': -0.14171412587165833}]
[{'X': 0.7782500386238098, 'Y': 0.6275492906570435, 'Z': -8.323734800796956e-05}, {'X': 0.6996581554412842, 'Y': 0.6206380128860474, 'Z': -0.04068850725889206}, {'X': 0.6274807453155518, 'Y': 0.5372450947761536, 'Z': -0.04625842347741127}, {'X': 0.5903555750846863, 'Y': 0.4564383625984192, 'Z': -0.05055047199130058}, {'X': 0.5650409460067749, 'Y': 0.39260098338127136, 'Z': -0.048337530344724655}, {'X': 0.674012303352356, 'Y': 0.39957767724990845, 'Z': -0.01979663036763668}, {'X': 0.6607078909873962, 'Y': 0.28547805547714233, 'Z': -0.036789488047361374}, {'X': 0.6526958346366882, 'Y': 0.21922363340854645, 'Z': -0.04578404873609543}, {'X': 0.648651123046875, 'Y': 0.16579484939575195, 'Z': -0.05313964560627937}, {'X': 0.7258061170578003, 'Y': 0.3864222466945648, 'Z': -0.026584729552268982}, {'X': 0.7054734230041504, 'Y': 0.2612186074256897, 'Z': -0.04016517475247383}, {'X': 0.6892402768135071, 'Y': 0.18638022243976593, 'Z': -0.0516807995736599}, {'X': 0.6821878552436829, 'Y': 0.1284809112548828, 'Z': -0.049159519374370575}, {'X': 0.7757037281990051, 'Y': 0.4039147198200226, 'Z': -0.03981912508606911}, {'X': 0.7767382860183716, 'Y': 0.29456520080566406, 'Z': -0.07288552075624466}, {'X': 0.766383171081543, 'Y': 0.238789901137352, 'Z': -0.09455127269029617}, {'X': 0.7543897032737732, 'Y': 0.194343701004982, 'Z': -0.10364833474159241}, {'X': 0.8255177140235901, 'Y': 0.4413885474205017, 'Z': -0.05552135035395622}, {'X': 0.8192797899246216, 'Y': 0.4195629358291626, 'Z': -0.11259970813989639}, {'X': 0.8029203414916992, 'Y': 0.4745314121246338, 'Z': -0.1296922117471695}, {'X': 0.7926133275032043, 'Y': 0.524275541305542, 'Z': -0.121253602206707}]
[{'X': 0.7801610231399536, 'Y': 0.6255444288253784, 'Z': -0.0001053266751114279}, {'X': 0.7007409334182739, 'Y': 0.6223243474960327, 'Z': -0.04098306596279144}, {'X': 0.6285377740859985, 'Y': 0.5385391712188721, 'Z': -0.044638555496931076}, {'X': 0.591856062412262, 'Y': 0.45673319697380066, 'Z': -0.04681094363331795}, {'X': 0.5670204162597656, 'Y': 0.3948601186275482, 'Z': -0.04365873709321022}, {'X': 0.673978865146637, 'Y': 0.40233564376831055, 'Z': -0.02504560723900795}, {'X': 0.6617457866668701, 'Y': 0.28725263476371765, 'Z': -0.044752784073352814}, {'X': 0.6544986367225647, 'Y': 0.2201445996761322, 'Z': -0.055117782205343246}, {'X': 0.650754451751709, 'Y': 0.1663297861814499, 'Z': -0.06428761035203934}, {'X': 0.7257535457611084, 'Y': 0.3880153298377991, 'Z': -0.03125089779496193}, {'X': 0.7044148445129395, 'Y': 0.261798620223999, 'Z': -0.04749395698308945}, {'X': 0.6884871125221252, 'Y': 0.18435528874397278, 'Z': -0.06115638464689255}, {'X': 0.6818670034408569, 'Y': 0.12491650879383087, 'Z': -0.06062893569469452}, {'X': 0.7756986618041992, 'Y': 0.4047313332557678, 'Z': -0.04306991025805473}, {'X': 0.7755434513092041, 'Y': 0.29518190026283264, 'Z': -0.08147702366113663}, {'X': 0.7663499712944031, 'Y': 0.23947623372077942, 'Z': -0.10790981352329254}, {'X': 0.7553718090057373, 'Y': 0.19537353515625, 'Z': -0.11943405866622925}, {'X': 0.8251886367797852, 'Y': 0.44135597348213196, 'Z': -0.0567968375980854}, {'X': 0.8179970979690552, 'Y': 0.42078647017478943, 'Z': -0.11736897379159927}, {'X': 0.802715539932251, 'Y': 0.4763493239879608, 'Z': -0.13628040254116058}, {'X': 0.793248176574707, 'Y': 0.5267436504364014, 'Z': -0.12889669835567474}]
[{'X': 0.7800271511077881, 'Y': 0.6274259090423584, 'Z': -0.00011642090248642489}, {'X': 0.7013451457023621, 'Y': 0.6219475269317627, 'Z': -0.038837283849716187}, {'X': 0.6296042203903198, 'Y': 0.5371952056884766, 'Z': -0.04426400363445282}, {'X': 0.5919135808944702, 'Y': 0.45665162801742554, 'Z': -0.04917290434241295}, {'X': 0.5632725954055786, 'Y': 0.39591750502586365, 'Z': -0.05113544687628746}, {'X': 0.672855794429779, 'Y': 0.40128910541534424, 'Z': -0.026654629036784172}, {'X': 0.6606192588806152, 'Y': 0.28640007972717285, 'Z': -0.044530224055051804}, {'X': 0.653440535068512, 'Y': 0.22084297239780426, 'Z': -0.05431352183222771}, {'X': 0.6498931050300598, 'Y': 0.16805912554264069, 'Z': -0.061962734907865524}, {'X': 0.7268010973930359, 'Y': 0.38711342215538025, 'Z': -0.03494521975517273}, {'X': 0.7068758010864258, 'Y': 0.260398805141449, 'Z': -0.04983506724238396}, {'X': 0.6922701001167297, 'Y': 0.18531246483325958, 'Z': -0.06521399319171906}, {'X': 0.6863946318626404, 'Y': 0.1272183656692505, 'Z': -0.06763012707233429}, {'X': 0.7772914171218872, 'Y': 0.4051087200641632, 'Z': -0.04723307862877846}, {'X': 0.7793205976486206, 'Y': 0.29309719800949097, 'Z': -0.08336791396141052}, {'X': 0.771294116973877, 'Y': 0.23854359984397888, 'Z': -0.11001072078943253}, {'X': 0.7605599164962769, 'Y': 0.19597260653972626, 'Z': -0.12230890989303589}, {'X': 0.8260030746459961, 'Y': 0.4439489245414734, 'Z': -0.06173573434352875}, {'X': 0.8208690881729126, 'Y': 0.41983160376548767, 'Z': -0.12095468491315842}, {'X': 0.8045827746391296, 'Y': 0.4741351902484894, 'Z': -0.13917094469070435}, {'X': 0.7930786609649658, 'Y': 0.5252103209495544, 'Z': -0.1316920965909958}]
[{'X': 0.7809485197067261, 'Y': 0.6282621622085571, 'Z': -0.00011599908611970022}, {'X': 0.7017057538032532, 'Y': 0.6219022870063782, 'Z': -0.04371241480112076}, {'X': 0.6295342445373535, 'Y': 0.5390278100967407, 'Z': -0.050125911831855774}, {'X': 0.5929453372955322, 'Y': 0.45960769057273865, 'Z': -0.05491150543093681}, {'X': 0.5665530562400818, 'Y': 0.3986409902572632, 'Z': -0.055409979075193405}, {'X': 0.6749340295791626, 'Y': 0.40421339869499207, 'Z': -0.03593292832374573}, {'X': 0.6628071665763855, 'Y': 0.2902340888977051, 'Z': -0.05831532180309296}, {'X': 0.6549429297447205, 'Y': 0.22272631525993347, 'Z': -0.07106771320104599}, {'X': 0.6504873633384705, 'Y': 0.16762131452560425, 'Z': -0.08140233904123306}, {'X': 0.7272071242332458, 'Y': 0.39000701904296875, 'Z': -0.041882675141096115}, {'X': 0.7064898610115051, 'Y': 0.26296472549438477, 'Z': -0.06282679736614227}, {'X': 0.6914256811141968, 'Y': 0.18492884933948517, 'Z': -0.08085712790489197}, {'X': 0.6850450038909912, 'Y': 0.12345755100250244, 'Z': -0.08444835245609283}, {'X': 0.7769028544425964, 'Y': 0.4068382978439331, 'Z': -0.052759259939193726}, {'X': 0.7769432067871094, 'Y': 0.29557108879089355, 'Z': -0.09415958821773529}, {'X': 0.7683508396148682, 'Y': 0.24052323400974274, 'Z': -0.12450708448886871}, {'X': 0.7572150230407715, 'Y': 0.19653692841529846, 'Z': -0.13912628591060638}, {'X': 0.825819730758667, 'Y': 0.44356754422187805, 'Z': -0.06531411409378052}, {'X': 0.8206882476806641, 'Y': 0.41981011629104614, 'Z': -0.1274040788412094}, {'X': 0.8056986927986145, 'Y': 0.47430676221847534, 'Z': -0.14795470237731934}, {'X': 0.7949449419975281, 'Y': 0.5238839983940125, 'Z': -0.1426153928041458}]
[{'X': 0.7775230407714844, 'Y': 0.6293432712554932, 'Z': -0.00013435898290481418}, {'X': 0.70139479637146, 'Y': 0.6245080232620239, 'Z': -0.04497605562210083}, {'X': 0.6312429308891296, 'Y': 0.5407887697219849, 'Z': -0.05135048180818558}, {'X': 0.5953472256660461, 'Y': 0.46018633246421814, 'Z': -0.057165469974279404}, {'X': 0.566265344619751, 'Y': 0.4007583558559418, 'Z': -0.05814925208687782}, {'X': 0.6758481860160828, 'Y': 0.40433886647224426, 'Z': -0.028720781207084656}, {'X': 0.6613985896110535, 'Y': 0.29438546299934387, 'Z': -0.04643019661307335}, {'X': 0.6519928574562073, 'Y': 0.22915178537368774, 'Z': -0.05586117506027222}, {'X': 0.6453685760498047, 'Y': 0.17392076551914215, 'Z': -0.06301486492156982}, {'X': 0.7275348901748657, 'Y': 0.3891870677471161, 'Z': -0.03424267843365669}, {'X': 0.7073307037353516, 'Y': 0.26564842462539673, 'Z': -0.04963052272796631}, {'X': 0.6925983428955078, 'Y': 0.18838295340538025, 'Z': -0.06559930741786957}, {'X': 0.6864238977432251, 'Y': 0.12687250971794128, 'Z': -0.06857535988092422}, {'X': 0.776892900466919, 'Y': 0.4057297110557556, 'Z': -0.045030687004327774}, {'X': 0.7769491672515869, 'Y': 0.29320767521858215, 'Z': -0.08221399039030075}, {'X': 0.7682290077209473, 'Y': 0.23481886088848114, 'Z': -0.10902781039476395}, {'X': 0.7571249604225159, 'Y': 0.18844392895698547, 'Z': -0.12111334502696991}, {'X': 0.8252134323120117, 'Y': 0.44292715191841125, 'Z': -0.05769221484661102}, {'X': 0.8200758099555969, 'Y': 0.41435909271240234, 'Z': -0.12165985256433487}, {'X': 0.8047294616699219, 'Y': 0.47044146060943604, 'Z': -0.14310115575790405}, {'X': 0.7941892743110657, 'Y': 0.5229241847991943, 'Z': -0.13684307038784027}]
[{'X': 0.7886468172073364, 'Y': 0.6246025562286377, 'Z': -0.00014166846813168377}, {'X': 0.7106069922447205, 'Y': 0.6215194463729858, 'Z': -0.049442458897829056}, {'X': 0.6359396576881409, 'Y': 0.5392562747001648, 'Z': -0.059190783649683}, {'X': 0.597295343875885, 'Y': 0.46142303943634033, 'Z': -0.06925775110721588}, {'X': 0.5659917593002319, 'Y': 0.4032518267631531, 'Z': -0.07852478325366974}, {'X': 0.675700306892395, 'Y': 0.4015100300312042, 'Z': -0.03751085698604584}, {'X': 0.6571379899978638, 'Y': 0.29087916016578674, 'Z': -0.0560060478746891}, {'X': 0.6462262868881226, 'Y': 0.2262471318244934, 'Z': -0.06666827201843262}, {'X': 0.6403431296348572, 'Y': 0.1710510104894638, 'Z': -0.07452321797609329}, {'X': 0.7244822978973389, 'Y': 0.38323983550071716, 'Z': -0.04094226658344269}, {'X': 0.6960282921791077, 'Y': 0.2555367350578308, 'Z': -0.05769753456115723}, {'X': 0.6800433993339539, 'Y': 0.1824014037847519, 'Z': -0.0778522863984108}, {'X': 0.674404501914978, 'Y': 0.12136682868003845, 'Z': -0.0858166441321373}, {'X': 0.7720685005187988, 'Y': 0.3972066342830658, 'Z': -0.0490238331258297}, {'X': 0.7687461376190186, 'Y': 0.2769954204559326, 'Z': -0.0838681161403656}, {'X': 0.7639566659927368, 'Y': 0.21949823200702667, 'Z': -0.11251019686460495}, {'X': 0.7569900751113892, 'Y': 0.16674533486366272, 'Z': -0.12869802117347717}, {'X': 0.8199701905250549, 'Y': 0.43304264545440674, 'Z': -0.05927226319909096}, {'X': 0.8185111880302429, 'Y': 0.3912620544433594, 'Z': -0.12223116308450699}, {'X': 0.8110201954841614, 'Y': 0.4343186616897583, 'Z': -0.14545054733753204}, {'X': 0.8068765997886658, 'Y': 0.4721031188964844, 'Z': -0.14648906886577606}]
