[{'X': 0.7317650318145752, 'Y': 0.6909970045089722, 'Z': 3.0743939305466483e-07}, {'X': 0.6666628122329712, 'Y': 0.6564396619796753, 'Z': -0.01589738018810749}, {'X': 0.6255773305892944, 'Y': 0.5949398279190063, 'Z': -0.015926523134112358}, {'X': 0.6045213937759399, 'Y': 0.5402628183364868, 'Z': -0.015678076073527336}, {'X': 0.5834264159202576, 'Y': 0.5039872527122498, 'Z': -0.014339463785290718}, {'X': 0.6786444187164307, 'Y': 0.49761146306991577, 'Z': 0.00828912016004324}, {'X': 0.6601221561431885, 'Y': 0.4230034053325653, 'Z': 0.0042388769797980785}, {'X': 0.6521369218826294, 'Y': 0.3783067464828491, 'Z': -0.002170611871406436}, {'X': 0.6473034620285034, 'Y': 0.33964625000953674, 'Z': -0.007883625105023384}, {'X': 0.7201581001281738, 'Y': 0.4936525225639343, 'Z': 0.007005039602518082}, {'X': 0.7272302508354187, 'Y': 0.41264766454696655, 'Z': 0.007013876922428608}, {'X': 0.733306348323822, 'Y': 0.36182278394699097, 'Z': 0.0023596135433763266}, {'X': 0.7374216914176941, 'Y': 0.32445573806762695, 'Z': -0.0016251520719379187}, {'X': 0.7561874985694885, 'Y': 0.5078104138374329, 'Z': 0.0009337278897874057}, {'X': 0.7684561610221863, 'Y': 0.4463762044906616, 'Z': -0.005682579707354307}, {'X': 0.7754469513893127, 'Y': 0.40491777658462524, 'Z': -0.01300925761461258}, {'X': 0.7805829048156738, 'Y': 0.36910396814346313, 'Z': -0.01774733141064644}, {'X': 0.7897791862487793, 'Y': 0.532893180847168, 'Z': -0.007427248638123274}, {'X': 0.8131808638572693, 'Y': 0.48863542079925537, 'Z': -0.015368970111012459}, {'X': 0.8248600363731384, 'Y': 0.4595952332019806, 'Z': -0.019568229094147682}, {'X': 0.8356003165245056, 'Y': 0.4299547076225281, 'Z': -0.022103913128376007}]
[{'X': 0.7482008337974548, 'Y': 0.6701101064682007, 'Z': -1.281917576534397e-07}, {'X': 0.6856038570404053, 'Y': 0.6463550925254822, 'Z': -0.008182046934962273}, {'X': 0.6476873755455017, 'Y': 0.5935930013656616, 'Z': -0.006981857120990753}, {'X': 0.6279695630073547, 'Y': 0.538246214389801, 'Z': -0.008034184575080872}, {'X': 0.6121399402618408, 'Y': 0.5039553642272949, 'Z': -0.006881937850266695}, {'X': 0.697559118270874, 'Y': 0.5442286133766174, 'Z': 0.02248453162610531}, {'X': 0.6949702501296997, 'Y': 0.49826371669769287, 'Z': 0.005599517375230789}, {'X': 0.6969147324562073, 'Y': 0.5254071950912476, 'Z': -0.012252194806933403}, {'X': 0.7014302611351013, 'Y': 0.5582626461982727, 'Z': -0.021102147176861763}, {'X': 0.7321559190750122, 'Y': 0.5329002141952515, 'Z': 0.01840144768357277}, {'X': 0.728210985660553, 'Y': 0.461357980966568, 'Z': 0.015136005356907845}, {'X': 0.7265110611915588, 'Y': 0.4176187515258789, 'Z': 0.005784736946225166}, {'X': 0.7266470789909363, 'Y': 0.3765878677368164, 'Z': -0.002601057291030884}, {'X': 0.764616847038269, 'Y': 0.5373054146766663, 'Z': 0.008355929516255856}, {'X': 0.76662278175354, 'Y': 0.47039076685905457, 'Z': 0.0007017232128418982}, {'X': 0.7665221691131592, 'Y': 0.4264698624610901, 'Z': -0.007470597047358751}, {'X': 0.7652825117111206, 'Y': 0.38545480370521545, 'Z': -0.013443286530673504}, {'X': 0.8001822829246521, 'Y': 0.554203450679779, 'Z': -0.0032670926302671432}, {'X': 0.8116055727005005, 'Y': 0.5110466480255127, 'Z': -0.008132338523864746}, {'X': 0.8117625713348389, 'Y': 0.4823329448699951, 'Z': -0.008119368925690651}, {'X': 0.8081619143486023, 'Y': 0.45382606983184814, 'Z': -0.008810288272798061}]
[{'X': 0.7508150935173035, 'Y': 0.675142765045166, 'Z': -5.857974016976186e-08}, {'X': 0.6892253160476685, 'Y': 0.6506134867668152, 'Z': -0.00884241983294487}, {'X': 0.648341715335846, 'Y': 0.5973647832870483, 'Z': -0.00921713374555111}, {'X': 0.6255303621292114, 'Y': 0.5449500679969788, 'Z': -0.011747068725526333}, {'X': 0.6096091270446777, 'Y': 0.5119051933288574, 'Z': -0.011862136423587799}, {'X': 0.7007383108139038, 'Y': 0.5432654619216919, 'Z': 0.017213869839906693}, {'X': 0.6982408761978149, 'Y': 0.48618844151496887, 'Z': -0.0009013041853904724}, {'X': 0.7002429962158203, 'Y': 0.509302020072937, 'Z': -0.018020110204815865}, {'X': 0.7045795917510986, 'Y': 0.5417609810829163, 'Z': -0.025818992406129837}, {'X': 0.7349888682365417, 'Y': 0.5334463715553284, 'Z': 0.013384953141212463}, {'X': 0.7323471903800964, 'Y': 0.4533333480358124, 'Z': 0.009287272579967976}, {'X': 0.733077883720398, 'Y': 0.40475618839263916, 'Z': 0.00032478009234182537}, {'X': 0.734745442867279, 'Y': 0.35966378450393677, 'Z': -0.007632353808730841}, {'X': 0.7668520212173462, 'Y': 0.5399305820465088, 'Z': 0.0038599474355578423}, {'X': 0.7704545855522156, 'Y': 0.4726977050304413, 'Z': -0.0020079214591532946}, {'X': 0.7741695642471313, 'Y': 0.4287644028663635, 'Z': -0.009517407044768333}, {'X': 0.7766774892807007, 'Y': 0.38755175471305847, 'Z': -0.015565576031804085}, {'X': 0.80112624168396, 'Y': 0.5589832663536072, 'Z': -0.00751487398520112}, {'X': 0.8135536909103394, 'Y': 0.5163679122924805, 'Z': -0.010044719092547894}, {'X': 0.8163082599639893, 'Y': 0.48780450224876404, 'Z': -0.00964085478335619}, {'X': 0.8163897395133972, 'Y': 0.4589911103248596, 'Z': -0.010371191427111626}]
[{'X': 0.751349151134491, 'Y': 0.6716991662979126, 'Z': 6.230840909893232e-08}, {'X': 0.6906804442405701, 'Y': 0.6489085555076599, 'Z': -0.012898629531264305}, {'X': 0.6495248675346375, 'Y': 0.5993154048919678, 'Z': -0.016387952491641045}, {'X': 0.6284095048904419, 'Y': 0.5473292469978333, 'Z': -0.021462660282850266}, {'X': 0.6133304238319397, 'Y': 0.5114210247993469, 'Z': -0.02481355145573616}, {'X': 0.7014181613922119, 'Y': 0.538095235824585, 'Z': 0.009202567860484123}, {'X': 0.6987056732177734, 'Y': 0.4764348268508911, 'Z': -0.010389519855380058}, {'X': 0.7017868161201477, 'Y': 0.47953346371650696, 'Z': -0.028309334069490433}, {'X': 0.7069718241691589, 'Y': 0.4973071217536926, 'Z': -0.03696582466363907}, {'X': 0.7371955513954163, 'Y': 0.5285568237304688, 'Z': 0.005721081979572773}, {'X': 0.7375955581665039, 'Y': 0.4459475576877594, 'Z': -0.0006694580661132932}, {'X': 0.7402011156082153, 'Y': 0.39441579580307007, 'Z': -0.010785792022943497}, {'X': 0.7445312142372131, 'Y': 0.35026293992996216, 'Z': -0.019257841631770134}, {'X': 0.7702592611312866, 'Y': 0.5363537073135376, 'Z': -0.0033486844040453434}, {'X': 0.7754248380661011, 'Y': 0.4678497314453125, 'Z': -0.012392936274409294}, {'X': 0.7800692319869995, 'Y': 0.42385736107826233, 'Z': -0.021019622683525085}, {'X': 0.7844852805137634, 'Y': 0.3841647207736969, 'Z': -0.027257079258561134}, {'X': 0.8043817281723022, 'Y': 0.5578989386558533, 'Z': -0.014517189934849739}, {'X': 0.8185913562774658, 'Y': 0.5148197412490845, 'Z': -0.020757010206580162}, {'X': 0.8228909969329834, 'Y': 0.48726406693458557, 'Z': -0.021896079182624817}, {'X': 0.8251481652259827, 'Y': 0.45945504307746887, 'Z': -0.023098383098840714}]
[{'X': 0.7539792060852051, 'Y': 0.672805905342102, 'Z': 2.3253311098869744e-07}, {'X': 0.69350665807724, 'Y': 0.6482922434806824, 'Z': -0.013177232816815376}, {'X': 0.6518123149871826, 'Y': 0.5982915163040161, 'Z': -0.013409389182925224}, {'X': 0.6320730447769165, 'Y': 0.5467774868011475, 'Z': -0.014187883585691452}, {'X': 0.6135916709899902, 'Y': 0.5156944990158081, 'Z': -0.014586995355784893}, {'X': 0.7033330202102661, 'Y': 0.5330643653869629, 'Z': 0.009590813890099525}, {'X': 0.6972693800926208, 'Y': 0.4744689166545868, 'Z': 0.003241183701902628}, {'X': 0.7004013657569885, 'Y': 0.44255566596984863, 'Z': -0.005827485583722591}, {'X': 0.7070518732070923, 'Y': 0.41330334544181824, 'Z': -0.013143565505743027}, {'X': 0.7401320338249207, 'Y': 0.5251551866531372, 'Z': 0.006196415517479181}, {'X': 0.740722119808197, 'Y': 0.44312047958374023, 'Z': 0.0032265065237879753}, {'X': 0.7428082823753357, 'Y': 0.3883291780948639, 'Z': -0.005760619416832924}, {'X': 0.7481876015663147, 'Y': 0.3439517617225647, 'Z': -0.013970245607197285}, {'X': 0.7734350562095642, 'Y': 0.5337087512016296, 'Z': -0.0012791705084964633}, {'X': 0.7797640562057495, 'Y': 0.4680796265602112, 'Z': -0.009906684048473835}, {'X': 0.7834805250167847, 'Y': 0.424450546503067, 'Z': -0.019327586516737938}, {'X': 0.7883487343788147, 'Y': 0.38815391063690186, 'Z': -0.026355303823947906}, {'X': 0.807372510433197, 'Y': 0.5557949542999268, 'Z': -0.010497373528778553}, {'X': 0.8234832286834717, 'Y': 0.5129374265670776, 'Z': -0.017919020727276802}, {'X': 0.8289846181869507, 'Y': 0.485453337430954, 'Z': -0.020467279478907585}, {'X': 0.8327210545539856, 'Y': 0.460042804479599, 'Z': -0.02313966304063797}]
[{'X': 0.7582114338874817, 'Y': 0.6765624284744263, 'Z': 2.8410349273144675e-07}, {'X': 0.6963974833488464, 'Y': 0.64986252784729, 'Z': -0.014898320659995079}, {'X': 0.6548948287963867, 'Y': 0.5985437631607056, 'Z': -0.015951087698340416}, {'X': 0.634003221988678, 'Y': 0.5471408367156982, 'Z': -0.016910497099161148}, {'X': 0.6140722036361694, 'Y': 0.5151731967926025, 'Z': -0.017456479370594025}, {'X': 0.7056174874305725, 'Y': 0.5253331661224365, 'Z': 0.005211580079048872}, {'X': 0.6966708302497864, 'Y': 0.45824629068374634, 'Z': -0.0021909326314926147}, {'X': 0.6981732845306396, 'Y': 0.417021244764328, 'Z': -0.011577077209949493}, {'X': 0.7023807764053345, 'Y': 0.3804834187030792, 'Z': -0.01920669712126255}, {'X': 0.7436453700065613, 'Y': 0.5188513994216919, 'Z': 0.0029086836148053408}, {'X': 0.7452040314674377, 'Y': 0.43727853894233704, 'Z': -0.0010526475962251425}, {'X': 0.7490872144699097, 'Y': 0.38274699449539185, 'Z': -0.01041075587272644}, {'X': 0.7546437978744507, 'Y': 0.3386629819869995, 'Z': -0.01868085004389286}, {'X': 0.7776586413383484, 'Y': 0.5294896960258484, 'Z': -0.0033428771421313286}, {'X': 0.7846189737319946, 'Y': 0.4657140374183655, 'Z': -0.012667825445532799}, {'X': 0.7887565493583679, 'Y': 0.4232034683227539, 'Z': -0.022080563008785248}, {'X': 0.7931565642356873, 'Y': 0.3875748813152313, 'Z': -0.028979467228055}, {'X': 0.8112127780914307, 'Y': 0.553780198097229, 'Z': -0.011422456242144108}, {'X': 0.8284639120101929, 'Y': 0.5115135908126831, 'Z': -0.019789395853877068}, {'X': 0.835108757019043, 'Y': 0.4845717251300812, 'Z': -0.02302437648177147}, {'X': 0.8401841521263123, 'Y': 0.45907166600227356, 'Z': -0.025894807651638985}]
[{'X': 0.7617647051811218, 'Y': 0.6798502206802368, 'Z': 3.116529683211411e-07}, {'X': 0.699318528175354, 'Y': 0.6499879360198975, 'Z': -0.017545592039823532}, {'X': 0.6578090190887451, 'Y': 0.5948517918586731, 'Z': -0.019586654379963875}, {'X': 0.6346879005432129, 'Y': 0.5420254468917847, 'Z': -0.020746368914842606}, {'X': 0.6131439805030823, 'Y': 0.5089666843414307, 'Z': -0.021072443574666977}, {'X': 0.7087827920913696, 'Y': 0.514313817024231, 'Z': 0.001020388794131577}, {'X': 0.6974669694900513, 'Y': 0.4396354556083679, 'Z': -0.006388466339558363}, {'X': 0.6958656907081604, 'Y': 0.3932994604110718, 'Z': -0.014769108034670353}, {'X': 0.6970096230506897, 'Y': 0.3532731533050537, 'Z': -0.021790580824017525}, {'X': 0.7471761107444763, 'Y': 0.5119378566741943, 'Z': 0.00014650207594968379}, {'X': 0.7491207122802734, 'Y': 0.4311653971672058, 'Z': -0.0042249844409525394}, {'X': 0.7542690634727478, 'Y': 0.3793325424194336, 'Z': -0.012121697887778282}, {'X': 0.7602155804634094, 'Y': 0.3390207588672638, 'Z': -0.018906377255916595}, {'X': 0.7814043164253235, 'Y': 0.5265834927558899, 'Z': -0.004781648516654968}, {'X': 0.7878397703170776, 'Y': 0.465301513671875, 'Z': -0.014270237646996975}, {'X': 0.7942200303077698, 'Y': 0.4250267744064331, 'Z': -0.022313285619020462}, {'X': 0.800099790096283, 'Y': 0.39105769991874695, 'Z': -0.027932295575737953}, {'X': 0.8147305250167847, 'Y': 0.5528932809829712, 'Z': -0.011830372735857964}, {'X': 0.8313402533531189, 'Y': 0.5107924938201904, 'Z': -0.020565712824463844}, {'X': 0.838916003704071, 'Y': 0.48433104157447815, 'Z': -0.023691313341259956}, {'X': 0.8458150625228882, 'Y': 0.45838016271591187, 'Z': -0.026088520884513855}]
[{'X': 0.765505313873291, 'Y': 0.6864141225814819, 'Z': 2.939380010502646e-07}, {'X': 0.7037534713745117, 'Y': 0.6543096303939819, 'Z': -0.01885528303682804}, {'X': 0.6615661978721619, 'Y': 0.594642698764801, 'Z': -0.021382952108979225}, {'X': 0.6380006074905396, 'Y': 0.5390444993972778, 'Z': -0.022465480491518974}, {'X': 0.615225076675415, 'Y': 0.5045089721679688, 'Z': -0.022492026910185814}, {'X': 0.7121179699897766, 'Y': 0.5068995952606201, 'Z': -0.0013449116377159953}, {'X': 0.6982946395874023, 'Y': 0.4302957355976105, 'Z': -0.00873598363250494}, {'X': 0.6942597031593323, 'Y': 0.3836041986942291, 'Z': -0.017251398414373398}, {'X': 0.6932148933410645, 'Y': 0.342685341835022, 'Z': -0.024769797921180725}, {'X': 0.7513940930366516, 'Y': 0.5062599778175354, 'Z': -0.0015352729242295027}, {'X': 0.7554721832275391, 'Y': 0.4287846088409424, 'Z': -0.005880197510123253}, {'X': 0.7616803050041199, 'Y': 0.3797920346260071, 'Z': -0.012765244580805302}, {'X': 0.7671708464622498, 'Y': 0.3418170213699341, 'Z': -0.01895427145063877}, {'X': 0.7859941720962524, 'Y': 0.5233295559883118, 'Z': -0.005953661631792784}, {'X': 0.7948395013809204, 'Y': 0.4644041657447815, 'Z': -0.015417670831084251}, {'X': 0.8017324209213257, 'Y': 0.42627793550491333, 'Z': -0.022780627012252808}, {'X': 0.8070715665817261, 'Y': 0.3933495879173279, 'Z': -0.0281271543353796}, {'X': 0.8189684748649597, 'Y': 0.5517970323562622, 'Z': -0.01259633805602789}, {'X': 0.8376580476760864, 'Y': 0.5104257464408875, 'Z': -0.022297773510217667}, {'X': 0.8467771410942078, 'Y': 0.4859078526496887, 'Z': -0.025940606370568275}, {'X': 0.8552167415618896, 'Y': 0.4606669247150421, 'Z': -0.02861194685101509}]
[{'X': 0.7708194255828857, 'Y': 0.6843626499176025, 'Z': 3.026516139925661e-07}, {'X': 0.7082216739654541, 'Y': 0.6500296592712402, 'Z': -0.018786733970046043}, {'X': 0.6667299270629883, 'Y': 0.5903749465942383, 'Z': -0.020088698714971542}, {'X': 0.6437140703201294, 'Y': 0.5345754027366638, 'Z': -0.020249539986252785}, {'X': 0.6193141341209412, 'Y': 0.4984973967075348, 'Z': -0.01914583146572113}, {'X': 0.7178025245666504, 'Y': 0.501558244228363, 'Z': 0.00555499829351902}, {'X': 0.7022634744644165, 'Y': 0.42591768503189087, 'Z': 0.0003225182299502194}, {'X': 0.695929765701294, 'Y': 0.3799039423465729, 'Z': -0.00787416473031044}, {'X': 0.6921486854553223, 'Y': 0.33881062269210815, 'Z': -0.015838107094168663}, {'X': 0.7572827935218811, 'Y': 0.5010626316070557, 'Z': 0.005534311290830374}, {'X': 0.7608844637870789, 'Y': 0.4251999258995056, 'Z': 0.002847569528967142}, {'X': 0.7670331001281738, 'Y': 0.37745755910873413, 'Z': -0.004323828499764204}, {'X': 0.772108256816864, 'Y': 0.3403359055519104, 'Z': -0.010953252203762531}, {'X': 0.7917430400848389, 'Y': 0.519201397895813, 'Z': 0.000754732929635793}, {'X': 0.8001804947853088, 'Y': 0.4607848525047302, 'Z': -0.008381991647183895}, {'X': 0.8066872358322144, 'Y': 0.42447206377983093, 'Z': -0.015988536179065704}, {'X': 0.8119861483573914, 'Y': 0.3924829661846161, 'Z': -0.021470190957188606}, {'X': 0.8254194855690002, 'Y': 0.5491594076156616, 'Z': -0.006333210039883852}, {'X': 0.8441243767738342, 'Y': 0.5085448622703552, 'Z': -0.01587924361228943}, {'X': 0.8531616926193237, 'Y': 0.48422667384147644, 'Z': -0.01974724791944027}, {'X': 0.861259937286377, 'Y': 0.4581449031829834, 'Z': -0.022725697606801987}]
[{'X': 0.7742938995361328, 'Y': 0.6854135394096375, 'Z': 2.7022926474273845e-07}, {'X': 0.7117027044296265, 'Y': 0.6498835682868958, 'Z': -0.01861467771232128}, {'X': 0.6693257093429565, 'Y': 0.5865431427955627, 'Z': -0.01909746415913105}, {'X': 0.6461836099624634, 'Y': 0.5293108224868774, 'Z': -0.018236640840768814}, {'X': 0.6202515959739685, 'Y': 0.49550843238830566, 'Z': -0.015864646062254906}, {'X': 0.7226950526237488, 'Y': 0.49536699056625366, 'Z': 0.006566251628100872}, {'X': 0.7067946195602417, 'Y': 0.41907715797424316, 'Z': 0.0024426321033388376}, {'X': 0.6996186971664429, 'Y': 0.37299537658691406, 'Z': -0.005162786692380905}, {'X': 0.694473147392273, 'Y': 0.3323333263397217, 'Z': -0.01283197570592165}, {'X': 0.7621829509735107, 'Y': 0.49561479687690735, 'Z': 0.0069792624562978745}, {'X': 0.7653879523277283, 'Y': 0.42062079906463623, 'Z': 0.005349398590624332}, {'X': 0.7716511487960815, 'Y': 0.373911589384079, 'Z': -0.0005754200974479318}, {'X': 0.7765539884567261, 'Y': 0.3373759388923645, 'Z': -0.006319574546068907}, {'X': 0.7964617609977722, 'Y': 0.5145099759101868, 'Z': 0.002574269426986575}, {'X': 0.8043699860572815, 'Y': 0.45492830872535706, 'Z': -0.005470165517181158}, {'X': 0.8105756640434265, 'Y': 0.41966962814331055, 'Z': -0.01185043714940548}, {'X': 0.8157763481140137, 'Y': 0.3885577917098999, 'Z': -0.016578959301114082}, {'X': 0.8300106525421143, 'Y': 0.5450170636177063, 'Z': -0.004222022369503975}, {'X': 0.848691999912262, 'Y': 0.5036112070083618, 'Z': -0.012976515106856823}, {'X': 0.8580694198608398, 'Y': 0.4790380001068115, 'Z': -0.01626984216272831}, {'X': 0.8670706152915955, 'Y': 0.45270612835884094, 'Z': -0.018868332728743553}]
[{'X': 0.7754220962524414, 'Y': 0.6884146332740784, 'Z': 2.922265025517845e-07}, {'X': 0.7133608460426331, 'Y': 0.6530462503433228, 'Z': -0.021381692960858345}, {'X': 0.6703429222106934, 'Y': 0.5887759923934937, 'Z': -0.02387053519487381}, {'X': 0.6462084054946899, 'Y': 0.5314963459968567, 'Z': -0.024542946368455887}, {'X': 0.61928790807724, 'Y': 0.4962306320667267, 'Z': -0.023548422381281853}, {'X': 0.7237125635147095, 'Y': 0.4938674569129944, 'Z': 0.0027261844370514154}, {'X': 0.7069006562232971, 'Y': 0.41795870661735535, 'Z': -0.0027318275533616543}, {'X': 0.6990359425544739, 'Y': 0.3725077211856842, 'Z': -0.011142296716570854}, {'X': 0.6933488845825195, 'Y': 0.3322317600250244, 'Z': -0.019314132630825043}, {'X': 0.7638894319534302, 'Y': 0.49381959438323975, 'Z': 0.0037613194435834885}, {'X': 0.767598032951355, 'Y': 0.41795313358306885, 'Z': 0.0013877515448257327}, {'X': 0.7741204500198364, 'Y': 0.37120017409324646, 'Z': -0.004598463885486126}, {'X': 0.7791144847869873, 'Y': 0.33523863554000854, 'Z': -0.010271389037370682}, {'X': 0.7988696694374084, 'Y': 0.5130004286766052, 'Z': -0.00022590112348552793}, {'X': 0.8070695996284485, 'Y': 0.4522664248943329, 'Z': -0.008925806730985641}, {'X': 0.8136131167411804, 'Y': 0.41738271713256836, 'Z': -0.014919186010956764}, {'X': 0.8189024329185486, 'Y': 0.3864918351173401, 'Z': -0.019282056018710136}, {'X': 0.8329212665557861, 'Y': 0.5438746213912964, 'Z': -0.006864226423203945}, {'X': 0.8511582016944885, 'Y': 0.5018580555915833, 'Z': -0.016427190974354744}, {'X': 0.8604084253311157, 'Y': 0.4772191643714905, 'Z': -0.019716249778866768}, {'X': 0.8693370819091797, 'Y': 0.4507226049900055, 'Z': -0.022118160501122475}]
[{'X': 0.7763364315032959, 'Y': 0.6896615028381348, 'Z': 2.7588714601733955e-07}, {'X': 0.714510440826416, 'Y': 0.6547020673751831, 'Z': -0.020758528262376785}, {'X': 0.6707709431648254, 'Y': 0.590400755405426, 'Z': -0.022313324734568596}, {'X': 0.6467846632003784, 'Y': 0.5325213670730591, 'Z': -0.022161515429615974}, {'X': 0.6196160912513733, 'Y': 0.4982905387878418, 'Z': -0.020484330132603645}, {'X': 0.724702000617981, 'Y': 0.4954085350036621, 'Z': 0.00370037741959095}, {'X': 0.7067644596099854, 'Y': 0.41952094435691833, 'Z': -0.0011604871833696961}, {'X': 0.6981277465820312, 'Y': 0.37390097975730896, 'Z': -0.008808525279164314}, {'X': 0.6917850375175476, 'Y': 0.33411261439323425, 'Z': -0.016347132623195648}, {'X': 0.7646233439445496, 'Y': 0.49537891149520874, 'Z': 0.004558712709695101}, {'X': 0.7682772874832153, 'Y': 0.41845831274986267, 'Z': 0.0021513579413294792}, {'X': 0.7744849920272827, 'Y': 0.37136009335517883, 'Z': -0.0038549539167433977}, {'X': 0.7793757319450378, 'Y': 0.33484119176864624, 'Z': -0.009403971023857594}, {'X': 0.7995904088020325, 'Y': 0.5140188336372375, 'Z': 0.00043367777834646404}, {'X': 0.8070062398910522, 'Y': 0.4531932473182678, 'Z': -0.00864904560148716}, {'X': 0.813217043876648, 'Y': 0.4174460172653198, 'Z': -0.015395629219710827}, {'X': 0.8183037042617798, 'Y': 0.385129451751709, 'Z': -0.02013029158115387}, {'X': 0.8337301015853882, 'Y': 0.5442241430282593, 'Z': -0.006204366218298674}, {'X': 0.8520973920822144, 'Y': 0.501587450504303, 'Z': -0.01572864130139351}, {'X': 0.8619665503501892, 'Y': 0.47659552097320557, 'Z': -0.01911536417901516}, {'X': 0.8713681101799011, 'Y': 0.44997990131378174, 'Z': -0.021635539829730988}]
[{'X': 0.7760815620422363, 'Y': 0.6895157694816589, 'Z': 2.7756681220125756e-07}, {'X': 0.7140392661094666, 'Y': 0.6554368734359741, 'Z': -0.021463237702846527}, {'X': 0.6700536608695984, 'Y': 0.5919904708862305, 'Z': -0.024335952475667}, {'X': 0.6452561020851135, 'Y': 0.5343085527420044, 'Z': -0.025365835055708885}, {'X': 0.6188066005706787, 'Y': 0.49778562784194946, 'Z': -0.024704603478312492}, {'X': 0.7238264083862305, 'Y': 0.4963150918483734, 'Z': 0.0014071931364014745}, {'X': 0.7061472535133362, 'Y': 0.4203568398952484, 'Z': -0.004542432725429535}, {'X': 0.6979413032531738, 'Y': 0.37534165382385254, 'Z': -0.012649915181100368}, {'X': 0.6919275522232056, 'Y': 0.33655405044555664, 'Z': -0.02005171962082386}, {'X': 0.7639378905296326, 'Y': 0.49660512804985046, 'Z': 0.002546800533309579}, {'X': 0.7678610682487488, 'Y': 0.41984492540359497, 'Z': 0.0005763735389336944}, {'X': 0.7737393975257874, 'Y': 0.3731735944747925, 'Z': -0.004548525437712669}, {'X': 0.7782107591629028, 'Y': 0.3373163938522339, 'Z': -0.009448191151022911}, {'X': 0.799403727054596, 'Y': 0.515209972858429, 'Z': -0.0013066608225926757}, {'X': 0.8073486685752869, 'Y': 0.45511460304260254, 'Z': -0.009124844335019588}, {'X': 0.8140439391136169, 'Y': 0.4195181727409363, 'Z': -0.014647632837295532}, {'X': 0.8195770978927612, 'Y': 0.3876778483390808, 'Z': -0.01870664954185486}, {'X': 0.8335955142974854, 'Y': 0.5449727773666382, 'Z': -0.007862563244998455}, {'X': 0.8517656326293945, 'Y': 0.5031362771987915, 'Z': -0.016582390293478966}, {'X': 0.8614042401313782, 'Y': 0.47859007120132446, 'Z': -0.019323408603668213}, {'X': 0.8712322115898132, 'Y': 0.4520620107650757, 'Z': -0.021250883117318153}]
[{'X': 0.776317298412323, 'Y': 0.6935739517211914, 'Z': 2.998043555635377e-07}, {'X': 0.7130674719810486, 'Y': 0.6585996150970459, 'Z': -0.021292515099048615}, {'X': 0.6692022085189819, 'Y': 0.5938763618469238, 'Z': -0.023255063220858574}, {'X': 0.6447803378105164, 'Y': 0.5363662838935852, 'Z': -0.023419974371790886}, {'X': 0.6175891160964966, 'Y': 0.49982690811157227, 'Z': -0.021735170856118202}, {'X': 0.7230861186981201, 'Y': 0.4962629973888397, 'Z': 0.005626070313155651}, {'X': 0.7053268551826477, 'Y': 0.4208959937095642, 'Z': 0.002005603862926364}, {'X': 0.6969240307807922, 'Y': 0.3765420913696289, 'Z': -0.005219742190092802}, {'X': 0.6906236410140991, 'Y': 0.33773529529571533, 'Z': -0.012561043724417686}, {'X': 0.7638747692108154, 'Y': 0.495808869600296, 'Z': 0.0067139966413378716}, {'X': 0.7673236727714539, 'Y': 0.41922274231910706, 'Z': 0.005999839399009943}, {'X': 0.7736870646476746, 'Y': 0.3720792829990387, 'Z': 0.0006932448595762253}, {'X': 0.7785100936889648, 'Y': 0.3364124298095703, 'Z': -0.004498915746808052}, {'X': 0.7989770174026489, 'Y': 0.5148179531097412, 'Z': 0.0025748105254024267}, {'X': 0.8073258399963379, 'Y': 0.4543691873550415, 'Z': -0.0052815889939665794}, {'X': 0.8140356540679932, 'Y': 0.41886192560195923, 'Z': -0.011641384102404118}, {'X': 0.8192435503005981, 'Y': 0.38698384165763855, 'Z': -0.016313599422574043}, {'X': 0.8331435918807983, 'Y': 0.5452299118041992, 'Z': -0.0042369854636490345}, {'X': 0.8521385192871094, 'Y': 0.5035401582717896, 'Z': -0.013672049157321453}, {'X': 0.8618139028549194, 'Y': 0.47927454113960266, 'Z': -0.01746618188917637}, {'X': 0.8709996938705444, 'Y': 0.4524317979812622, 'Z': -0.02022484317421913}]
