[{'X': 0.6493279933929443, 'Y': 0.8176985383033752, 'Z': 3.6563940852829546e-07}, {'X': 0.5652610659599304, 'Y': 0.7675908207893372, 'Z': -0.027310192584991455}, {'X': 0.5103604793548584, 'Y': 0.6863219141960144, 'Z': -0.036805637180805206}, {'X': 0.4867708683013916, 'Y': 0.604665994644165, 'Z': -0.04611713066697121}, {'X': 0.4808430075645447, 'Y': 0.5302459001541138, 'Z': -0.05410105362534523}, {'X': 0.5892999172210693, 'Y': 0.5451366305351257, 'Z': 2.1677318727597594e-05}, {'X': 0.5619935989379883, 'Y': 0.447396457195282, 'Z': -0.016601936891674995}, {'X': 0.5448398590087891, 'Y': 0.3839651942253113, 'Z': -0.03332778811454773}, {'X': 0.5330657958984375, 'Y': 0.33007943630218506, 'Z': -0.046017732471227646}, {'X': 0.6484344005584717, 'Y': 0.530443012714386, 'Z': -0.003553117858245969}, {'X': 0.6609299778938293, 'Y': 0.40950682759284973, 'Z': -0.015803907066583633}, {'X': 0.6639094948768616, 'Y': 0.3307226002216339, 'Z': -0.030488982796669006}, {'X': 0.6625807285308838, 'Y': 0.2663928270339966, 'Z': -0.04177829995751381}, {'X': 0.6975027918815613, 'Y': 0.5436916351318359, 'Z': -0.013883600011467934}, {'X': 0.7240486741065979, 'Y': 0.4481271505355835, 'Z': -0.03245661407709122}, {'X': 0.7279185056686401, 'Y': 0.3797929286956787, 'Z': -0.04905121773481369}, {'X': 0.7243903875350952, 'Y': 0.31942451000213623, 'Z': -0.059749215841293335}, {'X': 0.7394477128982544, 'Y': 0.5772906541824341, 'Z': -0.027429727837443352}, {'X': 0.7793072462081909, 'Y': 0.5067117214202881, 'Z': -0.044411662966012955}, {'X': 0.7947136163711548, 'Y': 0.45195770263671875, 'Z': -0.05419861897826195}, {'X': 0.8006212711334229, 'Y': 0.39997464418411255, 'Z': -0.06059126928448677}]
[{'X': 0.6384515166282654, 'Y': 0.7553797364234924, 'Z': -4.061203995320284e-08}, {'X': 0.566685676574707, 'Y': 0.697883665561676, 'Z': -0.0209830142557621}, {'X': 0.5273746252059937, 'Y': 0.6069399118423462, 'Z': -0.0228436142206192}, {'X': 0.5172743201255798, 'Y': 0.5089057683944702, 'Z': -0.028151100501418114}, {'X': 0.514952540397644, 'Y': 0.4281640350818634, 'Z': -0.0322054959833622}, {'X': 0.5882295966148376, 'Y': 0.5480023622512817, 'Z': 0.028989426791667938}, {'X': 0.55715411901474, 'Y': 0.4772615134716034, 'Z': 0.01611117087304592}, {'X': 0.5324844717979431, 'Y': 0.4243883192539215, 'Z': 0.001264084130525589}, {'X': 0.5132328867912292, 'Y': 0.38352489471435547, 'Z': -0.010285471566021442}, {'X': 0.6359193921089172, 'Y': 0.5256012678146362, 'Z': 0.02524706721305847}, {'X': 0.6199202537536621, 'Y': 0.4186047315597534, 'Z': 0.014963541179895401}, {'X': 0.6002005338668823, 'Y': 0.3466199040412903, 'Z': -0.0004258230037521571}, {'X': 0.580871045589447, 'Y': 0.2843032479286194, 'Z': -0.012387450784444809}, {'X': 0.6840575933456421, 'Y': 0.5264395475387573, 'Z': 0.013398823328316212}, {'X': 0.6994053721427917, 'Y': 0.42797961831092834, 'Z': -0.007910734973847866}, {'X': 0.6913688778877258, 'Y': 0.3645070791244507, 'Z': -0.026026492938399315}, {'X': 0.6727654933929443, 'Y': 0.3110485374927521, 'Z': -0.036733973771333694}, {'X': 0.7321168780326843, 'Y': 0.5482414364814758, 'Z': -0.0010450610425323248}, {'X': 0.7689574956893921, 'Y': 0.4861986041069031, 'Z': -0.01941923424601555}, {'X': 0.7737395763397217, 'Y': 0.4338018596172333, 'Z': -0.031088633462786674}, {'X': 0.7596027255058289, 'Y': 0.3851844072341919, 'Z': -0.038912419229745865}]
[{'X': 0.6392232179641724, 'Y': 0.7604939341545105, 'Z': -3.4894473088797895e-08}, {'X': 0.5683899521827698, 'Y': 0.7044565677642822, 'Z': -0.022079817950725555}, {'X': 0.5278813242912292, 'Y': 0.6149094700813293, 'Z': -0.02450105920433998}, {'X': 0.5145599246025085, 'Y': 0.5225532054901123, 'Z': -0.029371777549386024}, {'X': 0.5144921541213989, 'Y': 0.4485322833061218, 'Z': -0.03304092958569527}, {'X': 0.5909129977226257, 'Y': 0.5483265519142151, 'Z': 0.020366350188851357}, {'X': 0.5630363821983337, 'Y': 0.4765588939189911, 'Z': 0.00412860419601202}, {'X': 0.5385278463363647, 'Y': 0.42330703139305115, 'Z': -0.013375192880630493}, {'X': 0.5184885859489441, 'Y': 0.37742286920547485, 'Z': -0.0269403625279665}, {'X': 0.6387235522270203, 'Y': 0.527008593082428, 'Z': 0.016599031165242195}, {'X': 0.6235830187797546, 'Y': 0.42004817724227905, 'Z': 0.004783814772963524}, {'X': 0.6069546937942505, 'Y': 0.3476160168647766, 'Z': -0.011395411565899849}, {'X': 0.5900183320045471, 'Y': 0.28525346517562866, 'Z': -0.024021165445446968}, {'X': 0.6865294575691223, 'Y': 0.5302257537841797, 'Z': 0.005386631935834885}, {'X': 0.702206552028656, 'Y': 0.4331963360309601, 'Z': -0.015157423913478851}, {'X': 0.6966431140899658, 'Y': 0.3686463236808777, 'Z': -0.032109931111335754}, {'X': 0.6805205345153809, 'Y': 0.3130793571472168, 'Z': -0.0423726849257946}, {'X': 0.7331045866012573, 'Y': 0.5547690391540527, 'Z': -0.008685900829732418}, {'X': 0.7673212289810181, 'Y': 0.4928005635738373, 'Z': -0.027248643338680267}, {'X': 0.7720866203308105, 'Y': 0.43926018476486206, 'Z': -0.038323257118463516}, {'X': 0.7593539357185364, 'Y': 0.3896515667438507, 'Z': -0.04557710140943527}]
[{'X': 0.6490035653114319, 'Y': 0.7739588618278503, 'Z': -1.7669622209837144e-08}, {'X': 0.5754786729812622, 'Y': 0.719440758228302, 'Z': -0.022290891036391258}, {'X': 0.5315427184104919, 'Y': 0.632115364074707, 'Z': -0.02647426165640354}, {'X': 0.5189456939697266, 'Y': 0.538653552532196, 'Z': -0.033447135239839554}, {'X': 0.5248242616653442, 'Y': 0.4677022099494934, 'Z': -0.03903099149465561}, {'X': 0.5958732962608337, 'Y': 0.5510047674179077, 'Z': 0.02105722203850746}, {'X': 0.5703324675559998, 'Y': 0.4771198034286499, 'Z': 0.004438252653926611}, {'X': 0.5480390787124634, 'Y': 0.4260082244873047, 'Z': -0.013647651299834251}, {'X': 0.5302518010139465, 'Y': 0.38174891471862793, 'Z': -0.02731306664645672}, {'X': 0.643107533454895, 'Y': 0.5288028120994568, 'Z': 0.016953270882368088}, {'X': 0.6286997199058533, 'Y': 0.4170987010002136, 'Z': 0.005957588087767363}, {'X': 0.6132875084877014, 'Y': 0.3441224992275238, 'Z': -0.009181679226458073}, {'X': 0.5974082946777344, 'Y': 0.2822628617286682, 'Z': -0.02105260081589222}, {'X': 0.6900231242179871, 'Y': 0.5319685339927673, 'Z': 0.0051221963949501514}, {'X': 0.705694854259491, 'Y': 0.4337148368358612, 'Z': -0.014129946008324623}, {'X': 0.7005277872085571, 'Y': 0.37118029594421387, 'Z': -0.030291518196463585}, {'X': 0.6849443316459656, 'Y': 0.317887544631958, 'Z': -0.04020824283361435}, {'X': 0.73615562915802, 'Y': 0.5561221837997437, 'Z': -0.009831413626670837}, {'X': 0.7712892889976501, 'Y': 0.49478429555892944, 'Z': -0.027225056663155556}, {'X': 0.7773452997207642, 'Y': 0.4414723217487335, 'Z': -0.038047101348638535}, {'X': 0.7663566470146179, 'Y': 0.3917478322982788, 'Z': -0.045260388404130936}]
[{'X': 0.6588329076766968, 'Y': 0.7815749645233154, 'Z': 3.137298421052037e-08}, {'X': 0.5819884538650513, 'Y': 0.7295013666152954, 'Z': -0.01789112016558647}, {'X': 0.5356453657150269, 'Y': 0.6349725723266602, 'Z': -0.019109496846795082}, {'X': 0.5252259373664856, 'Y': 0.5397764444351196, 'Z': -0.02355562150478363}, {'X': 0.5462954044342041, 'Y': 0.47827720642089844, 'Z': -0.026655426248908043}, {'X': 0.6030603051185608, 'Y': 0.5569506883621216, 'Z': 0.02645464986562729}, {'X': 0.5819053649902344, 'Y': 0.4840451776981354, 'Z': 0.013248967938125134}, {'X': 0.563687801361084, 'Y': 0.4353896677494049, 'Z': -0.0031322543509304523}, {'X': 0.5500551462173462, 'Y': 0.39154452085494995, 'Z': -0.01647868938744068}, {'X': 0.6498090624809265, 'Y': 0.5358836054801941, 'Z': 0.02013043500483036}, {'X': 0.6370976567268372, 'Y': 0.42051297426223755, 'Z': 0.011159639805555344}, {'X': 0.6251569390296936, 'Y': 0.3451075553894043, 'Z': -0.003435901366174221}, {'X': 0.6137309670448303, 'Y': 0.28268373012542725, 'Z': -0.015326597727835178}, {'X': 0.69614577293396, 'Y': 0.539863646030426, 'Z': 0.006497522350400686}, {'X': 0.7105711102485657, 'Y': 0.43970787525177, 'Z': -0.010505328886210918}, {'X': 0.7070948481559753, 'Y': 0.37482285499572754, 'Z': -0.026535307988524437}, {'X': 0.6943698525428772, 'Y': 0.32045555114746094, 'Z': -0.03728528320789337}, {'X': 0.7423375248908997, 'Y': 0.5639697313308716, 'Z': -0.009934197179973125}, {'X': 0.7733951210975647, 'Y': 0.5008255243301392, 'Z': -0.025257166475057602}, {'X': 0.779255747795105, 'Y': 0.4493442475795746, 'Z': -0.03485211730003357}, {'X': 0.7694968581199646, 'Y': 0.40215376019477844, 'Z': -0.04214298352599144}]
[{'X': 0.662254273891449, 'Y': 0.7860134243965149, 'Z': 4.727784741476171e-08}, {'X': 0.5887320041656494, 'Y': 0.7364507913589478, 'Z': -0.01928253285586834}, {'X': 0.5365723967552185, 'Y': 0.6395508050918579, 'Z': -0.02352987974882126}, {'X': 0.5248976945877075, 'Y': 0.5389237999916077, 'Z': -0.030343830585479736}, {'X': 0.5561932325363159, 'Y': 0.4930601119995117, 'Z': -0.03535261005163193}, {'X': 0.6104153394699097, 'Y': 0.552819550037384, 'Z': 0.019118396565318108}, {'X': 0.596607506275177, 'Y': 0.4741405248641968, 'Z': 0.002000337466597557}, {'X': 0.580554187297821, 'Y': 0.4289933443069458, 'Z': -0.01728476956486702}, {'X': 0.5660648345947266, 'Y': 0.38997775316238403, 'Z': -0.032205644994974136}, {'X': 0.6564257144927979, 'Y': 0.5348310470581055, 'Z': 0.013299735262989998}, {'X': 0.6452469825744629, 'Y': 0.4213705360889435, 'Z': 0.0008385179098695517}, {'X': 0.6323229670524597, 'Y': 0.34806087613105774, 'Z': -0.015485493466258049}, {'X': 0.6195571422576904, 'Y': 0.2856578528881073, 'Z': -0.028305817395448685}, {'X': 0.70116126537323, 'Y': 0.5400466322898865, 'Z': 0.0006111951661296189}, {'X': 0.7158320546150208, 'Y': 0.43997612595558167, 'Z': -0.0180349163711071}, {'X': 0.7093076705932617, 'Y': 0.3779183626174927, 'Z': -0.03328755125403404}, {'X': 0.6939351558685303, 'Y': 0.3254525363445282, 'Z': -0.04293579235672951}, {'X': 0.7463057637214661, 'Y': 0.5661833882331848, 'Z': -0.014991475269198418}, {'X': 0.7777299880981445, 'Y': 0.5014796853065491, 'Z': -0.03022189810872078}, {'X': 0.7844213247299194, 'Y': 0.45199447870254517, 'Z': -0.038811128586530685}, {'X': 0.7754561901092529, 'Y': 0.406410813331604, 'Z': -0.0452134795486927}]
[{'X': 0.66743403673172, 'Y': 0.7882755994796753, 'Z': 1.0046298370980367e-07}, {'X': 0.5929343700408936, 'Y': 0.7359633445739746, 'Z': -0.018896309658885002}, {'X': 0.5434147715568542, 'Y': 0.6389699578285217, 'Z': -0.021273769438266754}, {'X': 0.5408531427383423, 'Y': 0.5400234460830688, 'Z': -0.026233885437250137}, {'X': 0.5785032510757446, 'Y': 0.4976476728916168, 'Z': -0.029558788985013962}, {'X': 0.6105219125747681, 'Y': 0.5513534545898438, 'Z': 0.02155674621462822}, {'X': 0.6005203127861023, 'Y': 0.4695090353488922, 'Z': 0.009742563590407372}, {'X': 0.5910993218421936, 'Y': 0.41912373900413513, 'Z': -0.005548025481402874}, {'X': 0.5843983888626099, 'Y': 0.3709896206855774, 'Z': -0.01901991292834282}, {'X': 0.6563195586204529, 'Y': 0.5346777439117432, 'Z': 0.016254248097538948}, {'X': 0.6480644941329956, 'Y': 0.42167049646377563, 'Z': 0.006432813126593828}, {'X': 0.6392894387245178, 'Y': 0.3472473919391632, 'Z': -0.008595820516347885}, {'X': 0.6310500502586365, 'Y': 0.2821940779685974, 'Z': -0.02086246944963932}, {'X': 0.7004534602165222, 'Y': 0.541886031627655, 'Z': 0.00424222182482481}, {'X': 0.7158964276313782, 'Y': 0.44328972697257996, 'Z': -0.013587942346930504}, {'X': 0.71331787109375, 'Y': 0.3787212371826172, 'Z': -0.031199589371681213}, {'X': 0.7026044130325317, 'Y': 0.32497870922088623, 'Z': -0.04282308369874954}, {'X': 0.7451183199882507, 'Y': 0.5683520436286926, 'Z': -0.010541277937591076}, {'X': 0.773975133895874, 'Y': 0.5031641125679016, 'Z': -0.026705758646130562}, {'X': 0.7809768319129944, 'Y': 0.45349031686782837, 'Z': -0.03805944696068764}, {'X': 0.7745478749275208, 'Y': 0.4081040918827057, 'Z': -0.04661155492067337}]
[{'X': 0.6735608577728271, 'Y': 0.7899093627929688, 'Z': 1.8124502787486563e-07}, {'X': 0.5999404788017273, 'Y': 0.738659143447876, 'Z': -0.02163711190223694}, {'X': 0.5525703430175781, 'Y': 0.6445214152336121, 'Z': -0.026942230761051178}, {'X': 0.5538052320480347, 'Y': 0.5476608872413635, 'Z': -0.033904336392879486}, {'X': 0.593545138835907, 'Y': 0.5031489133834839, 'Z': -0.03906906023621559}, {'X': 0.6081500053405762, 'Y': 0.5516796112060547, 'Z': 0.013144366443157196}, {'X': 0.5994625091552734, 'Y': 0.46659213304519653, 'Z': -0.0007822329644113779}, {'X': 0.5962905883789062, 'Y': 0.413962721824646, 'Z': -0.01644871011376381}, {'X': 0.5964473485946655, 'Y': 0.3644416928291321, 'Z': -0.02970113418996334}, {'X': 0.6548845767974854, 'Y': 0.536138117313385, 'Z': 0.008755417540669441}, {'X': 0.6504039168357849, 'Y': 0.4200347065925598, 'Z': -0.002307106042280793}, {'X': 0.646622896194458, 'Y': 0.3452281355857849, 'Z': -0.016533788293600082}, {'X': 0.6421241164207458, 'Y': 0.2816677391529083, 'Z': -0.02801806852221489}, {'X': 0.6991804242134094, 'Y': 0.5448517799377441, 'Z': -0.0021945443004369736}, {'X': 0.7161209583282471, 'Y': 0.44635009765625, 'Z': -0.02071269601583481}, {'X': 0.7166380882263184, 'Y': 0.38142549991607666, 'Z': -0.0377911701798439}, {'X': 0.7086691856384277, 'Y': 0.3277258574962616, 'Z': -0.04907981678843498}, {'X': 0.744723916053772, 'Y': 0.5731666684150696, 'Z': -0.016053467988967896}, {'X': 0.7774138450622559, 'Y': 0.5086672306060791, 'Z': -0.032890722155570984}, {'X': 0.7867416739463806, 'Y': 0.4583052396774292, 'Z': -0.044511135667562485}, {'X': 0.7824804782867432, 'Y': 0.41192302107810974, 'Z': -0.05315691977739334}]
[{'X': 0.677211344242096, 'Y': 0.8008146286010742, 'Z': 2.1793032090045017e-07}, {'X': 0.6045101881027222, 'Y': 0.7400631308555603, 'Z': -0.01731620728969574}, {'X': 0.5627325177192688, 'Y': 0.6499148011207581, 'Z': -0.02008599415421486}, {'X': 0.5646883249282837, 'Y': 0.5589513778686523, 'Z': -0.0255796667188406}, {'X': 0.5983355641365051, 'Y': 0.5096644163131714, 'Z': -0.029105883091688156}, {'X': 0.6142061948776245, 'Y': 0.5536903142929077, 'Z': 0.02252776548266411}, {'X': 0.6065477132797241, 'Y': 0.4670518636703491, 'Z': 0.012304452247917652}, {'X': 0.6040084958076477, 'Y': 0.41199517250061035, 'Z': -0.0018910703947767615}, {'X': 0.6051344871520996, 'Y': 0.36066126823425293, 'Z': -0.014390730299055576}, {'X': 0.660320520401001, 'Y': 0.5396576523780823, 'Z': 0.016599850729107857}, {'X': 0.6575092673301697, 'Y': 0.4251832067966461, 'Z': 0.008407976478338242}, {'X': 0.6553775668144226, 'Y': 0.35111454129219055, 'Z': -0.005957591347396374}, {'X': 0.6528440713882446, 'Y': 0.2897425591945648, 'Z': -0.01779300533235073}, {'X': 0.7040454149246216, 'Y': 0.5489300489425659, 'Z': 0.0042314487509429455}, {'X': 0.7213062047958374, 'Y': 0.4522526264190674, 'Z': -0.011178038083016872}, {'X': 0.7230256199836731, 'Y': 0.38752010464668274, 'Z': -0.02776004560291767}, {'X': 0.7165296673774719, 'Y': 0.3350250720977783, 'Z': -0.03935356065630913}, {'X': 0.7485367655754089, 'Y': 0.5770356059074402, 'Z': -0.010865499265491962}, {'X': 0.7822936773300171, 'Y': 0.5138572454452515, 'Z': -0.024911224842071533}, {'X': 0.7923269867897034, 'Y': 0.46356698870658875, 'Z': -0.0353211835026741}, {'X': 0.7894222736358643, 'Y': 0.4173494875431061, 'Z': -0.04335584118962288}]
[{'X': 0.6785584092140198, 'Y': 0.8072954416275024, 'Z': 2.3359859824267915e-07}, {'X': 0.6071643829345703, 'Y': 0.7468859553337097, 'Z': -0.017484910786151886}, {'X': 0.5674833655357361, 'Y': 0.6574670076370239, 'Z': -0.02047700807452202}, {'X': 0.5696435570716858, 'Y': 0.5670570135116577, 'Z': -0.025890730321407318}, {'X': 0.5999404191970825, 'Y': 0.5117262601852417, 'Z': -0.029221341013908386}, {'X': 0.618808925151825, 'Y': 0.5590709447860718, 'Z': 0.02028166688978672}, {'X': 0.6107508540153503, 'Y': 0.4725695550441742, 'Z': 0.008628970012068748}, {'X': 0.6078199744224548, 'Y': 0.41784659028053284, 'Z': -0.006316748913377523}, {'X': 0.60810786485672, 'Y': 0.3659678101539612, 'Z': -0.019221782684326172}, {'X': 0.6643756031990051, 'Y': 0.5445461869239807, 'Z': 0.013732503168284893}, {'X': 0.6611902117729187, 'Y': 0.429715096950531, 'Z': 0.00373098929412663}, {'X': 0.6593612432479858, 'Y': 0.35613611340522766, 'Z': -0.0113719142973423}, {'X': 0.6573393940925598, 'Y': 0.2947578430175781, 'Z': -0.023542217910289764}, {'X': 0.7070033550262451, 'Y': 0.5539332628250122, 'Z': 0.0009167190291918814}, {'X': 0.7266517281532288, 'Y': 0.4584805965423584, 'Z': -0.01594807393848896}, {'X': 0.7292954921722412, 'Y': 0.39602231979370117, 'Z': -0.0319090262055397}, {'X': 0.7237120866775513, 'Y': 0.34384268522262573, 'Z': -0.042918186634778976}, {'X': 0.749794602394104, 'Y': 0.5829471945762634, 'Z': -0.014593799598515034}, {'X': 0.7839352488517761, 'Y': 0.5197415947914124, 'Z': -0.02952510118484497}, {'X': 0.7949321269989014, 'Y': 0.4703912138938904, 'Z': -0.03893132880330086}, {'X': 0.7928272485733032, 'Y': 0.42459264397621155, 'Z': -0.046120963990688324}]
[{'X': 0.6768162250518799, 'Y': 0.8095282316207886, 'Z': 2.353008312638849e-07}, {'X': 0.6054684519767761, 'Y': 0.7531145215034485, 'Z': -0.015539201907813549}, {'X': 0.5702325701713562, 'Y': 0.66254723072052, 'Z': -0.01594063825905323}, {'X': 0.5751381516456604, 'Y': 0.5737597346305847, 'Z': -0.01843443140387535}, {'X': 0.5952622294425964, 'Y': 0.5125742554664612, 'Z': -0.019298095256090164}, {'X': 0.6221052408218384, 'Y': 0.5622846484184265, 'Z': 0.020796550437808037}, {'X': 0.6137827634811401, 'Y': 0.475714772939682, 'Z': 0.012875420972704887}, {'X': 0.6100369095802307, 'Y': 0.41990768909454346, 'Z': 0.00033430129406042397}, {'X': 0.6084522008895874, 'Y': 0.3677343726158142, 'Z': -0.011354321613907814}, {'X': 0.6677500605583191, 'Y': 0.5478677153587341, 'Z': 0.014471184462308884}, {'X': 0.6645283102989197, 'Y': 0.4358999729156494, 'Z': 0.006820467300713062}, {'X': 0.6633098125457764, 'Y': 0.36353981494903564, 'Z': -0.007176867686212063}, {'X': 0.6619333624839783, 'Y': 0.3036843538284302, 'Z': -0.018854951485991478}, {'X': 0.7098900675773621, 'Y': 0.5572403073310852, 'Z': 0.002450012369081378}, {'X': 0.726647138595581, 'Y': 0.46012812852859497, 'Z': -0.01217829342931509}, {'X': 0.7293695211410522, 'Y': 0.3978705406188965, 'Z': -0.027115782722830772}, {'X': 0.7255464792251587, 'Y': 0.3456640839576721, 'Z': -0.03821279853582382}, {'X': 0.7523075342178345, 'Y': 0.5853243470191956, 'Z': -0.011994566768407822}, {'X': 0.7847931385040283, 'Y': 0.5199888348579407, 'Z': -0.0253487229347229}, {'X': 0.7967541813850403, 'Y': 0.4720623791217804, 'Z': -0.033447250723838806}, {'X': 0.7975556254386902, 'Y': 0.42814770340919495, 'Z': -0.040159933269023895}]
[{'X': 0.675152063369751, 'Y': 0.8137906789779663, 'Z': 2.5327082653348043e-07}, {'X': 0.6052604913711548, 'Y': 0.7604244947433472, 'Z': -0.015530466102063656}, {'X': 0.5696479678153992, 'Y': 0.6742165684700012, 'Z': -0.016421206295490265}, {'X': 0.5701048970222473, 'Y': 0.5886789560317993, 'Z': -0.01900128275156021}, {'X': 0.5890378952026367, 'Y': 0.5258567333221436, 'Z': -0.019994165748357773}, {'X': 0.6222191452980042, 'Y': 0.5653942227363586, 'Z': 0.020254069939255714}, {'X': 0.6129529476165771, 'Y': 0.48009759187698364, 'Z': 0.013628336600959301}, {'X': 0.6089032292366028, 'Y': 0.4250434935092926, 'Z': 0.0017217685235664248}, {'X': 0.6081077456474304, 'Y': 0.3741522431373596, 'Z': -0.00952186156064272}, {'X': 0.6684525012969971, 'Y': 0.5500696301460266, 'Z': 0.014196121133863926}, {'X': 0.666842520236969, 'Y': 0.44036591053009033, 'Z': 0.009278034791350365}, {'X': 0.6671321392059326, 'Y': 0.3696264922618866, 'Z': -0.003535594092682004}, {'X': 0.6669971346855164, 'Y': 0.3123296797275543, 'Z': -0.014893369749188423}, {'X': 0.71036696434021, 'Y': 0.5597566962242126, 'Z': 0.002539028413593769}, {'X': 0.7287184000015259, 'Y': 0.4656182527542114, 'Z': -0.009335002861917019}, {'X': 0.7324392199516296, 'Y': 0.40385061502456665, 'Z': -0.02436993457376957}, {'X': 0.7302780747413635, 'Y': 0.3515804409980774, 'Z': -0.036401621997356415}, {'X': 0.7517374157905579, 'Y': 0.5884875059127808, 'Z': -0.01145288348197937}, {'X': 0.7853434681892395, 'Y': 0.5256850123405457, 'Z': -0.023734763264656067}, {'X': 0.7980368137359619, 'Y': 0.47765976190567017, 'Z': -0.03231428563594818}, {'X': 0.8014047145843506, 'Y': 0.43171271681785583, 'Z': -0.039661865681409836}]
[{'X': 0.6723757386207581, 'Y': 0.8178389072418213, 'Z': 2.401745291535917e-07}, {'X': 0.6017968058586121, 'Y': 0.7702529430389404, 'Z': -0.012251000851392746}, {'X': 0.564678430557251, 'Y': 0.6920790672302246, 'Z': -0.01068361196666956}, {'X': 0.5607808232307434, 'Y': 0.6171478033065796, 'Z': -0.01093985978513956}, {'X': 0.5748994946479797, 'Y': 0.5670928955078125, 'Z': -0.010174206458032131}, {'X': 0.6200054883956909, 'Y': 0.5662389993667603, 'Z': 0.020368896424770355}, {'X': 0.6117929220199585, 'Y': 0.48060762882232666, 'Z': 0.0160834938287735}, {'X': 0.6082708835601807, 'Y': 0.42522501945495605, 'Z': 0.005174325779080391}, {'X': 0.6073840856552124, 'Y': 0.37494927644729614, 'Z': -0.005360814742743969}, {'X': 0.668003261089325, 'Y': 0.5520718097686768, 'Z': 0.013592620380222797}, {'X': 0.6683515906333923, 'Y': 0.4442055821418762, 'Z': 0.01148278173059225}, {'X': 0.6690555810928345, 'Y': 0.373712420463562, 'Z': -0.0005674061831086874}, {'X': 0.6685316562652588, 'Y': 0.3170125186443329, 'Z': -0.011651617474853992}, {'X': 0.7100568413734436, 'Y': 0.5624251961708069, 'Z': 0.0019013400888070464}, {'X': 0.7282230854034424, 'Y': 0.47310104966163635, 'Z': -0.006490632891654968}, {'X': 0.7316466569900513, 'Y': 0.4105348289012909, 'Z': -0.021365156397223473}, {'X': 0.7302864193916321, 'Y': 0.3577750325202942, 'Z': -0.03374141827225685}, {'X': 0.7510652542114258, 'Y': 0.5916197896003723, 'Z': -0.011941114440560341}, {'X': 0.7839288115501404, 'Y': 0.5295087695121765, 'Z': -0.020878180861473083}, {'X': 0.7965611219406128, 'Y': 0.48147013783454895, 'Z': -0.028364423662424088}, {'X': 0.8012941479682922, 'Y': 0.435604453086853, 'Z': -0.03525906056165695}]
[{'X': 0.668192982673645, 'Y': 0.8112767934799194, 'Z': 2.4948229793153587e-07}, {'X': 0.5961443185806274, 'Y': 0.7680594325065613, 'Z': -0.011016606353223324}, {'X': 0.559201717376709, 'Y': 0.6972780823707581, 'Z': -0.007770088035613298}, {'X': 0.5545123815536499, 'Y': 0.6344602108001709, 'Z': -0.005883192177861929}, {'X': 0.5555641651153564, 'Y': 0.5882054567337036, 'Z': -0.0032530473545193672}, {'X': 0.6165751814842224, 'Y': 0.5675334930419922, 'Z': 0.018123401328921318}, {'X': 0.6071420311927795, 'Y': 0.48159822821617126, 'Z': 0.015185308642685413}, {'X': 0.6034736037254333, 'Y': 0.4257867932319641, 'Z': 0.005736934952437878}, {'X': 0.6019948720932007, 'Y': 0.3772539496421814, 'Z': -0.0035151331685483456}, {'X': 0.6662190556526184, 'Y': 0.5538297891616821, 'Z': 0.01136642787605524}, {'X': 0.6668709516525269, 'Y': 0.44438040256500244, 'Z': 0.010958793573081493}, {'X': 0.6686392426490784, 'Y': 0.3735775947570801, 'Z': 0.0006131519912742078}, {'X': 0.668404757976532, 'Y': 0.31919774413108826, 'Z': -0.009389489889144897}, {'X': 0.708651065826416, 'Y': 0.5646635293960571, 'Z': -1.8139460735255852e-05}, {'X': 0.7295553088188171, 'Y': 0.47358089685440063, 'Z': -0.0074681006371974945}, {'X': 0.7339146733283997, 'Y': 0.41155314445495605, 'Z': -0.021958446130156517}, {'X': 0.7322030067443848, 'Y': 0.36058151721954346, 'Z': -0.03414786979556084}, {'X': 0.7491297125816345, 'Y': 0.5945526957511902, 'Z': -0.013323605991899967}, {'X': 0.7826684713363647, 'Y': 0.5325515270233154, 'Z': -0.022863617166876793}, {'X': 0.7943536043167114, 'Y': 0.4850817620754242, 'Z': -0.030652200803160667}, {'X': 0.7967977523803711, 'Y': 0.43975117802619934, 'Z': -0.03765729442238808}]
