[{'X': 0.7024691104888916, 'Y': 0.7486869096755981, 'Z': -6.168079562485218e-05}, {'X': 0.6397192478179932, 'Y': 0.7204780578613281, 'Z': -0.00556140998378396}, {'X': 0.5975691080093384, 'Y': 0.6395006775856018, 'Z': -0.009571286849677563}, {'X': 0.5717262029647827, 'Y': 0.5622690916061401, 'Z': -0.01893717236816883}, {'X': 0.5458781719207764, 'Y': 0.5170636177062988, 'Z': -0.0314309224486351}, {'X': 0.6448415517807007, 'Y': 0.5145241618156433, 'Z': 0.008802352473139763}, {'X': 0.6352783441543579, 'Y': 0.40651336312294006, 'Z': 0.009009444154798985}, {'X': 0.6323307752609253, 'Y': 0.34315359592437744, 'Z': 0.005438955966383219}, {'X': 0.6318924427032471, 'Y': 0.29061150550842285, 'Z': 0.001182269654236734}, {'X': 0.6824478507041931, 'Y': 0.5034844279289246, 'Z': 0.004322774708271027}, {'X': 0.6776849031448364, 'Y': 0.3848579525947571, 'Z': 0.004289109725505114}, {'X': 0.6775732040405273, 'Y': 0.31178057193756104, 'Z': -0.008044839836657047}, {'X': 0.6811230182647705, 'Y': 0.25513872504234314, 'Z': -0.01773141510784626}, {'X': 0.7181824445724487, 'Y': 0.515075147151947, 'Z': -0.0015346010914072394}, {'X': 0.7144113183021545, 'Y': 0.40001970529556274, 'Z': -0.0012375739170238376}, {'X': 0.7112876772880554, 'Y': 0.33157360553741455, 'Z': -0.01042974554002285}, {'X': 0.7106001973152161, 'Y': 0.27686408162117004, 'Z': -0.018117113038897514}, {'X': 0.7532422542572021, 'Y': 0.5446867346763611, 'Z': -0.008079510182142258}, {'X': 0.7535000443458557, 'Y': 0.4525843560695648, 'Z': -0.012859388254582882}, {'X': 0.7517280578613281, 'Y': 0.3991655707359314, 'Z': -0.021974647417664528}, {'X': 0.7491057515144348, 'Y': 0.3533376455307007, 'Z': -0.029429761692881584}]
[{'X': 0.7082968950271606, 'Y': 0.7275757789611816, 'Z': -6.988534732954577e-05}, {'X': 0.656754732131958, 'Y': 0.7030795812606812, 'Z': -0.008961985819041729}, {'X': 0.6174225211143494, 'Y': 0.6240497827529907, 'Z': -0.010607617907226086}, {'X': 0.5882743000984192, 'Y': 0.5586714744567871, 'Z': -0.020585505291819572}, {'X': 0.5583623051643372, 'Y': 0.5129576325416565, 'Z': -0.031591325998306274}, {'X': 0.6484276652336121, 'Y': 0.5258582234382629, 'Z': 0.02842823415994644}, {'X': 0.6327090859413147, 'Y': 0.46606558561325073, 'Z': -0.005122859496623278}, {'X': 0.6309540271759033, 'Y': 0.4993933439254761, 'Z': -0.042697496712207794}, {'X': 0.6352328062057495, 'Y': 0.5361921191215515, 'Z': -0.061474621295928955}, {'X': 0.67745441198349, 'Y': 0.5021107196807861, 'Z': 0.01756097935140133}, {'X': 0.6658652424812317, 'Y': 0.41359516978263855, 'Z': -0.008078105747699738}, {'X': 0.6597031354904175, 'Y': 0.41260701417922974, 'Z': -0.042505744844675064}, {'X': 0.6572797298431396, 'Y': 0.42968204617500305, 'Z': -0.06305249035358429}, {'X': 0.7085091471672058, 'Y': 0.4982401728630066, 'Z': -0.00041947822319343686}, {'X': 0.7044980525970459, 'Y': 0.40438419580459595, 'Z': -0.014652813784778118}, {'X': 0.6941245794296265, 'Y': 0.37670743465423584, 'Z': -0.0359187126159668}, {'X': 0.6832758784294128, 'Y': 0.36100178956985474, 'Z': -0.04941941425204277}, {'X': 0.7420374751091003, 'Y': 0.5113639235496521, 'Z': -0.019830947741866112}, {'X': 0.7424841523170471, 'Y': 0.43991607427597046, 'Z': -0.02584732510149479}, {'X': 0.7349139451980591, 'Y': 0.3985579311847687, 'Z': -0.03218819573521614}, {'X': 0.7218360304832458, 'Y': 0.35724014043807983, 'Z': -0.03849366679787636}]
[{'X': 0.7105089426040649, 'Y': 0.7258272767066956, 'Z': -7.502485095756128e-05}, {'X': 0.6586225628852844, 'Y': 0.6991889476776123, 'Z': -0.011734886094927788}, {'X': 0.6185775399208069, 'Y': 0.6206128001213074, 'Z': -0.016656698659062386}, {'X': 0.5882503390312195, 'Y': 0.557620108127594, 'Z': -0.03044501319527626}, {'X': 0.557590663433075, 'Y': 0.5103671550750732, 'Z': -0.04616308957338333}, {'X': 0.6519321799278259, 'Y': 0.5192665457725525, 'Z': 0.02059331350028515}, {'X': 0.6363013982772827, 'Y': 0.46116116642951965, 'Z': -0.015488550998270512}, {'X': 0.6334075927734375, 'Y': 0.4924047589302063, 'Z': -0.05704769119620323}, {'X': 0.6371096968650818, 'Y': 0.5295416712760925, 'Z': -0.08015464246273041}, {'X': 0.6793389320373535, 'Y': 0.49629369378089905, 'Z': 0.008721095509827137}, {'X': 0.6685733199119568, 'Y': 0.40376102924346924, 'Z': -0.021840043365955353}, {'X': 0.6616447567939758, 'Y': 0.40184617042541504, 'Z': -0.06108071655035019}, {'X': 0.6603867411613464, 'Y': 0.4244670569896698, 'Z': -0.08571048825979233}, {'X': 0.7091232538223267, 'Y': 0.49462541937828064, 'Z': -0.009957375936210155}, {'X': 0.7053840756416321, 'Y': 0.39747166633605957, 'Z': -0.03183586522936821}, {'X': 0.6945250630378723, 'Y': 0.3750948905944824, 'Z': -0.057273611426353455}, {'X': 0.686296284198761, 'Y': 0.3725909888744354, 'Z': -0.07236668467521667}, {'X': 0.7408648729324341, 'Y': 0.50880366563797, 'Z': -0.029938973486423492}, {'X': 0.7415916919708252, 'Y': 0.43434345722198486, 'Z': -0.039774779230356216}, {'X': 0.7338392734527588, 'Y': 0.39217403531074524, 'Z': -0.04915361478924751}, {'X': 0.7219780087471008, 'Y': 0.3551194369792938, 'Z': -0.058338869363069534}]
[{'X': 0.7109628319740295, 'Y': 0.7230312824249268, 'Z': -6.777818634873256e-05}, {'X': 0.6584185361862183, 'Y': 0.6970956325531006, 'Z': -0.0065459744073450565}, {'X': 0.6178597807884216, 'Y': 0.6192833185195923, 'Z': -0.006879185792058706}, {'X': 0.5866204500198364, 'Y': 0.5561426281929016, 'Z': -0.01716739684343338}, {'X': 0.5561778545379639, 'Y': 0.5090394616127014, 'Z': -0.030294014140963554}, {'X': 0.6515669822692871, 'Y': 0.5200895071029663, 'Z': 0.033306241035461426}, {'X': 0.6361284852027893, 'Y': 0.4619140625, 'Z': -0.0005554335657507181}, {'X': 0.6338530778884888, 'Y': 0.4954001009464264, 'Z': -0.040830355137586594}, {'X': 0.6383751630783081, 'Y': 0.5340986251831055, 'Z': -0.06289075314998627}, {'X': 0.6785463690757751, 'Y': 0.49848636984825134, 'Z': 0.020011140033602715}, {'X': 0.6681038737297058, 'Y': 0.40609729290008545, 'Z': -0.008913516066968441}, {'X': 0.6603240966796875, 'Y': 0.4050142168998718, 'Z': -0.048865705728530884}, {'X': 0.6584972739219666, 'Y': 0.4288688600063324, 'Z': -0.0735558494925499}, {'X': 0.7081981897354126, 'Y': 0.4969121813774109, 'Z': -0.00017158918490167707}, {'X': 0.7044674158096313, 'Y': 0.3995501399040222, 'Z': -0.01887955330312252}, {'X': 0.6929181814193726, 'Y': 0.37709081172943115, 'Z': -0.04468248784542084}, {'X': 0.6837189197540283, 'Y': 0.3739786446094513, 'Z': -0.059847764670848846}, {'X': 0.7402001023292542, 'Y': 0.5108235478401184, 'Z': -0.021502623334527016}, {'X': 0.7406275272369385, 'Y': 0.4369293749332428, 'Z': -0.028103100135922432}, {'X': 0.7330968379974365, 'Y': 0.3939628005027771, 'Z': -0.03668815642595291}, {'X': 0.7213192582130432, 'Y': 0.355733186006546, 'Z': -0.04565713554620743}]
[{'X': 0.7063083648681641, 'Y': 0.7150205373764038, 'Z': -9.670179861132056e-05}, {'X': 0.6548569202423096, 'Y': 0.6950569152832031, 'Z': -0.013283037580549717}, {'X': 0.6132452487945557, 'Y': 0.6143625974655151, 'Z': -0.018105432391166687}, {'X': 0.583182692527771, 'Y': 0.55413818359375, 'Z': -0.030693206936120987}, {'X': 0.5524342656135559, 'Y': 0.509577214717865, 'Z': -0.04492780938744545}, {'X': 0.6486139297485352, 'Y': 0.5172310471534729, 'Z': 0.01777341030538082}, {'X': 0.6319156289100647, 'Y': 0.45897170901298523, 'Z': -0.020184578374028206}, {'X': 0.6280929446220398, 'Y': 0.498365581035614, 'Z': -0.05747201666235924}, {'X': 0.6314849853515625, 'Y': 0.537841796875, 'Z': -0.07674115896224976}, {'X': 0.6785438060760498, 'Y': 0.4955958127975464, 'Z': 0.005314634647220373}, {'X': 0.6696584224700928, 'Y': 0.4027160704135895, 'Z': -0.02207055315375328}, {'X': 0.6601206064224243, 'Y': 0.3916463851928711, 'Z': -0.05304742977023125}, {'X': 0.6551865339279175, 'Y': 0.40310025215148926, 'Z': -0.07043998688459396}, {'X': 0.7107601165771484, 'Y': 0.49626702070236206, 'Z': -0.014238152652978897}, {'X': 0.7093564867973328, 'Y': 0.40000972151756287, 'Z': -0.031613752245903015}, {'X': 0.6965988874435425, 'Y': 0.3653125762939453, 'Z': -0.052142683416604996}, {'X': 0.6851088404655457, 'Y': 0.3455696403980255, 'Z': -0.0630507692694664}, {'X': 0.7447119951248169, 'Y': 0.5141618251800537, 'Z': -0.03675461933016777}, {'X': 0.7477521300315857, 'Y': 0.4401380121707916, 'Z': -0.04676984250545502}, {'X': 0.7405492663383484, 'Y': 0.3971608877182007, 'Z': -0.054558802396059036}, {'X': 0.7292216420173645, 'Y': 0.35625940561294556, 'Z': -0.06101885810494423}]
[{'X': 0.7056304812431335, 'Y': 0.7083883285522461, 'Z': -6.384155130945146e-05}, {'X': 0.6508384943008423, 'Y': 0.6877312064170837, 'Z': -0.0015594975557178259}, {'X': 0.608923077583313, 'Y': 0.6178327798843384, 'Z': -0.0005330362473614514}, {'X': 0.5798209309577942, 'Y': 0.5515973567962646, 'Z': -0.005114457570016384}, {'X': 0.5491027235984802, 'Y': 0.5097154378890991, 'Z': -0.01387727353721857}, {'X': 0.6500312685966492, 'Y': 0.5128063559532166, 'Z': 0.023712556809186935}, {'X': 0.6366730332374573, 'Y': 0.4342293441295624, 'Z': 0.022665733471512794}, {'X': 0.6310350894927979, 'Y': 0.3874785900115967, 'Z': 0.015102780424058437}, {'X': 0.6259765625, 'Y': 0.34436726570129395, 'Z': 0.004941682796925306}, {'X': 0.6842616200447083, 'Y': 0.49809935688972473, 'Z': 0.014147771522402763}, {'X': 0.6750834584236145, 'Y': 0.40686851739883423, 'Z': 0.015052137896418571}, {'X': 0.6694850921630859, 'Y': 0.35059434175491333, 'Z': -0.005187383387237787}, {'X': 0.6649014949798584, 'Y': 0.30376917123794556, 'Z': -0.02240588143467903}, {'X': 0.7183470129966736, 'Y': 0.5005326867103577, 'Z': 0.0023997377138584852}, {'X': 0.713676929473877, 'Y': 0.4054809510707855, 'Z': 0.002306148409843445}, {'X': 0.7067354321479797, 'Y': 0.35080787539482117, 'Z': -0.010395033285021782}, {'X': 0.6998574733734131, 'Y': 0.3055712878704071, 'Z': -0.021247880533337593}, {'X': 0.7517541646957397, 'Y': 0.5182034969329834, 'Z': -0.00963148009032011}, {'X': 0.7545362710952759, 'Y': 0.43629932403564453, 'Z': -0.013935181312263012}, {'X': 0.7513209581375122, 'Y': 0.3864433169364929, 'Z': -0.021370606496930122}, {'X': 0.7446041107177734, 'Y': 0.3421528935432434, 'Z': -0.026618963107466698}]
[{'X': 0.7059497833251953, 'Y': 0.7154721617698669, 'Z': -4.615185025613755e-05}, {'X': 0.6500688195228577, 'Y': 0.6968618631362915, 'Z': -0.00500637898221612}, {'X': 0.6099100112915039, 'Y': 0.6250043511390686, 'Z': -0.0033975867554545403}, {'X': 0.5840243101119995, 'Y': 0.5544698238372803, 'Z': -0.00727289542555809}, {'X': 0.5567334294319153, 'Y': 0.5167897939682007, 'Z': -0.014052826911211014}, {'X': 0.6479024291038513, 'Y': 0.5061496496200562, 'Z': 0.031037846580147743}, {'X': 0.6311658620834351, 'Y': 0.4185991883277893, 'Z': 0.031998518854379654}, {'X': 0.623641312122345, 'Y': 0.36593419313430786, 'Z': 0.024415183812379837}, {'X': 0.6179026365280151, 'Y': 0.31629109382629395, 'Z': 0.014045136980712414}, {'X': 0.6832821369171143, 'Y': 0.4909394383430481, 'Z': 0.023917531594634056}, {'X': 0.6738435626029968, 'Y': 0.3934902846813202, 'Z': 0.029918648302555084}, {'X': 0.6679988503456116, 'Y': 0.33129727840423584, 'Z': 0.011575632728636265}, {'X': 0.6649088263511658, 'Y': 0.2765193581581116, 'Z': -0.004907388240098953}, {'X': 0.7186614274978638, 'Y': 0.49591535329818726, 'Z': 0.01407325267791748}, {'X': 0.7132746577262878, 'Y': 0.39919477701187134, 'Z': 0.017314288765192032}, {'X': 0.7084054946899414, 'Y': 0.339225709438324, 'Z': 0.001641302602365613}, {'X': 0.7046526074409485, 'Y': 0.28644442558288574, 'Z': -0.01160022709518671}, {'X': 0.7539311647415161, 'Y': 0.5180384516716003, 'Z': 0.003368606325238943}, {'X': 0.7577513456344604, 'Y': 0.4381752014160156, 'Z': -0.0001907040277728811}, {'X': 0.7583422064781189, 'Y': 0.38677313923835754, 'Z': -0.008999567478895187}, {'X': 0.7555168271064758, 'Y': 0.33930182456970215, 'Z': -0.016331948339939117}]
[{'X': 0.7021698951721191, 'Y': 0.7155730128288269, 'Z': -3.465116969891824e-05}, {'X': 0.6451582312583923, 'Y': 0.6945875883102417, 'Z': 0.013103325851261616}, {'X': 0.6071805953979492, 'Y': 0.6209090352058411, 'Z': 0.022713394835591316}, {'X': 0.5826073884963989, 'Y': 0.5487608313560486, 'Z': 0.025590965524315834}, {'X': 0.5569005012512207, 'Y': 0.513205885887146, 'Z': 0.025592593476176262}, {'X': 0.6486574411392212, 'Y': 0.498553991317749, 'Z': 0.04831162840127945}, {'X': 0.632560133934021, 'Y': 0.4130232334136963, 'Z': 0.059153880923986435}, {'X': 0.6256051659584045, 'Y': 0.36004453897476196, 'Z': 0.05887724831700325}, {'X': 0.6197719573974609, 'Y': 0.3130200505256653, 'Z': 0.05475176125764847}, {'X': 0.6854485869407654, 'Y': 0.4841158986091614, 'Z': 0.03950771689414978}, {'X': 0.6787065267562866, 'Y': 0.3845701217651367, 'Z': 0.054274916648864746}, {'X': 0.6743937134742737, 'Y': 0.32064712047576904, 'Z': 0.04437810927629471}, {'X': 0.6729379296302795, 'Y': 0.2692135274410248, 'Z': 0.03520963713526726}, {'X': 0.7214151620864868, 'Y': 0.49092528223991394, 'Z': 0.029550103470683098}, {'X': 0.718341052532196, 'Y': 0.3892521262168884, 'Z': 0.04059609770774841}, {'X': 0.7155699133872986, 'Y': 0.3257078528404236, 'Z': 0.033764779567718506}, {'X': 0.7133753299713135, 'Y': 0.2720075249671936, 'Z': 0.028383582830429077}, {'X': 0.7559182047843933, 'Y': 0.5163491368293762, 'Z': 0.021004868671298027}, {'X': 0.7615402340888977, 'Y': 0.43146955966949463, 'Z': 0.026107490062713623}, {'X': 0.7635381817817688, 'Y': 0.37922272086143494, 'Z': 0.02477053739130497}, {'X': 0.7612946033477783, 'Y': 0.3321633040904999, 'Z': 0.024441413581371307}]
[{'X': 0.7019227743148804, 'Y': 0.6998108625411987, 'Z': -4.8780701035866514e-05}, {'X': 0.6432414054870605, 'Y': 0.6864239573478699, 'Z': 0.01830662228167057}, {'X': 0.6078659296035767, 'Y': 0.6162430047988892, 'Z': 0.0331745445728302}, {'X': 0.5855192542076111, 'Y': 0.5457980632781982, 'Z': 0.040728673338890076}, {'X': 0.5597209930419922, 'Y': 0.5076237916946411, 'Z': 0.04487857595086098}, {'X': 0.6484009623527527, 'Y': 0.49080246686935425, 'Z': 0.06878645718097687}, {'X': 0.6353954076766968, 'Y': 0.4106394350528717, 'Z': 0.08357685804367065}, {'X': 0.6297042965888977, 'Y': 0.35843753814697266, 'Z': 0.07953353226184845}, {'X': 0.6249814629554749, 'Y': 0.31317535042762756, 'Z': 0.07225606590509415}, {'X': 0.6847694516181946, 'Y': 0.47602564096450806, 'Z': 0.05950954556465149}, {'X': 0.6811020374298096, 'Y': 0.38688695430755615, 'Z': 0.07872600853443146}, {'X': 0.6768741011619568, 'Y': 0.3217729330062866, 'Z': 0.06862542033195496}, {'X': 0.675360918045044, 'Y': 0.2711700201034546, 'Z': 0.06120363995432854}, {'X': 0.7211299538612366, 'Y': 0.4828946590423584, 'Z': 0.047741975635290146}, {'X': 0.7203588485717773, 'Y': 0.39211851358413696, 'Z': 0.06263479590415955}, {'X': 0.7193798422813416, 'Y': 0.329211950302124, 'Z': 0.056984517723321915}, {'X': 0.7185839414596558, 'Y': 0.27655109763145447, 'Z': 0.0537559799849987}, {'X': 0.756351113319397, 'Y': 0.5100224018096924, 'Z': 0.03680046275258064}, {'X': 0.7623579502105713, 'Y': 0.4316311478614807, 'Z': 0.045842234045267105}, {'X': 0.7650426626205444, 'Y': 0.3772973418235779, 'Z': 0.04602453485131264}, {'X': 0.7637675404548645, 'Y': 0.32846200466156006, 'Z': 0.04843199998140335}]
[{'X': 0.7022552490234375, 'Y': 0.7060680985450745, 'Z': -5.340262578101829e-05}, {'X': 0.6436017751693726, 'Y': 0.688113808631897, 'Z': 0.018611237406730652}, {'X': 0.6080225706100464, 'Y': 0.6151477098464966, 'Z': 0.030753208324313164}, {'X': 0.5842210054397583, 'Y': 0.5437471866607666, 'Z': 0.035636574029922485}, {'X': 0.5578433871269226, 'Y': 0.5058153867721558, 'Z': 0.035696785897016525}, {'X': 0.6494317054748535, 'Y': 0.4927505850791931, 'Z': 0.060733091086149216}, {'X': 0.6356199383735657, 'Y': 0.4089638590812683, 'Z': 0.07270476222038269}, {'X': 0.629817008972168, 'Y': 0.3556616008281708, 'Z': 0.06856238096952438}, {'X': 0.6251503229141235, 'Y': 0.3094630539417267, 'Z': 0.061584196984767914}, {'X': 0.6855568885803223, 'Y': 0.4787974953651428, 'Z': 0.050069659948349}, {'X': 0.6810598969459534, 'Y': 0.3838133215904236, 'Z': 0.06620792299509048}, {'X': 0.6780169606208801, 'Y': 0.3181639611721039, 'Z': 0.055419858545064926}, {'X': 0.6773600578308105, 'Y': 0.26648789644241333, 'Z': 0.045880042016506195}, {'X': 0.7218204140663147, 'Y': 0.48603737354278564, 'Z': 0.03832514211535454}, {'X': 0.7199323773384094, 'Y': 0.38894814252853394, 'Z': 0.051665693521499634}, {'X': 0.7185779213905334, 'Y': 0.32693910598754883, 'Z': 0.04680090397596359}, {'X': 0.7173433303833008, 'Y': 0.2762839198112488, 'Z': 0.04345196485519409}, {'X': 0.7571542263031006, 'Y': 0.5121434330940247, 'Z': 0.02783525176346302}, {'X': 0.7635437846183777, 'Y': 0.4290875792503357, 'Z': 0.037038110196590424}, {'X': 0.7667881846427917, 'Y': 0.3747826814651489, 'Z': 0.03875027596950531}, {'X': 0.765699565410614, 'Y': 0.3255639672279358, 'Z': 0.04063647612929344}]
[{'X': 0.7026637196540833, 'Y': 0.7080738544464111, 'Z': -4.198365786578506e-05}, {'X': 0.6439118385314941, 'Y': 0.6888253688812256, 'Z': 0.016781575977802277}, {'X': 0.6079925298690796, 'Y': 0.6148865222930908, 'Z': 0.03060929849743843}, {'X': 0.5850867629051208, 'Y': 0.5427178740501404, 'Z': 0.03759898245334625}, {'X': 0.5608991980552673, 'Y': 0.50386643409729, 'Z': 0.04061923548579216}, {'X': 0.6498510837554932, 'Y': 0.4929231107234955, 'Z': 0.06313683092594147}, {'X': 0.6358301639556885, 'Y': 0.4094240069389343, 'Z': 0.07616133242845535}, {'X': 0.6299073100090027, 'Y': 0.3556712865829468, 'Z': 0.07263403385877609}, {'X': 0.6254239082336426, 'Y': 0.30859801173210144, 'Z': 0.06548269093036652}, {'X': 0.6859399676322937, 'Y': 0.4799553453922272, 'Z': 0.05404801294207573}, {'X': 0.6811144351959229, 'Y': 0.38354939222335815, 'Z': 0.07187937945127487}, {'X': 0.6774317026138306, 'Y': 0.31844839453697205, 'Z': 0.061329472810029984}, {'X': 0.6765375733375549, 'Y': 0.2673877477645874, 'Z': 0.052260708063840866}, {'X': 0.7219780087471008, 'Y': 0.4871901869773865, 'Z': 0.04351749271154404}, {'X': 0.7200790643692017, 'Y': 0.38836878538131714, 'Z': 0.05723680555820465}, {'X': 0.7187751531600952, 'Y': 0.3246397078037262, 'Z': 0.04990370571613312}, {'X': 0.7179269194602966, 'Y': 0.27204084396362305, 'Z': 0.04444567859172821}, {'X': 0.7567439079284668, 'Y': 0.5129725337028503, 'Z': 0.03442801907658577}, {'X': 0.7633544206619263, 'Y': 0.4293728768825531, 'Z': 0.04283986613154411}, {'X': 0.7668915390968323, 'Y': 0.37492483854293823, 'Z': 0.042416926473379135}, {'X': 0.7661594152450562, 'Y': 0.32680630683898926, 'Z': 0.042875804007053375}]
[{'X': 0.7028524279594421, 'Y': 0.7075919508934021, 'Z': -3.0352681278600357e-05}, {'X': 0.6450463533401489, 'Y': 0.6888290643692017, 'Z': 0.013729043304920197}, {'X': 0.6087431311607361, 'Y': 0.615822434425354, 'Z': 0.026964323595166206}, {'X': 0.5854185819625854, 'Y': 0.5436916947364807, 'Z': 0.032834965735673904}, {'X': 0.560525119304657, 'Y': 0.5043214559555054, 'Z': 0.03464971482753754}, {'X': 0.649969220161438, 'Y': 0.492986261844635, 'Z': 0.06540874391794205}, {'X': 0.6352092027664185, 'Y': 0.4100911021232605, 'Z': 0.08003416657447815}, {'X': 0.6295194625854492, 'Y': 0.355474591255188, 'Z': 0.07766339182853699}, {'X': 0.6255037784576416, 'Y': 0.3066534996032715, 'Z': 0.07084011286497116}, {'X': 0.6858654022216797, 'Y': 0.48019787669181824, 'Z': 0.056739989668130875}, {'X': 0.6804231405258179, 'Y': 0.3848135769367218, 'Z': 0.07599230110645294}, {'X': 0.6766082048416138, 'Y': 0.31958627700805664, 'Z': 0.06501509249210358}, {'X': 0.6755079627037048, 'Y': 0.2682885527610779, 'Z': 0.05573083832859993}, {'X': 0.7218706607818604, 'Y': 0.48659855127334595, 'Z': 0.04597272351384163}, {'X': 0.7203499674797058, 'Y': 0.3894995450973511, 'Z': 0.060538340359926224}, {'X': 0.7187130451202393, 'Y': 0.3251998722553253, 'Z': 0.051106344908475876}, {'X': 0.7170952558517456, 'Y': 0.27147144079208374, 'Z': 0.04389745369553566}, {'X': 0.7566400170326233, 'Y': 0.5108757019042969, 'Z': 0.035872165113687515}, {'X': 0.7631804347038269, 'Y': 0.42885589599609375, 'Z': 0.04320270195603371}, {'X': 0.7666928768157959, 'Y': 0.374920517206192, 'Z': 0.041286565363407135}, {'X': 0.765704333782196, 'Y': 0.3271128237247467, 'Z': 0.040995918214321136}]
[{'X': 0.7018536329269409, 'Y': 0.7066807150840759, 'Z': -5.369345308281481e-05}, {'X': 0.6431124806404114, 'Y': 0.6901494264602661, 'Z': 0.02009093016386032}, {'X': 0.6078069806098938, 'Y': 0.6159156560897827, 'Z': 0.03360230103135109}, {'X': 0.5844144225120544, 'Y': 0.5423496961593628, 'Z': 0.03953511267900467}, {'X': 0.5584349632263184, 'Y': 0.5032579898834229, 'Z': 0.040536098182201385}, {'X': 0.6485622525215149, 'Y': 0.4920002222061157, 'Z': 0.06266572326421738}, {'X': 0.635231077671051, 'Y': 0.40733325481414795, 'Z': 0.07788035273551941}, {'X': 0.6294741630554199, 'Y': 0.3529374897480011, 'Z': 0.07650144398212433}, {'X': 0.6248140335083008, 'Y': 0.3060218393802643, 'Z': 0.07126233726739883}, {'X': 0.684803307056427, 'Y': 0.4786123037338257, 'Z': 0.05238218232989311}, {'X': 0.6805224418640137, 'Y': 0.3823176622390747, 'Z': 0.07177498191595078}, {'X': 0.67696213722229, 'Y': 0.3163737654685974, 'Z': 0.06405843794345856}, {'X': 0.6755385398864746, 'Y': 0.26550522446632385, 'Z': 0.05702676624059677}, {'X': 0.7212702035903931, 'Y': 0.486177921295166, 'Z': 0.04110144078731537}, {'X': 0.7193652391433716, 'Y': 0.38775768876075745, 'Z': 0.05655800923705101}, {'X': 0.7176376581192017, 'Y': 0.3242853581905365, 'Z': 0.05243486911058426}, {'X': 0.7157769203186035, 'Y': 0.273000568151474, 'Z': 0.050016313791275024}, {'X': 0.7565068602561951, 'Y': 0.5126402378082275, 'Z': 0.03146347776055336}, {'X': 0.7628343105316162, 'Y': 0.4282337725162506, 'Z': 0.04133378341794014}, {'X': 0.7659534811973572, 'Y': 0.3736615478992462, 'Z': 0.043452221900224686}, {'X': 0.7646687030792236, 'Y': 0.3251952528953552, 'Z': 0.04610469192266464}]
