[{'X': 0.6983007192611694, 'Y': 0.911980152130127, 'Z': -2.587733615655452e-05}, {'X': 0.6336681246757507, 'Y': 0.878024697303772, 'Z': 0.0038220766000449657}, {'X': 0.5934420824050903, 'Y': 0.79071444272995, 'Z': 0.0075723095797002316}, {'X': 0.5672962665557861, 'Y': 0.7179421782493591, 'Z': 0.003530245739966631}, {'X': 0.536366879940033, 'Y': 0.6823124885559082, 'Z': -0.006551303435117006}, {'X': 0.6352642774581909, 'Y': 0.6468217372894287, 'Z': 0.04680723696947098}, {'X': 0.6278702616691589, 'Y': 0.542121171951294, 'Z': 0.04921805486083031}, {'X': 0.6242519617080688, 'Y': 0.47716230154037476, 'Z': 0.0411137118935585}, {'X': 0.6215850114822388, 'Y': 0.4202588200569153, 'Z': 0.031221387907862663}, {'X': 0.6699126362800598, 'Y': 0.6313295364379883, 'Z': 0.030012162402272224}, {'X': 0.6615296006202698, 'Y': 0.5118677616119385, 'Z': 0.03919175639748573}, {'X': 0.654952347278595, 'Y': 0.43689945340156555, 'Z': 0.02486508898437023}, {'X': 0.6506592035293579, 'Y': 0.37623947858810425, 'Z': 0.00998831819742918}, {'X': 0.704829216003418, 'Y': 0.6374890208244324, 'Z': 0.0077390605583786964}, {'X': 0.6986426115036011, 'Y': 0.5244189500808716, 'Z': 0.00794409029185772}, {'X': 0.6918066740036011, 'Y': 0.4526636600494385, 'Z': -0.009318577125668526}, {'X': 0.6862769722938538, 'Y': 0.39351239800453186, 'Z': -0.025598717853426933}, {'X': 0.7425222396850586, 'Y': 0.6651546955108643, 'Z': -0.015090368688106537}, {'X': 0.7512089014053345, 'Y': 0.577383279800415, 'Z': -0.026209073141217232}, {'X': 0.7549607157707214, 'Y': 0.5194082260131836, 'Z': -0.039952054619789124}, {'X': 0.7567543387413025, 'Y': 0.4638640582561493, 'Z': -0.05369196832180023}]
[{'X': 0.6868321299552917, 'Y': 0.8976480960845947, 'Z': -4.351451570983045e-05}, {'X': 0.6363418698310852, 'Y': 0.8485623598098755, 'Z': 0.03183676674962044}, {'X': 0.6134955883026123, 'Y': 0.7493720054626465, 'Z': 0.05777318775653839}, {'X': 0.5992733240127563, 'Y': 0.6931708455085754, 'Z': 0.07093174010515213}, {'X': 0.5807598233222961, 'Y': 0.6620015501976013, 'Z': 0.07683977484703064}, {'X': 0.6637780070304871, 'Y': 0.6648114323616028, 'Z': 0.08539222180843353}, {'X': 0.6709017157554626, 'Y': 0.5676281452178955, 'Z': 0.08143002539873123}, {'X': 0.6647675037384033, 'Y': 0.5162845253944397, 'Z': 0.07575548440217972}, {'X': 0.6535411477088928, 'Y': 0.48073330521583557, 'Z': 0.0766502246260643}, {'X': 0.6919514536857605, 'Y': 0.6706175208091736, 'Z': 0.05530845746397972}, {'X': 0.6819100379943848, 'Y': 0.5727525949478149, 'Z': 0.025799183174967766}, {'X': 0.6555497050285339, 'Y': 0.5462979674339294, 'Z': -0.0063252742402255535}, {'X': 0.6341420412063599, 'Y': 0.5420700311660767, 'Z': -0.01938031055033207}, {'X': 0.7207961082458496, 'Y': 0.6861783862113953, 'Z': 0.02367227151989937}, {'X': 0.701862633228302, 'Y': 0.6352478265762329, 'Z': -0.01851741597056389}, {'X': 0.6849230527877808, 'Y': 0.7111082673072815, 'Z': -0.034879039973020554}, {'X': 0.6779863834381104, 'Y': 0.77849280834198, 'Z': -0.02848072350025177}, {'X': 0.7506675124168396, 'Y': 0.7107592821121216, 'Z': -0.005416317377239466}, {'X': 0.7444009184837341, 'Y': 0.6235246658325195, 'Z': -0.029840786010026932}, {'X': 0.7306376695632935, 'Y': 0.5776636600494385, 'Z': -0.03429875150322914}, {'X': 0.7158799171447754, 'Y': 0.5437548160552979, 'Z': -0.030903078615665436}]
[{'X': 0.6595640778541565, 'Y': 0.861678421497345, 'Z': -0.00010281663708155975}, {'X': 0.6259589195251465, 'Y': 0.8172924518585205, 'Z': 0.01104515977203846}, {'X': 0.6091129183769226, 'Y': 0.7332835793495178, 'Z': 0.01551875751465559}, {'X': 0.5984991192817688, 'Y': 0.6804604530334473, 'Z': 0.015610726550221443}, {'X': 0.5824205279350281, 'Y': 0.6547729969024658, 'Z': 0.009342307224869728}, {'X': 0.6616775989532471, 'Y': 0.6465843319892883, 'Z': 0.019511260092258453}, {'X': 0.6733036041259766, 'Y': 0.5636899471282959, 'Z': 0.004362013190984726}, {'X': 0.6715388298034668, 'Y': 0.5230662822723389, 'Z': -0.0038099545054137707}, {'X': 0.6637824177742004, 'Y': 0.4887600839138031, 'Z': -0.009800576604902744}, {'X': 0.6858505606651306, 'Y': 0.6515958309173584, 'Z': -0.0021835591178387403}, {'X': 0.6822435259819031, 'Y': 0.5839136838912964, 'Z': -0.03897905349731445}, {'X': 0.6608902812004089, 'Y': 0.5786610245704651, 'Z': -0.06604724377393723}, {'X': 0.6415156722068787, 'Y': 0.5808731317520142, 'Z': -0.07916931062936783}, {'X': 0.7084259390830994, 'Y': 0.6684409976005554, 'Z': -0.02410060167312622}, {'X': 0.7031295895576477, 'Y': 0.6321612000465393, 'Z': -0.062099143862724304}, {'X': 0.6874589920043945, 'Y': 0.7036988735198975, 'Z': -0.07311645150184631}, {'X': 0.6753404140472412, 'Y': 0.7602332234382629, 'Z': -0.07037915289402008}, {'X': 0.7301987409591675, 'Y': 0.6955673098564148, 'Z': -0.04550589993596077}, {'X': 0.7318586111068726, 'Y': 0.6230910420417786, 'Z': -0.07996577024459839}, {'X': 0.7214704751968384, 'Y': 0.5821807384490967, 'Z': -0.09655967354774475}, {'X': 0.706940233707428, 'Y': 0.5487508177757263, 'Z': -0.10258860141038895}]
[{'X': 0.6819629669189453, 'Y': 0.8951879143714905, 'Z': -9.062915341928601e-05}, {'X': 0.6342875361442566, 'Y': 0.8432772159576416, 'Z': 0.013831047341227531}, {'X': 0.6120685338973999, 'Y': 0.7402040362358093, 'Z': 0.032849982380867004}, {'X': 0.5997867584228516, 'Y': 0.6807509064674377, 'Z': 0.04475708305835724}, {'X': 0.5804625749588013, 'Y': 0.6585497260093689, 'Z': 0.050796445459127426}, {'X': 0.6659162640571594, 'Y': 0.6527699828147888, 'Z': 0.07110990583896637}, {'X': 0.6682999134063721, 'Y': 0.5619137287139893, 'Z': 0.0553852878510952}, {'X': 0.6620118021965027, 'Y': 0.5114902257919312, 'Z': 0.04391419142484665}, {'X': 0.650955855846405, 'Y': 0.4699214994907379, 'Z': 0.04151920974254608}, {'X': 0.6949282288551331, 'Y': 0.6552075147628784, 'Z': 0.04652252420783043}, {'X': 0.6836352944374084, 'Y': 0.5801435112953186, 'Z': 0.002073219744488597}, {'X': 0.6588500142097473, 'Y': 0.5807096362113953, 'Z': -0.03222481533885002}, {'X': 0.6386367678642273, 'Y': 0.5893830060958862, 'Z': -0.04213464632630348}, {'X': 0.7233908176422119, 'Y': 0.6706135869026184, 'Z': 0.017792833968997}, {'X': 0.7081010341644287, 'Y': 0.6243671774864197, 'Z': -0.03643843159079552}, {'X': 0.690680742263794, 'Y': 0.7023587226867676, 'Z': -0.059318117797374725}, {'X': 0.6804976463317871, 'Y': 0.7631479501724243, 'Z': -0.055887289345264435}, {'X': 0.7536405920982361, 'Y': 0.6977920532226562, 'Z': -0.009193927980959415}, {'X': 0.7473291158676147, 'Y': 0.6161975860595703, 'Z': -0.03798855468630791}, {'X': 0.7314184904098511, 'Y': 0.5767690539360046, 'Z': -0.04671588912606239}, {'X': 0.7142236828804016, 'Y': 0.5448869466781616, 'Z': -0.044908348470926285}]
[{'X': 0.6794702410697937, 'Y': 0.8573114275932312, 'Z': -8.941411215346307e-05}, {'X': 0.6383872628211975, 'Y': 0.8212325572967529, 'Z': 0.005361167248338461}, {'X': 0.6152887344360352, 'Y': 0.73817378282547, 'Z': 0.010081806220114231}, {'X': 0.5991295576095581, 'Y': 0.6841856241226196, 'Z': 0.011908615939319134}, {'X': 0.5822820663452148, 'Y': 0.6609700918197632, 'Z': 0.007887788116931915}, {'X': 0.6665599346160889, 'Y': 0.6362440586090088, 'Z': 0.014270630665123463}, {'X': 0.6658118963241577, 'Y': 0.5490633845329285, 'Z': 0.0007730334182269871}, {'X': 0.6583022475242615, 'Y': 0.506517767906189, 'Z': -0.005513033829629421}, {'X': 0.6457451581954956, 'Y': 0.47036731243133545, 'Z': -0.012802199460566044}, {'X': 0.6915515065193176, 'Y': 0.6361910104751587, 'Z': -0.006406162865459919}, {'X': 0.6842955946922302, 'Y': 0.5721742510795593, 'Z': -0.04509682208299637}, {'X': 0.6660457849502563, 'Y': 0.5644519925117493, 'Z': -0.07505889981985092}, {'X': 0.6506396532058716, 'Y': 0.5696512460708618, 'Z': -0.0923854187130928}, {'X': 0.7152853012084961, 'Y': 0.650536298751831, 'Z': -0.026740578934550285}, {'X': 0.7010451555252075, 'Y': 0.6349464654922485, 'Z': -0.06923385709524155}, {'X': 0.6874569058418274, 'Y': 0.7066041231155396, 'Z': -0.08003057539463043}, {'X': 0.678820788860321, 'Y': 0.7638652324676514, 'Z': -0.07769705355167389}, {'X': 0.7386755347251892, 'Y': 0.6792307496070862, 'Z': -0.04853157326579094}, {'X': 0.7335609197616577, 'Y': 0.6180224418640137, 'Z': -0.08663549274206161}, {'X': 0.7237399816513062, 'Y': 0.5831749439239502, 'Z': -0.10539830476045609}, {'X': 0.7118397951126099, 'Y': 0.5565735697746277, 'Z': -0.11361927539110184}]
[{'X': 0.6983742117881775, 'Y': 0.9203553199768066, 'Z': -6.487392965937033e-05}, {'X': 0.6447932720184326, 'Y': 0.8585785627365112, 'Z': -0.0021485162433236837}, {'X': 0.6132727861404419, 'Y': 0.7496930360794067, 'Z': -0.008981272578239441}, {'X': 0.5901927947998047, 'Y': 0.679847776889801, 'Z': -0.024411221966147423}, {'X': 0.570436954498291, 'Y': 0.6409157514572144, 'Z': -0.0431264229118824}, {'X': 0.6737141013145447, 'Y': 0.6260277032852173, 'Z': 0.03711121156811714}, {'X': 0.6666287183761597, 'Y': 0.5227076411247253, 'Z': 0.026463352143764496}, {'X': 0.6538772583007812, 'Y': 0.4782816767692566, 'Z': 0.017793718725442886}, {'X': 0.6416715383529663, 'Y': 0.449523001909256, 'Z': 0.01318822056055069}, {'X': 0.7083591818809509, 'Y': 0.6272394061088562, 'Z': 0.014219248667359352}, {'X': 0.7073137760162354, 'Y': 0.5604920983314514, 'Z': -0.029898997396230698}, {'X': 0.6872155070304871, 'Y': 0.6002905964851379, 'Z': -0.06655915081501007}, {'X': 0.6739315390586853, 'Y': 0.6434504389762878, 'Z': -0.07981963455677032}, {'X': 0.7386513948440552, 'Y': 0.6465352177619934, 'Z': -0.012382948771119118}, {'X': 0.737623929977417, 'Y': 0.57736736536026, 'Z': -0.045698851346969604}, {'X': 0.712597131729126, 'Y': 0.6068401336669922, 'Z': -0.07819408178329468}, {'X': 0.6977477669715881, 'Y': 0.6406543254852295, 'Z': -0.09096307307481766}, {'X': 0.7662836313247681, 'Y': 0.6800541281700134, 'Z': -0.03911712020635605}, {'X': 0.7655554413795471, 'Y': 0.6025953888893127, 'Z': -0.05886327475309372}, {'X': 0.7509638071060181, 'Y': 0.5499616861343384, 'Z': -0.07608592510223389}, {'X': 0.7357606887817383, 'Y': 0.5064861178398132, 'Z': -0.08943639695644379}]
[{'X': 0.7041029930114746, 'Y': 0.928720235824585, 'Z': -3.349042162881233e-05}, {'X': 0.6436330080032349, 'Y': 0.8727039098739624, 'Z': -0.00563683221116662}, {'X': 0.6102796792984009, 'Y': 0.770489513874054, 'Z': -0.009121847338974476}, {'X': 0.5853932499885559, 'Y': 0.6998409628868103, 'Z': -0.02073676325380802}, {'X': 0.555250346660614, 'Y': 0.6650598049163818, 'Z': -0.034210506826639175}, {'X': 0.6644797921180725, 'Y': 0.6347408890724182, 'Z': 0.04103812575340271}, {'X': 0.6654413938522339, 'Y': 0.5251446962356567, 'Z': 0.04380340129137039}, {'X': 0.663041353225708, 'Y': 0.45724302530288696, 'Z': 0.037759918719530106}, {'X': 0.658872127532959, 'Y': 0.3998863995075226, 'Z': 0.028549810871481895}, {'X': 0.7031301259994507, 'Y': 0.6368275284767151, 'Z': 0.023256562650203705}, {'X': 0.7147541642189026, 'Y': 0.5324674248695374, 'Z': -0.0052941301837563515}, {'X': 0.7015305161476135, 'Y': 0.5375384092330933, 'Z': -0.04586049169301987}, {'X': 0.6866719126701355, 'Y': 0.5637230277061462, 'Z': -0.0689784362912178}, {'X': 0.7360085248947144, 'Y': 0.6549431085586548, 'Z': 0.0024305221159011126}, {'X': 0.751782238483429, 'Y': 0.5589348077774048, 'Z': -0.018061263486742973}, {'X': 0.7365610003471375, 'Y': 0.5433741211891174, 'Z': -0.05298713594675064}, {'X': 0.7214792370796204, 'Y': 0.5507317185401917, 'Z': -0.07278650254011154}, {'X': 0.7649592161178589, 'Y': 0.6888628602027893, 'Z': -0.018655508756637573}, {'X': 0.7767913341522217, 'Y': 0.6088772416114807, 'Z': -0.030050385743379593}, {'X': 0.7735617160797119, 'Y': 0.5473297238349915, 'Z': -0.04490054026246071}, {'X': 0.7664219737052917, 'Y': 0.4982982873916626, 'Z': -0.056275613605976105}]
[{'X': 0.7007559537887573, 'Y': 0.8825491666793823, 'Z': -8.754704322200269e-05}, {'X': 0.6426275968551636, 'Y': 0.8558790683746338, 'Z': 0.015915527939796448}, {'X': 0.6089466214179993, 'Y': 0.7698380351066589, 'Z': 0.02816510759294033}, {'X': 0.5882222056388855, 'Y': 0.7025691270828247, 'Z': 0.035860177129507065}, {'X': 0.5673186779022217, 'Y': 0.6743237972259521, 'Z': 0.043109048157930374}, {'X': 0.6571090221405029, 'Y': 0.6429683566093445, 'Z': 0.05196090787649155}, {'X': 0.6551453471183777, 'Y': 0.5468325018882751, 'Z': 0.06192572042346001}, {'X': 0.6554062962532043, 'Y': 0.4812685251235962, 'Z': 0.05730356648564339}, {'X': 0.6559286713600159, 'Y': 0.42413219809532166, 'Z': 0.04895554110407829}, {'X': 0.6887891292572021, 'Y': 0.6325821876525879, 'Z': 0.03803228214383125}, {'X': 0.6871450543403625, 'Y': 0.521041989326477, 'Z': 0.04497909918427467}, {'X': 0.6827491521835327, 'Y': 0.4438851773738861, 'Z': 0.03237060829997063}, {'X': 0.6796817183494568, 'Y': 0.3827066123485565, 'Z': 0.0202334001660347}, {'X': 0.72226881980896, 'Y': 0.6426782011985779, 'Z': 0.021830428391695023}, {'X': 0.7205603122711182, 'Y': 0.5254682898521423, 'Z': 0.02339625544846058}, {'X': 0.7168090343475342, 'Y': 0.45181459188461304, 'Z': 0.010366616770625114}, {'X': 0.7149764895439148, 'Y': 0.38840603828430176, 'Z': 0.0008300490444526076}, {'X': 0.7571367621421814, 'Y': 0.6733559370040894, 'Z': 0.007622496224939823}, {'X': 0.7666624784469604, 'Y': 0.5866826772689819, 'Z': 0.008955246768891811}, {'X': 0.7747077941894531, 'Y': 0.5336840152740479, 'Z': 0.004038394428789616}, {'X': 0.7817466259002686, 'Y': 0.47832924127578735, 'Z': -0.001199864549562335}]
[{'X': 0.7086240649223328, 'Y': 0.9058822393417358, 'Z': -6.753068009857088e-05}, {'X': 0.6460521817207336, 'Y': 0.869030237197876, 'Z': 0.015995284542441368}, {'X': 0.6096912026405334, 'Y': 0.7712836861610413, 'Z': 0.031159577891230583}, {'X': 0.5852535963058472, 'Y': 0.6985449194908142, 'Z': 0.03843637555837631}, {'X': 0.5557292699813843, 'Y': 0.6754946112632751, 'Z': 0.041515421122312546}, {'X': 0.6590238213539124, 'Y': 0.6350833773612976, 'Z': 0.05608348548412323}, {'X': 0.6544879674911499, 'Y': 0.5368249416351318, 'Z': 0.06669968366622925}, {'X': 0.6543989777565002, 'Y': 0.4745778441429138, 'Z': 0.06816034018993378}, {'X': 0.6558932662010193, 'Y': 0.422280877828598, 'Z': 0.06641272455453873}, {'X': 0.6929158568382263, 'Y': 0.6219130754470825, 'Z': 0.04109255596995354}, {'X': 0.6868069767951965, 'Y': 0.5090272426605225, 'Z': 0.05883638188242912}, {'X': 0.6810508370399475, 'Y': 0.440040647983551, 'Z': 0.05409533530473709}, {'X': 0.6775192022323608, 'Y': 0.3843153417110443, 'Z': 0.048275645822286606}, {'X': 0.7278463244438171, 'Y': 0.6317239999771118, 'Z': 0.022710110992193222}, {'X': 0.7260086536407471, 'Y': 0.5149140954017639, 'Z': 0.02974916435778141}, {'X': 0.7215554118156433, 'Y': 0.4461943805217743, 'Z': 0.015752850100398064}, {'X': 0.7190924882888794, 'Y': 0.38541334867477417, 'Z': 0.006137377582490444}, {'X': 0.7647215723991394, 'Y': 0.66522616147995, 'Z': 0.006547814235091209}, {'X': 0.7778799533843994, 'Y': 0.5750627517700195, 'Z': 0.004292487166821957}, {'X': 0.786045491695404, 'Y': 0.5202248096466064, 'Z': -0.005356025416404009}, {'X': 0.7918403744697571, 'Y': 0.462482213973999, 'Z': -0.014478160068392754}]
[{'X': 0.709654688835144, 'Y': 0.9161543846130371, 'Z': -5.3979045333107933e-05}, {'X': 0.6496409773826599, 'Y': 0.874151349067688, 'Z': 0.005605780985206366}, {'X': 0.6126487851142883, 'Y': 0.7766226530075073, 'Z': 0.011467264965176582}, {'X': 0.5863868594169617, 'Y': 0.7011756896972656, 'Z': 0.009802164509892464}, {'X': 0.5533424615859985, 'Y': 0.6755896210670471, 'Z': 0.004105159547179937}, {'X': 0.6608888506889343, 'Y': 0.6328410506248474, 'Z': 0.054132960736751556}, {'X': 0.6581734418869019, 'Y': 0.5333544611930847, 'Z': 0.06410691142082214}, {'X': 0.6592636108398438, 'Y': 0.4685053825378418, 'Z': 0.06277719885110855}, {'X': 0.661125659942627, 'Y': 0.41227006912231445, 'Z': 0.05783405154943466}, {'X': 0.6949710249900818, 'Y': 0.6192958950996399, 'Z': 0.04063840210437775}, {'X': 0.6908023357391357, 'Y': 0.5039850473403931, 'Z': 0.05734308063983917}, {'X': 0.6863774657249451, 'Y': 0.4317735433578491, 'Z': 0.05003151670098305}, {'X': 0.6835845708847046, 'Y': 0.3720111846923828, 'Z': 0.041138362139463425}, {'X': 0.7289430499076843, 'Y': 0.629086434841156, 'Z': 0.022221418097615242}, {'X': 0.7284504771232605, 'Y': 0.514998197555542, 'Z': 0.028945012018084526}, {'X': 0.7237434983253479, 'Y': 0.44626694917678833, 'Z': 0.016118286177515984}, {'X': 0.7193835973739624, 'Y': 0.38682594895362854, 'Z': 0.005891178268939257}, {'X': 0.7646830081939697, 'Y': 0.6628773212432861, 'Z': 0.003986480180174112}, {'X': 0.7768514752388, 'Y': 0.5766366124153137, 'Z': -0.0010063452646136284}, {'X': 0.7832897901535034, 'Y': 0.5247743129730225, 'Z': -0.011210545897483826}, {'X': 0.7873560786247253, 'Y': 0.4731099009513855, 'Z': -0.02050488255918026}]
[{'X': 0.7115050554275513, 'Y': 0.9141148328781128, 'Z': -8.477198571199551e-05}, {'X': 0.6484046578407288, 'Y': 0.8712692856788635, 'Z': 0.021498367190361023}, {'X': 0.6136466264724731, 'Y': 0.7792714834213257, 'Z': 0.038773536682128906}, {'X': 0.5914103984832764, 'Y': 0.7035031914710999, 'Z': 0.04713157191872597}, {'X': 0.5644002556800842, 'Y': 0.6749284267425537, 'Z': 0.052590034902095795}, {'X': 0.6589863300323486, 'Y': 0.6418178081512451, 'Z': 0.06708234548568726}, {'X': 0.6567702889442444, 'Y': 0.5388918519020081, 'Z': 0.08229152858257294}, {'X': 0.6579340696334839, 'Y': 0.4715351164340973, 'Z': 0.08374011516571045}, {'X': 0.6586674451828003, 'Y': 0.41731157898902893, 'Z': 0.08023208379745483}, {'X': 0.6938872933387756, 'Y': 0.6278511881828308, 'Z': 0.05106451362371445}, {'X': 0.6890324354171753, 'Y': 0.5122852921485901, 'Z': 0.07208417356014252}, {'X': 0.6841747164726257, 'Y': 0.43525800108909607, 'Z': 0.06661046296358109}, {'X': 0.6796970963478088, 'Y': 0.37643593549728394, 'Z': 0.0585448183119297}, {'X': 0.7293384671211243, 'Y': 0.6374218463897705, 'Z': 0.031611520797014236}, {'X': 0.7274798154830933, 'Y': 0.5211232900619507, 'Z': 0.04181782528758049}, {'X': 0.7238255739212036, 'Y': 0.4489809274673462, 'Z': 0.03249424695968628}, {'X': 0.7197017073631287, 'Y': 0.39087897539138794, 'Z': 0.02411196008324623}, {'X': 0.7662412524223328, 'Y': 0.6705307960510254, 'Z': 0.014463525265455246}, {'X': 0.7787100076675415, 'Y': 0.5811157822608948, 'Z': 0.012917240150272846}, {'X': 0.7854422926902771, 'Y': 0.5241700410842896, 'Z': 0.004158145748078823}, {'X': 0.7889330983161926, 'Y': 0.47137558460235596, 'Z': -0.0033448077738285065}]
[{'X': 0.7083226442337036, 'Y': 0.8955971002578735, 'Z': -6.10055067227222e-05}, {'X': 0.6434611678123474, 'Y': 0.8632758855819702, 'Z': 0.030437815934419632}, {'X': 0.610747218132019, 'Y': 0.7809177041053772, 'Z': 0.05083421245217323}, {'X': 0.5906410217285156, 'Y': 0.7093256711959839, 'Z': 0.06192472577095032}, {'X': 0.5683106184005737, 'Y': 0.6756387948989868, 'Z': 0.06982973217964172}, {'X': 0.6576555371284485, 'Y': 0.6449130773544312, 'Z': 0.07053323835134506}, {'X': 0.6574727296829224, 'Y': 0.5442224144935608, 'Z': 0.08550115674734116}, {'X': 0.6577000617980957, 'Y': 0.4794720709323883, 'Z': 0.08538884669542313}, {'X': 0.6565613746643066, 'Y': 0.42839667201042175, 'Z': 0.08012792468070984}, {'X': 0.6916428804397583, 'Y': 0.6310891509056091, 'Z': 0.050344161689281464}, {'X': 0.6891229748725891, 'Y': 0.518632173538208, 'Z': 0.06963197886943817}, {'X': 0.6847081780433655, 'Y': 0.4421018362045288, 'Z': 0.06108323112130165}, {'X': 0.6797454953193665, 'Y': 0.3869699239730835, 'Z': 0.04979133605957031}, {'X': 0.726468563079834, 'Y': 0.640597939491272, 'Z': 0.02841801941394806}, {'X': 0.7251126170158386, 'Y': 0.5252962112426758, 'Z': 0.03736713528633118}, {'X': 0.7218164801597595, 'Y': 0.45323362946510315, 'Z': 0.026390500366687775}, {'X': 0.7177864909172058, 'Y': 0.39682477712631226, 'Z': 0.016397761180996895}, {'X': 0.7627161741256714, 'Y': 0.6725517511367798, 'Z': 0.009526480920612812}, {'X': 0.7769503593444824, 'Y': 0.5843631029129028, 'Z': 0.009168656542897224}, {'X': 0.7845423221588135, 'Y': 0.5270837545394897, 'Z': 0.002000423613935709}, {'X': 0.788141667842865, 'Y': 0.47546836733818054, 'Z': -0.004782200790941715}]
[{'X': 0.6991778016090393, 'Y': 0.8920653462409973, 'Z': -7.219173130579293e-05}, {'X': 0.6393831372261047, 'Y': 0.8614122271537781, 'Z': 0.0217585451900959}, {'X': 0.6077868938446045, 'Y': 0.7777462601661682, 'Z': 0.036942433565855026}, {'X': 0.588630199432373, 'Y': 0.7066996097564697, 'Z': 0.04368254542350769}, {'X': 0.5655662417411804, 'Y': 0.672001302242279, 'Z': 0.04732224717736244}, {'X': 0.6563110947608948, 'Y': 0.6432617902755737, 'Z': 0.05868319049477577}, {'X': 0.6546510457992554, 'Y': 0.5454020500183105, 'Z': 0.06504300236701965}, {'X': 0.6548224091529846, 'Y': 0.48224174976348877, 'Z': 0.05903896316885948}, {'X': 0.6545766592025757, 'Y': 0.4290669560432434, 'Z': 0.05003909394145012}, {'X': 0.6902959942817688, 'Y': 0.631183922290802, 'Z': 0.03887169435620308}, {'X': 0.6877049803733826, 'Y': 0.5197107791900635, 'Z': 0.04875659570097923}, {'X': 0.682475745677948, 'Y': 0.44001495838165283, 'Z': 0.033279940485954285}, {'X': 0.6781461238861084, 'Y': 0.3795554041862488, 'Z': 0.019383307546377182}, {'X': 0.7258536219596863, 'Y': 0.6442890167236328, 'Z': 0.01684907078742981}, {'X': 0.7242271304130554, 'Y': 0.5291051864624023, 'Z': 0.0193803571164608}, {'X': 0.7201757431030273, 'Y': 0.45410898327827454, 'Z': 0.004826806485652924}, {'X': 0.7164252400398254, 'Y': 0.3924219608306885, 'Z': -0.007008576765656471}, {'X': 0.7629926800727844, 'Y': 0.6808837652206421, 'Z': -0.0023669141810387373}, {'X': 0.7767321467399597, 'Y': 0.5910433530807495, 'Z': -0.008418413810431957}, {'X': 0.7831649780273438, 'Y': 0.5307055115699768, 'Z': -0.017805738374590874}, {'X': 0.7861695885658264, 'Y': 0.47457462549209595, 'Z': -0.02536652609705925}]
[{'X': 0.7042130827903748, 'Y': 0.9097242951393127, 'Z': -7.511038711527362e-05}, {'X': 0.6416916251182556, 'Y': 0.8697112798690796, 'Z': 0.028104308992624283}, {'X': 0.6100921034812927, 'Y': 0.7810980081558228, 'Z': 0.04777288809418678}, {'X': 0.5898596048355103, 'Y': 0.7113947868347168, 'Z': 0.05788915231823921}, {'X': 0.5649016499519348, 'Y': 0.6853926777839661, 'Z': 0.06486903876066208}, {'X': 0.6538919806480408, 'Y': 0.6445804238319397, 'Z': 0.06538350135087967}, {'X': 0.6527878642082214, 'Y': 0.5414157509803772, 'Z': 0.07783648371696472}, {'X': 0.6537809371948242, 'Y': 0.47400563955307007, 'Z': 0.07683310657739639}, {'X': 0.653861403465271, 'Y': 0.4200335144996643, 'Z': 0.07129234820604324}, {'X': 0.6887322068214417, 'Y': 0.6311614513397217, 'Z': 0.045956335961818695}, {'X': 0.684015154838562, 'Y': 0.515792191028595, 'Z': 0.0630190297961235}, {'X': 0.679463803768158, 'Y': 0.4374811351299286, 'Z': 0.053859975188970566}, {'X': 0.6757850050926208, 'Y': 0.3793056607246399, 'Z': 0.04237682372331619}, {'X': 0.7245944142341614, 'Y': 0.6403490304946899, 'Z': 0.024395329877734184}, {'X': 0.7219893336296082, 'Y': 0.5218347311019897, 'Z': 0.03186957538127899}, {'X': 0.7185752391815186, 'Y': 0.4496198296546936, 'Z': 0.021749405190348625}, {'X': 0.7155616879463196, 'Y': 0.39358603954315186, 'Z': 0.012709406204521656}, {'X': 0.7618688941001892, 'Y': 0.6717787384986877, 'Z': 0.00576954847201705}, {'X': 0.7748405337333679, 'Y': 0.5806400775909424, 'Z': 0.003261470701545477}, {'X': 0.7819120287895203, 'Y': 0.5224276185035706, 'Z': -0.005412949249148369}, {'X': 0.7864702939987183, 'Y': 0.46900826692581177, 'Z': -0.013189071789383888}]
