[{'X': 0.4341368079185486, 'Y': 0.7184362411499023, 'Z': -5.806585613754578e-05}, {'X': 0.39133769273757935, 'Y': 0.6791672706604004, 'Z': 0.00563047593459487}, {'X': 0.3711344599723816, 'Y': 0.578001081943512, 'Z': -0.0009762889822013676}, {'X': 0.36182892322540283, 'Y': 0.5120472311973572, 'Z': -0.01696837693452835}, {'X': 0.34385472536087036, 'Y': 0.4592311978340149, 'Z': -0.034676577895879745}, {'X': 0.414065957069397, 'Y': 0.4898461103439331, 'Z': 0.007052318193018436}, {'X': 0.3716912567615509, 'Y': 0.46666109561920166, 'Z': -0.04799157381057739}, {'X': 0.36206910014152527, 'Y': 0.5251638293266296, 'Z': -0.07197008281946182}, {'X': 0.3691886067390442, 'Y': 0.5660703182220459, 'Z': -0.07301481068134308}, {'X': 0.43945249915122986, 'Y': 0.4941650331020355, 'Z': -0.011778115294873714}, {'X': 0.38737574219703674, 'Y': 0.48415204882621765, 'Z': -0.05762246996164322}, {'X': 0.3844870626926422, 'Y': 0.5675250291824341, 'Z': -0.057898566126823425}, {'X': 0.39791831374168396, 'Y': 0.5977152585983276, 'Z': -0.04008612036705017}, {'X': 0.46195051074028015, 'Y': 0.514051079750061, 'Z': -0.03997364640235901}, {'X': 0.4093622863292694, 'Y': 0.5194411873817444, 'Z': -0.07819276303052902}, {'X': 0.4092792570590973, 'Y': 0.5976890921592712, 'Z': -0.0647900253534317}, {'X': 0.42366963624954224, 'Y': 0.6252827048301697, 'Z': -0.045205794274806976}, {'X': 0.47909629344940186, 'Y': 0.5443173050880432, 'Z': -0.06830555200576782}, {'X': 0.4325960576534271, 'Y': 0.5539078712463379, 'Z': -0.08717969059944153}, {'X': 0.4278621971607208, 'Y': 0.6073199510574341, 'Z': -0.070280060172081}, {'X': 0.4420718848705292, 'Y': 0.6268856525421143, 'Z': -0.04981549456715584}]
[{'X': 0.43985316157341003, 'Y': 0.7132253646850586, 'Z': -4.9273443437414244e-05}, {'X': 0.39623361825942993, 'Y': 0.6722894310951233, 'Z': 0.0021010148338973522}, {'X': 0.37597331404685974, 'Y': 0.5702911019325256, 'Z': -0.006571903359144926}, {'X': 0.36621376872062683, 'Y': 0.5054455995559692, 'Z': -0.02258814126253128}, {'X': 0.3501034379005432, 'Y': 0.45422816276550293, 'Z': -0.03898504748940468}, {'X': 0.41882675886154175, 'Y': 0.47935181856155396, 'Z': -0.0032496817875653505}, {'X': 0.3739805221557617, 'Y': 0.45932236313819885, 'Z': -0.05787709355354309}, {'X': 0.36791089177131653, 'Y': 0.5259782075881958, 'Z': -0.07800182700157166}, {'X': 0.37745314836502075, 'Y': 0.5666367411613464, 'Z': -0.07773488759994507}, {'X': 0.4474179148674011, 'Y': 0.48555436730384827, 'Z': -0.021966831758618355}, {'X': 0.3935514986515045, 'Y': 0.4800082743167877, 'Z': -0.06933213025331497}, {'X': 0.39087390899658203, 'Y': 0.5665539503097534, 'Z': -0.06507695466279984}, {'X': 0.40429824590682983, 'Y': 0.5952296257019043, 'Z': -0.04380020499229431}, {'X': 0.4713619649410248, 'Y': 0.507603645324707, 'Z': -0.050110943615436554}, {'X': 0.4167114496231079, 'Y': 0.5147478580474854, 'Z': -0.09154094010591507}, {'X': 0.41464683413505554, 'Y': 0.5936539769172668, 'Z': -0.0769495740532875}, {'X': 0.42874300479888916, 'Y': 0.6210945248603821, 'Z': -0.05504667013883591}, {'X': 0.4889887273311615, 'Y': 0.5409078001976013, 'Z': -0.07856752723455429}, {'X': 0.441643089056015, 'Y': 0.5482282638549805, 'Z': -0.09938672930002213}, {'X': 0.43464726209640503, 'Y': 0.6017962694168091, 'Z': -0.08507681638002396}, {'X': 0.4479667544364929, 'Y': 0.6240056753158569, 'Z': -0.06585519015789032}]
[{'X': 0.4426543116569519, 'Y': 0.6989507675170898, 'Z': -5.440898166853003e-05}, {'X': 0.4000040590763092, 'Y': 0.6625252962112427, 'Z': -0.00246025575324893}, {'X': 0.376164048910141, 'Y': 0.567167341709137, 'Z': -0.01037007849663496}, {'X': 0.3687426745891571, 'Y': 0.5042714476585388, 'Z': -0.02125604823231697}, {'X': 0.35986384749412537, 'Y': 0.45171988010406494, 'Z': -0.031525950878858566}, {'X': 0.41746485233306885, 'Y': 0.48031139373779297, 'Z': -0.011684214696288109}, {'X': 0.3856898248195648, 'Y': 0.46061086654663086, 'Z': -0.06713853776454926}, {'X': 0.3759472668170929, 'Y': 0.5248355865478516, 'Z': -0.09128344058990479}, {'X': 0.3808087110519409, 'Y': 0.5650411248207092, 'Z': -0.09477893263101578}, {'X': 0.4452836215496063, 'Y': 0.48555171489715576, 'Z': -0.028677454218268394}, {'X': 0.40519678592681885, 'Y': 0.4745694398880005, 'Z': -0.07933104038238525}, {'X': 0.3988058567047119, 'Y': 0.5556249618530273, 'Z': -0.07363530248403549}, {'X': 0.4078640639781952, 'Y': 0.5899329781532288, 'Z': -0.05594437196850777}, {'X': 0.4699746072292328, 'Y': 0.5082264542579651, 'Z': -0.05395760387182236}, {'X': 0.4260541498661041, 'Y': 0.5052458643913269, 'Z': -0.10095051676034927}, {'X': 0.42200466990470886, 'Y': 0.5841383337974548, 'Z': -0.07705317437648773}, {'X': 0.43548643589019775, 'Y': 0.6208467483520508, 'Z': -0.0478813461959362}, {'X': 0.4905938506126404, 'Y': 0.5433997511863708, 'Z': -0.08109766244888306}, {'X': 0.45184263586997986, 'Y': 0.5394365787506104, 'Z': -0.11004547029733658}, {'X': 0.4417246878147125, 'Y': 0.5918899178504944, 'Z': -0.09094151854515076}, {'X': 0.45036500692367554, 'Y': 0.618130624294281, 'Z': -0.06916423887014389}]
[{'X': 0.44692090153694153, 'Y': 0.6979751586914062, 'Z': -6.595261947950348e-05}, {'X': 0.40950527787208557, 'Y': 0.6762226819992065, 'Z': -0.024855298921465874}, {'X': 0.3803158104419708, 'Y': 0.5950186848640442, 'Z': -0.05512513592839241}, {'X': 0.36248165369033813, 'Y': 0.5383345484733582, 'Z': -0.0864357203245163}, {'X': 0.34302765130996704, 'Y': 0.5014447569847107, 'Z': -0.11972496658563614}, {'X': 0.4242858588695526, 'Y': 0.4923500120639801, 'Z': -0.033796526491642}, {'X': 0.39448949694633484, 'Y': 0.4620952308177948, 'Z': -0.09129399806261063}, {'X': 0.36547917127609253, 'Y': 0.46235549449920654, 'Z': -0.12851396203041077}, {'X': 0.34096503257751465, 'Y': 0.4739241898059845, 'Z': -0.15250569581985474}, {'X': 0.45285502076148987, 'Y': 0.4880092740058899, 'Z': -0.04332616180181503}, {'X': 0.41536518931388855, 'Y': 0.4427158236503601, 'Z': -0.09635185450315475}, {'X': 0.37973833084106445, 'Y': 0.4567163586616516, 'Z': -0.11672396212816238}, {'X': 0.35470178723335266, 'Y': 0.47356003522872925, 'Z': -0.12534867227077484}, {'X': 0.4787118434906006, 'Y': 0.5063269138336182, 'Z': -0.05755194276571274}, {'X': 0.42598459124565125, 'Y': 0.5022921562194824, 'Z': -0.10159794241189957}, {'X': 0.4185012876987457, 'Y': 0.5780519843101501, 'Z': -0.07513516396284103}, {'X': 0.42838066816329956, 'Y': 0.6207931041717529, 'Z': -0.04902895167469978}, {'X': 0.4979337453842163, 'Y': 0.5400761961936951, 'Z': -0.07629231363534927}, {'X': 0.44744279980659485, 'Y': 0.5436484217643738, 'Z': -0.10292476415634155}, {'X': 0.43979978561401367, 'Y': 0.5972822308540344, 'Z': -0.0803951844573021}, {'X': 0.4513259828090668, 'Y': 0.6251229643821716, 'Z': -0.05989544838666916}]
[{'X': 0.45432227849960327, 'Y': 0.7137338519096375, 'Z': -0.00011345284292474389}, {'X': 0.4122973680496216, 'Y': 0.6931766867637634, 'Z': -0.008396240882575512}, {'X': 0.37238389253616333, 'Y': 0.6205393671989441, 'Z': -0.024692898616194725}, {'X': 0.3395739495754242, 'Y': 0.58079594373703, 'Z': -0.0506279319524765}, {'X': 0.30449560284614563, 'Y': 0.560057520866394, 'Z': -0.07480347901582718}, {'X': 0.40695813298225403, 'Y': 0.4993579089641571, 'Z': -0.029495421797037125}, {'X': 0.3781920373439789, 'Y': 0.4176419973373413, 'Z': -0.05869989097118378}, {'X': 0.3582302927970886, 'Y': 0.3696654736995697, 'Z': -0.07365074008703232}, {'X': 0.3425629734992981, 'Y': 0.3248665928840637, 'Z': -0.08332496881484985}, {'X': 0.441402405500412, 'Y': 0.49414321780204773, 'Z': -0.05115266516804695}, {'X': 0.42689427733421326, 'Y': 0.3979548215866089, 'Z': -0.08680810034275055}, {'X': 0.40529122948646545, 'Y': 0.3468116521835327, 'Z': -0.10717307776212692}, {'X': 0.3905251622200012, 'Y': 0.2975805401802063, 'Z': -0.12165728956460953}, {'X': 0.4721739888191223, 'Y': 0.5175905823707581, 'Z': -0.07352392375469208}, {'X': 0.4270019233226776, 'Y': 0.5204522013664246, 'Z': -0.11810703575611115}, {'X': 0.4179413616657257, 'Y': 0.5875933766365051, 'Z': -0.10740120708942413}, {'X': 0.4304840564727783, 'Y': 0.6125524044036865, 'Z': -0.09076039493083954}, {'X': 0.4937352240085602, 'Y': 0.5561624765396118, 'Z': -0.0974806696176529}, {'X': 0.44691553711891174, 'Y': 0.5777259469032288, 'Z': -0.12244178354740143}, {'X': 0.44032788276672363, 'Y': 0.6198035478591919, 'Z': -0.11144702881574631}, {'X': 0.45347481966018677, 'Y': 0.632757306098938, 'Z': -0.09710745513439178}]
[{'X': 0.44333794713020325, 'Y': 0.702735185623169, 'Z': -9.4378694484476e-05}, {'X': 0.40429362654685974, 'Y': 0.6952681541442871, 'Z': -0.02033136785030365}, {'X': 0.3658760190010071, 'Y': 0.6268851161003113, 'Z': -0.04128950461745262}, {'X': 0.3313067853450775, 'Y': 0.5917962193489075, 'Z': -0.06661533564329147}, {'X': 0.29369595646858215, 'Y': 0.5790587663650513, 'Z': -0.09106147289276123}, {'X': 0.4002719223499298, 'Y': 0.5007354021072388, 'Z': -0.047254323959350586}, {'X': 0.3755379021167755, 'Y': 0.41489142179489136, 'Z': -0.07729025185108185}, {'X': 0.3579959273338318, 'Y': 0.35745930671691895, 'Z': -0.09168542176485062}, {'X': 0.34426456689834595, 'Y': 0.3040180802345276, 'Z': -0.09879706799983978}, {'X': 0.4339878261089325, 'Y': 0.49241331219673157, 'Z': -0.061707958579063416}, {'X': 0.4203248918056488, 'Y': 0.39766019582748413, 'Z': -0.09682637453079224}, {'X': 0.4038611650466919, 'Y': 0.33383506536483765, 'Z': -0.1152452677488327}, {'X': 0.3959295153617859, 'Y': 0.2716299593448639, 'Z': -0.12574052810668945}, {'X': 0.46512341499328613, 'Y': 0.5124281048774719, 'Z': -0.07716928422451019}, {'X': 0.42171919345855713, 'Y': 0.5244142413139343, 'Z': -0.12734851241111755}, {'X': 0.4124879240989685, 'Y': 0.5974228382110596, 'Z': -0.11781622469425201}, {'X': 0.4232569932937622, 'Y': 0.6277329325675964, 'Z': -0.09897933900356293}, {'X': 0.4883172810077667, 'Y': 0.546241044998169, 'Z': -0.09499054402112961}, {'X': 0.4421888291835785, 'Y': 0.5742494463920593, 'Z': -0.12093058973550797}, {'X': 0.4345933198928833, 'Y': 0.6241281032562256, 'Z': -0.10636516660451889}, {'X': 0.44622230529785156, 'Y': 0.6397126913070679, 'Z': -0.0891079530119896}]
[{'X': 0.4384462535381317, 'Y': 0.6943843364715576, 'Z': -6.808032776461914e-05}, {'X': 0.4003995358943939, 'Y': 0.6923837661743164, 'Z': -0.020117543637752533}, {'X': 0.3628242313861847, 'Y': 0.6254584193229675, 'Z': -0.04283321648836136}, {'X': 0.329647958278656, 'Y': 0.5894846320152283, 'Z': -0.0700906440615654}, {'X': 0.29097265005111694, 'Y': 0.5712548494338989, 'Z': -0.09832350164651871}, {'X': 0.3955002725124359, 'Y': 0.4998570382595062, 'Z': -0.04772401973605156}, {'X': 0.3719586431980133, 'Y': 0.416770875453949, 'Z': -0.08313599973917007}, {'X': 0.3527965545654297, 'Y': 0.35898566246032715, 'Z': -0.09786821156740189}, {'X': 0.3381153345108032, 'Y': 0.3075988292694092, 'Z': -0.10332051664590836}, {'X': 0.4299154579639435, 'Y': 0.49102646112442017, 'Z': -0.06259824335575104}, {'X': 0.42166638374328613, 'Y': 0.396113783121109, 'Z': -0.09951791167259216}, {'X': 0.4123286306858063, 'Y': 0.32750993967056274, 'Z': -0.11800495535135269}, {'X': 0.41204506158828735, 'Y': 0.2605840861797333, 'Z': -0.1264379471540451}, {'X': 0.460162878036499, 'Y': 0.5126481056213379, 'Z': -0.07911747694015503}, {'X': 0.41902002692222595, 'Y': 0.5168916583061218, 'Z': -0.1326238214969635}, {'X': 0.408671110868454, 'Y': 0.5932275056838989, 'Z': -0.12509869039058685}, {'X': 0.4187510311603546, 'Y': 0.6302535533905029, 'Z': -0.10564681887626648}, {'X': 0.4824880361557007, 'Y': 0.546981692314148, 'Z': -0.09795372933149338}, {'X': 0.4383304715156555, 'Y': 0.569678008556366, 'Z': -0.12474319338798523}, {'X': 0.4309767782688141, 'Y': 0.6206992864608765, 'Z': -0.11021853238344193}, {'X': 0.4425062835216522, 'Y': 0.6399124264717102, 'Z': -0.09099060297012329}]
[{'X': 0.4363706409931183, 'Y': 0.6949987411499023, 'Z': -8.903627167455852e-05}, {'X': 0.40047019720077515, 'Y': 0.6877550482749939, 'Z': -0.02200760319828987}, {'X': 0.3618539869785309, 'Y': 0.6221095323562622, 'Z': -0.045447394251823425}, {'X': 0.3282166123390198, 'Y': 0.5865076780319214, 'Z': -0.07153069972991943}, {'X': 0.2893623113632202, 'Y': 0.5698150396347046, 'Z': -0.10101249068975449}, {'X': 0.39398327469825745, 'Y': 0.5060504674911499, 'Z': -0.05283911153674126}, {'X': 0.3732958436012268, 'Y': 0.42938363552093506, 'Z': -0.0867210403084755}, {'X': 0.3561148941516876, 'Y': 0.373965322971344, 'Z': -0.09736932069063187}, {'X': 0.3411443829536438, 'Y': 0.32457876205444336, 'Z': -0.10039394348859787}, {'X': 0.4278797209262848, 'Y': 0.49636104702949524, 'Z': -0.06611373275518417}, {'X': 0.4187021255493164, 'Y': 0.4076431393623352, 'Z': -0.10296716541051865}, {'X': 0.40854883193969727, 'Y': 0.34376662969589233, 'Z': -0.11987809091806412}, {'X': 0.40505510568618774, 'Y': 0.27987396717071533, 'Z': -0.12691035866737366}, {'X': 0.4589989483356476, 'Y': 0.5149713754653931, 'Z': -0.08020737767219543}, {'X': 0.4170469045639038, 'Y': 0.5174075961112976, 'Z': -0.13511312007904053}, {'X': 0.4061161279678345, 'Y': 0.589307963848114, 'Z': -0.1278533637523651}, {'X': 0.41535988450050354, 'Y': 0.6260326504707336, 'Z': -0.10544129461050034}, {'X': 0.4823427200317383, 'Y': 0.5489653944969177, 'Z': -0.09534956514835358}, {'X': 0.43829983472824097, 'Y': 0.5666286945343018, 'Z': -0.12480807304382324}, {'X': 0.4283826947212219, 'Y': 0.6143322587013245, 'Z': -0.10929501801729202}, {'X': 0.4370540380477905, 'Y': 0.6341615319252014, 'Z': -0.08903457224369049}]
[{'X': 0.4332280158996582, 'Y': 0.6913800835609436, 'Z': -6.575374573003501e-05}, {'X': 0.39927423000335693, 'Y': 0.688437819480896, 'Z': -0.026597119867801666}, {'X': 0.361652672290802, 'Y': 0.6214643716812134, 'Z': -0.050559334456920624}, {'X': 0.32975128293037415, 'Y': 0.5847378969192505, 'Z': -0.07511120289564133}, {'X': 0.29235899448394775, 'Y': 0.5644720196723938, 'Z': -0.10062460601329803}, {'X': 0.3941194713115692, 'Y': 0.50473952293396, 'Z': -0.05714618042111397}, {'X': 0.37337350845336914, 'Y': 0.42457491159439087, 'Z': -0.0933578684926033}, {'X': 0.357601523399353, 'Y': 0.36694079637527466, 'Z': -0.10445092618465424}, {'X': 0.344931036233902, 'Y': 0.3135821223258972, 'Z': -0.10742507129907608}, {'X': 0.42748311161994934, 'Y': 0.49547019600868225, 'Z': -0.06809668242931366}, {'X': 0.4183630049228668, 'Y': 0.40230274200439453, 'Z': -0.10650526732206345}, {'X': 0.40806692838668823, 'Y': 0.3362673223018646, 'Z': -0.1221843957901001}, {'X': 0.4048716723918915, 'Y': 0.2674252986907959, 'Z': -0.12803584337234497}, {'X': 0.45809897780418396, 'Y': 0.5153905749320984, 'Z': -0.08087701350450516}, {'X': 0.4168063700199127, 'Y': 0.50836580991745, 'Z': -0.13846692442893982}, {'X': 0.406095415353775, 'Y': 0.5845516324043274, 'Z': -0.12872686982154846}, {'X': 0.4158579111099243, 'Y': 0.6238853931427002, 'Z': -0.10482112318277359}, {'X': 0.48139429092407227, 'Y': 0.5488835573196411, 'Z': -0.09541453421115875}, {'X': 0.43747976422309875, 'Y': 0.5622118711471558, 'Z': -0.12563197314739227}, {'X': 0.42833244800567627, 'Y': 0.6123374104499817, 'Z': -0.10934338718652725}, {'X': 0.4379975199699402, 'Y': 0.6333512663841248, 'Z': -0.08871213346719742}]
[{'X': 0.43771839141845703, 'Y': 0.6907050013542175, 'Z': -7.78532266849652e-05}, {'X': 0.4027634859085083, 'Y': 0.6851128339767456, 'Z': -0.02683980204164982}, {'X': 0.3655708432197571, 'Y': 0.6225510835647583, 'Z': -0.051860153675079346}, {'X': 0.3329920172691345, 'Y': 0.5862716436386108, 'Z': -0.07827446609735489}, {'X': 0.2953943908214569, 'Y': 0.5640891790390015, 'Z': -0.10570920258760452}, {'X': 0.3972998261451721, 'Y': 0.5019161701202393, 'Z': -0.055695947259664536}, {'X': 0.3757323920726776, 'Y': 0.4225621521472931, 'Z': -0.0892186239361763}, {'X': 0.3581879138946533, 'Y': 0.3681030869483948, 'Z': -0.09835143387317657}, {'X': 0.34386205673217773, 'Y': 0.31953930854797363, 'Z': -0.09990482777357101}, {'X': 0.42991334199905396, 'Y': 0.4929352104663849, 'Z': -0.06619028747081757}, {'X': 0.4226182699203491, 'Y': 0.39956825971603394, 'Z': -0.1018027514219284}, {'X': 0.41206488013267517, 'Y': 0.3327568471431732, 'Z': -0.11609458923339844}, {'X': 0.4078942537307739, 'Y': 0.2670716345310211, 'Z': -0.12166234850883484}, {'X': 0.4598446190357208, 'Y': 0.513667643070221, 'Z': -0.07864992320537567}, {'X': 0.42040324211120605, 'Y': 0.5080229043960571, 'Z': -0.13580507040023804}, {'X': 0.40838897228240967, 'Y': 0.582961916923523, 'Z': -0.12763668596744537}, {'X': 0.4163725674152374, 'Y': 0.6253538131713867, 'Z': -0.10442659258842468}, {'X': 0.48299944400787354, 'Y': 0.5475504398345947, 'Z': -0.09239667654037476}, {'X': 0.4400118291378021, 'Y': 0.5624128580093384, 'Z': -0.122159443795681}, {'X': 0.4296128749847412, 'Y': 0.6099639534950256, 'Z': -0.10819144546985626}, {'X': 0.4366666376590729, 'Y': 0.6326930522918701, 'Z': -0.08898933976888657}]
[{'X': 0.43803003430366516, 'Y': 0.6906217932701111, 'Z': -6.826702156104147e-05}, {'X': 0.4013771116733551, 'Y': 0.6901451349258423, 'Z': -0.02292724885046482}, {'X': 0.3649776577949524, 'Y': 0.6250492930412292, 'Z': -0.04561655968427658}, {'X': 0.33465343713760376, 'Y': 0.5853657126426697, 'Z': -0.07193028926849365}, {'X': 0.2977658212184906, 'Y': 0.5642943382263184, 'Z': -0.10061518102884293}, {'X': 0.39604946970939636, 'Y': 0.5038178563117981, 'Z': -0.04539638012647629}, {'X': 0.37399885058403015, 'Y': 0.4262189269065857, 'Z': -0.07686564326286316}, {'X': 0.3551768362522125, 'Y': 0.36867833137512207, 'Z': -0.0885501354932785}, {'X': 0.3405069410800934, 'Y': 0.3201112747192383, 'Z': -0.09297948330640793}, {'X': 0.42965617775917053, 'Y': 0.49345797300338745, 'Z': -0.058640215545892715}, {'X': 0.41961538791656494, 'Y': 0.4021230638027191, 'Z': -0.0941222608089447}, {'X': 0.41029977798461914, 'Y': 0.33676138520240784, 'Z': -0.11196456849575043}, {'X': 0.4091648757457733, 'Y': 0.27528873085975647, 'Z': -0.11950819194316864}, {'X': 0.4600371718406677, 'Y': 0.5122087597846985, 'Z': -0.07394777238368988}, {'X': 0.41950130462646484, 'Y': 0.5100915431976318, 'Z': -0.12976446747779846}, {'X': 0.40850159525871277, 'Y': 0.5855997204780579, 'Z': -0.12539121508598328}, {'X': 0.41772565245628357, 'Y': 0.629422664642334, 'Z': -0.10680359601974487}, {'X': 0.4826468229293823, 'Y': 0.5449805855751038, 'Z': -0.09122179448604584}, {'X': 0.4403386414051056, 'Y': 0.5625749230384827, 'Z': -0.12463469058275223}, {'X': 0.429946631193161, 'Y': 0.6145134568214417, 'Z': -0.11461133509874344}, {'X': 0.43800127506256104, 'Y': 0.640336811542511, 'Z': -0.09735686331987381}]
[{'X': 0.435457706451416, 'Y': 0.6859915256500244, 'Z': -5.846523345098831e-05}, {'X': 0.40083563327789307, 'Y': 0.6864531636238098, 'Z': -0.02515341527760029}, {'X': 0.36518794298171997, 'Y': 0.6220230460166931, 'Z': -0.04908117279410362}, {'X': 0.3353138267993927, 'Y': 0.5822502970695496, 'Z': -0.0749639943242073}, {'X': 0.29969942569732666, 'Y': 0.5565930604934692, 'Z': -0.10098826140165329}, {'X': 0.39662864804267883, 'Y': 0.5031176805496216, 'Z': -0.05331431329250336}, {'X': 0.37702253460884094, 'Y': 0.4230714440345764, 'Z': -0.08724553883075714}, {'X': 0.35901206731796265, 'Y': 0.36565032601356506, 'Z': -0.09892588108778}, {'X': 0.34418991208076477, 'Y': 0.31612712144851685, 'Z': -0.10257241874933243}, {'X': 0.42930689454078674, 'Y': 0.4940834641456604, 'Z': -0.06464622914791107}, {'X': 0.42138993740081787, 'Y': 0.3999525308609009, 'Z': -0.10017618536949158}, {'X': 0.4094282388687134, 'Y': 0.3344687819480896, 'Z': -0.11663488298654556}, {'X': 0.4057144522666931, 'Y': 0.26940032839775085, 'Z': -0.12425301969051361}, {'X': 0.4591826796531677, 'Y': 0.5132401585578918, 'Z': -0.07764877378940582}, {'X': 0.42057961225509644, 'Y': 0.5121744871139526, 'Z': -0.13084776699543}, {'X': 0.4100082814693451, 'Y': 0.5900706052780151, 'Z': -0.12188148498535156}, {'X': 0.4190240502357483, 'Y': 0.6297285556793213, 'Z': -0.10075976699590683}, {'X': 0.4820428490638733, 'Y': 0.5452954769134521, 'Z': -0.09342408925294876}, {'X': 0.44011390209198, 'Y': 0.5634241104125977, 'Z': -0.12096214294433594}, {'X': 0.4317636489868164, 'Y': 0.6151435375213623, 'Z': -0.1054404005408287}, {'X': 0.44169458746910095, 'Y': 0.6373991966247559, 'Z': -0.08498852699995041}]
[{'X': 0.4367510974407196, 'Y': 0.6866874694824219, 'Z': -5.5196782341226935e-05}, {'X': 0.399314820766449, 'Y': 0.6861255764961243, 'Z': -0.028295863419771194}, {'X': 0.3667137920856476, 'Y': 0.6203441619873047, 'Z': -0.054086774587631226}, {'X': 0.3396323621273041, 'Y': 0.5737025141716003, 'Z': -0.0810944139957428}, {'X': 0.3061128258705139, 'Y': 0.5433706641197205, 'Z': -0.10947821289300919}, {'X': 0.400553435087204, 'Y': 0.5014453530311584, 'Z': -0.05132782831788063}, {'X': 0.37906578183174133, 'Y': 0.4306896924972534, 'Z': -0.08306016027927399}, {'X': 0.3585820496082306, 'Y': 0.37397682666778564, 'Z': -0.09510082751512527}, {'X': 0.34069210290908813, 'Y': 0.3265570402145386, 'Z': -0.10375270247459412}, {'X': 0.43192601203918457, 'Y': 0.4923348128795624, 'Z': -0.06287090480327606}, {'X': 0.42041322588920593, 'Y': 0.4035778045654297, 'Z': -0.09932451695203781}, {'X': 0.403518408536911, 'Y': 0.34418433904647827, 'Z': -0.1174279972910881}, {'X': 0.393407940864563, 'Y': 0.2832786738872528, 'Z': -0.1264261156320572}, {'X': 0.46176111698150635, 'Y': 0.5112074017524719, 'Z': -0.07559189200401306}, {'X': 0.42111653089523315, 'Y': 0.5070764422416687, 'Z': -0.1303163468837738}, {'X': 0.41170161962509155, 'Y': 0.582663893699646, 'Z': -0.12307995557785034}, {'X': 0.42213189601898193, 'Y': 0.6196682453155518, 'Z': -0.10300339013338089}, {'X': 0.48444974422454834, 'Y': 0.5454809665679932, 'Z': -0.09091056883335114}, {'X': 0.44178369641304016, 'Y': 0.5622537136077881, 'Z': -0.12467344850301743}, {'X': 0.43246519565582275, 'Y': 0.6156442165374756, 'Z': -0.11093016713857651}, {'X': 0.4423972964286804, 'Y': 0.6379700303077698, 'Z': -0.09137290716171265}]
[{'X': 0.43241801857948303, 'Y': 0.6897470355033875, 'Z': -6.853706145193428e-05}, {'X': 0.3976735472679138, 'Y': 0.677210807800293, 'Z': -0.030138811096549034}, {'X': 0.3691779673099518, 'Y': 0.6053852438926697, 'Z': -0.0624237097799778}, {'X': 0.3448549509048462, 'Y': 0.5569754838943481, 'Z': -0.09247677773237228}, {'X': 0.313180148601532, 'Y': 0.5232094526290894, 'Z': -0.12571488320827484}, {'X': 0.40527018904685974, 'Y': 0.5008593201637268, 'Z': -0.06107059493660927}, {'X': 0.37765514850616455, 'Y': 0.4474283456802368, 'Z': -0.10756690800189972}, {'X': 0.3508206307888031, 'Y': 0.4317663311958313, 'Z': -0.13531555235385895}, {'X': 0.3267161250114441, 'Y': 0.4305129647254944, 'Z': -0.15371356904506683}, {'X': 0.43536701798439026, 'Y': 0.49582159519195557, 'Z': -0.06837322562932968}, {'X': 0.4062315821647644, 'Y': 0.43075183033943176, 'Z': -0.11983660608530045}, {'X': 0.37010782957077026, 'Y': 0.42809024453163147, 'Z': -0.13849130272865295}, {'X': 0.3409222662448883, 'Y': 0.4307181239128113, 'Z': -0.14681117236614227}, {'X': 0.46403124928474426, 'Y': 0.5146456360816956, 'Z': -0.07902839779853821}, {'X': 0.4189158082008362, 'Y': 0.5083843469619751, 'Z': -0.12431235611438751}, {'X': 0.4095477759838104, 'Y': 0.5777624845504761, 'Z': -0.10668068379163742}, {'X': 0.41786709427833557, 'Y': 0.6131281852722168, 'Z': -0.08595382422208786}, {'X': 0.48646461963653564, 'Y': 0.5507778525352478, 'Z': -0.0931633785367012}, {'X': 0.44273608922958374, 'Y': 0.5551146864891052, 'Z': -0.1250280886888504}, {'X': 0.43185439705848694, 'Y': 0.6020140051841736, 'Z': -0.11036421358585358}, {'X': 0.4395887851715088, 'Y': 0.6243202686309814, 'Z': -0.09453568607568741}]
