[{'X': 0.8213270306587219, 'Y': 0.1115611270070076, 'Z': 1.4304654541774653e-05}, {'X': 0.7961638569831848, 'Y': 0.034470804035663605, 'Z': 0.023287128657102585}, {'X': 0.7832863926887512, 'Y': 0.008060112595558167, 'Z': 0.053865328431129456}, {'X': 0.7691081762313843, 'Y': -0.0033904537558555603, 'Z': 0.07614205777645111}, {'X': 0.7535843849182129, 'Y': -0.007404796779155731, 'Z': 0.0932784229516983}, {'X': 0.8237013220787048, 'Y': 0.05438757687807083, 'Z': 0.14829836785793304}, {'X': 0.8139583468437195, 'Y': 0.05254276469349861, 'Z': 0.1862155944108963}, {'X': 0.807807445526123, 'Y': 0.06450545787811279, 'Z': 0.18393948674201965}, {'X': 0.8009700179100037, 'Y': 0.07797235250473022, 'Z': 0.18389727175235748}, {'X': 0.8335663676261902, 'Y': 0.08640547841787338, 'Z': 0.15134857594966888}, {'X': 0.8209116458892822, 'Y': 0.07842256128787994, 'Z': 0.18613508343696594}, {'X': 0.818507730960846, 'Y': 0.09074737131595612, 'Z': 0.15813854336738586}, {'X': 0.8161906599998474, 'Y': 0.09257626533508301, 'Z': 0.14949718117713928}, {'X': 0.8379138112068176, 'Y': 0.10160478949546814, 'Z': 0.15461105108261108}, {'X': 0.8262962102890015, 'Y': 0.08982051908969879, 'Z': 0.17925766110420227}, {'X': 0.8234944343566895, 'Y': 0.10115604102611542, 'Z': 0.14530669152736664}, {'X': 0.8220594525337219, 'Y': 0.09731262922286987, 'Z': 0.13267703354358673}, {'X': 0.8407017588615417, 'Y': 0.1034577414393425, 'Z': 0.15787994861602783}, {'X': 0.8329176306724548, 'Y': 0.1002139076590538, 'Z': 0.18598197400569916}, {'X': 0.8306487202644348, 'Y': 0.09944132715463638, 'Z': 0.17977088689804077}, {'X': 0.8302006125450134, 'Y': 0.09161508083343506, 'Z': 0.18743541836738586}]
[{'X': 0.7239261269569397, 'Y': 0.7752900719642639, 'Z': -6.342585402308032e-05}, {'X': 0.6674063801765442, 'Y': 0.7580696940422058, 'Z': -0.04576212912797928}, {'X': 0.6326605081558228, 'Y': 0.6634454131126404, 'Z': -0.06832568347454071}, {'X': 0.6207026243209839, 'Y': 0.5768609642982483, 'Z': -0.08808106184005737}, {'X': 0.5971560478210449, 'Y': 0.5030425786972046, 'Z': -0.11241133511066437}, {'X': 0.6725907921791077, 'Y': 0.5475489497184753, 'Z': -0.048706233501434326}, {'X': 0.6650253534317017, 'Y': 0.4356697201728821, 'Z': -0.08492037653923035}, {'X': 0.6587632298469543, 'Y': 0.35957658290863037, 'Z': -0.1129535660147667}, {'X': 0.6547452211380005, 'Y': 0.29005250334739685, 'Z': -0.1340501755475998}, {'X': 0.7128548622131348, 'Y': 0.5399681925773621, 'Z': -0.05212780088186264}, {'X': 0.7124040126800537, 'Y': 0.4228849411010742, 'Z': -0.080438032746315}, {'X': 0.7096460461616516, 'Y': 0.33569249510765076, 'Z': -0.114630788564682}, {'X': 0.7087755799293518, 'Y': 0.2569728493690491, 'Z': -0.13842757046222687}, {'X': 0.7522196769714355, 'Y': 0.5590990781784058, 'Z': -0.059493016451597214}, {'X': 0.7593666315078735, 'Y': 0.4436567425727844, 'Z': -0.08629122376441956}, {'X': 0.7596901655197144, 'Y': 0.3586837649345398, 'Z': -0.12064151465892792}, {'X': 0.7585490345954895, 'Y': 0.28092965483665466, 'Z': -0.14847418665885925}, {'X': 0.7909095883369446, 'Y': 0.5983638167381287, 'Z': -0.07067930698394775}, {'X': 0.8038316965103149, 'Y': 0.5144702792167664, 'Z': -0.10035758465528488}, {'X': 0.8077052235603333, 'Y': 0.45318102836608887, 'Z': -0.1265570968389511}, {'X': 0.8071929812431335, 'Y': 0.39065229892730713, 'Z': -0.14743994176387787}]
[{'X': 0.7270842790603638, 'Y': 0.8134887218475342, 'Z': -6.835655949544162e-05}, {'X': 0.6703217625617981, 'Y': 0.7976717352867126, 'Z': -0.04784123972058296}, {'X': 0.636242151260376, 'Y': 0.7025196552276611, 'Z': -0.07453297823667526}, {'X': 0.6255612969398499, 'Y': 0.6160746812820435, 'Z': -0.09865237027406693}, {'X': 0.6009482741355896, 'Y': 0.5429539680480957, 'Z': -0.12899671494960785}, {'X': 0.6750777959823608, 'Y': 0.5885661840438843, 'Z': -0.05882180482149124}, {'X': 0.6690064072608948, 'Y': 0.4762975573539734, 'Z': -0.09790334105491638}, {'X': 0.6630204916000366, 'Y': 0.40174734592437744, 'Z': -0.12737341225147247}, {'X': 0.6578713059425354, 'Y': 0.3316371738910675, 'Z': -0.14856024086475372}, {'X': 0.7157574892044067, 'Y': 0.5826536417007446, 'Z': -0.06405267864465714}, {'X': 0.716363251209259, 'Y': 0.46758487820625305, 'Z': -0.09780974686145782}, {'X': 0.7137899398803711, 'Y': 0.38170647621154785, 'Z': -0.13536670804023743}, {'X': 0.7119085192680359, 'Y': 0.3026493787765503, 'Z': -0.16075894236564636}, {'X': 0.7553550004959106, 'Y': 0.6027249097824097, 'Z': -0.07247944921255112}, {'X': 0.7613730430603027, 'Y': 0.48729634284973145, 'Z': -0.10411404818296432}, {'X': 0.7613943219184875, 'Y': 0.4027065932750702, 'Z': -0.14217160642147064}, {'X': 0.759452760219574, 'Y': 0.32422956824302673, 'Z': -0.17199012637138367}, {'X': 0.7944214344024658, 'Y': 0.6423001885414124, 'Z': -0.08416690677404404}, {'X': 0.8077645897865295, 'Y': 0.5571122765541077, 'Z': -0.11588612198829651}, {'X': 0.8130501508712769, 'Y': 0.4954117238521576, 'Z': -0.142486572265625}, {'X': 0.8134126663208008, 'Y': 0.4309234023094177, 'Z': -0.16411355137825012}]
[{'X': 0.7306768298149109, 'Y': 0.8520892262458801, 'Z': -5.3015774028608575e-05}, {'X': 0.6737925410270691, 'Y': 0.8301892876625061, 'Z': -0.044881489127874374}, {'X': 0.6403743028640747, 'Y': 0.732991099357605, 'Z': -0.07089833170175552}, {'X': 0.6285305619239807, 'Y': 0.6451778411865234, 'Z': -0.09550870954990387}, {'X': 0.6053156852722168, 'Y': 0.5711882710456848, 'Z': -0.1261952668428421}, {'X': 0.6801530718803406, 'Y': 0.6177457571029663, 'Z': -0.048849403858184814}, {'X': 0.6718816757202148, 'Y': 0.5077400207519531, 'Z': -0.07819599658250809}, {'X': 0.6673046946525574, 'Y': 0.43137887120246887, 'Z': -0.10555467009544373}, {'X': 0.6643525958061218, 'Y': 0.3612060248851776, 'Z': -0.1259620636701584}, {'X': 0.7209581136703491, 'Y': 0.6113093495368958, 'Z': -0.053642697632312775}, {'X': 0.722585141658783, 'Y': 0.4966520667076111, 'Z': -0.07866164296865463}, {'X': 0.7217398285865784, 'Y': 0.4098638892173767, 'Z': -0.10966292768716812}, {'X': 0.7212753295898438, 'Y': 0.3311043083667755, 'Z': -0.13465699553489685}, {'X': 0.7612449526786804, 'Y': 0.6339406371116638, 'Z': -0.06278481334447861}, {'X': 0.766531765460968, 'Y': 0.5205161571502686, 'Z': -0.09058248996734619}, {'X': 0.7658094763755798, 'Y': 0.43527406454086304, 'Z': -0.12538586556911469}, {'X': 0.762927234172821, 'Y': 0.35742655396461487, 'Z': -0.15529024600982666}, {'X': 0.802050769329071, 'Y': 0.6790228486061096, 'Z': -0.07590208202600479}, {'X': 0.8169461488723755, 'Y': 0.5915085673332214, 'Z': -0.10510760545730591}, {'X': 0.8209444284439087, 'Y': 0.5320929288864136, 'Z': -0.13106386363506317}, {'X': 0.8218287229537964, 'Y': 0.47115373611450195, 'Z': -0.15210503339767456}]
[{'X': 0.7377773523330688, 'Y': 0.8776441216468811, 'Z': -6.826964090578258e-05}, {'X': 0.6807796955108643, 'Y': 0.8589901924133301, 'Z': -0.04857826232910156}, {'X': 0.6477696895599365, 'Y': 0.7576963901519775, 'Z': -0.07394926249980927}, {'X': 0.6377971172332764, 'Y': 0.6673813462257385, 'Z': -0.09651309251785278}, {'X': 0.6128620505332947, 'Y': 0.5945367217063904, 'Z': -0.12565726041793823}, {'X': 0.6841670274734497, 'Y': 0.64152991771698, 'Z': -0.05037633329629898}, {'X': 0.6804046630859375, 'Y': 0.5345495939254761, 'Z': -0.08597080409526825}, {'X': 0.6756245493888855, 'Y': 0.45821118354797363, 'Z': -0.11724290251731873}, {'X': 0.6732019782066345, 'Y': 0.38558995723724365, 'Z': -0.14039099216461182}, {'X': 0.7261892557144165, 'Y': 0.6358472108840942, 'Z': -0.05401795357465744}, {'X': 0.7281654477119446, 'Y': 0.5237021446228027, 'Z': -0.0834299847483635}, {'X': 0.7271690964698792, 'Y': 0.43797463178634644, 'Z': -0.12086984515190125}, {'X': 0.72761470079422, 'Y': 0.36215388774871826, 'Z': -0.1461368352174759}, {'X': 0.7668280005455017, 'Y': 0.6563634276390076, 'Z': -0.06239097937941551}, {'X': 0.773753821849823, 'Y': 0.5434448719024658, 'Z': -0.09236789494752884}, {'X': 0.7748194932937622, 'Y': 0.4605373740196228, 'Z': -0.1291639357805252}, {'X': 0.7742682695388794, 'Y': 0.38532549142837524, 'Z': -0.1582866758108139}, {'X': 0.8068351745605469, 'Y': 0.6979272365570068, 'Z': -0.07483446598052979}, {'X': 0.8212205171585083, 'Y': 0.6165979504585266, 'Z': -0.10634129494428635}, {'X': 0.8286010026931763, 'Y': 0.5586636662483215, 'Z': -0.13217613101005554}, {'X': 0.8315003514289856, 'Y': 0.499079167842865, 'Z': -0.15249773859977722}]
[{'X': 0.7435181140899658, 'Y': 0.8903692960739136, 'Z': -0.00012208004773128778}, {'X': 0.6896028518676758, 'Y': 0.8740902543067932, 'Z': -0.051646020263433456}, {'X': 0.6538236737251282, 'Y': 0.7768319845199585, 'Z': -0.07886552065610886}, {'X': 0.6389279961585999, 'Y': 0.6873668432235718, 'Z': -0.10545410215854645}, {'X': 0.6161615252494812, 'Y': 0.6108965873718262, 'Z': -0.13404406607151031}, {'X': 0.6900455355644226, 'Y': 0.6516923308372498, 'Z': -0.05677800253033638}, {'X': 0.6853247880935669, 'Y': 0.5515115261077881, 'Z': -0.09982067346572876}, {'X': 0.6825618743896484, 'Y': 0.46856382489204407, 'Z': -0.13867565989494324}, {'X': 0.6821007132530212, 'Y': 0.39362290501594543, 'Z': -0.1686568409204483}, {'X': 0.7303152680397034, 'Y': 0.6466872096061707, 'Z': -0.05741199851036072}, {'X': 0.7369884848594666, 'Y': 0.5370274186134338, 'Z': -0.08928965777158737}, {'X': 0.740385115146637, 'Y': 0.45339667797088623, 'Z': -0.12100106477737427}, {'X': 0.7431010603904724, 'Y': 0.3787962794303894, 'Z': -0.1437140256166458}, {'X': 0.7700468301773071, 'Y': 0.66969233751297, 'Z': -0.06431028246879578}, {'X': 0.7807419896125793, 'Y': 0.5622859001159668, 'Z': -0.09381973743438721}, {'X': 0.7853285670280457, 'Y': 0.48127657175064087, 'Z': -0.12407172471284866}, {'X': 0.787115216255188, 'Y': 0.4057668149471283, 'Z': -0.14962579309940338}, {'X': 0.8073104619979858, 'Y': 0.7128936648368835, 'Z': -0.07716206461191177}, {'X': 0.822116494178772, 'Y': 0.6452317237854004, 'Z': -0.10296986252069473}, {'X': 0.8352234959602356, 'Y': 0.5917719602584839, 'Z': -0.12784843146800995}, {'X': 0.8452686667442322, 'Y': 0.535780131816864, 'Z': -0.14950594305992126}]
[{'X': 0.7528368830680847, 'Y': 0.9015945196151733, 'Z': -0.00010044397640740499}, {'X': 0.6987906098365784, 'Y': 0.8836236000061035, 'Z': -0.05382487177848816}, {'X': 0.6616255640983582, 'Y': 0.7859925627708435, 'Z': -0.08027275651693344}, {'X': 0.6478822827339172, 'Y': 0.6959067583084106, 'Z': -0.10537424683570862}, {'X': 0.627368688583374, 'Y': 0.6210675239562988, 'Z': -0.1328917294740677}, {'X': 0.6999465227127075, 'Y': 0.6653798222541809, 'Z': -0.06409560143947601}, {'X': 0.6951751112937927, 'Y': 0.5657753944396973, 'Z': -0.10961691290140152}, {'X': 0.691805899143219, 'Y': 0.4859643280506134, 'Z': -0.1473783403635025}, {'X': 0.6915298104286194, 'Y': 0.4126676023006439, 'Z': -0.17591844499111176}, {'X': 0.7390746474266052, 'Y': 0.6636525988578796, 'Z': -0.06614595651626587}, {'X': 0.746673047542572, 'Y': 0.5501998066902161, 'Z': -0.1014169231057167}, {'X': 0.7515265345573425, 'Y': 0.4662643074989319, 'Z': -0.13876916468143463}, {'X': 0.7570781111717224, 'Y': 0.3900710344314575, 'Z': -0.16570676863193512}, {'X': 0.7776921391487122, 'Y': 0.6886948943138123, 'Z': -0.0736999586224556}, {'X': 0.7882406115531921, 'Y': 0.5802879333496094, 'Z': -0.10815047472715378}, {'X': 0.7942578196525574, 'Y': 0.5011509656906128, 'Z': -0.14439363777637482}, {'X': 0.7992478013038635, 'Y': 0.4257686734199524, 'Z': -0.17248114943504333}, {'X': 0.8140138387680054, 'Y': 0.7332687377929688, 'Z': -0.08651728183031082}, {'X': 0.8284247517585754, 'Y': 0.6639430522918701, 'Z': -0.12045682221651077}, {'X': 0.8416730165481567, 'Y': 0.6085662245750427, 'Z': -0.1483033299446106}, {'X': 0.8522636890411377, 'Y': 0.549001932144165, 'Z': -0.17238515615463257}]
[{'X': 0.7643758654594421, 'Y': 0.9199094176292419, 'Z': -7.014732545940205e-05}, {'X': 0.705919623374939, 'Y': 0.892019510269165, 'Z': -0.05119992420077324}, {'X': 0.6699279546737671, 'Y': 0.7901407480239868, 'Z': -0.07405517250299454}, {'X': 0.6586160063743591, 'Y': 0.6995909810066223, 'Z': -0.09507174789905548}, {'X': 0.639622151851654, 'Y': 0.6237196326255798, 'Z': -0.11723989248275757}, {'X': 0.7107326984405518, 'Y': 0.6698369383811951, 'Z': -0.04731789603829384}, {'X': 0.7045551538467407, 'Y': 0.5688685178756714, 'Z': -0.08704756945371628}, {'X': 0.7022426128387451, 'Y': 0.4952044188976288, 'Z': -0.12050488591194153}, {'X': 0.7042988538742065, 'Y': 0.425992488861084, 'Z': -0.14618858695030212}, {'X': 0.7519640326499939, 'Y': 0.6663036942481995, 'Z': -0.048799727112054825}, {'X': 0.7561023235321045, 'Y': 0.5526362657546997, 'Z': -0.07619450241327286}, {'X': 0.7594813704490662, 'Y': 0.4713350534439087, 'Z': -0.11161763966083527}, {'X': 0.7646175622940063, 'Y': 0.3976180851459503, 'Z': -0.1361774057149887}, {'X': 0.7904248833656311, 'Y': 0.6881600022315979, 'Z': -0.05504520609974861}, {'X': 0.8018830418586731, 'Y': 0.5794034004211426, 'Z': -0.08348368853330612}, {'X': 0.8073190450668335, 'Y': 0.5019782781600952, 'Z': -0.11893492937088013}, {'X': 0.810983419418335, 'Y': 0.4287411570549011, 'Z': -0.14669179916381836}, {'X': 0.8274494409561157, 'Y': 0.7310381531715393, 'Z': -0.06633404642343521}, {'X': 0.841587245464325, 'Y': 0.6566503643989563, 'Z': -0.0980282723903656}, {'X': 0.8519532680511475, 'Y': 0.6019297242164612, 'Z': -0.12517455220222473}, {'X': 0.8584001064300537, 'Y': 0.5435644388198853, 'Z': -0.1481875479221344}]
[{'X': 0.7711843848228455, 'Y': 0.9281435012817383, 'Z': -8.658029400976375e-05}, {'X': 0.7114022970199585, 'Y': 0.8968334794044495, 'Z': -0.04739004746079445}, {'X': 0.6795697808265686, 'Y': 0.7912760972976685, 'Z': -0.0685688704252243}, {'X': 0.6724966168403625, 'Y': 0.6991167068481445, 'Z': -0.08687777817249298}, {'X': 0.6534950733184814, 'Y': 0.6232811808586121, 'Z': -0.10727779567241669}, {'X': 0.7211934924125671, 'Y': 0.6730214953422546, 'Z': -0.041358038783073425}, {'X': 0.7168467044830322, 'Y': 0.5675350427627563, 'Z': -0.07531175762414932}, {'X': 0.7154172658920288, 'Y': 0.4961965084075928, 'Z': -0.10442877560853958}, {'X': 0.7179518342018127, 'Y': 0.42725569009780884, 'Z': -0.12729620933532715}, {'X': 0.7632284760475159, 'Y': 0.669640302658081, 'Z': -0.041786279529333115}, {'X': 0.7671977877616882, 'Y': 0.5540974736213684, 'Z': -0.06656933575868607}, {'X': 0.7712888717651367, 'Y': 0.472372829914093, 'Z': -0.10128670185804367}, {'X': 0.7776679396629333, 'Y': 0.39971792697906494, 'Z': -0.12662620842456818}, {'X': 0.8015756607055664, 'Y': 0.6915130019187927, 'Z': -0.04715578630566597}, {'X': 0.8109988570213318, 'Y': 0.5807130336761475, 'Z': -0.0730457454919815}, {'X': 0.8152759671211243, 'Y': 0.5017001628875732, 'Z': -0.10750332474708557}, {'X': 0.8182511925697327, 'Y': 0.428266316652298, 'Z': -0.13595303893089294}, {'X': 0.8388364911079407, 'Y': 0.7345210909843445, 'Z': -0.05595404654741287}, {'X': 0.8539307713508606, 'Y': 0.6543899178504944, 'Z': -0.08384586125612259}, {'X': 0.862842321395874, 'Y': 0.5998346209526062, 'Z': -0.10803373157978058}, {'X': 0.8675760626792908, 'Y': 0.5429744124412537, 'Z': -0.12939304113388062}]
[{'X': 0.7842730283737183, 'Y': 0.9086565971374512, 'Z': -8.689563401276246e-05}, {'X': 0.7256250977516174, 'Y': 0.8904670476913452, 'Z': -0.05095347762107849}, {'X': 0.6922286748886108, 'Y': 0.7913227677345276, 'Z': -0.07401178777217865}, {'X': 0.6841325759887695, 'Y': 0.7049293518066406, 'Z': -0.09501469135284424}, {'X': 0.6656288504600525, 'Y': 0.6298503875732422, 'Z': -0.118381567299366}, {'X': 0.7314348220825195, 'Y': 0.6748153567314148, 'Z': -0.05147146061062813}, {'X': 0.7294714450836182, 'Y': 0.5718074440956116, 'Z': -0.08867949992418289}, {'X': 0.7282662987709045, 'Y': 0.5009452104568481, 'Z': -0.11929792910814285}, {'X': 0.7295220494270325, 'Y': 0.4338887631893158, 'Z': -0.1431543529033661}, {'X': 0.7723364233970642, 'Y': 0.6724171042442322, 'Z': -0.05222335085272789}, {'X': 0.7794679403305054, 'Y': 0.5614383220672607, 'Z': -0.08094926923513412}, {'X': 0.7831095457077026, 'Y': 0.4819645285606384, 'Z': -0.11423792690038681}, {'X': 0.7877255082130432, 'Y': 0.40957707166671753, 'Z': -0.13927523791790009}, {'X': 0.8108500242233276, 'Y': 0.6948818564414978, 'Z': -0.05721234530210495}, {'X': 0.8231013417243958, 'Y': 0.586361289024353, 'Z': -0.0846564993262291}, {'X': 0.8282918930053711, 'Y': 0.5075566172599792, 'Z': -0.11822107434272766}, {'X': 0.8322663307189941, 'Y': 0.43449875712394714, 'Z': -0.14758525788784027}, {'X': 0.8478650450706482, 'Y': 0.7360586524009705, 'Z': -0.0667957067489624}, {'X': 0.8627737760543823, 'Y': 0.6619063019752502, 'Z': -0.09585914015769958}, {'X': 0.8728408813476562, 'Y': 0.6104821562767029, 'Z': -0.12043093889951706}, {'X': 0.8801273107528687, 'Y': 0.5559978485107422, 'Z': -0.1432380974292755}]
[{'X': 0.7914144396781921, 'Y': 0.9266030788421631, 'Z': -8.768049883656204e-05}, {'X': 0.7343395948410034, 'Y': 0.9002584218978882, 'Z': -0.04816463962197304}, {'X': 0.7033926248550415, 'Y': 0.7984756231307983, 'Z': -0.06850770115852356}, {'X': 0.6970548629760742, 'Y': 0.7114946842193604, 'Z': -0.08605988323688507}, {'X': 0.6802041530609131, 'Y': 0.6382228136062622, 'Z': -0.10516289621591568}, {'X': 0.745481550693512, 'Y': 0.6807918548583984, 'Z': -0.04532435163855553}, {'X': 0.7429990172386169, 'Y': 0.5760908722877502, 'Z': -0.08089552074670792}, {'X': 0.7425044775009155, 'Y': 0.5072777271270752, 'Z': -0.11009618639945984}, {'X': 0.7457097172737122, 'Y': 0.44042012095451355, 'Z': -0.1323009580373764}, {'X': 0.7863119840621948, 'Y': 0.6791142225265503, 'Z': -0.045907530933618546}, {'X': 0.7918598055839539, 'Y': 0.5669384002685547, 'Z': -0.07264744490385056}, {'X': 0.796549379825592, 'Y': 0.4886252284049988, 'Z': -0.10658609122037888}, {'X': 0.8031912446022034, 'Y': 0.41668978333473206, 'Z': -0.13221602141857147}, {'X': 0.8247527480125427, 'Y': 0.7015669941902161, 'Z': -0.051134806126356125}, {'X': 0.8334866166114807, 'Y': 0.5929388999938965, 'Z': -0.07903209328651428}, {'X': 0.8383619785308838, 'Y': 0.5145180821418762, 'Z': -0.11307752132415771}, {'X': 0.8426455855369568, 'Y': 0.44125139713287354, 'Z': -0.14183910191059113}, {'X': 0.8622815608978271, 'Y': 0.7435356974601746, 'Z': -0.05958355590701103}, {'X': 0.8769673109054565, 'Y': 0.6669958233833313, 'Z': -0.08815431594848633}, {'X': 0.8871946334838867, 'Y': 0.6151573657989502, 'Z': -0.11101686209440231}, {'X': 0.8939538598060608, 'Y': 0.5596468448638916, 'Z': -0.13185636699199677}]
[{'X': 0.8065515756607056, 'Y': 0.9026086330413818, 'Z': -6.797759124310687e-05}, {'X': 0.7504573464393616, 'Y': 0.8863494992256165, 'Z': -0.05556940659880638}, {'X': 0.718923807144165, 'Y': 0.7938874959945679, 'Z': -0.08385316282510757}, {'X': 0.7099223732948303, 'Y': 0.7111737728118896, 'Z': -0.1083148717880249}, {'X': 0.6908264756202698, 'Y': 0.6365251541137695, 'Z': -0.13774794340133667}, {'X': 0.7543009519577026, 'Y': 0.6872708201408386, 'Z': -0.06914713233709335}, {'X': 0.7532462477684021, 'Y': 0.5862159132957458, 'Z': -0.11516772210597992}, {'X': 0.7562246322631836, 'Y': 0.5156288743019104, 'Z': -0.15263855457305908}, {'X': 0.7617961168289185, 'Y': 0.4479215145111084, 'Z': -0.17956890165805817}, {'X': 0.7944310903549194, 'Y': 0.6865562796592712, 'Z': -0.06922353804111481}, {'X': 0.8037825226783752, 'Y': 0.578425407409668, 'Z': -0.10656677186489105}, {'X': 0.8103646636009216, 'Y': 0.5009000301361084, 'Z': -0.1443563997745514}, {'X': 0.817898154258728, 'Y': 0.42676806449890137, 'Z': -0.17357641458511353}, {'X': 0.8326469659805298, 'Y': 0.7109782099723816, 'Z': -0.07261769473552704}, {'X': 0.8482252955436707, 'Y': 0.6031522750854492, 'Z': -0.1037261039018631}, {'X': 0.8574649691581726, 'Y': 0.5248560905456543, 'Z': -0.13979750871658325}, {'X': 0.865088701248169, 'Y': 0.45139074325561523, 'Z': -0.17255321145057678}, {'X': 0.8690443634986877, 'Y': 0.7522517442703247, 'Z': -0.0812494307756424}, {'X': 0.8859471082687378, 'Y': 0.6798041462898254, 'Z': -0.11112228780984879}, {'X': 0.8998039364814758, 'Y': 0.6283437609672546, 'Z': -0.13597755134105682}, {'X': 0.9117966890335083, 'Y': 0.5723400115966797, 'Z': -0.1606016606092453}]
[{'X': 0.8118500113487244, 'Y': 0.9156371355056763, 'Z': -5.099385089124553e-05}, {'X': 0.7558369636535645, 'Y': 0.8912361264228821, 'Z': -0.056922681629657745}, {'X': 0.7263119220733643, 'Y': 0.7948287725448608, 'Z': -0.08421120047569275}, {'X': 0.7202966809272766, 'Y': 0.7117171287536621, 'Z': -0.10796447843313217}, {'X': 0.7041774988174438, 'Y': 0.637438178062439, 'Z': -0.13631534576416016}, {'X': 0.7653380036354065, 'Y': 0.6822249293327332, 'Z': -0.052518680691719055}, {'X': 0.7666876912117004, 'Y': 0.580335259437561, 'Z': -0.09108278900384903}, {'X': 0.7696355581283569, 'Y': 0.5094544291496277, 'Z': -0.12482534348964691}, {'X': 0.7763067483901978, 'Y': 0.44117093086242676, 'Z': -0.1493084877729416}, {'X': 0.806364893913269, 'Y': 0.6827576160430908, 'Z': -0.05107152462005615}, {'X': 0.8152053356170654, 'Y': 0.5767654180526733, 'Z': -0.08286863565444946}, {'X': 0.8221902251243591, 'Y': 0.4976041913032532, 'Z': -0.11980750411748886}, {'X': 0.8304800391197205, 'Y': 0.4235840141773224, 'Z': -0.14624549448490143}, {'X': 0.84482342004776, 'Y': 0.7075300216674805, 'Z': -0.05482674390077591}, {'X': 0.8581846356391907, 'Y': 0.6016818284988403, 'Z': -0.08427402377128601}, {'X': 0.8657294511795044, 'Y': 0.5245256423950195, 'Z': -0.12169534713029861}, {'X': 0.8717681169509888, 'Y': 0.4518350660800934, 'Z': -0.1516992449760437}, {'X': 0.8819648027420044, 'Y': 0.7499123215675354, 'Z': -0.06337597221136093}, {'X': 0.8998594284057617, 'Y': 0.6758275032043457, 'Z': -0.093589648604393}, {'X': 0.9107184410095215, 'Y': 0.62522292137146, 'Z': -0.11826800554990768}, {'X': 0.9176321029663086, 'Y': 0.5713481307029724, 'Z': -0.13977926969528198}]
[{'X': 0.8102460503578186, 'Y': 0.9453127980232239, 'Z': -6.77924181218259e-05}, {'X': 0.7552856206893921, 'Y': 0.8970661759376526, 'Z': -0.042234256863594055}, {'X': 0.7272564172744751, 'Y': 0.787542462348938, 'Z': -0.05524684116244316}, {'X': 0.7241525650024414, 'Y': 0.6946499943733215, 'Z': -0.06712374836206436}, {'X': 0.7126153111457825, 'Y': 0.623786211013794, 'Z': -0.07857400923967361}, {'X': 0.7732238173484802, 'Y': 0.674692690372467, 'Z': -0.019943898543715477}, {'X': 0.7720008492469788, 'Y': 0.5680115818977356, 'Z': -0.04124432057142258}, {'X': 0.7753440141677856, 'Y': 0.5019442439079285, 'Z': -0.06167614087462425}, {'X': 0.7829643487930298, 'Y': 0.44152191281318665, 'Z': -0.07928933948278427}, {'X': 0.8144562840461731, 'Y': 0.6730688214302063, 'Z': -0.018460486084222794}, {'X': 0.8224708437919617, 'Y': 0.5536085367202759, 'Z': -0.030237743631005287}, {'X': 0.8304305076599121, 'Y': 0.48078176379203796, 'Z': -0.056887585669755936}, {'X': 0.8403019905090332, 'Y': 0.4146486520767212, 'Z': -0.07855162769556046}, {'X': 0.8508572578430176, 'Y': 0.6960899233818054, 'Z': -0.021847780793905258}, {'X': 0.8639265894889832, 'Y': 0.5841137766838074, 'Z': -0.038010578602552414}, {'X': 0.8729343414306641, 'Y': 0.5110952258110046, 'Z': -0.06686480343341827}, {'X': 0.880950927734375, 'Y': 0.4455666244029999, 'Z': -0.08962928503751755}, {'X': 0.8853312134742737, 'Y': 0.7402554750442505, 'Z': -0.028279395774006844}, {'X': 0.9034016132354736, 'Y': 0.6627890467643738, 'Z': -0.05068865790963173}, {'X': 0.9157272577285767, 'Y': 0.6119856834411621, 'Z': -0.07030466943979263}, {'X': 0.9247246384620667, 'Y': 0.5596902966499329, 'Z': -0.0879746600985527}]
