[{'X': 0.6992337107658386, 'Y': 0.7273894548416138, 'Z': -5.258473538560793e-05}, {'X': 0.6472580432891846, 'Y': 0.7043501734733582, 'Z': -0.022349078208208084}, {'X': 0.6053900122642517, 'Y': 0.6534993052482605, 'Z': -0.029858309775590897}, {'X': 0.5789937973022461, 'Y': 0.6065177321434021, 'Z': -0.04165112227201462}, {'X': 0.555651068687439, 'Y': 0.5807863473892212, 'Z': -0.05265946313738823}, {'X': 0.6448636651039124, 'Y': 0.5595965385437012, 'Z': 0.00814043078571558}, {'X': 0.6258924007415771, 'Y': 0.49200618267059326, 'Z': 0.0011660229647532105}, {'X': 0.6155523657798767, 'Y': 0.45257070660591125, 'Z': -0.007590563502162695}, {'X': 0.6075244545936584, 'Y': 0.41943031549453735, 'Z': -0.01672254502773285}, {'X': 0.6790179014205933, 'Y': 0.5511407256126404, 'Z': 0.007213194854557514}, {'X': 0.6788918375968933, 'Y': 0.4791334569454193, 'Z': 0.012970552779734135}, {'X': 0.6793264746665955, 'Y': 0.43722450733184814, 'Z': 0.0020799681078642607}, {'X': 0.6797403693199158, 'Y': 0.40136706829071045, 'Z': -0.009071454405784607}, {'X': 0.7098104953765869, 'Y': 0.5605641007423401, 'Z': 0.001207171706482768}, {'X': 0.7171474099159241, 'Y': 0.49536246061325073, 'Z': -0.00016151827003341168}, {'X': 0.7208252549171448, 'Y': 0.4574015438556671, 'Z': -0.01290941797196865}, {'X': 0.7209264039993286, 'Y': 0.42373037338256836, 'Z': -0.023856038227677345}, {'X': 0.7391538023948669, 'Y': 0.5831223130226135, 'Z': -0.008593892678618431}, {'X': 0.7558825612068176, 'Y': 0.5359416604042053, 'Z': -0.019847938790917397}, {'X': 0.7655905485153198, 'Y': 0.5084596872329712, 'Z': -0.03236816078424454}, {'X': 0.7712251543998718, 'Y': 0.48151829838752747, 'Z': -0.04097449406981468}]
[{'X': 0.6705813407897949, 'Y': 0.7004764080047607, 'Z': -2.4817389203235507e-05}, {'X': 0.6194843649864197, 'Y': 0.682070255279541, 'Z': -0.01749967411160469}, {'X': 0.5793665647506714, 'Y': 0.6445124745368958, 'Z': -0.024922247976064682}, {'X': 0.5560909509658813, 'Y': 0.603079080581665, 'Z': -0.03490353003144264}, {'X': 0.5394445657730103, 'Y': 0.5740411877632141, 'Z': -0.0442715547978878}, {'X': 0.6155067682266235, 'Y': 0.5629996657371521, 'Z': 0.01354178786277771}, {'X': 0.603341281414032, 'Y': 0.51003497838974, 'Z': 0.010970034636557102}, {'X': 0.5977767109870911, 'Y': 0.48165208101272583, 'Z': 0.002124446677044034}, {'X': 0.5946706533432007, 'Y': 0.4600256681442261, 'Z': -0.00644678995013237}, {'X': 0.6474751234054565, 'Y': 0.5546543002128601, 'Z': 0.014289244078099728}, {'X': 0.6473986506462097, 'Y': 0.495058536529541, 'Z': 0.019352534785866737}, {'X': 0.648736298084259, 'Y': 0.4576984643936157, 'Z': 0.009511205367743969}, {'X': 0.650800883769989, 'Y': 0.4267551898956299, 'Z': -0.0006485810736194253}, {'X': 0.6770000457763672, 'Y': 0.5638121962547302, 'Z': 0.009436078369617462}, {'X': 0.6839309334754944, 'Y': 0.5139280557632446, 'Z': 0.011345712468028069}, {'X': 0.6867942214012146, 'Y': 0.49137991666793823, 'Z': -0.0007343128090724349}, {'X': 0.6879867911338806, 'Y': 0.4747249484062195, 'Z': -0.014024494215846062}, {'X': 0.7061075568199158, 'Y': 0.5826173424720764, 'Z': 0.003249602857977152}, {'X': 0.7207630276679993, 'Y': 0.5469483137130737, 'Z': -0.00317386700771749}, {'X': 0.7269510626792908, 'Y': 0.5280199646949768, 'Z': -0.015521562658250332}, {'X': 0.7293987274169922, 'Y': 0.5121569633483887, 'Z': -0.02771659381687641}]
[{'X': 0.6748997569084167, 'Y': 0.7031168937683105, 'Z': -3.116328298347071e-05}, {'X': 0.6227142214775085, 'Y': 0.6860579252243042, 'Z': -0.023055437952280045}, {'X': 0.5810704827308655, 'Y': 0.6475332379341125, 'Z': -0.033229462802410126}, {'X': 0.5567564964294434, 'Y': 0.605255663394928, 'Z': -0.04585092514753342}, {'X': 0.53739994764328, 'Y': 0.5765119194984436, 'Z': -0.057762183248996735}, {'X': 0.6145843863487244, 'Y': 0.5616496205329895, 'Z': 0.0050234622322022915}, {'X': 0.598289430141449, 'Y': 0.5059701204299927, 'Z': 0.0025777786504477262}, {'X': 0.5921082496643066, 'Y': 0.4745802879333496, 'Z': -0.0038996869698166847}, {'X': 0.5881800651550293, 'Y': 0.44653457403182983, 'Z': -0.010836079716682434}, {'X': 0.6469020247459412, 'Y': 0.552381694316864, 'Z': 0.006775921676307917}, {'X': 0.6469123363494873, 'Y': 0.49114990234375, 'Z': 0.01158104371279478}, {'X': 0.6485552191734314, 'Y': 0.4524969458580017, 'Z': 0.0003578040050342679}, {'X': 0.6502838730812073, 'Y': 0.41916200518608093, 'Z': -0.010770397260785103}, {'X': 0.6768555641174316, 'Y': 0.5617436170578003, 'Z': 0.0037910672836005688}, {'X': 0.6823752522468567, 'Y': 0.5094027519226074, 'Z': 0.005361984018236399}, {'X': 0.6842053532600403, 'Y': 0.48033034801483154, 'Z': -0.0057540046982467175}, {'X': 0.6833051443099976, 'Y': 0.45607954263687134, 'Z': -0.018906714394688606}, {'X': 0.7071218490600586, 'Y': 0.5816072225570679, 'Z': -0.0017652653623372316}, {'X': 0.7223974466323853, 'Y': 0.5456119775772095, 'Z': -0.009875905700027943}, {'X': 0.729418158531189, 'Y': 0.5290297865867615, 'Z': -0.02277311310172081}, {'X': 0.7322069406509399, 'Y': 0.5140987634658813, 'Z': -0.034913916140794754}]
[{'X': 0.681844174861908, 'Y': 0.7145735025405884, 'Z': -2.731751919782255e-05}, {'X': 0.6263355016708374, 'Y': 0.690446674823761, 'Z': -0.022375456988811493}, {'X': 0.5830047726631165, 'Y': 0.6497934460639954, 'Z': -0.029938912019133568}, {'X': 0.5551745295524597, 'Y': 0.6083914041519165, 'Z': -0.04210587218403816}, {'X': 0.5344911813735962, 'Y': 0.5781238675117493, 'Z': -0.05118788778781891}, {'X': 0.6169655919075012, 'Y': 0.5595360994338989, 'Z': 0.017827920615673065}, {'X': 0.5946807861328125, 'Y': 0.5017607808113098, 'Z': 0.01680024340748787}, {'X': 0.5846536755561829, 'Y': 0.4677720069885254, 'Z': 0.010004615411162376}, {'X': 0.5780497789382935, 'Y': 0.4370264410972595, 'Z': 0.002223540563136339}, {'X': 0.6506385207176208, 'Y': 0.5508400201797485, 'Z': 0.022285912185907364}, {'X': 0.6505047678947449, 'Y': 0.48943185806274414, 'Z': 0.03490818291902542}, {'X': 0.65162193775177, 'Y': 0.45301684737205505, 'Z': 0.027883902192115784}, {'X': 0.6513386368751526, 'Y': 0.42102959752082825, 'Z': 0.019057460129261017}, {'X': 0.6807224154472351, 'Y': 0.5591288805007935, 'Z': 0.020861102268099785}, {'X': 0.6881806254386902, 'Y': 0.505445659160614, 'Z': 0.028989434242248535}, {'X': 0.6901691555976868, 'Y': 0.4741975963115692, 'Z': 0.02298571728169918}, {'X': 0.6872204542160034, 'Y': 0.44779255986213684, 'Z': 0.015836862847208977}, {'X': 0.7101399898529053, 'Y': 0.5775129795074463, 'Z': 0.01631251722574234}, {'X': 0.7264981269836426, 'Y': 0.5397905707359314, 'Z': 0.012788299471139908}, {'X': 0.7345167994499207, 'Y': 0.5190194845199585, 'Z': 0.004342104308307171}, {'X': 0.7375290989875793, 'Y': 0.4984855651855469, 'Z': -0.002026577480137348}]
[{'X': 0.6817941665649414, 'Y': 0.7063217163085938, 'Z': -2.7195632355869748e-05}, {'X': 0.6286914348602295, 'Y': 0.6856521964073181, 'Z': -0.022859938442707062}, {'X': 0.5871265530586243, 'Y': 0.6403293609619141, 'Z': -0.02854883298277855}, {'X': 0.5613929629325867, 'Y': 0.598523736000061, 'Z': -0.036823853850364685}, {'X': 0.5402663350105286, 'Y': 0.5732876658439636, 'Z': -0.04544409364461899}, {'X': 0.6232264041900635, 'Y': 0.5533496737480164, 'Z': 0.009553050622344017}, {'X': 0.600601851940155, 'Y': 0.4983772039413452, 'Z': 0.003356934990733862}, {'X': 0.5887117981910706, 'Y': 0.46745121479034424, 'Z': -0.007095367182046175}, {'X': 0.580416202545166, 'Y': 0.43927499651908875, 'Z': -0.017216863110661507}, {'X': 0.6562121510505676, 'Y': 0.5447832942008972, 'Z': 0.013139955699443817}, {'X': 0.6559998393058777, 'Y': 0.48370683193206787, 'Z': 0.02130133844912052}, {'X': 0.6579597592353821, 'Y': 0.447390615940094, 'Z': 0.011841095052659512}, {'X': 0.6596789360046387, 'Y': 0.41428661346435547, 'Z': 0.0026675891131162643}, {'X': 0.685625433921814, 'Y': 0.5547451376914978, 'Z': 0.011903657577931881}, {'X': 0.6936066150665283, 'Y': 0.5018409490585327, 'Z': 0.014942169189453125}, {'X': 0.6980756521224976, 'Y': 0.4705873429775238, 'Z': 0.005028373561799526}, {'X': 0.69891756772995, 'Y': 0.4433043599128723, 'Z': -0.004128271713852882}, {'X': 0.7141783237457275, 'Y': 0.5756624937057495, 'Z': 0.007022774778306484}, {'X': 0.7309622168540955, 'Y': 0.5398261547088623, 'Z': -0.0002043955901172012}, {'X': 0.7396416068077087, 'Y': 0.5201566815376282, 'Z': -0.012512294575572014}, {'X': 0.7439297437667847, 'Y': 0.5026949644088745, 'Z': -0.02231382392346859}]
[{'X': 0.6873048543930054, 'Y': 0.707517147064209, 'Z': -5.375603723223321e-05}, {'X': 0.6334884762763977, 'Y': 0.6899468302726746, 'Z': -0.02048611268401146}, {'X': 0.5886350870132446, 'Y': 0.6451258063316345, 'Z': -0.023146435618400574}, {'X': 0.5607573986053467, 'Y': 0.6029397249221802, 'Z': -0.029818475246429443}, {'X': 0.5410337448120117, 'Y': 0.5774456262588501, 'Z': -0.034015901386737823}, {'X': 0.6254206895828247, 'Y': 0.553591787815094, 'Z': 0.020587224513292313}, {'X': 0.6017205119132996, 'Y': 0.4936179220676422, 'Z': 0.02117885835468769}, {'X': 0.5895891189575195, 'Y': 0.4623439311981201, 'Z': 0.01654904894530773}, {'X': 0.5808060169219971, 'Y': 0.4348222017288208, 'Z': 0.009169640019536018}, {'X': 0.6583049893379211, 'Y': 0.544739842414856, 'Z': 0.02551366202533245}, {'X': 0.6568443775177002, 'Y': 0.48270079493522644, 'Z': 0.039816319942474365}, {'X': 0.6578649878501892, 'Y': 0.44655388593673706, 'Z': 0.0346606969833374}, {'X': 0.6575956344604492, 'Y': 0.41438180208206177, 'Z': 0.028323572129011154}, {'X': 0.6876813173294067, 'Y': 0.5543888807296753, 'Z': 0.024756042286753654}, {'X': 0.6936444640159607, 'Y': 0.49969375133514404, 'Z': 0.033487796783447266}, {'X': 0.6965588927268982, 'Y': 0.4665941596031189, 'Z': 0.028672238811850548}, {'X': 0.6950352787971497, 'Y': 0.4386075735092163, 'Z': 0.022631008177995682}, {'X': 0.7166517972946167, 'Y': 0.5747364163398743, 'Z': 0.020777195692062378}, {'X': 0.7317027449607849, 'Y': 0.5376809239387512, 'Z': 0.017507536336779594}, {'X': 0.7409186959266663, 'Y': 0.5189384818077087, 'Z': 0.007618806790560484}, {'X': 0.7462518215179443, 'Y': 0.501998782157898, 'Z': 0.00040063454071059823}]
[{'X': 0.6985710859298706, 'Y': 0.7140908241271973, 'Z': -6.127983215264976e-05}, {'X': 0.6399500966072083, 'Y': 0.692891538143158, 'Z': -0.016074800863862038}, {'X': 0.5944980978965759, 'Y': 0.6471713185310364, 'Z': -0.01786338910460472}, {'X': 0.5652934908866882, 'Y': 0.6030570268630981, 'Z': -0.026160428300499916}, {'X': 0.5436974167823792, 'Y': 0.5775377750396729, 'Z': -0.03247091546654701}, {'X': 0.6292629837989807, 'Y': 0.5539942383766174, 'Z': 0.03527400270104408}, {'X': 0.6080855131149292, 'Y': 0.49504125118255615, 'Z': 0.03700053691864014}, {'X': 0.595502495765686, 'Y': 0.46304988861083984, 'Z': 0.03244980797171593}, {'X': 0.5866363644599915, 'Y': 0.4362815320491791, 'Z': 0.027296826243400574}, {'X': 0.6630246043205261, 'Y': 0.542592465877533, 'Z': 0.03605048358440399}, {'X': 0.6585525274276733, 'Y': 0.4788787364959717, 'Z': 0.05549047887325287}, {'X': 0.6556073427200317, 'Y': 0.4415987432003021, 'Z': 0.053553979843854904}, {'X': 0.6546647548675537, 'Y': 0.41047561168670654, 'Z': 0.04858770966529846}, {'X': 0.694317102432251, 'Y': 0.548733651638031, 'Z': 0.029962293803691864}, {'X': 0.695772647857666, 'Y': 0.494999498128891, 'Z': 0.041764888912439346}, {'X': 0.6967189908027649, 'Y': 0.46244359016418457, 'Z': 0.036972034722566605}, {'X': 0.6947569251060486, 'Y': 0.4353254437446594, 'Z': 0.03006751649081707}, {'X': 0.7261423468589783, 'Y': 0.5658009052276611, 'Z': 0.019635813310742378}, {'X': 0.7368520498275757, 'Y': 0.5226075053215027, 'Z': 0.021159378811717033}, {'X': 0.7435829043388367, 'Y': 0.49688833951950073, 'Z': 0.015395602211356163}, {'X': 0.74749755859375, 'Y': 0.4720785915851593, 'Z': 0.011890746653079987}]
[{'X': 0.6964348554611206, 'Y': 0.7131661176681519, 'Z': -4.173973502474837e-05}, {'X': 0.6404589414596558, 'Y': 0.6922332048416138, 'Z': -0.023212451487779617}, {'X': 0.5973912477493286, 'Y': 0.6435492038726807, 'Z': -0.029122674837708473}, {'X': 0.5699310302734375, 'Y': 0.5980920791625977, 'Z': -0.03947186842560768}, {'X': 0.546384871006012, 'Y': 0.5713944435119629, 'Z': -0.05040552839636803}, {'X': 0.6346615552902222, 'Y': 0.5499106049537659, 'Z': 0.012004012241959572}, {'X': 0.6119450330734253, 'Y': 0.49183714389801025, 'Z': 0.007583944126963615}, {'X': 0.5993803143501282, 'Y': 0.4584803581237793, 'Z': -0.001964863622561097}, {'X': 0.5895514488220215, 'Y': 0.42768505215644836, 'Z': -0.012088055722415447}, {'X': 0.6685783267021179, 'Y': 0.5410246253013611, 'Z': 0.015080077573657036}, {'X': 0.6675869822502136, 'Y': 0.4805926978588104, 'Z': 0.026468949392437935}, {'X': 0.6674902439117432, 'Y': 0.4423142075538635, 'Z': 0.017696917057037354}, {'X': 0.6661785244941711, 'Y': 0.40824106335639954, 'Z': 0.007488078437745571}, {'X': 0.6991719603538513, 'Y': 0.5513620972633362, 'Z': 0.012529216706752777}, {'X': 0.7058600187301636, 'Y': 0.49739837646484375, 'Z': 0.019283322617411613}, {'X': 0.7081136703491211, 'Y': 0.46391457319259644, 'Z': 0.011874650605022907}, {'X': 0.7062527537345886, 'Y': 0.4356761872768402, 'Z': 0.0034206032287329435}, {'X': 0.7290338277816772, 'Y': 0.5729963183403015, 'Z': 0.006865301169455051}, {'X': 0.7448347210884094, 'Y': 0.533962070941925, 'Z': 0.0012045467738062143}, {'X': 0.7537990212440491, 'Y': 0.5121574997901917, 'Z': -0.009453600272536278}, {'X': 0.7580490112304688, 'Y': 0.49259498715400696, 'Z': -0.01752154529094696}]
[{'X': 0.7017207145690918, 'Y': 0.7227902412414551, 'Z': -5.0979007937712595e-05}, {'X': 0.647133469581604, 'Y': 0.697494387626648, 'Z': -0.021998420357704163}, {'X': 0.6031463742256165, 'Y': 0.6451772451400757, 'Z': -0.02618221566081047}, {'X': 0.5728067755699158, 'Y': 0.5972990393638611, 'Z': -0.03523184359073639}, {'X': 0.5468189716339111, 'Y': 0.5735800862312317, 'Z': -0.04590249061584473}, {'X': 0.6423181295394897, 'Y': 0.5487459301948547, 'Z': 0.022300507873296738}, {'X': 0.6204884648323059, 'Y': 0.4908653199672699, 'Z': 0.022603714838624}, {'X': 0.6081100702285767, 'Y': 0.4563538432121277, 'Z': 0.014199968427419662}, {'X': 0.5980884432792664, 'Y': 0.4257800579071045, 'Z': 0.004179141018539667}, {'X': 0.6758151054382324, 'Y': 0.5408035516738892, 'Z': 0.02561688981950283}, {'X': 0.6717267632484436, 'Y': 0.4788862466812134, 'Z': 0.03841736167669296}, {'X': 0.6705693006515503, 'Y': 0.43994730710983276, 'Z': 0.029995009303092957}, {'X': 0.6684359908103943, 'Y': 0.40571027994155884, 'Z': 0.022869257256388664}, {'X': 0.7067261338233948, 'Y': 0.5513854622840881, 'Z': 0.023360971361398697}, {'X': 0.7112508416175842, 'Y': 0.49576878547668457, 'Z': 0.033328186720609665}, {'X': 0.7128310203552246, 'Y': 0.4627459943294525, 'Z': 0.02657625451683998}, {'X': 0.7112554907798767, 'Y': 0.43490707874298096, 'Z': 0.019360799342393875}, {'X': 0.7365089058876038, 'Y': 0.5731461048126221, 'Z': 0.016842592507600784}, {'X': 0.7508595585823059, 'Y': 0.5337713956832886, 'Z': 0.015334440395236015}, {'X': 0.759484052658081, 'Y': 0.5102415084838867, 'Z': 0.005272888112813234}, {'X': 0.763929545879364, 'Y': 0.48768335580825806, 'Z': -0.0030480269342660904}]
[{'X': 0.7004207968711853, 'Y': 0.7266461849212646, 'Z': -6.780163676012307e-05}, {'X': 0.6474103331565857, 'Y': 0.7017077207565308, 'Z': -0.0226511862128973}, {'X': 0.6037224531173706, 'Y': 0.6481592655181885, 'Z': -0.026825249195098877}, {'X': 0.5751158595085144, 'Y': 0.6014958024024963, 'Z': -0.03580312058329582}, {'X': 0.5516207814216614, 'Y': 0.5753321051597595, 'Z': -0.0475221648812294}, {'X': 0.6447823643684387, 'Y': 0.5525669455528259, 'Z': 0.0149350231513381}, {'X': 0.6235085725784302, 'Y': 0.49398910999298096, 'Z': 0.011632788926362991}, {'X': 0.6110740303993225, 'Y': 0.4579852819442749, 'Z': 0.0028608643915504217}, {'X': 0.6003647446632385, 'Y': 0.4261631667613983, 'Z': -0.006830647587776184}, {'X': 0.6804291009902954, 'Y': 0.5443817377090454, 'Z': 0.018266795203089714}, {'X': 0.6786980628967285, 'Y': 0.48109227418899536, 'Z': 0.026944153010845184}, {'X': 0.6783577799797058, 'Y': 0.4417811632156372, 'Z': 0.015766849741339684}, {'X': 0.6763920783996582, 'Y': 0.40889039635658264, 'Z': 0.007429912686347961}, {'X': 0.7122930288314819, 'Y': 0.5552385449409485, 'Z': 0.015848226845264435}, {'X': 0.7195185422897339, 'Y': 0.49812960624694824, 'Z': 0.020685147494077682}, {'X': 0.7214092016220093, 'Y': 0.4628612995147705, 'Z': 0.008200366981327534}, {'X': 0.7197184562683105, 'Y': 0.43340012431144714, 'Z': -0.00343668763525784}, {'X': 0.7422387003898621, 'Y': 0.5783820152282715, 'Z': 0.010519679635763168}, {'X': 0.7583999633789062, 'Y': 0.5397302508354187, 'Z': 0.006196022965013981}, {'X': 0.7682093977928162, 'Y': 0.5150172114372253, 'Z': -0.007796304766088724}, {'X': 0.77369624376297, 'Y': 0.492620050907135, 'Z': -0.018447523936629295}]
[{'X': 0.7084055542945862, 'Y': 0.7272206544876099, 'Z': -5.8803892898140475e-05}, {'X': 0.6526779532432556, 'Y': 0.702450156211853, 'Z': -0.020699020475149155}, {'X': 0.607786238193512, 'Y': 0.6478113532066345, 'Z': -0.02101178467273712}, {'X': 0.5787434577941895, 'Y': 0.6002422571182251, 'Z': -0.02834474854171276}, {'X': 0.5523874759674072, 'Y': 0.5770805478096008, 'Z': -0.035417258739471436}, {'X': 0.6455270051956177, 'Y': 0.5495908856391907, 'Z': 0.02722291275858879}, {'X': 0.6240283250808716, 'Y': 0.4867837429046631, 'Z': 0.030100230127573013}, {'X': 0.6125316619873047, 'Y': 0.45033159852027893, 'Z': 0.02648348920047283}, {'X': 0.6033559441566467, 'Y': 0.4176669716835022, 'Z': 0.01894136145710945}, {'X': 0.680892288684845, 'Y': 0.5422491431236267, 'Z': 0.029381893575191498}, {'X': 0.6798430681228638, 'Y': 0.47680288553237915, 'Z': 0.04270978644490242}, {'X': 0.6793110370635986, 'Y': 0.43682175874710083, 'Z': 0.03452112153172493}, {'X': 0.6776999235153198, 'Y': 0.40220755338668823, 'Z': 0.026779768988490105}, {'X': 0.7116830945014954, 'Y': 0.5531217455863953, 'Z': 0.025944909080863}, {'X': 0.7198933362960815, 'Y': 0.4962701201438904, 'Z': 0.034502509981393814}, {'X': 0.7208725214004517, 'Y': 0.4617375135421753, 'Z': 0.027122389525175095}, {'X': 0.7184486389160156, 'Y': 0.43236732482910156, 'Z': 0.018587790429592133}, {'X': 0.7405523657798767, 'Y': 0.5757521390914917, 'Z': 0.018525298684835434}, {'X': 0.7582966685295105, 'Y': 0.537386417388916, 'Z': 0.014984956942498684}, {'X': 0.7671629786491394, 'Y': 0.5165201425552368, 'Z': 0.004402266349643469}, {'X': 0.7720539569854736, 'Y': 0.4976732134819031, 'Z': -0.0036567440256476402}]
