[{'X': 0.5875799655914307, 'Y': 0.7731391191482544, 'Z': -5.869684900972061e-05}, {'X': 0.5413508415222168, 'Y': 0.7544096112251282, 'Z': -0.021891124546527863}, {'X': 0.5025892853736877, 'Y': 0.7081431150436401, 'Z': -0.031606100499629974}, {'X': 0.48931407928466797, 'Y': 0.6578176617622375, 'Z': -0.043650008738040924}, {'X': 0.4961002469062805, 'Y': 0.6214809417724609, 'Z': -0.04538612812757492}, {'X': 0.5126193165779114, 'Y': 0.6214681267738342, 'Z': 0.008133208379149437}, {'X': 0.48398929834365845, 'Y': 0.5599654912948608, 'Z': 0.00224790396168828}, {'X': 0.4652986526489258, 'Y': 0.5309167504310608, 'Z': -0.005373397842049599}, {'X': 0.44884395599365234, 'Y': 0.5072535276412964, 'Z': -0.013531510718166828}, {'X': 0.5431603193283081, 'Y': 0.6058591604232788, 'Z': 0.007294722367078066}, {'X': 0.5385053157806396, 'Y': 0.5301157832145691, 'Z': 0.013888523913919926}, {'X': 0.5337970852851868, 'Y': 0.4914402365684509, 'Z': 0.009992074221372604}, {'X': 0.5290253162384033, 'Y': 0.46002376079559326, 'Z': 0.004333100281655788}, {'X': 0.5683072805404663, 'Y': 0.6071752309799194, 'Z': 0.0010950940195471048}, {'X': 0.5634768605232239, 'Y': 0.5390841364860535, 'Z': 0.005633219610899687}, {'X': 0.5575382113456726, 'Y': 0.5018545985221863, 'Z': -0.0003770167531911284}, {'X': 0.5497211813926697, 'Y': 0.4704086482524872, 'Z': -0.008369763381779194}, {'X': 0.592400312423706, 'Y': 0.6178461313247681, 'Z': -0.009297404438257217}, {'X': 0.5854580998420715, 'Y': 0.565647304058075, 'Z': -0.008193851448595524}, {'X': 0.5782350897789001, 'Y': 0.5389284491539001, 'Z': -0.0132520766928792}, {'X': 0.570454478263855, 'Y': 0.5150446891784668, 'Z': -0.01627960614860058}]
[{'X': 0.6025394201278687, 'Y': 0.7392944097518921, 'Z': -4.645123044610955e-05}, {'X': 0.5604629516601562, 'Y': 0.7048614621162415, 'Z': -0.012075334787368774}, {'X': 0.5347210764884949, 'Y': 0.6517086625099182, 'Z': -0.010636745020747185}, {'X': 0.535286009311676, 'Y': 0.6017078757286072, 'Z': -0.008468766696751118}, {'X': 0.5386197566986084, 'Y': 0.5737395882606506, 'Z': 0.004284610506147146}, {'X': 0.525620698928833, 'Y': 0.5991725921630859, 'Z': -0.002300708554685116}, {'X': 0.5030096173286438, 'Y': 0.5408436059951782, 'Z': -0.007166875060647726}, {'X': 0.4901309013366699, 'Y': 0.5114063620567322, 'Z': -0.012054038234055042}, {'X': 0.4780746102333069, 'Y': 0.4853284955024719, 'Z': -0.016510283574461937}, {'X': 0.55356764793396, 'Y': 0.5837944149971008, 'Z': -0.0017265966162085533}, {'X': 0.5493789315223694, 'Y': 0.5100104808807373, 'Z': 0.003534375922754407}, {'X': 0.5473589897155762, 'Y': 0.4750211238861084, 'Z': 0.0024606746155768633}, {'X': 0.5452233552932739, 'Y': 0.4487459659576416, 'Z': -0.0005977500695735216}, {'X': 0.5779505968093872, 'Y': 0.5826056003570557, 'Z': -0.0050042178481817245}, {'X': 0.5720069408416748, 'Y': 0.5193555951118469, 'Z': -0.0036516976542770863}, {'X': 0.5695793032646179, 'Y': 0.4868493974208832, 'Z': -0.007718877866864204}, {'X': 0.5665162205696106, 'Y': 0.4594966471195221, 'Z': -0.013509715907275677}, {'X': 0.6012721061706543, 'Y': 0.5914876461029053, 'Z': -0.011038713157176971}, {'X': 0.5871842503547668, 'Y': 0.547836422920227, 'Z': -0.013010308146476746}, {'X': 0.5757995247840881, 'Y': 0.5349885821342468, 'Z': -0.015217488631606102}, {'X': 0.5673906207084656, 'Y': 0.5239579081535339, 'Z': -0.01592976227402687}]
[{'X': 0.6028499603271484, 'Y': 0.7372412085533142, 'Z': -5.135902392794378e-05}, {'X': 0.5592325329780579, 'Y': 0.7107564210891724, 'Z': -0.024379916489124298}, {'X': 0.5279754400253296, 'Y': 0.658329963684082, 'Z': -0.031626977026462555}, {'X': 0.5238500237464905, 'Y': 0.6023167371749878, 'Z': -0.03820796310901642}, {'X': 0.5287252068519592, 'Y': 0.5677527189254761, 'Z': -0.035505712032318115}, {'X': 0.5225616097450256, 'Y': 0.5945172905921936, 'Z': -0.0003995584265794605}, {'X': 0.4997886121273041, 'Y': 0.5372933149337769, 'Z': -0.006614709738641977}, {'X': 0.48764365911483765, 'Y': 0.5071449875831604, 'Z': -0.014065968804061413}, {'X': 0.4777306914329529, 'Y': 0.482424259185791, 'Z': -0.021454527974128723}, {'X': 0.5507723689079285, 'Y': 0.5801329016685486, 'Z': 0.0022382736206054688}, {'X': 0.5435222387313843, 'Y': 0.5085184574127197, 'Z': 0.005428726319223642}, {'X': 0.5420105457305908, 'Y': 0.4711139500141144, 'Z': 0.0006788258324377239}, {'X': 0.5414919257164001, 'Y': 0.44353920221328735, 'Z': -0.0038410192355513573}, {'X': 0.5758702754974365, 'Y': 0.5798138976097107, 'Z': 8.500445255776867e-05}, {'X': 0.569273829460144, 'Y': 0.5176988244056702, 'Z': -0.00016473873984068632}, {'X': 0.5681241154670715, 'Y': 0.48384320735931396, 'Z': -0.007453962694853544}, {'X': 0.5654861330986023, 'Y': 0.45571374893188477, 'Z': -0.015822408720850945}, {'X': 0.6015705466270447, 'Y': 0.5894531011581421, 'Z': -0.006772241555154324}, {'X': 0.5923358798027039, 'Y': 0.5452958345413208, 'Z': -0.01084279827773571}, {'X': 0.585801362991333, 'Y': 0.525799572467804, 'Z': -0.017488455399870872}, {'X': 0.5797832012176514, 'Y': 0.510166585445404, 'Z': -0.021389836445450783}]
[{'X': 0.6050062775611877, 'Y': 0.741193413734436, 'Z': -6.01013089180924e-05}, {'X': 0.5580718517303467, 'Y': 0.7188646793365479, 'Z': -0.02739246003329754}, {'X': 0.5248520970344543, 'Y': 0.6661539077758789, 'Z': -0.03803226724267006}, {'X': 0.5154403448104858, 'Y': 0.6086819171905518, 'Z': -0.047762248665094376}, {'X': 0.5153731107711792, 'Y': 0.5682161450386047, 'Z': -0.04746847599744797}, {'X': 0.5206222534179688, 'Y': 0.5934587717056274, 'Z': 0.0004977717180736363}, {'X': 0.500338077545166, 'Y': 0.5321188569068909, 'Z': -0.003069013822823763}, {'X': 0.4907500743865967, 'Y': 0.5033025145530701, 'Z': -0.008299961686134338}, {'X': 0.48410797119140625, 'Y': 0.48271018266677856, 'Z': -0.011934525333344936}, {'X': 0.5506595969200134, 'Y': 0.577766478061676, 'Z': 0.005758908577263355}, {'X': 0.5480178594589233, 'Y': 0.504031777381897, 'Z': 0.018319927155971527}, {'X': 0.5465435981750488, 'Y': 0.4685697853565216, 'Z': 0.019109273329377174}, {'X': 0.5445181727409363, 'Y': 0.44350704550743103, 'Z': 0.01635631173849106}, {'X': 0.5765858888626099, 'Y': 0.5775098204612732, 'Z': 0.004856965504586697}, {'X': 0.5708580017089844, 'Y': 0.5116657018661499, 'Z': 0.014511014334857464}, {'X': 0.5675539970397949, 'Y': 0.4780063331127167, 'Z': 0.01071244291961193}, {'X': 0.5617017149925232, 'Y': 0.45111221075057983, 'Z': 0.0032692370004951954}, {'X': 0.6018998026847839, 'Y': 0.5870464444160461, 'Z': -0.00011936527153011411}, {'X': 0.5940452218055725, 'Y': 0.5358845591545105, 'Z': 0.005842934362590313}, {'X': 0.5880286693572998, 'Y': 0.5112932920455933, 'Z': 0.002924351952970028}, {'X': 0.5805996060371399, 'Y': 0.4892590641975403, 'Z': 0.0002792972372844815}]
[{'X': 0.6076075434684753, 'Y': 0.7505871057510376, 'Z': -5.175347541808151e-05}, {'X': 0.5616706609725952, 'Y': 0.7309923768043518, 'Z': -0.025994345545768738}, {'X': 0.5269597768783569, 'Y': 0.6853485703468323, 'Z': -0.03440874069929123}, {'X': 0.5214207172393799, 'Y': 0.6345148086547852, 'Z': -0.04070853441953659}, {'X': 0.5313173532485962, 'Y': 0.6058173775672913, 'Z': -0.034547172486782074}, {'X': 0.5212560296058655, 'Y': 0.6035401225090027, 'Z': -0.0020563427824527025}, {'X': 0.500389039516449, 'Y': 0.5423365831375122, 'Z': -0.007237447891384363}, {'X': 0.4902379512786865, 'Y': 0.5136353373527527, 'Z': -0.013367588631808758}, {'X': 0.4821774363517761, 'Y': 0.49176114797592163, 'Z': -0.017809197306632996}, {'X': 0.5526661276817322, 'Y': 0.5846851468086243, 'Z': 0.002579467138275504}, {'X': 0.5494244694709778, 'Y': 0.511640727519989, 'Z': 0.015057722106575966}, {'X': 0.5484142303466797, 'Y': 0.48013025522232056, 'Z': 0.015266632661223412}, {'X': 0.5471434593200684, 'Y': 0.45820122957229614, 'Z': 0.010719528421759605}, {'X': 0.5792965292930603, 'Y': 0.5814146995544434, 'Z': 0.0014423464890569448}, {'X': 0.5734025239944458, 'Y': 0.5139673352241516, 'Z': 0.010414891876280308}, {'X': 0.5711929798126221, 'Y': 0.4805150628089905, 'Z': 0.006844688672572374}, {'X': 0.5672957897186279, 'Y': 0.451901376247406, 'Z': -0.0015352992340922356}, {'X': 0.6051688194274902, 'Y': 0.5892584323883057, 'Z': -0.004451984539628029}, {'X': 0.5968452095985413, 'Y': 0.5351674556732178, 'Z': 0.00023235884145833552}, {'X': 0.5901728272438049, 'Y': 0.5093878507614136, 'Z': -0.0012170402333140373}, {'X': 0.5824016332626343, 'Y': 0.4850353002548218, 'Z': -0.0030238956678658724}]
[{'X': 0.6080955266952515, 'Y': 0.7548417448997498, 'Z': -5.8351881307316944e-05}, {'X': 0.5587669610977173, 'Y': 0.7301876544952393, 'Z': -0.019689729437232018}, {'X': 0.5220968723297119, 'Y': 0.6759233474731445, 'Z': -0.02697393111884594}, {'X': 0.5099599957466125, 'Y': 0.615449070930481, 'Z': -0.035763636231422424}, {'X': 0.5120115280151367, 'Y': 0.5766466856002808, 'Z': -0.03636850044131279}, {'X': 0.517920732498169, 'Y': 0.6040298938751221, 'Z': 0.02193058654665947}, {'X': 0.4998887777328491, 'Y': 0.5381335616111755, 'Z': 0.023320743814110756}, {'X': 0.4887864887714386, 'Y': 0.5094319581985474, 'Z': 0.020294765010476112}, {'X': 0.4811355471611023, 'Y': 0.489195853471756, 'Z': 0.018282869830727577}, {'X': 0.5491344928741455, 'Y': 0.5872302651405334, 'Z': 0.023264311254024506}, {'X': 0.5470024347305298, 'Y': 0.5218176245689392, 'Z': 0.041271474212408066}, {'X': 0.5515294075012207, 'Y': 0.49305954575538635, 'Z': 0.041068386286497116}, {'X': 0.5573574900627136, 'Y': 0.47261691093444824, 'Z': 0.038577381521463394}, {'X': 0.5751909613609314, 'Y': 0.5828125476837158, 'Z': 0.018223440274596214}, {'X': 0.5693046450614929, 'Y': 0.5208414793014526, 'Z': 0.03601541742682457}, {'X': 0.5658538937568665, 'Y': 0.4817740321159363, 'Z': 0.035006359219551086}, {'X': 0.5625423789024353, 'Y': 0.4463207423686981, 'Z': 0.028533263131976128}, {'X': 0.6003024578094482, 'Y': 0.5883661508560181, 'Z': 0.00858271587640047}, {'X': 0.5926024317741394, 'Y': 0.5330802202224731, 'Z': 0.021885087713599205}, {'X': 0.5862049460411072, 'Y': 0.5037010908126831, 'Z': 0.02575693652033806}, {'X': 0.5794414281845093, 'Y': 0.47515979409217834, 'Z': 0.02832164242863655}]
[{'X': 0.607528567314148, 'Y': 0.7550322413444519, 'Z': -5.587319901678711e-05}, {'X': 0.5577431917190552, 'Y': 0.7348204851150513, 'Z': -0.021184291690587997}, {'X': 0.5176256895065308, 'Y': 0.6869137287139893, 'Z': -0.027396395802497864}, {'X': 0.499972939491272, 'Y': 0.6335498094558716, 'Z': -0.0342896468937397}, {'X': 0.49697691202163696, 'Y': 0.5975581407546997, 'Z': -0.031083062291145325}, {'X': 0.5248181223869324, 'Y': 0.6101692318916321, 'Z': 0.006669836118817329}, {'X': 0.5036818385124207, 'Y': 0.5488247275352478, 'Z': 0.0027258878108114004}, {'X': 0.4908527433872223, 'Y': 0.5181576609611511, 'Z': -0.002422257326543331}, {'X': 0.48025357723236084, 'Y': 0.49191808700561523, 'Z': -0.007588677573949099}, {'X': 0.5551310181617737, 'Y': 0.5940634608268738, 'Z': 0.009398831985890865}, {'X': 0.5535082221031189, 'Y': 0.5254780650138855, 'Z': 0.022846506908535957}, {'X': 0.5549069046974182, 'Y': 0.49252602458000183, 'Z': 0.021408716216683388}, {'X': 0.5581095814704895, 'Y': 0.46391040086746216, 'Z': 0.015286638401448727}, {'X': 0.579993724822998, 'Y': 0.5910677313804626, 'Z': 0.00694192573428154}, {'X': 0.5751675963401794, 'Y': 0.5272956490516663, 'Z': 0.014519971795380116}, {'X': 0.5706624388694763, 'Y': 0.4899633824825287, 'Z': 0.010007939301431179}, {'X': 0.5656576156616211, 'Y': 0.45590752363204956, 'Z': -5.6255936215166e-05}, {'X': 0.6041433811187744, 'Y': 0.5969709157943726, 'Z': 0.0005255499854683876}, {'X': 0.5956664681434631, 'Y': 0.5425177812576294, 'Z': 0.003965956624597311}, {'X': 0.587683379650116, 'Y': 0.5160954594612122, 'Z': 0.0012293151812627912}, {'X': 0.5791396498680115, 'Y': 0.49068617820739746, 'Z': -0.0021690460853278637}]
[{'X': 0.6097992062568665, 'Y': 0.7532327771186829, 'Z': -4.2041647247970104e-05}, {'X': 0.5602342486381531, 'Y': 0.7355964779853821, 'Z': -0.018550792708992958}, {'X': 0.5186474323272705, 'Y': 0.6936664581298828, 'Z': -0.024602996185421944}, {'X': 0.4967452883720398, 'Y': 0.6474999785423279, 'Z': -0.03371703252196312}, {'X': 0.49122798442840576, 'Y': 0.6093547344207764, 'Z': -0.034255076199769974}, {'X': 0.53209388256073, 'Y': 0.6064236164093018, 'Z': 0.015111410059034824}, {'X': 0.5060755014419556, 'Y': 0.5510497689247131, 'Z': 0.014597182162106037}, {'X': 0.49213939905166626, 'Y': 0.5220394134521484, 'Z': 0.012305742129683495}, {'X': 0.48074206709861755, 'Y': 0.49765151739120483, 'Z': 0.008155261166393757}, {'X': 0.561041533946991, 'Y': 0.5897359848022461, 'Z': 0.015384155325591564}, {'X': 0.557662844657898, 'Y': 0.5204062461853027, 'Z': 0.0278236735612154}, {'X': 0.5555480718612671, 'Y': 0.48516273498535156, 'Z': 0.029967695474624634}, {'X': 0.5545029640197754, 'Y': 0.4564666152000427, 'Z': 0.029288601130247116}, {'X': 0.5850993394851685, 'Y': 0.5895301699638367, 'Z': 0.010063872672617435}, {'X': 0.5798904895782471, 'Y': 0.527674674987793, 'Z': 0.01612159237265587}, {'X': 0.574677586555481, 'Y': 0.49287742376327515, 'Z': 0.01471058651804924}, {'X': 0.5679740905761719, 'Y': 0.46524256467819214, 'Z': 0.00931441318243742}, {'X': 0.6090336441993713, 'Y': 0.5988829135894775, 'Z': 0.000615181343164295}, {'X': 0.598707377910614, 'Y': 0.5520567893981934, 'Z': -0.00107141537591815}, {'X': 0.589346170425415, 'Y': 0.5287919640541077, 'Z': -0.0071646105498075485}, {'X': 0.5791062712669373, 'Y': 0.5101949572563171, 'Z': -0.010806277394294739}]
[{'X': 0.6189790964126587, 'Y': 0.7505800724029541, 'Z': -6.506952922791243e-05}, {'X': 0.5708731412887573, 'Y': 0.7359731197357178, 'Z': -0.018448779359459877}, {'X': 0.5267592072486877, 'Y': 0.6931764483451843, 'Z': -0.024722659960389137}, {'X': 0.5014505982398987, 'Y': 0.6470634937286377, 'Z': -0.03347952291369438}, {'X': 0.49466246366500854, 'Y': 0.6094716787338257, 'Z': -0.03439401462674141}, {'X': 0.5386064648628235, 'Y': 0.6055333614349365, 'Z': 0.01858343556523323}, {'X': 0.511238694190979, 'Y': 0.5489399433135986, 'Z': 0.017036866396665573}, {'X': 0.49483683705329895, 'Y': 0.5203409790992737, 'Z': 0.014366786926984787}, {'X': 0.48162752389907837, 'Y': 0.4965386986732483, 'Z': 0.012172007001936436}, {'X': 0.567651629447937, 'Y': 0.5878312587738037, 'Z': 0.019201092422008514}, {'X': 0.5646081566810608, 'Y': 0.522437572479248, 'Z': 0.033117249608039856}, {'X': 0.563780665397644, 'Y': 0.4886946678161621, 'Z': 0.03683482110500336}, {'X': 0.5634298920631409, 'Y': 0.46130606532096863, 'Z': 0.03873026371002197}, {'X': 0.5916144847869873, 'Y': 0.5864405035972595, 'Z': 0.014428437687456608}, {'X': 0.5857094526290894, 'Y': 0.526702344417572, 'Z': 0.026865072548389435}, {'X': 0.5781760215759277, 'Y': 0.48723775148391724, 'Z': 0.03229086473584175}, {'X': 0.5697567462921143, 'Y': 0.45588403940200806, 'Z': 0.03287843242287636}, {'X': 0.6150528788566589, 'Y': 0.5946376919746399, 'Z': 0.004628563299775124}, {'X': 0.602340042591095, 'Y': 0.5486234426498413, 'Z': 0.006086606066673994}, {'X': 0.5900385975837708, 'Y': 0.5272794961929321, 'Z': 0.003948261961340904}, {'X': 0.5777499079704285, 'Y': 0.5115265846252441, 'Z': 0.005415976978838444}]
[{'X': 0.6202594041824341, 'Y': 0.7559860944747925, 'Z': -6.856367690488696e-05}, {'X': 0.5695704221725464, 'Y': 0.7393152713775635, 'Z': -0.021658780053257942}, {'X': 0.5265800952911377, 'Y': 0.6923360824584961, 'Z': -0.029404930770397186}, {'X': 0.506638765335083, 'Y': 0.6397942900657654, 'Z': -0.039344482123851776}, {'X': 0.5050161480903625, 'Y': 0.6042165756225586, 'Z': -0.04030114784836769}, {'X': 0.53611820936203, 'Y': 0.6066161394119263, 'Z': 0.01862241141498089}, {'X': 0.5121392607688904, 'Y': 0.5451112389564514, 'Z': 0.017959803342819214}, {'X': 0.49700218439102173, 'Y': 0.5159255266189575, 'Z': 0.013901334255933762}, {'X': 0.48570287227630615, 'Y': 0.49339789152145386, 'Z': 0.009862855076789856}, {'X': 0.5670962333679199, 'Y': 0.5887571573257446, 'Z': 0.01948620192706585}, {'X': 0.5633744597434998, 'Y': 0.5234424471855164, 'Z': 0.0356060229241848}, {'X': 0.5643330812454224, 'Y': 0.492892324924469, 'Z': 0.03721097856760025}, {'X': 0.56691974401474, 'Y': 0.469075083732605, 'Z': 0.03567373752593994}, {'X': 0.5921530723571777, 'Y': 0.5864784717559814, 'Z': 0.013918538577854633}, {'X': 0.5848144292831421, 'Y': 0.5254148244857788, 'Z': 0.029390644282102585}, {'X': 0.5783840417861938, 'Y': 0.4880627691745758, 'Z': 0.0315345861017704}, {'X': 0.5725396871566772, 'Y': 0.457145094871521, 'Z': 0.02775532379746437}, {'X': 0.6166405081748962, 'Y': 0.5941429138183594, 'Z': 0.0032039154320955276}, {'X': 0.605982780456543, 'Y': 0.5415521264076233, 'Z': 0.010125509463250637}, {'X': 0.5964542627334595, 'Y': 0.5163022875785828, 'Z': 0.010814066044986248}, {'X': 0.5869886875152588, 'Y': 0.4950841963291168, 'Z': 0.012055914849042892}]
[{'X': 0.6250908374786377, 'Y': 0.7558224201202393, 'Z': -4.5805994886904955e-05}, {'X': 0.5743120312690735, 'Y': 0.7364345192909241, 'Z': -0.018505185842514038}, {'X': 0.5329983234405518, 'Y': 0.6943786144256592, 'Z': -0.021359698846936226}, {'X': 0.5093896985054016, 'Y': 0.6487981677055359, 'Z': -0.028026072308421135}, {'X': 0.5002710223197937, 'Y': 0.6118596792221069, 'Z': -0.02862798422574997}, {'X': 0.5461421608924866, 'Y': 0.6057034730911255, 'Z': 0.025168320164084435}, {'X': 0.5197861790657043, 'Y': 0.5463928580284119, 'Z': 0.027638521045446396}, {'X': 0.5039200186729431, 'Y': 0.5154629349708557, 'Z': 0.026142297312617302}, {'X': 0.4899860918521881, 'Y': 0.4885121285915375, 'Z': 0.024216340854763985}, {'X': 0.577084481716156, 'Y': 0.5886194705963135, 'Z': 0.026824360713362694}, {'X': 0.571729838848114, 'Y': 0.5218334794044495, 'Z': 0.04272536188364029}, {'X': 0.569858968257904, 'Y': 0.48423147201538086, 'Z': 0.042146630585193634}, {'X': 0.5682646036148071, 'Y': 0.4555177092552185, 'Z': 0.03741787001490593}, {'X': 0.6035417914390564, 'Y': 0.5869053602218628, 'Z': 0.022814948111772537}, {'X': 0.5966892838478088, 'Y': 0.5268934369087219, 'Z': 0.0325840525329113}, {'X': 0.5919705629348755, 'Y': 0.4881818890571594, 'Z': 0.02940065786242485}, {'X': 0.5847563147544861, 'Y': 0.4578896760940552, 'Z': 0.022605787962675095}, {'X': 0.6296378374099731, 'Y': 0.5957109332084656, 'Z': 0.01384656224399805}, {'X': 0.6231746077537537, 'Y': 0.5470139384269714, 'Z': 0.017624767497181892}, {'X': 0.6171774864196777, 'Y': 0.5182927250862122, 'Z': 0.01328858733177185}, {'X': 0.6084911227226257, 'Y': 0.49410590529441833, 'Z': 0.009013415314257145}]
[{'X': 0.6329942941665649, 'Y': 0.7657207250595093, 'Z': -6.699961522826925e-05}, {'X': 0.5832918286323547, 'Y': 0.7405948638916016, 'Z': -0.016995597630739212}, {'X': 0.5433465838432312, 'Y': 0.6963844895362854, 'Z': -0.022266793996095657}, {'X': 0.5245523452758789, 'Y': 0.6479027271270752, 'Z': -0.030377143993973732}, {'X': 0.5227121114730835, 'Y': 0.6110449433326721, 'Z': -0.02667943388223648}, {'X': 0.5539053082466125, 'Y': 0.6037212014198303, 'Z': 0.015889357775449753}, {'X': 0.5265430808067322, 'Y': 0.5444813370704651, 'Z': 0.01222921907901764}, {'X': 0.5106746554374695, 'Y': 0.5147404670715332, 'Z': 0.005436653736978769}, {'X': 0.4968608319759369, 'Y': 0.48883429169654846, 'Z': -0.002236694796010852}, {'X': 0.5840581655502319, 'Y': 0.5883974432945251, 'Z': 0.014531024731695652}, {'X': 0.5800248980522156, 'Y': 0.5133894681930542, 'Z': 0.02430473081767559}, {'X': 0.5776414275169373, 'Y': 0.4768177270889282, 'Z': 0.023556385189294815}, {'X': 0.5751366019248962, 'Y': 0.4465092718601227, 'Z': 0.02210613712668419}, {'X': 0.609102725982666, 'Y': 0.5917991399765015, 'Z': 0.00827410165220499}, {'X': 0.6041241884231567, 'Y': 0.5258006453514099, 'Z': 0.01431284286081791}, {'X': 0.5997324585914612, 'Y': 0.4886597692966461, 'Z': 0.012896605767309666}, {'X': 0.5930339694023132, 'Y': 0.45640379190444946, 'Z': 0.008931992575526237}, {'X': 0.6336976885795593, 'Y': 0.6058394908905029, 'Z': -0.002724465448409319}, {'X': 0.6240907907485962, 'Y': 0.558505117893219, 'Z': -0.0056544458493590355}, {'X': 0.6144483089447021, 'Y': 0.5375292897224426, 'Z': -0.014445899985730648}, {'X': 0.6039602160453796, 'Y': 0.5191627740859985, 'Z': -0.019654542207717896}]
[{'X': 0.6336413621902466, 'Y': 0.7689418196678162, 'Z': -5.2735245844814926e-05}, {'X': 0.5825813412666321, 'Y': 0.7443881034851074, 'Z': -0.01706673763692379}, {'X': 0.5414643287658691, 'Y': 0.6972858309745789, 'Z': -0.01961941458284855}, {'X': 0.5224602222442627, 'Y': 0.6475962400436401, 'Z': -0.024398604407906532}, {'X': 0.5199153423309326, 'Y': 0.6119343638420105, 'Z': -0.017775772139430046}, {'X': 0.5577693581581116, 'Y': 0.6041936874389648, 'Z': 0.016134358942508698}, {'X': 0.5305765271186829, 'Y': 0.5426434278488159, 'Z': 0.015596115030348301}, {'X': 0.5152771472930908, 'Y': 0.5113688707351685, 'Z': 0.012834494933485985}, {'X': 0.5023085474967957, 'Y': 0.48527270555496216, 'Z': 0.007240199949592352}, {'X': 0.5884703397750854, 'Y': 0.5902690291404724, 'Z': 0.017064686864614487}, {'X': 0.5860462784767151, 'Y': 0.5147442817687988, 'Z': 0.032155148684978485}, {'X': 0.5834534764289856, 'Y': 0.4782634377479553, 'Z': 0.036130573600530624}, {'X': 0.5801455974578857, 'Y': 0.4487326443195343, 'Z': 0.03646417334675789}, {'X': 0.6128590106964111, 'Y': 0.5946775674819946, 'Z': 0.012704429216682911}, {'X': 0.6092570424079895, 'Y': 0.5277750492095947, 'Z': 0.022814450785517693}, {'X': 0.6039546728134155, 'Y': 0.49232834577560425, 'Z': 0.02706911787390709}, {'X': 0.595585286617279, 'Y': 0.46317654848098755, 'Z': 0.02578934282064438}, {'X': 0.6360490322113037, 'Y': 0.6097676753997803, 'Z': 0.003711861791089177}, {'X': 0.6282544732093811, 'Y': 0.5603652000427246, 'Z': 0.005405766889452934}, {'X': 0.6192651987075806, 'Y': 0.5386537313461304, 'Z': 0.0022771696094423532}, {'X': 0.6089183688163757, 'Y': 0.520780622959137, 'Z': 0.0010503974044695497}]
[{'X': 0.6353774070739746, 'Y': 0.7718640565872192, 'Z': -9.243089880328625e-05}, {'X': 0.5857218503952026, 'Y': 0.7479379773139954, 'Z': -0.02854866161942482}, {'X': 0.5457886457443237, 'Y': 0.6984822750091553, 'Z': -0.03870650753378868}, {'X': 0.5289548635482788, 'Y': 0.6472852230072021, 'Z': -0.04908716306090355}, {'X': 0.5262406468391418, 'Y': 0.6112598180770874, 'Z': -0.04707934334874153}, {'X': 0.5601691007614136, 'Y': 0.6018686890602112, 'Z': 0.006537966895848513}, {'X': 0.5345667004585266, 'Y': 0.5367453098297119, 'Z': 0.0018094839761033654}, {'X': 0.5210617184638977, 'Y': 0.5065693259239197, 'Z': -0.002868612529709935}, {'X': 0.5093352794647217, 'Y': 0.4817720055580139, 'Z': -0.007954309694468975}, {'X': 0.5925664305686951, 'Y': 0.5882626175880432, 'Z': 0.010749049484729767}, {'X': 0.5918775200843811, 'Y': 0.5107486248016357, 'Z': 0.02291911095380783}, {'X': 0.5904703140258789, 'Y': 0.47496262192726135, 'Z': 0.02499835565686226}, {'X': 0.5871534943580627, 'Y': 0.44711893796920776, 'Z': 0.02426060661673546}, {'X': 0.6191033124923706, 'Y': 0.5937986969947815, 'Z': 0.008221270516514778}, {'X': 0.6167902946472168, 'Y': 0.5259281396865845, 'Z': 0.013919115997850895}, {'X': 0.6130607724189758, 'Y': 0.49431872367858887, 'Z': 0.012007160112261772}, {'X': 0.6048814058303833, 'Y': 0.47002267837524414, 'Z': 0.006296801846474409}, {'X': 0.6451238989830017, 'Y': 0.6096048951148987, 'Z': 0.0008646518690511584}, {'X': 0.6427401900291443, 'Y': 0.5579468011856079, 'Z': 0.0011100851697847247}, {'X': 0.6382119655609131, 'Y': 0.5317752361297607, 'Z': -0.004341209307312965}, {'X': 0.6303237080574036, 'Y': 0.5083584189414978, 'Z': -0.007942956872284412}]
