[{'X': 0.7442282438278198, 'Y': 0.699055016040802, 'Z': -5.584541577263735e-05}, {'X': 0.6882827877998352, 'Y': 0.6703876256942749, 'Z': -0.034502722322940826}, {'X': 0.6489721536636353, 'Y': 0.5780521035194397, 'Z': -0.04280702769756317}, {'X': 0.6317086219787598, 'Y': 0.4859895706176758, 'Z': -0.05159181356430054}, {'X': 0.6100349426269531, 'Y': 0.42253977060317993, 'Z': -0.060594476759433746}, {'X': 0.6695171594619751, 'Y': 0.4636809527873993, 'Z': 0.00526780728250742}, {'X': 0.6490573287010193, 'Y': 0.3611367344856262, 'Z': -0.003527033841237426}, {'X': 0.6393839120864868, 'Y': 0.29548272490501404, 'Z': -0.021514106541872025}, {'X': 0.6350752115249634, 'Y': 0.23478008806705475, 'Z': -0.03821348026394844}, {'X': 0.7043473720550537, 'Y': 0.44341063499450684, 'Z': 0.007788078859448433}, {'X': 0.688310444355011, 'Y': 0.3298739790916443, 'Z': 0.009292405098676682}, {'X': 0.6792768239974976, 'Y': 0.25826722383499146, 'Z': -0.015085801482200623}, {'X': 0.6749410033226013, 'Y': 0.19545897841453552, 'Z': -0.035409994423389435}, {'X': 0.7405887842178345, 'Y': 0.4430576264858246, 'Z': 0.0038367717061191797}, {'X': 0.7316688299179077, 'Y': 0.334011971950531, 'Z': 0.002603196306154132}, {'X': 0.721399188041687, 'Y': 0.26165154576301575, 'Z': -0.02407708577811718}, {'X': 0.7139748334884644, 'Y': 0.19880244135856628, 'Z': -0.04406512901186943}, {'X': 0.7791816592216492, 'Y': 0.4631890654563904, 'Z': -0.0035100411623716354}, {'X': 0.7789825201034546, 'Y': 0.381842702627182, 'Z': -0.013359575532376766}, {'X': 0.7759189009666443, 'Y': 0.32593071460723877, 'Z': -0.02955520898103714}, {'X': 0.7711334824562073, 'Y': 0.2721327543258667, 'Z': -0.043948136270046234}]
[{'X': 0.7411016225814819, 'Y': 0.7357439994812012, 'Z': -4.6190572902560234e-05}, {'X': 0.683208167552948, 'Y': 0.6844733357429504, 'Z': -0.02337263710796833}, {'X': 0.6500418782234192, 'Y': 0.5682435035705566, 'Z': -0.03718836233019829}, {'X': 0.6373400688171387, 'Y': 0.48284754157066345, 'Z': -0.053139764815568924}, {'X': 0.6170875430107117, 'Y': 0.422139048576355, 'Z': -0.07422733306884766}, {'X': 0.66706383228302, 'Y': 0.4574093222618103, 'Z': -0.02787230908870697}, {'X': 0.6499757766723633, 'Y': 0.36178964376449585, 'Z': -0.060930002480745316}, {'X': 0.6434398889541626, 'Y': 0.29742491245269775, 'Z': -0.09373319894075394}, {'X': 0.6421455144882202, 'Y': 0.2477473020553589, 'Z': -0.11785639822483063}, {'X': 0.7038406729698181, 'Y': 0.45918890833854675, 'Z': -0.04161122441291809}, {'X': 0.6967586874961853, 'Y': 0.3561917543411255, 'Z': -0.10063041001558304}, {'X': 0.6863635778427124, 'Y': 0.35436588525772095, 'Z': -0.15095756947994232}, {'X': 0.67974454164505, 'Y': 0.3808366656303406, 'Z': -0.1807679980993271}, {'X': 0.7415076494216919, 'Y': 0.48852959275245667, 'Z': -0.059891436249017715}, {'X': 0.7391531467437744, 'Y': 0.40265268087387085, 'Z': -0.12420230358839035}, {'X': 0.7193953394889832, 'Y': 0.45886632800102234, 'Z': -0.16144895553588867}, {'X': 0.7056359648704529, 'Y': 0.5174295902252197, 'Z': -0.1705237627029419}, {'X': 0.7780689597129822, 'Y': 0.5379729866981506, 'Z': -0.07647310197353363}, {'X': 0.7693438529968262, 'Y': 0.4984164834022522, 'Z': -0.13595841825008392}, {'X': 0.7480114698410034, 'Y': 0.5442771315574646, 'Z': -0.16438694298267365}, {'X': 0.7333548665046692, 'Y': 0.5873406529426575, 'Z': -0.17640788853168488}]
[{'X': 0.7358989715576172, 'Y': 0.7224221229553223, 'Z': -7.564516272395849e-05}, {'X': 0.6790212988853455, 'Y': 0.6739566326141357, 'Z': -0.01518966630101204}, {'X': 0.6478424668312073, 'Y': 0.5607165694236755, 'Z': -0.017224019393324852}, {'X': 0.6365010142326355, 'Y': 0.47186776995658875, 'Z': -0.021307379007339478}, {'X': 0.6178948879241943, 'Y': 0.41517460346221924, 'Z': -0.032041262835264206}, {'X': 0.6664658188819885, 'Y': 0.4639196991920471, 'Z': -0.01758330687880516}, {'X': 0.6504566669464111, 'Y': 0.3652557134628296, 'Z': -0.04504123330116272}, {'X': 0.6445955038070679, 'Y': 0.2972087562084198, 'Z': -0.07052835822105408}, {'X': 0.640921413898468, 'Y': 0.24030578136444092, 'Z': -0.0910184308886528}, {'X': 0.7022955417633057, 'Y': 0.4652804136276245, 'Z': -0.03237883746623993}, {'X': 0.6969104409217834, 'Y': 0.37358152866363525, 'Z': -0.08458048850297928}, {'X': 0.690470814704895, 'Y': 0.3447045087814331, 'Z': -0.13170099258422852}, {'X': 0.6832396388053894, 'Y': 0.3425675630569458, 'Z': -0.16258127987384796}, {'X': 0.7382333874702454, 'Y': 0.4936290681362152, 'Z': -0.050252459943294525}, {'X': 0.7394901514053345, 'Y': 0.4125777781009674, 'Z': -0.11290692538022995}, {'X': 0.7192286252975464, 'Y': 0.4529780447483063, 'Z': -0.15337835252285004}, {'X': 0.7013499736785889, 'Y': 0.5032132863998413, 'Z': -0.1638823300600052}, {'X': 0.7735227346420288, 'Y': 0.5397194623947144, 'Z': -0.06682268530130386}, {'X': 0.7662020921707153, 'Y': 0.50401371717453, 'Z': -0.1313110589981079}, {'X': 0.7420125007629395, 'Y': 0.5448167324066162, 'Z': -0.16472357511520386}, {'X': 0.7210801839828491, 'Y': 0.5878600478172302, 'Z': -0.17741280794143677}]
[{'X': 0.7336395978927612, 'Y': 0.7321556806564331, 'Z': -6.989524990785867e-05}, {'X': 0.6806188225746155, 'Y': 0.6781494617462158, 'Z': -0.020914226770401}, {'X': 0.648086667060852, 'Y': 0.5648862719535828, 'Z': -0.028533075004816055}, {'X': 0.6322700381278992, 'Y': 0.47435230016708374, 'Z': -0.03875386714935303}, {'X': 0.610958456993103, 'Y': 0.4089905321598053, 'Z': -0.053501807153224945}, {'X': 0.6665874719619751, 'Y': 0.46259158849716187, 'Z': -0.015600177459418774}, {'X': 0.652161180973053, 'Y': 0.3635465204715729, 'Z': -0.037581946700811386}, {'X': 0.6453077793121338, 'Y': 0.2941914498806, 'Z': -0.05715904012322426}, {'X': 0.6403132677078247, 'Y': 0.23288236558437347, 'Z': -0.07544669508934021}, {'X': 0.702970564365387, 'Y': 0.46275854110717773, 'Z': -0.031322505325078964}, {'X': 0.7011090517044067, 'Y': 0.36786332726478577, 'Z': -0.07441696524620056}, {'X': 0.691637396812439, 'Y': 0.3244918882846832, 'Z': -0.11479703336954117}, {'X': 0.6803504824638367, 'Y': 0.3023223280906677, 'Z': -0.14141720533370972}, {'X': 0.7382187247276306, 'Y': 0.4923918545246124, 'Z': -0.05126722902059555}, {'X': 0.7449478507041931, 'Y': 0.40830111503601074, 'Z': -0.1097373366355896}, {'X': 0.7243004441261292, 'Y': 0.42730364203453064, 'Z': -0.15122778713703156}, {'X': 0.7047141194343567, 'Y': 0.4576651155948639, 'Z': -0.16328397393226624}, {'X': 0.7712540626525879, 'Y': 0.541144073009491, 'Z': -0.07141965627670288}, {'X': 0.7709094882011414, 'Y': 0.49155163764953613, 'Z': -0.13386084139347076}, {'X': 0.7437678575515747, 'Y': 0.5138741731643677, 'Z': -0.16930939257144928}, {'X': 0.7183403968811035, 'Y': 0.5442279577255249, 'Z': -0.18527255952358246}]
[{'X': 0.739852249622345, 'Y': 0.7440072298049927, 'Z': -7.648746395716444e-05}, {'X': 0.6799708008766174, 'Y': 0.6811762452125549, 'Z': -0.013579868711531162}, {'X': 0.6432463526725769, 'Y': 0.5706637501716614, 'Z': -0.020022008568048477}, {'X': 0.6262838244438171, 'Y': 0.48211508989334106, 'Z': -0.03132356330752373}, {'X': 0.6102333068847656, 'Y': 0.413249671459198, 'Z': -0.04351602867245674}, {'X': 0.6659557223320007, 'Y': 0.46425577998161316, 'Z': -0.0034408150240778923}, {'X': 0.6489895582199097, 'Y': 0.358320415019989, 'Z': -0.019558168947696686}, {'X': 0.6417528390884399, 'Y': 0.2967407703399658, 'Z': -0.03222346678376198}, {'X': 0.6368118524551392, 'Y': 0.24650852382183075, 'Z': -0.04451427981257439}, {'X': 0.702802300453186, 'Y': 0.46449610590934753, 'Z': -0.023008663207292557}, {'X': 0.6978498101234436, 'Y': 0.35977697372436523, 'Z': -0.05678762495517731}, {'X': 0.6861923933029175, 'Y': 0.31805992126464844, 'Z': -0.08768889307975769}, {'X': 0.6742584109306335, 'Y': 0.303355872631073, 'Z': -0.10490767657756805}, {'X': 0.7389733791351318, 'Y': 0.4868912398815155, 'Z': -0.04767893627285957}, {'X': 0.7401859164237976, 'Y': 0.3995739817619324, 'Z': -0.09069029241800308}, {'X': 0.7221952676773071, 'Y': 0.4059300124645233, 'Z': -0.12361178547143936}, {'X': 0.7048181295394897, 'Y': 0.43077710270881653, 'Z': -0.13507407903671265}, {'X': 0.7747012972831726, 'Y': 0.5312362313270569, 'Z': -0.0720798671245575}, {'X': 0.7727378606796265, 'Y': 0.4692026674747467, 'Z': -0.1142265796661377}, {'X': 0.7541840672492981, 'Y': 0.46452444791793823, 'Z': -0.14220236241817474}, {'X': 0.7351053953170776, 'Y': 0.4756014049053192, 'Z': -0.15760546922683716}]
[{'X': 0.7402593493461609, 'Y': 0.7134307026863098, 'Z': -9.36740543693304e-05}, {'X': 0.6800951361656189, 'Y': 0.6698319911956787, 'Z': -0.01612814888358116}, {'X': 0.6407228708267212, 'Y': 0.5731574296951294, 'Z': -0.02118172124028206}, {'X': 0.6261730194091797, 'Y': 0.48233702778816223, 'Z': -0.03190672770142555}, {'X': 0.6123248934745789, 'Y': 0.4133111834526062, 'Z': -0.049551598727703094}, {'X': 0.6609926819801331, 'Y': 0.46978339552879333, 'Z': 0.011078275740146637}, {'X': 0.6378756165504456, 'Y': 0.367274671792984, 'Z': 0.002129374770447612}, {'X': 0.6297969222068787, 'Y': 0.30610597133636475, 'Z': -0.011484558694064617}, {'X': 0.6252384185791016, 'Y': 0.252274751663208, 'Z': -0.025032171979546547}, {'X': 0.6988775730133057, 'Y': 0.46147486567497253, 'Z': -0.0031987507827579975}, {'X': 0.6842948198318481, 'Y': 0.36228305101394653, 'Z': -0.019326964393258095}, {'X': 0.6752960681915283, 'Y': 0.3073429763317108, 'Z': -0.048660505563020706}, {'X': 0.6664957404136658, 'Y': 0.2739858329296112, 'Z': -0.06663976609706879}, {'X': 0.7372032403945923, 'Y': 0.47050902247428894, 'Z': -0.022695155814290047}, {'X': 0.7314088940620422, 'Y': 0.38181352615356445, 'Z': -0.05060941353440285}, {'X': 0.7177732586860657, 'Y': 0.3492884635925293, 'Z': -0.09395008534193039}, {'X': 0.7054038047790527, 'Y': 0.3369230031967163, 'Z': -0.1174093633890152}, {'X': 0.7761844992637634, 'Y': 0.49818122386932373, 'Z': -0.04381653666496277}, {'X': 0.7684498429298401, 'Y': 0.4345847964286804, 'Z': -0.07300268858671188}, {'X': 0.7508224844932556, 'Y': 0.4013287425041199, 'Z': -0.10514205694198608}, {'X': 0.7309989929199219, 'Y': 0.38050323724746704, 'Z': -0.12525416910648346}]
[{'X': 0.737755537033081, 'Y': 0.7136657238006592, 'Z': -7.561693928437307e-05}, {'X': 0.682773768901825, 'Y': 0.677189826965332, 'Z': -0.031023740768432617}, {'X': 0.6422749757766724, 'Y': 0.5748758912086487, 'Z': -0.03701212629675865}, {'X': 0.625637412071228, 'Y': 0.47793087363243103, 'Z': -0.04327656701207161}, {'X': 0.6078521013259888, 'Y': 0.4143088161945343, 'Z': -0.05088410899043083}, {'X': 0.6579563021659851, 'Y': 0.4695287346839905, 'Z': -0.007615526672452688}, {'X': 0.636474072933197, 'Y': 0.3663482964038849, 'Z': -0.021515721455216408}, {'X': 0.6275495886802673, 'Y': 0.30290162563323975, 'Z': -0.04165039584040642}, {'X': 0.6211729645729065, 'Y': 0.24327050149440765, 'Z': -0.05932468920946121}, {'X': 0.6973393559455872, 'Y': 0.4554121494293213, 'Z': -0.010403684340417385}, {'X': 0.681379497051239, 'Y': 0.3525674641132355, 'Z': -0.02396652102470398}, {'X': 0.6734402179718018, 'Y': 0.29445791244506836, 'Z': -0.05375056713819504}, {'X': 0.6666516065597534, 'Y': 0.2504503130912781, 'Z': -0.07563293725252151}, {'X': 0.7367701530456543, 'Y': 0.45853888988494873, 'Z': -0.018107982352375984}, {'X': 0.7313407063484192, 'Y': 0.36401113867759705, 'Z': -0.03457699716091156}, {'X': 0.7200987339019775, 'Y': 0.31394267082214355, 'Z': -0.06753040105104446}, {'X': 0.708756685256958, 'Y': 0.2761818766593933, 'Z': -0.08980763703584671}, {'X': 0.777350902557373, 'Y': 0.48089712858200073, 'Z': -0.029629087075591087}, {'X': 0.7744053602218628, 'Y': 0.4096861481666565, 'Z': -0.04995321109890938}, {'X': 0.7660890817642212, 'Y': 0.3627997934818268, 'Z': -0.07202566415071487}, {'X': 0.7543023824691772, 'Y': 0.32186412811279297, 'Z': -0.08863890171051025}]
[{'X': 0.7431274652481079, 'Y': 0.6931808590888977, 'Z': -4.26989390689414e-05}, {'X': 0.6865689754486084, 'Y': 0.6702554225921631, 'Z': -0.0310839731246233}, {'X': 0.646858274936676, 'Y': 0.5819275975227356, 'Z': -0.03847388178110123}, {'X': 0.6294739246368408, 'Y': 0.49318429827690125, 'Z': -0.046661440283060074}, {'X': 0.6069352626800537, 'Y': 0.431068480014801, 'Z': -0.05542537569999695}, {'X': 0.6655053496360779, 'Y': 0.46821731328964233, 'Z': 0.008594582788646221}, {'X': 0.6415705680847168, 'Y': 0.3741123676300049, 'Z': -0.0018381463596597314}, {'X': 0.6284956932067871, 'Y': 0.3146534860134125, 'Z': -0.021427294239401817}, {'X': 0.6206061244010925, 'Y': 0.2571799159049988, 'Z': -0.037854455411434174}, {'X': 0.7019050121307373, 'Y': 0.4493280351161957, 'Z': 0.011201259680092335}, {'X': 0.6871045827865601, 'Y': 0.3498753309249878, 'Z': 0.007105641532689333}, {'X': 0.6769961714744568, 'Y': 0.2904442548751831, 'Z': -0.02003336139023304}, {'X': 0.6694740653038025, 'Y': 0.23761090636253357, 'Z': -0.03938743472099304}, {'X': 0.7391856908798218, 'Y': 0.4482463002204895, 'Z': 0.00776347890496254}, {'X': 0.7326003909111023, 'Y': 0.35335174202919006, 'Z': 0.004061772953718901}, {'X': 0.7210121154785156, 'Y': 0.293548047542572, 'Z': -0.023709604516625404}, {'X': 0.7109891176223755, 'Y': 0.24197785556316376, 'Z': -0.04301101714372635}, {'X': 0.7771166563034058, 'Y': 0.46574223041534424, 'Z': 0.0013772553065791726}, {'X': 0.776494562625885, 'Y': 0.39065271615982056, 'Z': -0.009116421453654766}, {'X': 0.7712532877922058, 'Y': 0.33763331174850464, 'Z': -0.024603253230452538}, {'X': 0.7632226347923279, 'Y': 0.28555968403816223, 'Z': -0.03579750657081604}]
[{'X': 0.7451332807540894, 'Y': 0.6944980025291443, 'Z': -7.026998355286196e-05}, {'X': 0.6866928935050964, 'Y': 0.6754137277603149, 'Z': -0.026317009702324867}, {'X': 0.6469570994377136, 'Y': 0.5840678811073303, 'Z': -0.0333106629550457}, {'X': 0.6294714212417603, 'Y': 0.49216002225875854, 'Z': -0.04302346333861351}, {'X': 0.6030489206314087, 'Y': 0.4326997995376587, 'Z': -0.05597439408302307}, {'X': 0.665587306022644, 'Y': 0.4712991416454315, 'Z': 0.013321081176400185}, {'X': 0.6391839981079102, 'Y': 0.37838906049728394, 'Z': 0.0026731861289590597}, {'X': 0.624902069568634, 'Y': 0.3178079128265381, 'Z': -0.012285424396395683}, {'X': 0.6144853830337524, 'Y': 0.25797387957572937, 'Z': -0.025806600227952003}, {'X': 0.7021543979644775, 'Y': 0.44859617948532104, 'Z': 0.012084986083209515}, {'X': 0.6833615899085999, 'Y': 0.3476353585720062, 'Z': 0.009413713589310646}, {'X': 0.6706013083457947, 'Y': 0.283412903547287, 'Z': -0.016104040667414665}, {'X': 0.6622949242591858, 'Y': 0.2253149151802063, 'Z': -0.03684283047914505}, {'X': 0.7400361895561218, 'Y': 0.4451350271701813, 'Z': 0.005119975656270981}, {'X': 0.7268966436386108, 'Y': 0.3445330858230591, 'Z': -0.00030014716321602464}, {'X': 0.7139188051223755, 'Y': 0.2827669382095337, 'Z': -0.024922512471675873}, {'X': 0.7036654353141785, 'Y': 0.22865700721740723, 'Z': -0.04363623633980751}, {'X': 0.7800650596618652, 'Y': 0.4596368968486786, 'Z': -0.0039586639031767845}, {'X': 0.7763285040855408, 'Y': 0.3749421238899231, 'Z': -0.01608528196811676}, {'X': 0.7702121734619141, 'Y': 0.32151126861572266, 'Z': -0.030498983338475227}, {'X': 0.7630976438522339, 'Y': 0.2716408967971802, 'Z': -0.04282212257385254}]
[{'X': 0.7461463809013367, 'Y': 0.6929845809936523, 'Z': -6.89699372742325e-05}, {'X': 0.6885432600975037, 'Y': 0.6762493848800659, 'Z': -0.031612977385520935}, {'X': 0.648373007774353, 'Y': 0.5845814347267151, 'Z': -0.042822420597076416}, {'X': 0.6295441389083862, 'Y': 0.4930107295513153, 'Z': -0.05620148032903671}, {'X': 0.6008458137512207, 'Y': 0.4326101541519165, 'Z': -0.07416987419128418}, {'X': 0.6651468276977539, 'Y': 0.47028255462646484, 'Z': 0.0015027312329038978}, {'X': 0.6389116048812866, 'Y': 0.3783721327781677, 'Z': -0.012349558062851429}, {'X': 0.6246421933174133, 'Y': 0.3185729384422302, 'Z': -0.027712548151612282}, {'X': 0.6135545372962952, 'Y': 0.2588684558868408, 'Z': -0.04042315483093262}, {'X': 0.7018060088157654, 'Y': 0.44704926013946533, 'Z': 0.0019728471525013447}, {'X': 0.6828716397285461, 'Y': 0.34820443391799927, 'Z': -0.004145314916968346}, {'X': 0.6705463528633118, 'Y': 0.2849447727203369, 'Z': -0.03061136044561863}, {'X': 0.6616684198379517, 'Y': 0.22579780220985413, 'Z': -0.051493089646101}, {'X': 0.7394810914993286, 'Y': 0.44396767020225525, 'Z': -0.0027503157034516335}, {'X': 0.7257338762283325, 'Y': 0.34406256675720215, 'Z': -0.01088849175721407}, {'X': 0.7140441536903381, 'Y': 0.2826465964317322, 'Z': -0.03656541928648949}, {'X': 0.7052226066589355, 'Y': 0.2269187867641449, 'Z': -0.055925630033016205}, {'X': 0.7795418500900269, 'Y': 0.45906904339790344, 'Z': -0.009968469850718975}, {'X': 0.7756235599517822, 'Y': 0.3746151030063629, 'Z': -0.02378065697848797}, {'X': 0.7697609066963196, 'Y': 0.32204681634902954, 'Z': -0.03963303565979004}, {'X': 0.7633448839187622, 'Y': 0.2723965346813202, 'Z': -0.05284512788057327}]
[{'X': 0.7456051111221313, 'Y': 0.6934178471565247, 'Z': -6.441630830522627e-05}, {'X': 0.688465416431427, 'Y': 0.6751663088798523, 'Z': -0.03241680562496185}, {'X': 0.6483961343765259, 'Y': 0.5841267108917236, 'Z': -0.04401868209242821}, {'X': 0.6295903921127319, 'Y': 0.49217313528060913, 'Z': -0.05773695185780525}, {'X': 0.6012125015258789, 'Y': 0.432424932718277, 'Z': -0.07538184523582458}, {'X': 0.6650103330612183, 'Y': 0.4690351188182831, 'Z': 0.0023959404788911343}, {'X': 0.6390435099601746, 'Y': 0.3771461844444275, 'Z': -0.011002243496477604}, {'X': 0.6245175004005432, 'Y': 0.317746639251709, 'Z': -0.026397094130516052}, {'X': 0.6128780841827393, 'Y': 0.25879907608032227, 'Z': -0.0393424890935421}, {'X': 0.7015371918678284, 'Y': 0.4456392526626587, 'Z': 0.003323191311210394}, {'X': 0.6830023527145386, 'Y': 0.3468143939971924, 'Z': -0.002697140444070101}, {'X': 0.670568585395813, 'Y': 0.2837074398994446, 'Z': -0.029267219826579094}, {'X': 0.661465048789978, 'Y': 0.225102037191391, 'Z': -0.050127141177654266}, {'X': 0.7390062808990479, 'Y': 0.4423471987247467, 'Z': -0.0012619550107046962}, {'X': 0.7257461547851562, 'Y': 0.34263238310813904, 'Z': -0.008988164365291595}, {'X': 0.7137842178344727, 'Y': 0.28125229477882385, 'Z': -0.03417208045721054}, {'X': 0.7044371366500854, 'Y': 0.2261233627796173, 'Z': -0.05292540043592453}, {'X': 0.778843104839325, 'Y': 0.45722824335098267, 'Z': -0.008442907594144344}, {'X': 0.7752947211265564, 'Y': 0.37320366501808167, 'Z': -0.021766945719718933}, {'X': 0.7696622610092163, 'Y': 0.32049763202667236, 'Z': -0.037078678607940674}, {'X': 0.7634614706039429, 'Y': 0.2709256410598755, 'Z': -0.049937453120946884}]
[{'X': 0.7445942759513855, 'Y': 0.6945936679840088, 'Z': -6.172648863866925e-05}, {'X': 0.6873298287391663, 'Y': 0.6753614544868469, 'Z': -0.031467314809560776}, {'X': 0.6479441523551941, 'Y': 0.5845656394958496, 'Z': -0.042627740651369095}, {'X': 0.6296086311340332, 'Y': 0.49247339367866516, 'Z': -0.056082919239997864}, {'X': 0.6014693975448608, 'Y': 0.43302881717681885, 'Z': -0.07362356781959534}, {'X': 0.6649320125579834, 'Y': 0.47000470757484436, 'Z': 0.0027998595032840967}, {'X': 0.6391453146934509, 'Y': 0.37801557779312134, 'Z': -0.010438947007060051}, {'X': 0.6249192357063293, 'Y': 0.3184937536716461, 'Z': -0.025661423802375793}, {'X': 0.6137431263923645, 'Y': 0.2595129907131195, 'Z': -0.03833259642124176}, {'X': 0.7015501260757446, 'Y': 0.44652241468429565, 'Z': 0.003222153289243579}, {'X': 0.6827154755592346, 'Y': 0.34674662351608276, 'Z': -0.0023357518948614597}, {'X': 0.67031329870224, 'Y': 0.2828592360019684, 'Z': -0.028483575209975243}, {'X': 0.661301851272583, 'Y': 0.22360828518867493, 'Z': -0.04914381727576256}, {'X': 0.7393571734428406, 'Y': 0.44359344244003296, 'Z': -0.0018178492318838835}, {'X': 0.726000964641571, 'Y': 0.3438345789909363, 'Z': -0.009320332668721676}, {'X': 0.7140570282936096, 'Y': 0.28194206953048706, 'Z': -0.03433867543935776}, {'X': 0.7044864892959595, 'Y': 0.22617977857589722, 'Z': -0.0529642328619957}, {'X': 0.779629111289978, 'Y': 0.45920801162719727, 'Z': -0.009349162690341473}, {'X': 0.7762265801429749, 'Y': 0.37497377395629883, 'Z': -0.02293982543051243}, {'X': 0.770839512348175, 'Y': 0.32166361808776855, 'Z': -0.03804592043161392}, {'X': 0.7646647691726685, 'Y': 0.2711893916130066, 'Z': -0.05073031783103943}]
