[{'X': 0.7507691979408264, 'Y': 0.8694573044776917, 'Z': -3.41613485943526e-05}, {'X': 0.6698715686798096, 'Y': 0.8333253860473633, 'Z': 0.025367842987179756}, {'X': 0.6150211095809937, 'Y': 0.7407693266868591, 'Z': 0.031128153204917908}, {'X': 0.5802487730979919, 'Y': 0.6526071429252625, 'Z': 0.032979488372802734}, {'X': 0.5430518388748169, 'Y': 0.6074209809303284, 'Z': 0.03839797526597977}, {'X': 0.6552667021751404, 'Y': 0.5797373056411743, 'Z': 0.00962816271930933}, {'X': 0.6325199604034424, 'Y': 0.4472956657409668, 'Z': 0.014900850132107735}, {'X': 0.6214369535446167, 'Y': 0.3701744079589844, 'Z': 0.02063973806798458}, {'X': 0.6106541752815247, 'Y': 0.3074212372303009, 'Z': 0.023599285632371902}, {'X': 0.7001651525497437, 'Y': 0.5582923293113708, 'Z': 0.0006280767265707254}, {'X': 0.6750330328941345, 'Y': 0.4029598534107208, 'Z': 0.001513390801846981}, {'X': 0.6614011526107788, 'Y': 0.31316784024238586, 'Z': -0.0014863645192235708}, {'X': 0.6512109637260437, 'Y': 0.24155783653259277, 'Z': -0.005597015377134085}, {'X': 0.7463861703872681, 'Y': 0.5644822716712952, 'Z': -0.002756975358352065}, {'X': 0.7275896072387695, 'Y': 0.41931068897247314, 'Z': 0.0014448434812948108}, {'X': 0.7128375172615051, 'Y': 0.3340637981891632, 'Z': 0.002150506479665637}, {'X': 0.6989700198173523, 'Y': 0.26810023188591003, 'Z': 0.0024455226957798004}, {'X': 0.7930739521980286, 'Y': 0.5943899750709534, 'Z': -0.0007642466225661337}, {'X': 0.7860504388809204, 'Y': 0.4926021695137024, 'Z': -0.0013768902281299233}, {'X': 0.7772520780563354, 'Y': 0.4418568015098572, 'Z': -0.0042339107021689415}, {'X': 0.764610767364502, 'Y': 0.4051722288131714, 'Z': -0.005105683114379644}]
[{'X': 0.7530713081359863, 'Y': 0.7372927069664001, 'Z': -0.00010475579620106146}, {'X': 0.6861448884010315, 'Y': 0.7250171303749084, 'Z': -0.008561738766729832}, {'X': 0.6328414082527161, 'Y': 0.6427268981933594, 'Z': -0.003960740752518177}, {'X': 0.5976635813713074, 'Y': 0.5704147219657898, 'Z': -0.005550810601562262}, {'X': 0.5678215026855469, 'Y': 0.5382737517356873, 'Z': -0.01211490947753191}, {'X': 0.6699353456497192, 'Y': 0.4967551529407501, 'Z': 0.01695564016699791}, {'X': 0.6502190828323364, 'Y': 0.38182348012924194, 'Z': 0.012367377988994122}, {'X': 0.6378125548362732, 'Y': 0.31531354784965515, 'Z': 0.007650601211935282}, {'X': 0.6282871961593628, 'Y': 0.2623470723628998, 'Z': 0.0016507761320099235}, {'X': 0.711057722568512, 'Y': 0.48083439469337463, 'Z': -0.0037530537229031324}, {'X': 0.6954951286315918, 'Y': 0.34896552562713623, 'Z': -0.02507702447474003}, {'X': 0.6786718368530273, 'Y': 0.2684473991394043, 'Z': -0.040130626410245895}, {'X': 0.6668342351913452, 'Y': 0.20536211133003235, 'Z': -0.05379004776477814}, {'X': 0.7521560788154602, 'Y': 0.4989362955093384, 'Z': -0.03116387128829956}, {'X': 0.7351242303848267, 'Y': 0.39269721508026123, 'Z': -0.08643856644630432}, {'X': 0.7139427065849304, 'Y': 0.42703431844711304, 'Z': -0.12866537272930145}, {'X': 0.700545072555542, 'Y': 0.4689323604106903, 'Z': -0.14263345301151276}, {'X': 0.7918789982795715, 'Y': 0.534347414970398, 'Z': -0.05481695011258125}, {'X': 0.7661413550376892, 'Y': 0.4972120523452759, 'Z': -0.12286540865898132}, {'X': 0.7471982836723328, 'Y': 0.5595147609710693, 'Z': -0.157374769449234}, {'X': 0.7342866063117981, 'Y': 0.6229835152626038, 'Z': -0.1684141904115677}]
[{'X': 0.7486938238143921, 'Y': 0.7516598105430603, 'Z': -0.00011262772022746503}, {'X': 0.682751476764679, 'Y': 0.7280959486961365, 'Z': -0.014429276809096336}, {'X': 0.6316307783126831, 'Y': 0.6420819163322449, 'Z': -0.021548010408878326}, {'X': 0.5952544212341309, 'Y': 0.5879294872283936, 'Z': -0.0346955843269825}, {'X': 0.5679007172584534, 'Y': 0.544448971748352, 'Z': -0.053490616381168365}, {'X': 0.6766743063926697, 'Y': 0.5366281270980835, 'Z': -0.05200686678290367}, {'X': 0.661632776260376, 'Y': 0.4097803235054016, 'Z': -0.09113246202468872}, {'X': 0.6509996056556702, 'Y': 0.3253791630268097, 'Z': -0.12221355736255646}, {'X': 0.6421700716018677, 'Y': 0.25487664341926575, 'Z': -0.139504536986351}, {'X': 0.7116888761520386, 'Y': 0.535250723361969, 'Z': -0.07572387903928757}, {'X': 0.7007215023040771, 'Y': 0.40106165409088135, 'Z': -0.12605024874210358}, {'X': 0.6829895377159119, 'Y': 0.3112955391407013, 'Z': -0.15925849974155426}, {'X': 0.6711541414260864, 'Y': 0.2353808581829071, 'Z': -0.17873413860797882}, {'X': 0.7473182082176208, 'Y': 0.562869668006897, 'Z': -0.10040668398141861}, {'X': 0.7329788208007812, 'Y': 0.46345141530036926, 'Z': -0.17548947036266327}, {'X': 0.7051471471786499, 'Y': 0.46234166622161865, 'Z': -0.22710180282592773}, {'X': 0.6863241791725159, 'Y': 0.4740094542503357, 'Z': -0.25057491660118103}, {'X': 0.7787516117095947, 'Y': 0.5997536778450012, 'Z': -0.12105484306812286}, {'X': 0.7615062594413757, 'Y': 0.5531482100486755, 'Z': -0.19341450929641724}, {'X': 0.7397154569625854, 'Y': 0.5861989259719849, 'Z': -0.22332574427127838}, {'X': 0.7236036062240601, 'Y': 0.6254052519798279, 'Z': -0.2362154722213745}]
[{'X': 0.7600551843643188, 'Y': 0.7669578790664673, 'Z': -2.9551560146501288e-05}, {'X': 0.6919885277748108, 'Y': 0.732867419719696, 'Z': -0.011576046235859394}, {'X': 0.634541928768158, 'Y': 0.6436200141906738, 'Z': -0.017972208559513092}, {'X': 0.5950060486793518, 'Y': 0.5758757591247559, 'Z': -0.02693219669163227}, {'X': 0.5682648420333862, 'Y': 0.5422555208206177, 'Z': -0.034949880093336105}, {'X': 0.6657342314720154, 'Y': 0.5803155303001404, 'Z': -0.06605922430753708}, {'X': 0.6570571064949036, 'Y': 0.44014039635658264, 'Z': -0.09706339240074158}, {'X': 0.6551034450531006, 'Y': 0.3527272641658783, 'Z': -0.11101751029491425}, {'X': 0.654850423336029, 'Y': 0.28353312611579895, 'Z': -0.11610759049654007}, {'X': 0.7070140242576599, 'Y': 0.5759626626968384, 'Z': -0.0782325491309166}, {'X': 0.6978519558906555, 'Y': 0.4088875949382782, 'Z': -0.11766136437654495}, {'X': 0.685470700263977, 'Y': 0.310842365026474, 'Z': -0.12735190987586975}, {'X': 0.6735670566558838, 'Y': 0.23828187584877014, 'Z': -0.1301734447479248}, {'X': 0.7478201985359192, 'Y': 0.5842665433883667, 'Z': -0.09007443487644196}, {'X': 0.7336747050285339, 'Y': 0.4632715582847595, 'Z': -0.14081594347953796}, {'X': 0.7247031927108765, 'Y': 0.49482929706573486, 'Z': -0.1605025976896286}, {'X': 0.7195138931274414, 'Y': 0.5322567224502563, 'Z': -0.159539595246315}, {'X': 0.7871586084365845, 'Y': 0.5978244543075562, 'Z': -0.09833822399377823}, {'X': 0.774639368057251, 'Y': 0.5216379165649414, 'Z': -0.14555810391902924}, {'X': 0.7647168636322021, 'Y': 0.5575281977653503, 'Z': -0.15605884790420532}, {'X': 0.7550352811813354, 'Y': 0.5962793231010437, 'Z': -0.15716202557086945}]
[{'X': 0.7594701647758484, 'Y': 0.7744463682174683, 'Z': -4.594517304212786e-05}, {'X': 0.6775078177452087, 'Y': 0.7233566045761108, 'Z': 0.002224407624453306}, {'X': 0.6258262991905212, 'Y': 0.6246218681335449, 'Z': 0.008600160479545593}, {'X': 0.5935268998146057, 'Y': 0.5628188848495483, 'Z': 0.0053797997534275055}, {'X': 0.5607537627220154, 'Y': 0.540642261505127, 'Z': -0.001019319985061884}, {'X': 0.6743034720420837, 'Y': 0.51240074634552, 'Z': 0.008279235102236271}, {'X': 0.6609256863594055, 'Y': 0.3981890082359314, 'Z': -0.006530256476253271}, {'X': 0.6535367965698242, 'Y': 0.3293852210044861, 'Z': -0.016923710703849792}, {'X': 0.6486143469810486, 'Y': 0.26946648955345154, 'Z': -0.0246872641146183}, {'X': 0.7150976061820984, 'Y': 0.5077444314956665, 'Z': -0.015458490699529648}, {'X': 0.7004563212394714, 'Y': 0.37221992015838623, 'Z': -0.04653441533446312}, {'X': 0.6834720373153687, 'Y': 0.3019018769264221, 'Z': -0.06618361175060272}, {'X': 0.6670117974281311, 'Y': 0.23865455389022827, 'Z': -0.07928366214036942}, {'X': 0.7570816874504089, 'Y': 0.527642548084259, 'Z': -0.04324681684374809}, {'X': 0.7395576238632202, 'Y': 0.43810659646987915, 'Z': -0.09904377162456512}, {'X': 0.7206941843032837, 'Y': 0.5187326073646545, 'Z': -0.13208261132240295}, {'X': 0.7107929587364197, 'Y': 0.5821200609207153, 'Z': -0.13460256159305573}, {'X': 0.800500750541687, 'Y': 0.5575618743896484, 'Z': -0.06710009276866913}, {'X': 0.7841128706932068, 'Y': 0.4977143406867981, 'Z': -0.12233442813158035}, {'X': 0.7649071216583252, 'Y': 0.5620209574699402, 'Z': -0.14498239755630493}, {'X': 0.7519311904907227, 'Y': 0.6178140044212341, 'Z': -0.1498696506023407}]
[{'X': 0.7182180881500244, 'Y': 0.737618088722229, 'Z': -3.6616638681152835e-06}, {'X': 0.6596127152442932, 'Y': 0.6863855123519897, 'Z': -0.007685102988034487}, {'X': 0.6262274980545044, 'Y': 0.6162547469139099, 'Z': -0.033041756600141525}, {'X': 0.5945838689804077, 'Y': 0.5706493258476257, 'Z': -0.0585421584546566}, {'X': 0.5631316900253296, 'Y': 0.5303850173950195, 'Z': -0.08135873079299927}, {'X': 0.6599646806716919, 'Y': 0.5586621761322021, 'Z': -0.12697941064834595}, {'X': 0.6629855632781982, 'Y': 0.42887359857559204, 'Z': -0.18878772854804993}, {'X': 0.6612405776977539, 'Y': 0.3390819728374481, 'Z': -0.22526176273822784}, {'X': 0.6548234820365906, 'Y': 0.2670666575431824, 'Z': -0.2452767789363861}, {'X': 0.6895763278007507, 'Y': 0.5871859192848206, 'Z': -0.15010829269886017}, {'X': 0.7020039558410645, 'Y': 0.4590144157409668, 'Z': -0.22891390323638916}, {'X': 0.7044873237609863, 'Y': 0.37167078256607056, 'Z': -0.2728384733200073}, {'X': 0.7026025652885437, 'Y': 0.29795169830322266, 'Z': -0.30160588026046753}, {'X': 0.7174836993217468, 'Y': 0.6347801089286804, 'Z': -0.16663573682308197}, {'X': 0.7325593829154968, 'Y': 0.5382241606712341, 'Z': -0.23585984110832214}, {'X': 0.7359744310379028, 'Y': 0.46132802963256836, 'Z': -0.27677422761917114}, {'X': 0.737217903137207, 'Y': 0.3975440263748169, 'Z': -0.3021174967288971}, {'X': 0.737859845161438, 'Y': 0.6908648014068604, 'Z': -0.17987479269504547}, {'X': 0.7571854591369629, 'Y': 0.6371415257453918, 'Z': -0.23367302119731903}, {'X': 0.7636322975158691, 'Y': 0.5936295986175537, 'Z': -0.26614776253700256}, {'X': 0.7647691369056702, 'Y': 0.5549667477607727, 'Z': -0.292254239320755}]
[{'X': 0.7517737150192261, 'Y': 0.7588067054748535, 'Z': -9.013035742100328e-05}, {'X': 0.6826817393302917, 'Y': 0.7155206203460693, 'Z': 3.0527367925969884e-05}, {'X': 0.6306392550468445, 'Y': 0.6369583010673523, 'Z': 0.0023029015865176916}, {'X': 0.5959358811378479, 'Y': 0.5788496732711792, 'Z': -0.0035996604710817337}, {'X': 0.5629421472549438, 'Y': 0.545205295085907, 'Z': -0.011330705136060715}, {'X': 0.6685725450515747, 'Y': 0.4884195923805237, 'Z': 0.026158377528190613}, {'X': 0.6526170969009399, 'Y': 0.37800243496894836, 'Z': 0.01589694619178772}, {'X': 0.6480163335800171, 'Y': 0.3132472038269043, 'Z': 0.009319906122982502}, {'X': 0.6417768001556396, 'Y': 0.2532041072845459, 'Z': 0.0037680300883948803}, {'X': 0.7053552269935608, 'Y': 0.47557830810546875, 'Z': 0.00027548428624868393}, {'X': 0.6896474957466125, 'Y': 0.34895020723342896, 'Z': -0.022199204191565514}, {'X': 0.678374171257019, 'Y': 0.26977723836898804, 'Z': -0.04376843944191933}, {'X': 0.666754424571991, 'Y': 0.20670533180236816, 'Z': -0.0542207807302475}, {'X': 0.7450329661369324, 'Y': 0.4935174584388733, 'Z': -0.028991060331463814}, {'X': 0.7327787280082703, 'Y': 0.38287705183029175, 'Z': -0.06014645844697952}, {'X': 0.7137947678565979, 'Y': 0.32757776975631714, 'Z': -0.08748786896467209}, {'X': 0.6943356990814209, 'Y': 0.2900804281234741, 'Z': -0.09730316698551178}, {'X': 0.789531409740448, 'Y': 0.5382905602455139, 'Z': -0.05856965482234955}, {'X': 0.7778831124305725, 'Y': 0.47062358260154724, 'Z': -0.10943461209535599}, {'X': 0.7565329074859619, 'Y': 0.4795833230018616, 'Z': -0.14094385504722595}, {'X': 0.7350244522094727, 'Y': 0.5082516670227051, 'Z': -0.1554410457611084}]
[{'X': 0.7515493631362915, 'Y': 0.7215228080749512, 'Z': -0.00011071861808886752}, {'X': 0.6807713508605957, 'Y': 0.7113480567932129, 'Z': 0.013753186911344528}, {'X': 0.6304600834846497, 'Y': 0.6434019804000854, 'Z': 0.03124440833926201}, {'X': 0.5964053869247437, 'Y': 0.5837235450744629, 'Z': 0.040578313171863556}, {'X': 0.570841372013092, 'Y': 0.5491335988044739, 'Z': 0.05102670565247536}, {'X': 0.6641008853912354, 'Y': 0.48296016454696655, 'Z': 0.06534752994775772}, {'X': 0.6499553918838501, 'Y': 0.3848898410797119, 'Z': 0.07934273779392242}, {'X': 0.6424041390419006, 'Y': 0.3193948268890381, 'Z': 0.07973525673151016}, {'X': 0.6363677978515625, 'Y': 0.26365983486175537, 'Z': 0.0747523233294487}, {'X': 0.7004389762878418, 'Y': 0.46403515338897705, 'Z': 0.0502653531730175}, {'X': 0.6870580911636353, 'Y': 0.348173588514328, 'Z': 0.0618865042924881}, {'X': 0.6757299304008484, 'Y': 0.26714757084846497, 'Z': 0.050940267741680145}, {'X': 0.6673396229743958, 'Y': 0.20476332306861877, 'Z': 0.043675728142261505}, {'X': 0.7405394315719604, 'Y': 0.47167548537254333, 'Z': 0.032569654285907745}, {'X': 0.728645384311676, 'Y': 0.3609640598297119, 'Z': 0.033076878637075424}, {'X': 0.7176036834716797, 'Y': 0.28627943992614746, 'Z': 0.019068343564867973}, {'X': 0.7061302065849304, 'Y': 0.22420883178710938, 'Z': 0.011713121086359024}, {'X': 0.7822566628456116, 'Y': 0.505352795124054, 'Z': 0.014263545162975788}, {'X': 0.7705855965614319, 'Y': 0.4382631778717041, 'Z': -0.005041887052357197}, {'X': 0.7557060718536377, 'Y': 0.4030601382255554, 'Z': -0.022404033690690994}, {'X': 0.7378241419792175, 'Y': 0.38244515657424927, 'Z': -0.030583824962377548}]
[{'X': 0.7450405359268188, 'Y': 0.7075196504592896, 'Z': -8.708160021342337e-05}, {'X': 0.6757806539535522, 'Y': 0.7058107852935791, 'Z': 0.023505352437496185}, {'X': 0.6301692724227905, 'Y': 0.6417831778526306, 'Z': 0.04385693743824959}, {'X': 0.597247838973999, 'Y': 0.5804570317268372, 'Z': 0.05718918889760971}, {'X': 0.5688959956169128, 'Y': 0.5587729215621948, 'Z': 0.0707775354385376}, {'X': 0.6630150675773621, 'Y': 0.4838559925556183, 'Z': 0.055883247405290604}, {'X': 0.6475174427032471, 'Y': 0.3771216869354248, 'Z': 0.06685647368431091}, {'X': 0.6381196975708008, 'Y': 0.3127633333206177, 'Z': 0.06048097088932991}, {'X': 0.6302883625030518, 'Y': 0.2591213285923004, 'Z': 0.05067244917154312}, {'X': 0.6993396878242493, 'Y': 0.45862656831741333, 'Z': 0.04211070388555527}, {'X': 0.6877388954162598, 'Y': 0.3400740623474121, 'Z': 0.052332885563373566}, {'X': 0.6758425831794739, 'Y': 0.2577570378780365, 'Z': 0.03523263335227966}, {'X': 0.6671310663223267, 'Y': 0.19264531135559082, 'Z': 0.020478982478380203}, {'X': 0.739820659160614, 'Y': 0.4611704647541046, 'Z': 0.02800869755446911}, {'X': 0.7307932376861572, 'Y': 0.3417089581489563, 'Z': 0.03281746432185173}, {'X': 0.7210192680358887, 'Y': 0.2602296471595764, 'Z': 0.018507102504372597}, {'X': 0.7126972675323486, 'Y': 0.19159236550331116, 'Z': 0.007389319594949484}, {'X': 0.7823635339736938, 'Y': 0.48813164234161377, 'Z': 0.016632147133350372}, {'X': 0.7847542762756348, 'Y': 0.39992469549179077, 'Z': 0.018034249544143677}, {'X': 0.7822025418281555, 'Y': 0.3427569270133972, 'Z': 0.014637499116361141}, {'X': 0.7757954001426697, 'Y': 0.2929415702819824, 'Z': 0.011037126183509827}]
[{'X': 0.7531360983848572, 'Y': 0.7219014167785645, 'Z': -7.463036308763549e-05}, {'X': 0.67825847864151, 'Y': 0.714144229888916, 'Z': 0.03307143971323967}, {'X': 0.6302085518836975, 'Y': 0.6475900411605835, 'Z': 0.05465834215283394}, {'X': 0.5962120294570923, 'Y': 0.5820856094360352, 'Z': 0.06939421594142914}, {'X': 0.5678092837333679, 'Y': 0.555899977684021, 'Z': 0.08577843010425568}, {'X': 0.6633119583129883, 'Y': 0.4849362373352051, 'Z': 0.05974706634879112}, {'X': 0.6446973085403442, 'Y': 0.3728914260864258, 'Z': 0.0747700110077858}, {'X': 0.6344395279884338, 'Y': 0.3077443242073059, 'Z': 0.07579270750284195}, {'X': 0.6268548965454102, 'Y': 0.25690579414367676, 'Z': 0.07228387147188187}, {'X': 0.7012315988540649, 'Y': 0.459136426448822, 'Z': 0.04431644454598427}, {'X': 0.6869749426841736, 'Y': 0.33203887939453125, 'Z': 0.058390259742736816}, {'X': 0.6744972467422485, 'Y': 0.24990248680114746, 'Z': 0.04974864050745964}, {'X': 0.6661547422409058, 'Y': 0.18751049041748047, 'Z': 0.04190037399530411}, {'X': 0.7427300214767456, 'Y': 0.4604823589324951, 'Z': 0.03070041909813881}, {'X': 0.7325705289840698, 'Y': 0.3302672505378723, 'Z': 0.03936108201742172}, {'X': 0.7223782539367676, 'Y': 0.24700957536697388, 'Z': 0.03237926587462425}, {'X': 0.7141673564910889, 'Y': 0.17936500906944275, 'Z': 0.02744808979332447}, {'X': 0.7854467630386353, 'Y': 0.48594945669174194, 'Z': 0.02152569591999054}, {'X': 0.7857486009597778, 'Y': 0.3868964910507202, 'Z': 0.02685476653277874}, {'X': 0.7818339467048645, 'Y': 0.32501497864723206, 'Z': 0.025453871116042137}, {'X': 0.7739370465278625, 'Y': 0.2713482081890106, 'Z': 0.024532722309231758}]
[{'X': 0.743844747543335, 'Y': 0.7110255360603333, 'Z': -7.54166831029579e-05}, {'X': 0.6767865419387817, 'Y': 0.7084869146347046, 'Z': 0.015156444162130356}, {'X': 0.629984974861145, 'Y': 0.6402994990348816, 'Z': 0.030018996447324753}, {'X': 0.5964493155479431, 'Y': 0.5754808783531189, 'Z': 0.03779580444097519}, {'X': 0.5655118823051453, 'Y': 0.5532601475715637, 'Z': 0.044519536197185516}, {'X': 0.6622941493988037, 'Y': 0.48052647709846497, 'Z': 0.051686741411685944}, {'X': 0.6457085013389587, 'Y': 0.37538942694664, 'Z': 0.05614953860640526}, {'X': 0.6350644826889038, 'Y': 0.3112744092941284, 'Z': 0.04657071828842163}, {'X': 0.6272380352020264, 'Y': 0.25861939787864685, 'Z': 0.03564729169011116}, {'X': 0.699468195438385, 'Y': 0.4556884765625, 'Z': 0.03719005361199379}, {'X': 0.685448944568634, 'Y': 0.33664143085479736, 'Z': 0.04311712458729744}, {'X': 0.6719079613685608, 'Y': 0.2551603615283966, 'Z': 0.024008139967918396}, {'X': 0.6626821756362915, 'Y': 0.19104236364364624, 'Z': 0.01037655770778656}, {'X': 0.7409197688102722, 'Y': 0.45879343152046204, 'Z': 0.020544124767184258}, {'X': 0.7324450016021729, 'Y': 0.33711010217666626, 'Z': 0.020773740485310555}, {'X': 0.7235913872718811, 'Y': 0.25510796904563904, 'Z': 0.0044939867220819}, {'X': 0.7168221473693848, 'Y': 0.18551850318908691, 'Z': -0.007604873273521662}, {'X': 0.7835896015167236, 'Y': 0.4873538315296173, 'Z': 0.005942204501479864}, {'X': 0.7850229740142822, 'Y': 0.3936711549758911, 'Z': 0.0023807173129171133}, {'X': 0.7811434864997864, 'Y': 0.333437979221344, 'Z': -0.004101952537894249}, {'X': 0.7728874683380127, 'Y': 0.27994856238365173, 'Z': -0.010148175992071629}]
[{'X': 0.743430495262146, 'Y': 0.714663565158844, 'Z': -6.798228423576802e-05}, {'X': 0.6770625710487366, 'Y': 0.7122174501419067, 'Z': 0.005201988387852907}, {'X': 0.6295728087425232, 'Y': 0.6432809233665466, 'Z': 0.016837889328598976}, {'X': 0.5956401824951172, 'Y': 0.5775103569030762, 'Z': 0.023109395056962967}, {'X': 0.5671459436416626, 'Y': 0.5520473718643188, 'Z': 0.029138298705220222}, {'X': 0.6620190143585205, 'Y': 0.481781929731369, 'Z': 0.039472274482250214}, {'X': 0.643956184387207, 'Y': 0.3759382367134094, 'Z': 0.03976697847247124}, {'X': 0.6334654092788696, 'Y': 0.3120132088661194, 'Z': 0.027705224230885506}, {'X': 0.6260718107223511, 'Y': 0.25785258412361145, 'Z': 0.015297040343284607}, {'X': 0.6989753842353821, 'Y': 0.4564301073551178, 'Z': 0.028728598728775978}, {'X': 0.6848090887069702, 'Y': 0.3386569023132324, 'Z': 0.03341830149292946}, {'X': 0.6710779070854187, 'Y': 0.26065319776535034, 'Z': 0.014189818874001503}, {'X': 0.6611640453338623, 'Y': 0.19847354292869568, 'Z': 0.0007711193175055087}, {'X': 0.7399269342422485, 'Y': 0.4592694640159607, 'Z': 0.015418235212564468}, {'X': 0.7334588170051575, 'Y': 0.3387848734855652, 'Z': 0.013304597698152065}, {'X': 0.7251749038696289, 'Y': 0.2569849491119385, 'Z': -0.005526972468942404}, {'X': 0.7179970145225525, 'Y': 0.18684107065200806, 'Z': -0.018259158357977867}, {'X': 0.7818909287452698, 'Y': 0.48760515451431274, 'Z': 0.0031268743332475424}, {'X': 0.7835145592689514, 'Y': 0.3962983787059784, 'Z': -0.005069674924015999}, {'X': 0.7806711792945862, 'Y': 0.3369526267051697, 'Z': -0.015357372350990772}, {'X': 0.7730295062065125, 'Y': 0.2839670181274414, 'Z': -0.023269973695278168}]
[{'X': 0.7460371255874634, 'Y': 0.7194117307662964, 'Z': -6.415836833184585e-05}, {'X': 0.6779038906097412, 'Y': 0.7124753594398499, 'Z': 0.013613792136311531}, {'X': 0.629068911075592, 'Y': 0.6422727704048157, 'Z': 0.029021386057138443}, {'X': 0.5938776731491089, 'Y': 0.5790645480155945, 'Z': 0.03889775648713112}, {'X': 0.5646731853485107, 'Y': 0.5604963898658752, 'Z': 0.049590103328228}, {'X': 0.6630159616470337, 'Y': 0.48777762055397034, 'Z': 0.03457161784172058}, {'X': 0.6440930962562561, 'Y': 0.37364715337753296, 'Z': 0.03913170471787453}, {'X': 0.6341922283172607, 'Y': 0.3054933547973633, 'Z': 0.03689800947904587}, {'X': 0.6275559663772583, 'Y': 0.25308671593666077, 'Z': 0.031888220459222794}, {'X': 0.702633261680603, 'Y': 0.4635668098926544, 'Z': 0.024596838280558586}, {'X': 0.686034619808197, 'Y': 0.3368281126022339, 'Z': 0.030605586245656013}, {'X': 0.6722971200942993, 'Y': 0.255789577960968, 'Z': 0.017838254570961}, {'X': 0.6632040143013, 'Y': 0.1933925449848175, 'Z': 0.007388066966086626}, {'X': 0.7446609735488892, 'Y': 0.4661772847175598, 'Z': 0.014384540729224682}, {'X': 0.734801173210144, 'Y': 0.33630359172821045, 'Z': 0.014440221711993217}, {'X': 0.7257266044616699, 'Y': 0.2553780674934387, 'Z': 0.0014751274138689041}, {'X': 0.7174621820449829, 'Y': 0.18867838382720947, 'Z': -0.007563525345176458}, {'X': 0.7870524525642395, 'Y': 0.4926126003265381, 'Z': 0.007699983194470406}, {'X': 0.7859286069869995, 'Y': 0.395254522562027, 'Z': 0.002418147400021553}, {'X': 0.7811003923416138, 'Y': 0.3377749025821686, 'Z': -0.004024918656796217}, {'X': 0.7709874510765076, 'Y': 0.28791704773902893, 'Z': -0.009510090574622154}]
[{'X': 0.7442708015441895, 'Y': 0.7148258686065674, 'Z': -7.193099736468866e-05}, {'X': 0.6737271547317505, 'Y': 0.713395357131958, 'Z': 0.029696376994252205}, {'X': 0.6287980675697327, 'Y': 0.6470100283622742, 'Z': 0.053030066192150116}, {'X': 0.5949099659919739, 'Y': 0.5818220973014832, 'Z': 0.0701608657836914}, {'X': 0.5654476881027222, 'Y': 0.561800479888916, 'Z': 0.08941337466239929}, {'X': 0.6610145568847656, 'Y': 0.4899630546569824, 'Z': 0.052262816578149796}, {'X': 0.6435562372207642, 'Y': 0.3774876296520233, 'Z': 0.06660120189189911}, {'X': 0.6345774531364441, 'Y': 0.31023842096328735, 'Z': 0.06863796710968018}, {'X': 0.6275103688240051, 'Y': 0.2585705518722534, 'Z': 0.06555809080600739}, {'X': 0.7005710005760193, 'Y': 0.4632982015609741, 'Z': 0.04023188352584839}, {'X': 0.686457633972168, 'Y': 0.339485764503479, 'Z': 0.051957327872514725}, {'X': 0.673692524433136, 'Y': 0.2565113306045532, 'Z': 0.03997237607836723}, {'X': 0.6650464534759521, 'Y': 0.1930243968963623, 'Z': 0.02943880669772625}, {'X': 0.7433512210845947, 'Y': 0.46539151668548584, 'Z': 0.03025207296013832}, {'X': 0.7333494424819946, 'Y': 0.33863115310668945, 'Z': 0.03713172674179077}, {'X': 0.7231866121292114, 'Y': 0.2548363208770752, 'Z': 0.028378555551171303}, {'X': 0.7151725888252258, 'Y': 0.18655100464820862, 'Z': 0.022497011348605156}, {'X': 0.7863479852676392, 'Y': 0.49230432510375977, 'Z': 0.02533384971320629}, {'X': 0.7850025296211243, 'Y': 0.39607104659080505, 'Z': 0.029060933738946915}, {'X': 0.7795968055725098, 'Y': 0.3380182981491089, 'Z': 0.02871488593518734}, {'X': 0.769428014755249, 'Y': 0.28957974910736084, 'Z': 0.02759837917983532}]
