[{'X': 0.5953192710876465, 'Y': 0.6875101327896118, 'Z': -1.0738963283074554e-05}, {'X': 0.5576320886611938, 'Y': 0.6936049461364746, 'Z': 0.0141278812661767}, {'X': 0.5332663059234619, 'Y': 0.6554431915283203, 'Z': 0.025786595419049263}, {'X': 0.5238436460494995, 'Y': 0.6202778816223145, 'Z': 0.0278719924390316}, {'X': 0.5211739540100098, 'Y': 0.5901156663894653, 'Z': 0.032977331429719925}, {'X': 0.5433903932571411, 'Y': 0.599419355392456, 'Z': 0.058482587337493896}, {'X': 0.5247758030891418, 'Y': 0.5697386264801025, 'Z': 0.04784290865063667}, {'X': 0.5090072751045227, 'Y': 0.5819777250289917, 'Z': 0.03222891688346863}, {'X': 0.49798280000686646, 'Y': 0.6039668321609497, 'Z': 0.019104069098830223}, {'X': 0.5551972985267639, 'Y': 0.5849884152412415, 'Z': 0.04342088848352432}, {'X': 0.52925705909729, 'Y': 0.5536543726921082, 'Z': 0.02842424251139164}, {'X': 0.5119547247886658, 'Y': 0.5852303504943848, 'Z': 0.004479485563933849}, {'X': 0.5036184787750244, 'Y': 0.6221528649330139, 'Z': -0.008473691530525684}, {'X': 0.5700172781944275, 'Y': 0.5749872326850891, 'Z': 0.02471214160323143}, {'X': 0.5415716171264648, 'Y': 0.5490399599075317, 'Z': 0.00783618912100792}, {'X': 0.5290669202804565, 'Y': 0.5897020101547241, 'Z': -0.0100982915610075}, {'X': 0.5264010429382324, 'Y': 0.628429114818573, 'Z': -0.016807574778795242}, {'X': 0.5858413577079773, 'Y': 0.5667994618415833, 'Z': 0.006464944686740637}, {'X': 0.5577002167701721, 'Y': 0.5501846075057983, 'Z': -0.007556474767625332}, {'X': 0.5449210405349731, 'Y': 0.5798365473747253, 'Z': -0.01661301963031292}, {'X': 0.5403035283088684, 'Y': 0.6087937951087952, 'Z': -0.020663559436798096}]
[{'X': 0.6149194240570068, 'Y': 0.671291708946228, 'Z': -3.033831853826996e-05}, {'X': 0.5734041333198547, 'Y': 0.6913636922836304, 'Z': -0.024260763078927994}, {'X': 0.5395167469978333, 'Y': 0.6623724699020386, 'Z': -0.044023435562849045}, {'X': 0.5123067498207092, 'Y': 0.6249305605888367, 'Z': -0.0642399936914444}, {'X': 0.4842434525489807, 'Y': 0.6043593287467957, 'Z': -0.08488667011260986}, {'X': 0.546554684638977, 'Y': 0.545441746711731, 'Z': -0.03180902823805809}, {'X': 0.5204031467437744, 'Y': 0.473629891872406, 'Z': -0.05125279352068901}, {'X': 0.5029181838035583, 'Y': 0.4325457513332367, 'Z': -0.06735361367464066}, {'X': 0.48545584082603455, 'Y': 0.40037649869918823, 'Z': -0.08181264996528625}, {'X': 0.5708296895027161, 'Y': 0.5229363441467285, 'Z': -0.037009578198194504}, {'X': 0.5469028949737549, 'Y': 0.44131261110305786, 'Z': -0.05903281271457672}, {'X': 0.5302799344062805, 'Y': 0.3890872001647949, 'Z': -0.07980892807245255}, {'X': 0.5140984058380127, 'Y': 0.3413603603839874, 'Z': -0.09672205150127411}, {'X': 0.5981172323226929, 'Y': 0.5205669403076172, 'Z': -0.043267566710710526}, {'X': 0.5816906690597534, 'Y': 0.43963176012039185, 'Z': -0.0636923685669899}, {'X': 0.5677521228790283, 'Y': 0.38621294498443604, 'Z': -0.08430606871843338}, {'X': 0.5521096587181091, 'Y': 0.3383937478065491, 'Z': -0.1017480343580246}, {'X': 0.6281883120536804, 'Y': 0.5318661332130432, 'Z': -0.05212009325623512}, {'X': 0.6229848265647888, 'Y': 0.46790844202041626, 'Z': -0.07495588064193726}, {'X': 0.6150145530700684, 'Y': 0.4265958070755005, 'Z': -0.09268814325332642}, {'X': 0.6034810543060303, 'Y': 0.3881642818450928, 'Z': -0.10629481822252274}]
[{'X': 0.6228402256965637, 'Y': 0.6765585541725159, 'Z': -2.4478951672790572e-05}, {'X': 0.5814086198806763, 'Y': 0.695960283279419, 'Z': -0.027050526812672615}, {'X': 0.5451768636703491, 'Y': 0.6615439057350159, 'Z': -0.04484991356730461}, {'X': 0.5166222453117371, 'Y': 0.6247876882553101, 'Z': -0.06316955387592316}, {'X': 0.4871956706047058, 'Y': 0.605369508266449, 'Z': -0.08400110900402069}, {'X': 0.5565825700759888, 'Y': 0.536510169506073, 'Z': -0.024349721148610115}, {'X': 0.5327597260475159, 'Y': 0.4636293351650238, 'Z': -0.041847504675388336}, {'X': 0.515761137008667, 'Y': 0.41916969418525696, 'Z': -0.05790072679519653}, {'X': 0.5000404119491577, 'Y': 0.38396015763282776, 'Z': -0.07120774686336517}, {'X': 0.5805658102035522, 'Y': 0.5128496885299683, 'Z': -0.02829102613031864}, {'X': 0.5602360963821411, 'Y': 0.4297143220901489, 'Z': -0.04454980045557022}, {'X': 0.544211745262146, 'Y': 0.3762860894203186, 'Z': -0.06421767920255661}, {'X': 0.5296981334686279, 'Y': 0.32940614223480225, 'Z': -0.08009765297174454}, {'X': 0.6081453561782837, 'Y': 0.5103939771652222, 'Z': -0.034560058265924454}, {'X': 0.5942953824996948, 'Y': 0.4269334077835083, 'Z': -0.052432529628276825}, {'X': 0.5803510546684265, 'Y': 0.37285304069519043, 'Z': -0.07168007642030716}, {'X': 0.5662253499031067, 'Y': 0.3253173530101776, 'Z': -0.08721695840358734}, {'X': 0.638464629650116, 'Y': 0.5241335034370422, 'Z': -0.044059403240680695}, {'X': 0.6362195014953613, 'Y': 0.4569035768508911, 'Z': -0.0642457827925682}, {'X': 0.6292437314987183, 'Y': 0.4153943359851837, 'Z': -0.07943276315927505}, {'X': 0.6200729608535767, 'Y': 0.37754809856414795, 'Z': -0.09119851142168045}]
[{'X': 0.6301957964897156, 'Y': 0.6684108972549438, 'Z': -2.55538852798054e-05}, {'X': 0.5876541137695312, 'Y': 0.6840924024581909, 'Z': -0.028134997934103012}, {'X': 0.5513237118721008, 'Y': 0.6467404961585999, 'Z': -0.04736364632844925}, {'X': 0.5220943093299866, 'Y': 0.6082940101623535, 'Z': -0.06816201657056808}, {'X': 0.4919235110282898, 'Y': 0.5901405215263367, 'Z': -0.09277552366256714}, {'X': 0.5664555430412292, 'Y': 0.5258955359458923, 'Z': -0.027749579399824142}, {'X': 0.5421848893165588, 'Y': 0.45021793246269226, 'Z': -0.04739891365170479}, {'X': 0.5256316661834717, 'Y': 0.4031359553337097, 'Z': -0.06420565396547318}, {'X': 0.5109533667564392, 'Y': 0.36531513929367065, 'Z': -0.07636638730764389}, {'X': 0.591893196105957, 'Y': 0.5029731392860413, 'Z': -0.03029978834092617}, {'X': 0.5717023015022278, 'Y': 0.41687408089637756, 'Z': -0.046748798340559006}, {'X': 0.556977391242981, 'Y': 0.3612498641014099, 'Z': -0.06526246666908264}, {'X': 0.5447127223014832, 'Y': 0.3125884532928467, 'Z': -0.07930254191160202}, {'X': 0.6201115846633911, 'Y': 0.5009035468101501, 'Z': -0.034933898597955704}, {'X': 0.6077115535736084, 'Y': 0.41607335209846497, 'Z': -0.051841046661138535}, {'X': 0.595980703830719, 'Y': 0.36107274889945984, 'Z': -0.06975528597831726}, {'X': 0.5844992399215698, 'Y': 0.31360530853271484, 'Z': -0.08291590213775635}, {'X': 0.6497452259063721, 'Y': 0.5146931409835815, 'Z': -0.04306486248970032}, {'X': 0.6509111523628235, 'Y': 0.44496771693229675, 'Z': -0.0627918392419815}, {'X': 0.6469240188598633, 'Y': 0.40144583582878113, 'Z': -0.07754406332969666}, {'X': 0.6400394439697266, 'Y': 0.3617057502269745, 'Z': -0.08785932511091232}]
[{'X': 0.6465973854064941, 'Y': 0.6686886548995972, 'Z': -3.3074938983190805e-05}, {'X': 0.6026180386543274, 'Y': 0.6806585788726807, 'Z': -0.029962683096528053}, {'X': 0.5672990679740906, 'Y': 0.6411693096160889, 'Z': -0.05312037840485573}, {'X': 0.5385559797286987, 'Y': 0.5973362922668457, 'Z': -0.07715871185064316}, {'X': 0.5089855790138245, 'Y': 0.5752750635147095, 'Z': -0.10266293585300446}, {'X': 0.5784744024276733, 'Y': 0.5198980569839478, 'Z': -0.03694777935743332}, {'X': 0.5538881421089172, 'Y': 0.4439767003059387, 'Z': -0.05991997942328453}, {'X': 0.5383270978927612, 'Y': 0.3940582573413849, 'Z': -0.07651299238204956}, {'X': 0.5248337388038635, 'Y': 0.3541056513786316, 'Z': -0.08886753022670746}, {'X': 0.6050914525985718, 'Y': 0.4981837868690491, 'Z': -0.041182901710271835}, {'X': 0.5854523777961731, 'Y': 0.40953344106674194, 'Z': -0.06483027338981628}, {'X': 0.5715385675430298, 'Y': 0.34795647859573364, 'Z': -0.0860263928771019}, {'X': 0.5604932904243469, 'Y': 0.29332083463668823, 'Z': -0.10142479091882706}, {'X': 0.6342759132385254, 'Y': 0.49829256534576416, 'Z': -0.04775395616889}, {'X': 0.6258964538574219, 'Y': 0.4098030626773834, 'Z': -0.0719723254442215}, {'X': 0.6172946691513062, 'Y': 0.3477686643600464, 'Z': -0.09445147961378098}, {'X': 0.6080113649368286, 'Y': 0.29370740056037903, 'Z': -0.11068393290042877}, {'X': 0.6644920110702515, 'Y': 0.5146228075027466, 'Z': -0.05749649927020073}, {'X': 0.6673205494880676, 'Y': 0.4446810781955719, 'Z': -0.08386316895484924}, {'X': 0.6648672223091125, 'Y': 0.39774611592292786, 'Z': -0.1033027395606041}, {'X': 0.6595500111579895, 'Y': 0.35245707631111145, 'Z': -0.1178453117609024}]
[{'X': 0.6555666327476501, 'Y': 0.6697120666503906, 'Z': -4.514756801654585e-05}, {'X': 0.6085696816444397, 'Y': 0.6713334321975708, 'Z': -0.026774413883686066}, {'X': 0.5715667605400085, 'Y': 0.6287349462509155, 'Z': -0.04764550179243088}, {'X': 0.5437645316123962, 'Y': 0.5856046676635742, 'Z': -0.07046202570199966}, {'X': 0.5156731009483337, 'Y': 0.5655813813209534, 'Z': -0.09402188658714294}, {'X': 0.5866612792015076, 'Y': 0.5009889006614685, 'Z': -0.032033052295446396}, {'X': 0.5654826760292053, 'Y': 0.42267513275146484, 'Z': -0.05507095530629158}, {'X': 0.5522695779800415, 'Y': 0.3756101131439209, 'Z': -0.07288786768913269}, {'X': 0.5397340655326843, 'Y': 0.3372417688369751, 'Z': -0.08541671186685562}, {'X': 0.6160895824432373, 'Y': 0.48123010993003845, 'Z': -0.03644277900457382}, {'X': 0.5989998579025269, 'Y': 0.39198073744773865, 'Z': -0.05652002617716789}, {'X': 0.5878145098686218, 'Y': 0.3334082365036011, 'Z': -0.07904334366321564}, {'X': 0.5773249268531799, 'Y': 0.28090769052505493, 'Z': -0.09502850472927094}, {'X': 0.6458572745323181, 'Y': 0.48308447003364563, 'Z': -0.04378985986113548}, {'X': 0.6394912004470825, 'Y': 0.39480435848236084, 'Z': -0.06399036943912506}, {'X': 0.6339511275291443, 'Y': 0.33467376232147217, 'Z': -0.0858079120516777}, {'X': 0.6262347102165222, 'Y': 0.2827286124229431, 'Z': -0.1049894317984581}, {'X': 0.6763448119163513, 'Y': 0.5011677145957947, 'Z': -0.05413849279284477}, {'X': 0.6805105805397034, 'Y': 0.4320429563522339, 'Z': -0.07826004922389984}, {'X': 0.679889976978302, 'Y': 0.38614317774772644, 'Z': -0.09502730518579483}, {'X': 0.675669252872467, 'Y': 0.34059402346611023, 'Z': -0.10925852507352829}]
[{'X': 0.6604661345481873, 'Y': 0.6668504476547241, 'Z': -4.283951784600504e-05}, {'X': 0.6150060296058655, 'Y': 0.6720283627510071, 'Z': -0.031011871993541718}, {'X': 0.5786060094833374, 'Y': 0.6278522610664368, 'Z': -0.055203646421432495}, {'X': 0.5499981641769409, 'Y': 0.5837593674659729, 'Z': -0.08088453859090805}, {'X': 0.5203450918197632, 'Y': 0.5609282851219177, 'Z': -0.10791647434234619}, {'X': 0.5953564643859863, 'Y': 0.4991469383239746, 'Z': -0.03983471170067787}, {'X': 0.5736653804779053, 'Y': 0.41717809438705444, 'Z': -0.06442918628454208}, {'X': 0.5605047941207886, 'Y': 0.36506855487823486, 'Z': -0.0829070657491684}, {'X': 0.5487285852432251, 'Y': 0.32253605127334595, 'Z': -0.09577454626560211}, {'X': 0.6250980496406555, 'Y': 0.47900882363319397, 'Z': -0.04385096952319145}, {'X': 0.6084815859794617, 'Y': 0.38568365573883057, 'Z': -0.06745998561382294}, {'X': 0.5973199009895325, 'Y': 0.32256048917770386, 'Z': -0.08884978294372559}, {'X': 0.5876095294952393, 'Y': 0.2668600082397461, 'Z': -0.10341799259185791}, {'X': 0.6555526256561279, 'Y': 0.480863094329834, 'Z': -0.05024275556206703}, {'X': 0.6497909426689148, 'Y': 0.38846856355667114, 'Z': -0.07345010340213776}, {'X': 0.644670844078064, 'Y': 0.3240644037723541, 'Z': -0.09459596127271652}, {'X': 0.6376922726631165, 'Y': 0.2677343487739563, 'Z': -0.11159954965114594}, {'X': 0.6859601140022278, 'Y': 0.5006989240646362, 'Z': -0.0597623847424984}, {'X': 0.6910866498947144, 'Y': 0.42738258838653564, 'Z': -0.08538510650396347}, {'X': 0.6912184357643127, 'Y': 0.37910255789756775, 'Z': -0.10391899943351746}, {'X': 0.6879262924194336, 'Y': 0.3326299786567688, 'Z': -0.11929000169038773}]
[{'X': 0.6665778756141663, 'Y': 0.6717377305030823, 'Z': -3.6646546504925936e-05}, {'X': 0.6209539175033569, 'Y': 0.6762516498565674, 'Z': -0.03836861625313759}, {'X': 0.5826139450073242, 'Y': 0.6299630999565125, 'Z': -0.06559427827596664}, {'X': 0.5529748201370239, 'Y': 0.5877805948257446, 'Z': -0.09416212141513824}, {'X': 0.5205028653144836, 'Y': 0.5661419034004211, 'Z': -0.12494122982025146}, {'X': 0.6007529497146606, 'Y': 0.49311473965644836, 'Z': -0.04555048793554306}, {'X': 0.5812282562255859, 'Y': 0.4130411744117737, 'Z': -0.07193966954946518}, {'X': 0.5681069493293762, 'Y': 0.359632670879364, 'Z': -0.0927019938826561}, {'X': 0.5556650757789612, 'Y': 0.3142567276954651, 'Z': -0.10775332152843475}, {'X': 0.6319400668144226, 'Y': 0.47246626019477844, 'Z': -0.048844873905181885}, {'X': 0.617184042930603, 'Y': 0.37926679849624634, 'Z': -0.07333630323410034}, {'X': 0.6059595346450806, 'Y': 0.313689649105072, 'Z': -0.09702534228563309}, {'X': 0.5964015126228333, 'Y': 0.2552153468132019, 'Z': -0.11426946520805359}, {'X': 0.6637171506881714, 'Y': 0.4756339192390442, 'Z': -0.054238930344581604}, {'X': 0.6573768258094788, 'Y': 0.38461223244667053, 'Z': -0.08052007853984833}, {'X': 0.6511361002922058, 'Y': 0.3207799792289734, 'Z': -0.10377741605043411}, {'X': 0.643390953540802, 'Y': 0.2639828324317932, 'Z': -0.12010244280099869}, {'X': 0.6953872442245483, 'Y': 0.49781686067581177, 'Z': -0.06369543820619583}, {'X': 0.7000666260719299, 'Y': 0.42560404539108276, 'Z': -0.09106063842773438}, {'X': 0.7004739046096802, 'Y': 0.3775220513343811, 'Z': -0.108563132584095}, {'X': 0.6987786293029785, 'Y': 0.32914668321609497, 'Z': -0.12170389294624329}]
[{'X': 0.6719836592674255, 'Y': 0.6630681753158569, 'Z': -3.556326191755943e-05}, {'X': 0.62389075756073, 'Y': 0.6718942523002625, 'Z': -0.037647757679224014}, {'X': 0.5856404304504395, 'Y': 0.6301430463790894, 'Z': -0.06365104764699936}, {'X': 0.556473970413208, 'Y': 0.5852662324905396, 'Z': -0.09078890830278397}, {'X': 0.5244934558868408, 'Y': 0.5636614561080933, 'Z': -0.12047548592090607}, {'X': 0.6046907305717468, 'Y': 0.4920859634876251, 'Z': -0.0451403446495533}, {'X': 0.5852359533309937, 'Y': 0.4064960181713104, 'Z': -0.0690123438835144}, {'X': 0.5734257102012634, 'Y': 0.35127824544906616, 'Z': -0.08730366826057434}, {'X': 0.5631707310676575, 'Y': 0.3037448525428772, 'Z': -0.10011710226535797}, {'X': 0.6367635130882263, 'Y': 0.47005558013916016, 'Z': -0.04448077455163002}, {'X': 0.6223192811012268, 'Y': 0.3731137216091156, 'Z': -0.06509178131818771}, {'X': 0.6127371788024902, 'Y': 0.30768778920173645, 'Z': -0.0864444375038147}, {'X': 0.6048154234886169, 'Y': 0.2491215020418167, 'Z': -0.10221370309591293}, {'X': 0.6689209342002869, 'Y': 0.4722374975681305, 'Z': -0.046622537076473236}, {'X': 0.6651200652122498, 'Y': 0.37749674916267395, 'Z': -0.06658855825662613}, {'X': 0.6609051823616028, 'Y': 0.3129785358905792, 'Z': -0.08750520646572113}, {'X': 0.6554324626922607, 'Y': 0.25686952471733093, 'Z': -0.10409481823444366}, {'X': 0.7008023858070374, 'Y': 0.4916899502277374, 'Z': -0.05256618559360504}, {'X': 0.7077682018280029, 'Y': 0.41733115911483765, 'Z': -0.07541915774345398}, {'X': 0.7092930674552917, 'Y': 0.37060117721557617, 'Z': -0.091914601624012}, {'X': 0.7079468369483948, 'Y': 0.3250159025192261, 'Z': -0.10530532151460648}]
[{'X': 0.676487147808075, 'Y': 0.661750316619873, 'Z': -3.775093500735238e-05}, {'X': 0.6270511150360107, 'Y': 0.6693809628486633, 'Z': -0.03656570985913277}, {'X': 0.5881928205490112, 'Y': 0.6286438703536987, 'Z': -0.06456632912158966}, {'X': 0.5582004189491272, 'Y': 0.5854860544204712, 'Z': -0.09456110745668411}, {'X': 0.5236643552780151, 'Y': 0.5593881011009216, 'Z': -0.12641672790050507}, {'X': 0.6074445843696594, 'Y': 0.4889877736568451, 'Z': -0.05338062718510628}, {'X': 0.5874371528625488, 'Y': 0.40031102299690247, 'Z': -0.08303487300872803}, {'X': 0.5747928619384766, 'Y': 0.3454788029193878, 'Z': -0.10450287908315659}, {'X': 0.5635619759559631, 'Y': 0.29721343517303467, 'Z': -0.11976638436317444}, {'X': 0.6402262449264526, 'Y': 0.4684654474258423, 'Z': -0.05692918226122856}, {'X': 0.6267722249031067, 'Y': 0.3678455948829651, 'Z': -0.08374151587486267}, {'X': 0.6179556250572205, 'Y': 0.2993016242980957, 'Z': -0.10894937068223953}, {'X': 0.6113976836204529, 'Y': 0.23731234669685364, 'Z': -0.12750163674354553}, {'X': 0.6732686161994934, 'Y': 0.4719877541065216, 'Z': -0.06328406929969788}, {'X': 0.6699078679084778, 'Y': 0.37621331214904785, 'Z': -0.08921442180871964}, {'X': 0.6674190759658813, 'Y': 0.310467004776001, 'Z': -0.11219926178455353}, {'X': 0.6638889312744141, 'Y': 0.25155872106552124, 'Z': -0.13140055537223816}, {'X': 0.7065408825874329, 'Y': 0.4930402934551239, 'Z': -0.07284820824861526}, {'X': 0.714079737663269, 'Y': 0.41772228479385376, 'Z': -0.1007923111319542}, {'X': 0.7169300317764282, 'Y': 0.367829829454422, 'Z': -0.11871819198131561}, {'X': 0.7166375517845154, 'Y': 0.3182472288608551, 'Z': -0.13338588178157806}]
[{'X': 0.6866168975830078, 'Y': 0.6725895404815674, 'Z': -6.219285569386557e-05}, {'X': 0.6338995695114136, 'Y': 0.6789697408676147, 'Z': -0.03943360969424248}, {'X': 0.5918760299682617, 'Y': 0.6338731646537781, 'Z': -0.06816311180591583}, {'X': 0.5595409870147705, 'Y': 0.5879517793655396, 'Z': -0.09894904494285583}, {'X': 0.5231138467788696, 'Y': 0.5648466944694519, 'Z': -0.13053704798221588}, {'X': 0.6120060682296753, 'Y': 0.487711101770401, 'Z': -0.05504169687628746}, {'X': 0.5906633138656616, 'Y': 0.3956713080406189, 'Z': -0.08190417289733887}, {'X': 0.5785279273986816, 'Y': 0.33962714672088623, 'Z': -0.09850835055112839}, {'X': 0.5687063336372375, 'Y': 0.290755033493042, 'Z': -0.10897737741470337}, {'X': 0.6461143493652344, 'Y': 0.4666331112384796, 'Z': -0.05588644742965698}, {'X': 0.6308695077896118, 'Y': 0.3594588339328766, 'Z': -0.0797685831785202}, {'X': 0.6226251125335693, 'Y': 0.291888952255249, 'Z': -0.10373056679964066}, {'X': 0.6171273589134216, 'Y': 0.23189885914325714, 'Z': -0.1199989914894104}, {'X': 0.6790702939033508, 'Y': 0.4695894122123718, 'Z': -0.0596487857401371}, {'X': 0.6743260025978088, 'Y': 0.36737245321273804, 'Z': -0.0836315006017685}, {'X': 0.6715306043624878, 'Y': 0.3002530336380005, 'Z': -0.10932042449712753}, {'X': 0.6671005487442017, 'Y': 0.2415294647216797, 'Z': -0.12996526062488556}, {'X': 0.7126762270927429, 'Y': 0.48960497975349426, 'Z': -0.06684259325265884}, {'X': 0.7186254858970642, 'Y': 0.41172516345977783, 'Z': -0.09520821273326874}, {'X': 0.7215288877487183, 'Y': 0.3619932234287262, 'Z': -0.11501433700323105}, {'X': 0.7204961776733398, 'Y': 0.3128587603569031, 'Z': -0.13015373051166534}]
[{'X': 0.6858309507369995, 'Y': 0.6719211339950562, 'Z': -2.865213537006639e-05}, {'X': 0.6372814178466797, 'Y': 0.6842766404151917, 'Z': -0.04767131805419922}, {'X': 0.5944692492485046, 'Y': 0.6411593556404114, 'Z': -0.08017611503601074}, {'X': 0.5616692304611206, 'Y': 0.6002901792526245, 'Z': -0.11302561312913895}, {'X': 0.5248493552207947, 'Y': 0.5771302580833435, 'Z': -0.15013879537582397}, {'X': 0.6144521832466125, 'Y': 0.4910917282104492, 'Z': -0.05621875450015068}, {'X': 0.5933510065078735, 'Y': 0.40105539560317993, 'Z': -0.08556538075208664}, {'X': 0.5797024369239807, 'Y': 0.34331655502319336, 'Z': -0.10736121982336044}, {'X': 0.5693550705909729, 'Y': 0.2917090058326721, 'Z': -0.12242618203163147}, {'X': 0.6475424766540527, 'Y': 0.46840062737464905, 'Z': -0.054912663996219635}, {'X': 0.6343401074409485, 'Y': 0.36688971519470215, 'Z': -0.07740000635385513}, {'X': 0.625189483165741, 'Y': 0.29820239543914795, 'Z': -0.10221918672323227}, {'X': 0.6187846660614014, 'Y': 0.2352059781551361, 'Z': -0.12021224945783615}, {'X': 0.6814826130867004, 'Y': 0.47114187479019165, 'Z': -0.05646827816963196}, {'X': 0.6781147122383118, 'Y': 0.3715483248233795, 'Z': -0.08108428120613098}, {'X': 0.6747109293937683, 'Y': 0.3035511374473572, 'Z': -0.10642597824335098}, {'X': 0.6697415113449097, 'Y': 0.24209368228912354, 'Z': -0.12555864453315735}, {'X': 0.7165815830230713, 'Y': 0.4929152727127075, 'Z': -0.06179581210017204}, {'X': 0.7231574058532715, 'Y': 0.41650834679603577, 'Z': -0.0889807641506195}, {'X': 0.725145161151886, 'Y': 0.3680081367492676, 'Z': -0.10785145312547684}, {'X': 0.7238408923149109, 'Y': 0.3207958936691284, 'Z': -0.12180735915899277}]
[{'X': 0.6840128302574158, 'Y': 0.6612617373466492, 'Z': -4.3312200432410464e-05}, {'X': 0.6360192894935608, 'Y': 0.6787045001983643, 'Z': -0.05161748826503754}, {'X': 0.5955057144165039, 'Y': 0.6391414403915405, 'Z': -0.0851655900478363}, {'X': 0.5657081007957458, 'Y': 0.5966390371322632, 'Z': -0.11717302352190018}, {'X': 0.5302020907402039, 'Y': 0.5722303986549377, 'Z': -0.15228299796581268}, {'X': 0.6167115569114685, 'Y': 0.49487465620040894, 'Z': -0.06786629557609558}, {'X': 0.5960398316383362, 'Y': 0.4047492444515228, 'Z': -0.10069213807582855}, {'X': 0.5824500322341919, 'Y': 0.3454037606716156, 'Z': -0.12554650008678436}, {'X': 0.5702353119850159, 'Y': 0.29053041338920593, 'Z': -0.14338305592536926}, {'X': 0.6502390503883362, 'Y': 0.4725690186023712, 'Z': -0.06528811156749725}, {'X': 0.6380680203437805, 'Y': 0.3711072504520416, 'Z': -0.09116726368665695}, {'X': 0.6304222345352173, 'Y': 0.3007062077522278, 'Z': -0.11983155459165573}, {'X': 0.6241874694824219, 'Y': 0.23243464529514313, 'Z': -0.1401582956314087}, {'X': 0.6846781373023987, 'Y': 0.4741612374782562, 'Z': -0.06462568044662476}, {'X': 0.6824339628219604, 'Y': 0.37275972962379456, 'Z': -0.09211447089910507}, {'X': 0.679667592048645, 'Y': 0.30350619554519653, 'Z': -0.11966019123792648}, {'X': 0.6746228933334351, 'Y': 0.23984092473983765, 'Z': -0.13962522149085999}, {'X': 0.7199945449829102, 'Y': 0.4933278262615204, 'Z': -0.06766051799058914}, {'X': 0.7286843657493591, 'Y': 0.4172815680503845, 'Z': -0.09718568623065948}, {'X': 0.7320844531059265, 'Y': 0.3684379458427429, 'Z': -0.1170167624950409}, {'X': 0.7314757704734802, 'Y': 0.31839755177497864, 'Z': -0.13044053316116333}]
[{'X': 0.6850154995918274, 'Y': 0.6679737567901611, 'Z': -5.448563024401665e-05}, {'X': 0.6365218162536621, 'Y': 0.678549587726593, 'Z': -0.04344271495938301}, {'X': 0.5974919199943542, 'Y': 0.6369096636772156, 'Z': -0.07534623891115189}, {'X': 0.567697286605835, 'Y': 0.5950002074241638, 'Z': -0.10795102268457413}, {'X': 0.5323370099067688, 'Y': 0.5725839138031006, 'Z': -0.1432856023311615}, {'X': 0.6168065071105957, 'Y': 0.49098873138427734, 'Z': -0.06302549690008163}, {'X': 0.5956491827964783, 'Y': 0.4003732204437256, 'Z': -0.09489289671182632}, {'X': 0.5829210877418518, 'Y': 0.34150874614715576, 'Z': -0.1186920776963234}, {'X': 0.571632981300354, 'Y': 0.28875863552093506, 'Z': -0.13540302217006683}, {'X': 0.6507791876792908, 'Y': 0.47074073553085327, 'Z': -0.06447344273328781}, {'X': 0.6387568116188049, 'Y': 0.3683975338935852, 'Z': -0.09057165682315826}, {'X': 0.6306231021881104, 'Y': 0.297705739736557, 'Z': -0.11746838688850403}, {'X': 0.6250777840614319, 'Y': 0.23382705450057983, 'Z': -0.13783074915409088}, {'X': 0.6853531002998352, 'Y': 0.4759172201156616, 'Z': -0.06802504509687424}, {'X': 0.6834352016448975, 'Y': 0.37690791487693787, 'Z': -0.09481710940599442}, {'X': 0.6807096600532532, 'Y': 0.307269424200058, 'Z': -0.12162776291370392}, {'X': 0.6765387058258057, 'Y': 0.2443939745426178, 'Z': -0.14365160465240479}, {'X': 0.7206799387931824, 'Y': 0.4989849925041199, 'Z': -0.07501742243766785}, {'X': 0.729183554649353, 'Y': 0.42208921909332275, 'Z': -0.10545452684164047}, {'X': 0.731490969657898, 'Y': 0.3720800578594208, 'Z': -0.12601406872272491}, {'X': 0.7305866479873657, 'Y': 0.32276391983032227, 'Z': -0.1424034684896469}]
