[{'X': 0.723354697227478, 'Y': 0.9114168882369995, 'Z': -0.0001409808173775673}, {'X': 0.6044179201126099, 'Y': 0.8679990768432617, 'Z': -0.03409787267446518}, {'X': 0.5300570726394653, 'Y': 0.7248973846435547, 'Z': -0.04188346862792969}, {'X': 0.5039409399032593, 'Y': 0.5958011746406555, 'Z': -0.06147332489490509}, {'X': 0.4906196594238281, 'Y': 0.5073100924491882, 'Z': -0.07053495198488235}, {'X': 0.6213248372077942, 'Y': 0.5432524085044861, 'Z': 0.025713467970490456}, {'X': 0.6157263517379761, 'Y': 0.3815232515335083, 'Z': 0.005165691953152418}, {'X': 0.6182593107223511, 'Y': 0.2873074412345886, 'Z': -0.007396987173706293}, {'X': 0.6217807531356812, 'Y': 0.20749419927597046, 'Z': -0.015184343792498112}, {'X': 0.6894347667694092, 'Y': 0.5355476140975952, 'Z': 0.008748525753617287}, {'X': 0.6826846599578857, 'Y': 0.3534817695617676, 'Z': -0.002392080845311284}, {'X': 0.6819486021995544, 'Y': 0.2473321557044983, 'Z': -0.02848435752093792}, {'X': 0.6857808232307434, 'Y': 0.15747034549713135, 'Z': -0.042733240872621536}, {'X': 0.7532029151916504, 'Y': 0.5592321157455444, 'Z': -0.016679339110851288}, {'X': 0.7561584115028381, 'Y': 0.3935524523258209, 'Z': -0.03280456364154816}, {'X': 0.7576819658279419, 'Y': 0.294580340385437, 'Z': -0.05603523552417755}, {'X': 0.7561431527137756, 'Y': 0.2117331326007843, 'Z': -0.07524220645427704}, {'X': 0.8184353113174438, 'Y': 0.6087775826454163, 'Z': -0.04759562388062477}, {'X': 0.8277584314346313, 'Y': 0.4753154218196869, 'Z': -0.07601392269134521}, {'X': 0.8311394453048706, 'Y': 0.3932306468486786, 'Z': -0.10058597475290298}, {'X': 0.8277864456176758, 'Y': 0.31200098991394043, 'Z': -0.11515901237726212}]
[{'X': 0.7306020259857178, 'Y': 0.9034066200256348, 'Z': -0.00014763556828256696}, {'X': 0.614460289478302, 'Y': 0.864021360874176, 'Z': -0.03366607055068016}, {'X': 0.5426148176193237, 'Y': 0.7221279144287109, 'Z': -0.045207612216472626}, {'X': 0.5157380700111389, 'Y': 0.5949177145957947, 'Z': -0.07136256247758865}, {'X': 0.4917944073677063, 'Y': 0.504290759563446, 'Z': -0.09198682010173798}, {'X': 0.6290979385375977, 'Y': 0.5402148365974426, 'Z': 0.026800060644745827}, {'X': 0.6241289973258972, 'Y': 0.3808355927467346, 'Z': 0.008343852125108242}, {'X': 0.6255585551261902, 'Y': 0.28715813159942627, 'Z': -0.0021556569263339043}, {'X': 0.6278170347213745, 'Y': 0.20641407370567322, 'Z': -0.008256376720964909}, {'X': 0.6942960023880005, 'Y': 0.5321512818336487, 'Z': 0.006657704245299101}, {'X': 0.6881434321403503, 'Y': 0.35511547327041626, 'Z': -0.0009145211079157889}, {'X': 0.6862995624542236, 'Y': 0.24983417987823486, 'Z': -0.025194568559527397}, {'X': 0.6875053644180298, 'Y': 0.16004204750061035, 'Z': -0.039569150656461716}, {'X': 0.7568134665489197, 'Y': 0.5551813840866089, 'Z': -0.023660477250814438}, {'X': 0.7596742510795593, 'Y': 0.39084041118621826, 'Z': -0.0367039293050766}, {'X': 0.7589337825775146, 'Y': 0.29192206263542175, 'Z': -0.059693388640880585}, {'X': 0.7548271417617798, 'Y': 0.21070519089698792, 'Z': -0.07978681474924088}, {'X': 0.821911096572876, 'Y': 0.6037956476211548, 'Z': -0.05924822762608528}, {'X': 0.8283294439315796, 'Y': 0.4639677405357361, 'Z': -0.0860247015953064}, {'X': 0.8281952738761902, 'Y': 0.3804873824119568, 'Z': -0.11234067380428314}, {'X': 0.821305513381958, 'Y': 0.3008880317211151, 'Z': -0.12937206029891968}]
[{'X': 0.7329379320144653, 'Y': 0.9035847187042236, 'Z': -0.00015801674453541636}, {'X': 0.6172109246253967, 'Y': 0.857810914516449, 'Z': -0.03207679092884064}, {'X': 0.5420882701873779, 'Y': 0.7179272174835205, 'Z': -0.03446303680539131}, {'X': 0.512244462966919, 'Y': 0.5914393663406372, 'Z': -0.05204949527978897}, {'X': 0.49642860889434814, 'Y': 0.4979538023471832, 'Z': -0.056966379284858704}, {'X': 0.6267430782318115, 'Y': 0.5352274179458618, 'Z': 0.04725722223520279}, {'X': 0.618604838848114, 'Y': 0.37057793140411377, 'Z': 0.04145391285419464}, {'X': 0.62044358253479, 'Y': 0.2798020839691162, 'Z': 0.039727699011564255}, {'X': 0.6242510676383972, 'Y': 0.20531535148620605, 'Z': 0.03745134547352791}, {'X': 0.6910407543182373, 'Y': 0.5246007442474365, 'Z': 0.028340691700577736}, {'X': 0.6833243370056152, 'Y': 0.3477948009967804, 'Z': 0.03073420748114586}, {'X': 0.681510865688324, 'Y': 0.2488017976284027, 'Z': 0.012625113129615784}, {'X': 0.6847812533378601, 'Y': 0.1688607633113861, 'Z': 0.001186769804917276}, {'X': 0.7510430216789246, 'Y': 0.5448344945907593, 'Z': -9.591349953552708e-05}, {'X': 0.7513638138771057, 'Y': 0.3847513496875763, 'Z': -0.008713643066585064}, {'X': 0.7515277862548828, 'Y': 0.28996556997299194, 'Z': -0.0310415830463171}, {'X': 0.7487021088600159, 'Y': 0.21231895685195923, 'Z': -0.05201122909784317}, {'X': 0.8140097856521606, 'Y': 0.5907775163650513, 'Z': -0.03389669954776764}, {'X': 0.8162014484405518, 'Y': 0.46035945415496826, 'Z': -0.05649657920002937}, {'X': 0.8172870874404907, 'Y': 0.3809288442134857, 'Z': -0.07837915420532227}, {'X': 0.8126991987228394, 'Y': 0.30104994773864746, 'Z': -0.09368353337049484}]
[{'X': 0.7519610524177551, 'Y': 0.926498532295227, 'Z': -0.00016710165073163807}, {'X': 0.6356472373008728, 'Y': 0.8796834945678711, 'Z': -0.029949316754937172}, {'X': 0.557960033416748, 'Y': 0.7318663001060486, 'Z': -0.027710141614079475}, {'X': 0.5264908671379089, 'Y': 0.6009867787361145, 'Z': -0.03564554452896118}, {'X': 0.5021034479141235, 'Y': 0.5118681788444519, 'Z': -0.032024484127759933}, {'X': 0.6316816210746765, 'Y': 0.5612813234329224, 'Z': 0.046347443014383316}, {'X': 0.6168717741966248, 'Y': 0.40920379757881165, 'Z': 0.03551824390888214}, {'X': 0.6101361513137817, 'Y': 0.323637992143631, 'Z': 0.027919720858335495}, {'X': 0.6049384474754333, 'Y': 0.24850794672966003, 'Z': 0.02317054197192192}, {'X': 0.6969812512397766, 'Y': 0.5418433547019958, 'Z': 0.03207823634147644}, {'X': 0.6817361116409302, 'Y': 0.3699014484882355, 'Z': 0.03474336862564087}, {'X': 0.6747585535049438, 'Y': 0.2723660171031952, 'Z': 0.019552765414118767}, {'X': 0.6734247207641602, 'Y': 0.18735584616661072, 'Z': 0.008102759718894958}, {'X': 0.7571178674697876, 'Y': 0.5529994964599609, 'Z': 0.0071520451456308365}, {'X': 0.7464547157287598, 'Y': 0.394189715385437, 'Z': -8.661711763124913e-05}, {'X': 0.7400853633880615, 'Y': 0.30086714029312134, 'Z': -0.0194582249969244}, {'X': 0.7322214841842651, 'Y': 0.21896103024482727, 'Z': -0.0396072082221508}, {'X': 0.8192929029464722, 'Y': 0.5884360671043396, 'Z': -0.022642970085144043}, {'X': 0.8068330883979797, 'Y': 0.4591531753540039, 'Z': -0.043054353445768356}, {'X': 0.7987828254699707, 'Y': 0.38322484493255615, 'Z': -0.06508427113294601}, {'X': 0.787684440612793, 'Y': 0.305483877658844, 'Z': -0.08279523998498917}]
[{'X': 0.7520955801010132, 'Y': 0.9047777652740479, 'Z': -0.00017365135136060417}, {'X': 0.6340636014938354, 'Y': 0.8632948994636536, 'Z': -0.022187473252415657}, {'X': 0.5572730302810669, 'Y': 0.7249524593353271, 'Z': -0.013601521961390972}, {'X': 0.5271536111831665, 'Y': 0.5981971621513367, 'Z': -0.016656527295708656}, {'X': 0.5104402303695679, 'Y': 0.5087341666221619, 'Z': -0.00644565187394619}, {'X': 0.6335541009902954, 'Y': 0.5765432119369507, 'Z': 0.06538636237382889}, {'X': 0.6146403551101685, 'Y': 0.439184308052063, 'Z': 0.06045046076178551}, {'X': 0.6020779609680176, 'Y': 0.3651275038719177, 'Z': 0.050079595297575}, {'X': 0.5911394953727722, 'Y': 0.30154454708099365, 'Z': 0.038093164563179016}, {'X': 0.6952424049377441, 'Y': 0.5547515153884888, 'Z': 0.0467744842171669}, {'X': 0.6866123676300049, 'Y': 0.3864746689796448, 'Z': 0.05683402344584465}, {'X': 0.6779759526252747, 'Y': 0.29177868366241455, 'Z': 0.04005207493901253}, {'X': 0.6732919812202454, 'Y': 0.21077218651771545, 'Z': 0.022554410621523857}, {'X': 0.7531557083129883, 'Y': 0.5623764395713806, 'Z': 0.01782122068107128}, {'X': 0.7468143701553345, 'Y': 0.40658658742904663, 'Z': 0.018746649846434593}, {'X': 0.7401491403579712, 'Y': 0.31529513001441956, 'Z': 0.0007822330226190388}, {'X': 0.7309208512306213, 'Y': 0.23412418365478516, 'Z': -0.023122625425457954}, {'X': 0.8137845396995544, 'Y': 0.594439685344696, 'Z': -0.0156977791339159}, {'X': 0.8050529360771179, 'Y': 0.46963825821876526, 'Z': -0.028637632727622986}, {'X': 0.7970064878463745, 'Y': 0.3961567282676697, 'Z': -0.045522015541791916}, {'X': 0.785625696182251, 'Y': 0.319969117641449, 'Z': -0.058451443910598755}]
[{'X': 0.736329197883606, 'Y': 0.8871387243270874, 'Z': -0.00014566841127816588}, {'X': 0.6297885179519653, 'Y': 0.8445329666137695, 'Z': -0.010287703946232796}, {'X': 0.5702585577964783, 'Y': 0.7090919613838196, 'Z': -0.004312287550419569}, {'X': 0.5467173457145691, 'Y': 0.5962679386138916, 'Z': -0.013254092074930668}, {'X': 0.5368626117706299, 'Y': 0.5113176107406616, 'Z': -0.017696229740977287}, {'X': 0.636141300201416, 'Y': 0.5890893936157227, 'Z': 0.06959801912307739}, {'X': 0.6171608567237854, 'Y': 0.4858977794647217, 'Z': 0.019449403509497643}, {'X': 0.6056424379348755, 'Y': 0.5209197998046875, 'Z': -0.0368434377014637}, {'X': 0.6058598756790161, 'Y': 0.5718567371368408, 'Z': -0.06419317424297333}, {'X': 0.6920014023780823, 'Y': 0.5622394680976868, 'Z': 0.04906923323869705}, {'X': 0.6788120865821838, 'Y': 0.4093419909477234, 'Z': 0.05865104869008064}, {'X': 0.6673462986946106, 'Y': 0.32274913787841797, 'Z': 0.04620308056473732}, {'X': 0.6563088893890381, 'Y': 0.25023239850997925, 'Z': 0.03498171269893646}, {'X': 0.7518481612205505, 'Y': 0.5704564452171326, 'Z': 0.016480617225170135}, {'X': 0.7486785650253296, 'Y': 0.42074236273765564, 'Z': 0.025176765397191048}, {'X': 0.7434319853782654, 'Y': 0.3377653956413269, 'Z': 0.024719281122088432}, {'X': 0.7357566356658936, 'Y': 0.2681707441806793, 'Z': 0.018447134643793106}, {'X': 0.8148890733718872, 'Y': 0.607444703578949, 'Z': -0.02495749294757843}, {'X': 0.8120535016059875, 'Y': 0.48727717995643616, 'Z': -0.024471640586853027}, {'X': 0.803056001663208, 'Y': 0.41791653633117676, 'Z': -0.020863067358732224}, {'X': 0.7889633774757385, 'Y': 0.3514813780784607, 'Z': -0.01894022338092327}]
[{'X': 0.7407607436180115, 'Y': 0.8992092609405518, 'Z': -0.00017464353004470468}, {'X': 0.637134313583374, 'Y': 0.8496422171592712, 'Z': -0.014868419617414474}, {'X': 0.5753167867660522, 'Y': 0.7100765705108643, 'Z': -0.009911811910569668}, {'X': 0.5511527061462402, 'Y': 0.5970292091369629, 'Z': -0.018950315192341805}, {'X': 0.539894700050354, 'Y': 0.5153658986091614, 'Z': -0.021760474890470505}, {'X': 0.6416186094284058, 'Y': 0.5884531140327454, 'Z': 0.060691725462675095}, {'X': 0.6209607720375061, 'Y': 0.48405516147613525, 'Z': 0.0148583073168993}, {'X': 0.6143938302993774, 'Y': 0.5226429104804993, 'Z': -0.038904886692762375}, {'X': 0.6185847520828247, 'Y': 0.5746846199035645, 'Z': -0.06841041147708893}, {'X': 0.6987360119819641, 'Y': 0.5624275207519531, 'Z': 0.04425336420536041}, {'X': 0.6853673458099365, 'Y': 0.40651988983154297, 'Z': 0.056586798280477524}, {'X': 0.6760912537574768, 'Y': 0.32261866331100464, 'Z': 0.04597657546401024}, {'X': 0.6653717756271362, 'Y': 0.25484809279441833, 'Z': 0.036424241960048676}, {'X': 0.7573534846305847, 'Y': 0.5708339214324951, 'Z': 0.014976314269006252}, {'X': 0.7529884576797485, 'Y': 0.4189623296260834, 'Z': 0.020695092156529427}, {'X': 0.7477422952651978, 'Y': 0.33661559224128723, 'Z': 0.017224710434675217}, {'X': 0.7394083738327026, 'Y': 0.2668321132659912, 'Z': 0.008276300504803658}, {'X': 0.8173558115959167, 'Y': 0.6084761619567871, 'Z': -0.022189972922205925}, {'X': 0.8132858872413635, 'Y': 0.4910341501235962, 'Z': -0.025667084380984306}, {'X': 0.805056095123291, 'Y': 0.4253491163253784, 'Z': -0.023041924461722374}, {'X': 0.79271000623703, 'Y': 0.35909467935562134, 'Z': -0.022340277209877968}]
[{'X': 0.7240691781044006, 'Y': 0.8677058219909668, 'Z': -9.288758155889809e-05}, {'X': 0.6308853030204773, 'Y': 0.8114039897918701, 'Z': -0.008387881331145763}, {'X': 0.5744346380233765, 'Y': 0.6848496794700623, 'Z': -0.00884601753205061}, {'X': 0.5539568662643433, 'Y': 0.5847463011741638, 'Z': -0.025374464690685272}, {'X': 0.5428187847137451, 'Y': 0.5026361346244812, 'Z': -0.035067856311798096}, {'X': 0.6452159881591797, 'Y': 0.581890344619751, 'Z': 0.05231684818863869}, {'X': 0.6271105408668518, 'Y': 0.5002654194831848, 'Z': 0.0012189147528260946}, {'X': 0.6227630972862244, 'Y': 0.5692777037620544, 'Z': -0.03432658314704895}, {'X': 0.627052366733551, 'Y': 0.6360695958137512, 'Z': -0.04389897361397743}, {'X': 0.6983552575111389, 'Y': 0.5642964243888855, 'Z': 0.02631792426109314}, {'X': 0.6876196265220642, 'Y': 0.41602572798728943, 'Z': 0.025035569444298744}, {'X': 0.6820646524429321, 'Y': 0.3349274694919586, 'Z': 0.013805954717099667}, {'X': 0.6721403002738953, 'Y': 0.2672033905982971, 'Z': 0.009394575841724873}, {'X': 0.7549723386764526, 'Y': 0.5762423872947693, 'Z': -0.009215508587658405}, {'X': 0.7522076964378357, 'Y': 0.4301275908946991, 'Z': -0.008466275408864021}, {'X': 0.7471603155136108, 'Y': 0.35097789764404297, 'Z': 0.0013845155481249094}, {'X': 0.7369490265846252, 'Y': 0.28376877307891846, 'Z': 0.010463382117450237}, {'X': 0.812640368938446, 'Y': 0.613298773765564, 'Z': -0.0546066053211689}, {'X': 0.8221976161003113, 'Y': 0.49671670794487, 'Z': -0.05908407270908356}, {'X': 0.8174349665641785, 'Y': 0.4289173185825348, 'Z': -0.05257833003997803}, {'X': 0.8053650259971619, 'Y': 0.3611886501312256, 'Z': -0.04751552268862724}]
[{'X': 0.7330707907676697, 'Y': 0.8873231410980225, 'Z': -9.380309347761795e-05}, {'X': 0.6364404559135437, 'Y': 0.8237361907958984, 'Z': -0.00885574147105217}, {'X': 0.5802419781684875, 'Y': 0.6885002851486206, 'Z': -0.007096462417393923}, {'X': 0.556838870048523, 'Y': 0.585791826248169, 'Z': -0.021628981456160545}, {'X': 0.5417984127998352, 'Y': 0.5005528926849365, 'Z': -0.030480455607175827}, {'X': 0.6514529585838318, 'Y': 0.5870964527130127, 'Z': 0.04156535118818283}, {'X': 0.6337466835975647, 'Y': 0.5041924715042114, 'Z': -0.00929104071110487}, {'X': 0.6321529150009155, 'Y': 0.5787750482559204, 'Z': -0.035386644303798676}, {'X': 0.6384121775627136, 'Y': 0.6453198790550232, 'Z': -0.03710619732737541}, {'X': 0.703117311000824, 'Y': 0.5668384432792664, 'Z': 0.018545906990766525}, {'X': 0.6945387125015259, 'Y': 0.40660378336906433, 'Z': 0.015023809857666492}, {'X': 0.6882969737052917, 'Y': 0.3244774043560028, 'Z': 0.012735833413898945}, {'X': 0.6773102283477783, 'Y': 0.25928524136543274, 'Z': 0.014931527897715569}, {'X': 0.7567353248596191, 'Y': 0.5781019926071167, 'Z': -0.014221777208149433}, {'X': 0.752729594707489, 'Y': 0.42512744665145874, 'Z': -0.014200221747159958}, {'X': 0.7480502724647522, 'Y': 0.34319448471069336, 'Z': -0.006418890785425901}, {'X': 0.7366280555725098, 'Y': 0.27647560834884644, 'Z': -0.00309946620836854}, {'X': 0.8103437423706055, 'Y': 0.6137259602546692, 'Z': -0.05428779870271683}, {'X': 0.8157482743263245, 'Y': 0.4953986704349518, 'Z': -0.0582461878657341}, {'X': 0.8097846508026123, 'Y': 0.4289894104003906, 'Z': -0.05402948707342148}, {'X': 0.797163188457489, 'Y': 0.3629493713378906, 'Z': -0.05302763357758522}]
[{'X': 0.7243037223815918, 'Y': 0.8843810558319092, 'Z': -8.973896183306351e-05}, {'X': 0.6316460371017456, 'Y': 0.8174742460250854, 'Z': 0.004543873015791178}, {'X': 0.5767333507537842, 'Y': 0.6875170469284058, 'Z': 0.01498382817953825}, {'X': 0.5516980290412903, 'Y': 0.5842764973640442, 'Z': 0.0067867133766412735}, {'X': 0.542317271232605, 'Y': 0.4987369775772095, 'Z': 0.00203953986056149}, {'X': 0.6520317792892456, 'Y': 0.5945009589195251, 'Z': 0.07594073563814163}, {'X': 0.6330816745758057, 'Y': 0.5217658877372742, 'Z': 0.021858172491192818}, {'X': 0.6261226534843445, 'Y': 0.5929508209228516, 'Z': -0.02013271301984787}, {'X': 0.6313159465789795, 'Y': 0.6583214402198792, 'Z': -0.03350989148020744}, {'X': 0.6998723149299622, 'Y': 0.5734845399856567, 'Z': 0.047219086438417435}, {'X': 0.6841270327568054, 'Y': 0.4262671172618866, 'Z': 0.047632310539484024}, {'X': 0.6730802655220032, 'Y': 0.34367847442626953, 'Z': 0.04234759509563446}, {'X': 0.6611997485160828, 'Y': 0.27710023522377014, 'Z': 0.04653570428490639}, {'X': 0.7537387609481812, 'Y': 0.5826457738876343, 'Z': 0.009050584398210049}, {'X': 0.7488184571266174, 'Y': 0.4338969588279724, 'Z': 0.012108995579183102}, {'X': 0.7393379807472229, 'Y': 0.3559655547142029, 'Z': 0.02069264091551304}, {'X': 0.7286351919174194, 'Y': 0.29163140058517456, 'Z': 0.0326269194483757}, {'X': 0.8089631795883179, 'Y': 0.6136460900306702, 'Z': -0.0372735969722271}, {'X': 0.8141034245491028, 'Y': 0.49468994140625, 'Z': -0.03867916390299797}, {'X': 0.8067775964736938, 'Y': 0.4266960322856903, 'Z': -0.031953033059835434}, {'X': 0.7963394522666931, 'Y': 0.3592028021812439, 'Z': -0.02585851587355137}]
[{'X': 0.7274866104125977, 'Y': 0.8879529237747192, 'Z': -0.0001319626608164981}, {'X': 0.6378433108329773, 'Y': 0.824566662311554, 'Z': -0.01289006881415844}, {'X': 0.5789903998374939, 'Y': 0.6936317682266235, 'Z': -0.01465938426554203}, {'X': 0.554377019405365, 'Y': 0.59090656042099, 'Z': -0.03232816234230995}, {'X': 0.5488338470458984, 'Y': 0.5080481767654419, 'Z': -0.043690022081136703}, {'X': 0.6504784226417542, 'Y': 0.5930405259132385, 'Z': 0.056963104754686356}, {'X': 0.6314512491226196, 'Y': 0.5115103721618652, 'Z': 0.004561456851661205}, {'X': 0.628408670425415, 'Y': 0.5845257043838501, 'Z': -0.036534834653139114}, {'X': 0.6341750621795654, 'Y': 0.6512814164161682, 'Z': -0.04884633049368858}, {'X': 0.7008940577507019, 'Y': 0.5721978545188904, 'Z': 0.034720685333013535}, {'X': 0.6866043210029602, 'Y': 0.422823429107666, 'Z': 0.037531640380620956}, {'X': 0.6773861050605774, 'Y': 0.34481602907180786, 'Z': 0.029359498992562294}, {'X': 0.6646535992622375, 'Y': 0.2788829803466797, 'Z': 0.027963168919086456}, {'X': 0.754808783531189, 'Y': 0.5815617442131042, 'Z': 0.002288772724568844}, {'X': 0.7469081282615662, 'Y': 0.43605682253837585, 'Z': 0.0032750742975622416}, {'X': 0.73863285779953, 'Y': 0.35878849029541016, 'Z': 0.010373695753514767}, {'X': 0.724576473236084, 'Y': 0.29246750473976135, 'Z': 0.017932405695319176}, {'X': 0.8096787333488464, 'Y': 0.6157916188240051, 'Z': -0.039403773844242096}, {'X': 0.8165364861488342, 'Y': 0.5018486976623535, 'Z': -0.041077908128499985}, {'X': 0.8113046884536743, 'Y': 0.4350798726081848, 'Z': -0.03264882043004036}, {'X': 0.7993178367614746, 'Y': 0.36491745710372925, 'Z': -0.02615385688841343}]
[{'X': 0.723057210445404, 'Y': 0.8954394459724426, 'Z': -9.521444735582918e-05}, {'X': 0.6313555240631104, 'Y': 0.826734721660614, 'Z': 0.0033866355661302805}, {'X': 0.5783042907714844, 'Y': 0.6907743811607361, 'Z': 0.014795447699725628}, {'X': 0.5538495779037476, 'Y': 0.5904970169067383, 'Z': 0.005774357821792364}, {'X': 0.5389291048049927, 'Y': 0.5117562413215637, 'Z': 0.0025954334996640682}, {'X': 0.6523734331130981, 'Y': 0.5936999320983887, 'Z': 0.06565979868173599}, {'X': 0.6357661485671997, 'Y': 0.5245957970619202, 'Z': 0.012546433135867119}, {'X': 0.6311242580413818, 'Y': 0.6009726524353027, 'Z': -0.02613121271133423}, {'X': 0.6371644139289856, 'Y': 0.6677518486976624, 'Z': -0.04005021974444389}, {'X': 0.7016394734382629, 'Y': 0.572976291179657, 'Z': 0.03417621925473213}, {'X': 0.6878035664558411, 'Y': 0.42464470863342285, 'Z': 0.03570886701345444}, {'X': 0.6768450736999512, 'Y': 0.3449680805206299, 'Z': 0.031144868582487106}, {'X': 0.6654324531555176, 'Y': 0.2795596420764923, 'Z': 0.03273746743798256}, {'X': 0.754269540309906, 'Y': 0.5834966897964478, 'Z': -0.006928758695721626}, {'X': 0.7486697435379028, 'Y': 0.4300149381160736, 'Z': -0.009183943271636963}, {'X': 0.741021990776062, 'Y': 0.3480161428451538, 'Z': -0.005456131882965565}, {'X': 0.7301227450370789, 'Y': 0.2772233784198761, 'Z': 0.00039307703264057636}, {'X': 0.8086596131324768, 'Y': 0.6180410981178284, 'Z': -0.05512674152851105}, {'X': 0.8134487867355347, 'Y': 0.4988223910331726, 'Z': -0.06344475597143173}, {'X': 0.8046496510505676, 'Y': 0.4313487410545349, 'Z': -0.06010851263999939}, {'X': 0.7928862571716309, 'Y': 0.3603353500366211, 'Z': -0.060102030634880066}]
[{'X': 0.7275192737579346, 'Y': 0.9030071496963501, 'Z': -0.00012624214286915958}, {'X': 0.6353280544281006, 'Y': 0.8347996473312378, 'Z': 0.0027694811578840017}, {'X': 0.5798560380935669, 'Y': 0.6969825029373169, 'Z': 0.009021038189530373}, {'X': 0.5541975498199463, 'Y': 0.5930787324905396, 'Z': -0.0042985668405890465}, {'X': 0.5431563258171082, 'Y': 0.5075643062591553, 'Z': -0.014105716720223427}, {'X': 0.6572375893592834, 'Y': 0.599247932434082, 'Z': 0.06870095431804657}, {'X': 0.638226330280304, 'Y': 0.5228683948516846, 'Z': 0.014683992601931095}, {'X': 0.6315021514892578, 'Y': 0.5959420800209045, 'Z': -0.03221527114510536}, {'X': 0.6370255947113037, 'Y': 0.6611146926879883, 'Z': -0.04951998218894005}, {'X': 0.704971432685852, 'Y': 0.5785925984382629, 'Z': 0.038547467440366745}, {'X': 0.691111147403717, 'Y': 0.43206825852394104, 'Z': 0.043436747044324875}, {'X': 0.6790284514427185, 'Y': 0.35383686423301697, 'Z': 0.03555365279316902}, {'X': 0.6663712859153748, 'Y': 0.2883675992488861, 'Z': 0.03616291657090187}, {'X': 0.7564451694488525, 'Y': 0.58738112449646, 'Z': -0.0008644549525342882}, {'X': 0.7493040561676025, 'Y': 0.43659573793411255, 'Z': -0.0016159610822796822}, {'X': 0.7383653521537781, 'Y': 0.3567401170730591, 'Z': -0.0010026998352259398}, {'X': 0.7244938611984253, 'Y': 0.28754347562789917, 'Z': 0.002861448097974062}, {'X': 0.8096829652786255, 'Y': 0.6206985712051392, 'Z': -0.04694133251905441}, {'X': 0.8133172988891602, 'Y': 0.5008798837661743, 'Z': -0.05260211601853371}, {'X': 0.805649995803833, 'Y': 0.43164506554603577, 'Z': -0.04860479757189751}, {'X': 0.793698251247406, 'Y': 0.3588663339614868, 'Z': -0.046155959367752075}]
[{'X': 0.727989673614502, 'Y': 0.9020837545394897, 'Z': -0.0001011995118460618}, {'X': 0.6351912021636963, 'Y': 0.8347809314727783, 'Z': -0.006285314913839102}, {'X': 0.5803511738777161, 'Y': 0.6981871128082275, 'Z': -0.0036433415953069925}, {'X': 0.5553145408630371, 'Y': 0.5943419933319092, 'Z': -0.018604852259159088}, {'X': 0.5431572198867798, 'Y': 0.5080046057701111, 'Z': -0.024295931681990623}, {'X': 0.6511551141738892, 'Y': 0.5930689573287964, 'Z': 0.05094928666949272}, {'X': 0.6353923082351685, 'Y': 0.5180390477180481, 'Z': -0.009686813689768314}, {'X': 0.6318600177764893, 'Y': 0.5969161987304688, 'Z': -0.05345560237765312}, {'X': 0.6398947834968567, 'Y': 0.6654758453369141, 'Z': -0.06601100414991379}, {'X': 0.701071560382843, 'Y': 0.5727737545967102, 'Z': 0.02523249201476574}, {'X': 0.6893587112426758, 'Y': 0.4223085045814514, 'Z': 0.021625760942697525}, {'X': 0.6766165494918823, 'Y': 0.34898239374160767, 'Z': 0.018885089084506035}, {'X': 0.6601893901824951, 'Y': 0.2921869158744812, 'Z': 0.024578966200351715}, {'X': 0.7527496814727783, 'Y': 0.5827975869178772, 'Z': -0.010824539698660374}, {'X': 0.7475986480712891, 'Y': 0.431863009929657, 'Z': -0.01579534448683262}, {'X': 0.7346411347389221, 'Y': 0.35801297426223755, 'Z': -0.00934138149023056}, {'X': 0.7150910496711731, 'Y': 0.29760587215423584, 'Z': -0.0006048615905456245}, {'X': 0.8046298027038574, 'Y': 0.6157758831977844, 'Z': -0.05441946163773537}, {'X': 0.8112146854400635, 'Y': 0.4989810883998871, 'Z': -0.05778687447309494}, {'X': 0.8035013675689697, 'Y': 0.43263447284698486, 'Z': -0.05014963075518608}, {'X': 0.7884630560874939, 'Y': 0.36019518971443176, 'Z': -0.04389811307191849}]
