[{'X': 0.6267287135124207, 'Y': 0.9021146893501282, 'Z': -0.00015805136354174465}, {'X': 0.5285441875457764, 'Y': 0.8850523233413696, 'Z': -0.0271972194314003}, {'X': 0.45820462703704834, 'Y': 0.7806474566459656, 'Z': -0.03634629026055336}, {'X': 0.4205998182296753, 'Y': 0.6812133193016052, 'Z': -0.055638495832681656}, {'X': 0.39742666482925415, 'Y': 0.609281063079834, 'Z': -0.0638691857457161}, {'X': 0.5267042517662048, 'Y': 0.6032758355140686, 'Z': 0.02588433027267456}, {'X': 0.5069372057914734, 'Y': 0.4723687469959259, 'Z': 0.022816985845565796}, {'X': 0.49743950366973877, 'Y': 0.4002159833908081, 'Z': 0.018443170934915543}, {'X': 0.4920751452445984, 'Y': 0.3422417640686035, 'Z': 0.01374859269708395}, {'X': 0.579444944858551, 'Y': 0.5866089463233948, 'Z': 0.013777995482087135}, {'X': 0.5592930316925049, 'Y': 0.43805408477783203, 'Z': 0.019632024690508842}, {'X': 0.5472029447555542, 'Y': 0.35844922065734863, 'Z': 0.008578169159591198}, {'X': 0.5427653789520264, 'Y': 0.2913767397403717, 'Z': 0.0023524989373981953}, {'X': 0.6313081979751587, 'Y': 0.5978119969367981, 'Z': -0.005238346289843321}, {'X': 0.6238648891448975, 'Y': 0.4625858664512634, 'Z': -0.00800337828695774}, {'X': 0.6171627640724182, 'Y': 0.3825860023498535, 'Z': -0.01882714033126831}, {'X': 0.6111606359481812, 'Y': 0.3144876956939697, 'Z': -0.030302751809358597}, {'X': 0.6855677366256714, 'Y': 0.6346598863601685, 'Z': -0.028960883617401123}, {'X': 0.6863452196121216, 'Y': 0.5273677110671997, 'Z': -0.04457074776291847}, {'X': 0.6834822297096252, 'Y': 0.46213477849960327, 'Z': -0.0625961497426033}, {'X': 0.6764039397239685, 'Y': 0.3991498649120331, 'Z': -0.07398039102554321}]
[{'X': 0.6330364942550659, 'Y': 0.912651538848877, 'Z': -0.00017114350339397788}, {'X': 0.5386143922805786, 'Y': 0.8928142786026001, 'Z': -0.029307711869478226}, {'X': 0.4697667360305786, 'Y': 0.7886421084403992, 'Z': -0.0427665039896965}, {'X': 0.43119779229164124, 'Y': 0.6930035948753357, 'Z': -0.06538613885641098}, {'X': 0.40423059463500977, 'Y': 0.6220999956130981, 'Z': -0.08047512173652649}, {'X': 0.5355295538902283, 'Y': 0.6138852834701538, 'Z': 0.006252601742744446}, {'X': 0.5145668983459473, 'Y': 0.4857752323150635, 'Z': -0.003764187218621373}, {'X': 0.505834698677063, 'Y': 0.41228044033050537, 'Z': -0.012345087714493275}, {'X': 0.5014944672584534, 'Y': 0.35275912284851074, 'Z': -0.019945969805121422}, {'X': 0.5876153111457825, 'Y': 0.5985564589500427, 'Z': -0.005678816232830286}, {'X': 0.563978374004364, 'Y': 0.45214372873306274, 'Z': -0.008594288490712643}, {'X': 0.550805389881134, 'Y': 0.3707427382469177, 'Z': -0.024511778727173805}, {'X': 0.5445001721382141, 'Y': 0.3017018139362335, 'Z': -0.03384661301970482}, {'X': 0.6389116644859314, 'Y': 0.6104593276977539, 'Z': -0.023386789485812187}, {'X': 0.6304958462715149, 'Y': 0.47744378447532654, 'Z': -0.03150095045566559}, {'X': 0.6236811280250549, 'Y': 0.39764511585235596, 'Z': -0.046694811433553696}, {'X': 0.6172049045562744, 'Y': 0.3302009701728821, 'Z': -0.05953938886523247}, {'X': 0.6920070052146912, 'Y': 0.6472066640853882, 'Z': -0.04517274722456932}, {'X': 0.6923023462295532, 'Y': 0.5419822335243225, 'Z': -0.06476547569036484}, {'X': 0.6890262961387634, 'Y': 0.4787246584892273, 'Z': -0.08492885529994965}, {'X': 0.6815441846847534, 'Y': 0.417902410030365, 'Z': -0.09765469282865524}]
[{'X': 0.6339190006256104, 'Y': 0.9154199361801147, 'Z': -0.00016678460815455765}, {'X': 0.5389847159385681, 'Y': 0.8963742852210999, 'Z': -0.02742069400846958}, {'X': 0.4698728322982788, 'Y': 0.792131781578064, 'Z': -0.040184471756219864}, {'X': 0.4303067922592163, 'Y': 0.6955530047416687, 'Z': -0.062322381883859634}, {'X': 0.40233153104782104, 'Y': 0.6251591444015503, 'Z': -0.07596328854560852}, {'X': 0.5357504487037659, 'Y': 0.6133754253387451, 'Z': 0.011448517441749573}, {'X': 0.5149941444396973, 'Y': 0.4851287007331848, 'Z': 0.0019439678872004151}, {'X': 0.5051422715187073, 'Y': 0.4130016565322876, 'Z': -0.00501550268381834}, {'X': 0.49995651841163635, 'Y': 0.35464727878570557, 'Z': -0.010051545687019825}, {'X': 0.5873371958732605, 'Y': 0.5979275107383728, 'Z': -0.001922875759191811}, {'X': 0.5647844672203064, 'Y': 0.4518081545829773, 'Z': -0.0023996648378670216}, {'X': 0.5502817630767822, 'Y': 0.3721694350242615, 'Z': -0.01679859682917595}, {'X': 0.5425058603286743, 'Y': 0.3047773838043213, 'Z': -0.024455426260828972}, {'X': 0.6384873390197754, 'Y': 0.6100360751152039, 'Z': -0.021462321281433105}, {'X': 0.6310396790504456, 'Y': 0.47480079531669617, 'Z': -0.03088761493563652}, {'X': 0.6237590909004211, 'Y': 0.39342862367630005, 'Z': -0.0460234209895134}, {'X': 0.6159218549728394, 'Y': 0.3238089978694916, 'Z': -0.05865217000246048}, {'X': 0.6919096112251282, 'Y': 0.6480726003646851, 'Z': -0.04460403323173523}, {'X': 0.695866048336029, 'Y': 0.5390070676803589, 'Z': -0.06511178612709045}, {'X': 0.6944303512573242, 'Y': 0.4739772081375122, 'Z': -0.08485623449087143}, {'X': 0.6878234148025513, 'Y': 0.4112676978111267, 'Z': -0.09618280082941055}]
[{'X': 0.6328412294387817, 'Y': 0.9111893177032471, 'Z': -0.00017121181008405983}, {'X': 0.5374884605407715, 'Y': 0.8924669027328491, 'Z': -0.02587471902370453}, {'X': 0.4696979522705078, 'Y': 0.7891972661018372, 'Z': -0.037512119859457016}, {'X': 0.43106427788734436, 'Y': 0.6937837600708008, 'Z': -0.058522872626781464}, {'X': 0.40344542264938354, 'Y': 0.6251792311668396, 'Z': -0.07101134210824966}, {'X': 0.5345090627670288, 'Y': 0.6133273243904114, 'Z': 0.012852996587753296}, {'X': 0.5151627063751221, 'Y': 0.4847707748413086, 'Z': 0.0052123116329312325}, {'X': 0.5052804946899414, 'Y': 0.4128665626049042, 'Z': -3.788938920479268e-05}, {'X': 0.4996093809604645, 'Y': 0.35555872321128845, 'Z': -0.004381582140922546}, {'X': 0.5855875611305237, 'Y': 0.5975939631462097, 'Z': -0.000510648766066879}, {'X': 0.56343013048172, 'Y': 0.4515256881713867, 'Z': 0.0006741925026290119}, {'X': 0.5486294627189636, 'Y': 0.37219753861427307, 'Z': -0.012391652911901474}, {'X': 0.5407931804656982, 'Y': 0.30549532175064087, 'Z': -0.018519224599003792}, {'X': 0.6365293264389038, 'Y': 0.6094648838043213, 'Z': -0.01993567682802677}, {'X': 0.6293035745620728, 'Y': 0.47505080699920654, 'Z': -0.027940038591623306}, {'X': 0.6222497820854187, 'Y': 0.39432990550994873, 'Z': -0.04118330404162407}, {'X': 0.6151201725006104, 'Y': 0.3256920278072357, 'Z': -0.05264051631093025}, {'X': 0.6896824836730957, 'Y': 0.6470655202865601, 'Z': -0.043178725987672806}, {'X': 0.6936419010162354, 'Y': 0.5395703315734863, 'Z': -0.0638178214430809}, {'X': 0.6922363042831421, 'Y': 0.4754903018474579, 'Z': -0.08334746956825256}, {'X': 0.6860102415084839, 'Y': 0.4141501784324646, 'Z': -0.09484315663576126}]
[{'X': 0.6316930651664734, 'Y': 0.9129761457443237, 'Z': -0.0001754391851136461}, {'X': 0.5376009345054626, 'Y': 0.8928738832473755, 'Z': -0.030150702223181725}, {'X': 0.46960994601249695, 'Y': 0.7895200848579407, 'Z': -0.044835012406110764}, {'X': 0.43038010597229004, 'Y': 0.6933542490005493, 'Z': -0.0674574002623558}, {'X': 0.40271639823913574, 'Y': 0.6230735182762146, 'Z': -0.08070163428783417}, {'X': 0.5339770317077637, 'Y': 0.6123670339584351, 'Z': 0.0057207681238651276}, {'X': 0.5131718516349792, 'Y': 0.4849247336387634, 'Z': -0.0033178352750837803}, {'X': 0.503033459186554, 'Y': 0.41470372676849365, 'Z': -0.00905783474445343}, {'X': 0.497411847114563, 'Y': 0.35794496536254883, 'Z': -0.013966687023639679}, {'X': 0.5855993032455444, 'Y': 0.596451997756958, 'Z': -0.005621005315333605}, {'X': 0.5622956156730652, 'Y': 0.452452152967453, 'Z': -0.0054714372381567955}, {'X': 0.5463377237319946, 'Y': 0.3760990798473358, 'Z': -0.0190658550709486}, {'X': 0.5378017425537109, 'Y': 0.31201156973838806, 'Z': -0.02674541436135769}, {'X': 0.6367847919464111, 'Y': 0.6081281304359436, 'Z': -0.023012477904558182}, {'X': 0.6297871470451355, 'Y': 0.47440800070762634, 'Z': -0.03233076259493828}, {'X': 0.6226034164428711, 'Y': 0.39508283138275146, 'Z': -0.047229863703250885}, {'X': 0.6156314015388489, 'Y': 0.3273247480392456, 'Z': -0.06064650043845177}, {'X': 0.6899389624595642, 'Y': 0.6458570957183838, 'Z': -0.04405197873711586}, {'X': 0.692445695400238, 'Y': 0.5384054183959961, 'Z': -0.0646355152130127}, {'X': 0.6900292038917542, 'Y': 0.474427729845047, 'Z': -0.08450628817081451}, {'X': 0.6834688782691956, 'Y': 0.4117594361305237, 'Z': -0.09681618213653564}]
[{'X': 0.6306285262107849, 'Y': 0.9013774394989014, 'Z': -0.0001501850929344073}, {'X': 0.5379858613014221, 'Y': 0.88618004322052, 'Z': -0.035436589270830154}, {'X': 0.46979954838752747, 'Y': 0.7865679264068604, 'Z': -0.052527207881212234}, {'X': 0.42969581484794617, 'Y': 0.6918469071388245, 'Z': -0.0768970474600792}, {'X': 0.40245485305786133, 'Y': 0.6222841739654541, 'Z': -0.09267151355743408}, {'X': 0.5330104827880859, 'Y': 0.6102179288864136, 'Z': 0.00348738394677639}, {'X': 0.511480987071991, 'Y': 0.48266035318374634, 'Z': -0.006647758651524782}, {'X': 0.5013813376426697, 'Y': 0.4122709035873413, 'Z': -0.014377657324075699}, {'X': 0.49573540687561035, 'Y': 0.3560836613178253, 'Z': -0.021097775548696518}, {'X': 0.5839380025863647, 'Y': 0.5942757725715637, 'Z': -0.006541706155985594}, {'X': 0.5601837038993835, 'Y': 0.44959336519241333, 'Z': -0.0071838353760540485}, {'X': 0.5442907810211182, 'Y': 0.37247440218925476, 'Z': -0.022502874955534935}, {'X': 0.5361056327819824, 'Y': 0.30735617876052856, 'Z': -0.03173191100358963}, {'X': 0.6351484060287476, 'Y': 0.6069426536560059, 'Z': -0.02309560775756836}, {'X': 0.6287236213684082, 'Y': 0.47388923168182373, 'Z': -0.03186086565256119}, {'X': 0.6219747066497803, 'Y': 0.3955127000808716, 'Z': -0.04660333693027496}, {'X': 0.6154035329818726, 'Y': 0.327991247177124, 'Z': -0.05919993296265602}, {'X': 0.6886851787567139, 'Y': 0.6453647613525391, 'Z': -0.04449122026562691}, {'X': 0.6919729709625244, 'Y': 0.539971649646759, 'Z': -0.06444261968135834}, {'X': 0.6892604827880859, 'Y': 0.4777897596359253, 'Z': -0.0833578109741211}, {'X': 0.6824644804000854, 'Y': 0.4168863594532013, 'Z': -0.094273142516613}]
[{'X': 0.6282444596290588, 'Y': 0.9009371995925903, 'Z': -0.00015430839266628027}, {'X': 0.5357692837715149, 'Y': 0.8848029375076294, 'Z': -0.0366516187787056}, {'X': 0.4670075476169586, 'Y': 0.7850101590156555, 'Z': -0.052956655621528625}, {'X': 0.4283844828605652, 'Y': 0.6902161240577698, 'Z': -0.07537832856178284}, {'X': 0.404881089925766, 'Y': 0.6213254928588867, 'Z': -0.08866649866104126}, {'X': 0.531840980052948, 'Y': 0.6099618673324585, 'Z': 0.0018977512372657657}, {'X': 0.5102762579917908, 'Y': 0.48078471422195435, 'Z': -0.00899224542081356}, {'X': 0.5005493760108948, 'Y': 0.4088969826698303, 'Z': -0.01846766285598278}, {'X': 0.49535900354385376, 'Y': 0.35227543115615845, 'Z': -0.027019023895263672}, {'X': 0.5840916633605957, 'Y': 0.5938347578048706, 'Z': -0.006873046047985554}, {'X': 0.5606002807617188, 'Y': 0.44762831926345825, 'Z': -0.008833589032292366}, {'X': 0.5467360019683838, 'Y': 0.36907094717025757, 'Z': -0.025956902652978897}, {'X': 0.5402551889419556, 'Y': 0.3036569356918335, 'Z': -0.037594448775053024}, {'X': 0.6356039047241211, 'Y': 0.6062566041946411, 'Z': -0.021790582686662674}, {'X': 0.6288560032844543, 'Y': 0.4735971689224243, 'Z': -0.029009241610765457}, {'X': 0.6231603622436523, 'Y': 0.3968803882598877, 'Z': -0.04297761991620064}, {'X': 0.6176446676254272, 'Y': 0.3317852020263672, 'Z': -0.0557834766805172}, {'X': 0.6892927289009094, 'Y': 0.6435940861701965, 'Z': -0.04235910624265671}, {'X': 0.6915653944015503, 'Y': 0.5384363532066345, 'Z': -0.05988195165991783}, {'X': 0.6889067888259888, 'Y': 0.4756753444671631, 'Z': -0.07755541801452637}, {'X': 0.6820101737976074, 'Y': 0.4148855209350586, 'Z': -0.0882219672203064}]
[{'X': 0.6309773921966553, 'Y': 0.9030795693397522, 'Z': -0.00017096434021368623}, {'X': 0.5374377965927124, 'Y': 0.8884493112564087, 'Z': -0.03704379126429558}, {'X': 0.4684141278266907, 'Y': 0.7875416278839111, 'Z': -0.05454811826348305}, {'X': 0.4286476969718933, 'Y': 0.6915254592895508, 'Z': -0.07939768582582474}, {'X': 0.4010668396949768, 'Y': 0.6208568215370178, 'Z': -0.09496574103832245}, {'X': 0.5307364463806152, 'Y': 0.6098617911338806, 'Z': 0.00228132214397192}, {'X': 0.5092819333076477, 'Y': 0.48254016041755676, 'Z': -0.007798606064170599}, {'X': 0.4989698529243469, 'Y': 0.41236355900764465, 'Z': -0.014749441295862198}, {'X': 0.4931584596633911, 'Y': 0.3566060960292816, 'Z': -0.02070191502571106}, {'X': 0.5824193954467773, 'Y': 0.5926612019538879, 'Z': -0.007255564443767071}, {'X': 0.5590077638626099, 'Y': 0.44781723618507385, 'Z': -0.007778964936733246}, {'X': 0.5437839031219482, 'Y': 0.37066400051116943, 'Z': -0.022911690175533295}, {'X': 0.5364746451377869, 'Y': 0.30604004859924316, 'Z': -0.032550811767578125}, {'X': 0.6338908076286316, 'Y': 0.6045004725456238, 'Z': -0.023984093219041824}, {'X': 0.6278536319732666, 'Y': 0.47135359048843384, 'Z': -0.03262617066502571}, {'X': 0.6213813424110413, 'Y': 0.39344674348831177, 'Z': -0.04848502576351166}, {'X': 0.6154438853263855, 'Y': 0.32704365253448486, 'Z': -0.06289921700954437}, {'X': 0.6876149773597717, 'Y': 0.6425381302833557, 'Z': -0.045415475964546204}, {'X': 0.6899231672286987, 'Y': 0.5365647673606873, 'Z': -0.06568963825702667}, {'X': 0.6868079900741577, 'Y': 0.4738385081291199, 'Z': -0.08560642600059509}, {'X': 0.6799124479293823, 'Y': 0.412494957447052, 'Z': -0.09760014712810516}]
[{'X': 0.6308187246322632, 'Y': 0.9002820253372192, 'Z': -0.00015608723333571106}, {'X': 0.5368452668190002, 'Y': 0.8849074840545654, 'Z': -0.03011460416018963}, {'X': 0.46845486760139465, 'Y': 0.7855370044708252, 'Z': -0.04498231038451195}, {'X': 0.4287782609462738, 'Y': 0.691791296005249, 'Z': -0.06821836531162262}, {'X': 0.3999052345752716, 'Y': 0.6233387589454651, 'Z': -0.08339458703994751}, {'X': 0.5302091836929321, 'Y': 0.6084641814231873, 'Z': 0.011199076659977436}, {'X': 0.5101932287216187, 'Y': 0.4816442131996155, 'Z': 0.002157735638320446}, {'X': 0.49938392639160156, 'Y': 0.4125262200832367, 'Z': -0.004440609365701675}, {'X': 0.492382287979126, 'Y': 0.35773858428001404, 'Z': -0.009254604578018188}, {'X': 0.5812113881111145, 'Y': 0.591606080532074, 'Z': -0.0009187639807350934}, {'X': 0.5585031509399414, 'Y': 0.44944995641708374, 'Z': -0.00033648216049186885}, {'X': 0.541390061378479, 'Y': 0.374103307723999, 'Z': -0.014960060827434063}, {'X': 0.5313237905502319, 'Y': 0.3112061321735382, 'Z': -0.0240548737347126}, {'X': 0.6325252652168274, 'Y': 0.6030659079551697, 'Z': -0.01995028182864189}, {'X': 0.625910222530365, 'Y': 0.47096917033195496, 'Z': -0.028421906754374504}, {'X': 0.6182029843330383, 'Y': 0.3918045461177826, 'Z': -0.04344915971159935}, {'X': 0.6102001070976257, 'Y': 0.32395756244659424, 'Z': -0.056934602558612823}, {'X': 0.6862380504608154, 'Y': 0.6406918168067932, 'Z': -0.043550264090299606}, {'X': 0.6903876066207886, 'Y': 0.5353478789329529, 'Z': -0.06350898742675781}, {'X': 0.6876664161682129, 'Y': 0.47250354290008545, 'Z': -0.08280114084482193}, {'X': 0.6803129315376282, 'Y': 0.41153013706207275, 'Z': -0.09464328736066818}]
[{'X': 0.6302840709686279, 'Y': 0.8965264558792114, 'Z': -0.00015033912495709956}, {'X': 0.5357074737548828, 'Y': 0.8828369379043579, 'Z': -0.0327109731733799}, {'X': 0.4681410491466522, 'Y': 0.7841308116912842, 'Z': -0.04808395728468895}, {'X': 0.42920058965682983, 'Y': 0.6883761882781982, 'Z': -0.07044941931962967}, {'X': 0.3998679518699646, 'Y': 0.6194530129432678, 'Z': -0.08380648493766785}, {'X': 0.529215931892395, 'Y': 0.6065464615821838, 'Z': 0.007278047036379576}, {'X': 0.5090154409408569, 'Y': 0.4774620831012726, 'Z': -0.00043570142588578165}, {'X': 0.4988937973976135, 'Y': 0.4078558087348938, 'Z': -0.004664394538849592}, {'X': 0.49259015917778015, 'Y': 0.35306674242019653, 'Z': -0.008448422886431217}, {'X': 0.5809932947158813, 'Y': 0.5894511938095093, 'Z': -0.0033262516371905804}, {'X': 0.558961808681488, 'Y': 0.44404006004333496, 'Z': -0.002361838473007083}, {'X': 0.5426383018493652, 'Y': 0.3682504892349243, 'Z': -0.01594448834657669}, {'X': 0.5337870717048645, 'Y': 0.30601614713668823, 'Z': -0.023492686450481415}, {'X': 0.6323080062866211, 'Y': 0.6013658046722412, 'Z': -0.020513048395514488}, {'X': 0.6259335279464722, 'Y': 0.4679366946220398, 'Z': -0.028466807678341866}, {'X': 0.6183849573135376, 'Y': 0.38918954133987427, 'Z': -0.04268000274896622}, {'X': 0.6107279658317566, 'Y': 0.3220442235469818, 'Z': -0.05565931275486946}, {'X': 0.6858404874801636, 'Y': 0.6395592093467712, 'Z': -0.042196545749902725}, {'X': 0.6897743344306946, 'Y': 0.5346977114677429, 'Z': -0.06200011819601059}, {'X': 0.686620831489563, 'Y': 0.4723172187805176, 'Z': -0.08096358925104141}, {'X': 0.6789224147796631, 'Y': 0.41102248430252075, 'Z': -0.09202125668525696}]
[{'X': 0.6261507868766785, 'Y': 0.8937488198280334, 'Z': -0.00014703648048453033}, {'X': 0.533812940120697, 'Y': 0.8795605897903442, 'Z': -0.03612647205591202}, {'X': 0.4659547805786133, 'Y': 0.7817400693893433, 'Z': -0.052934229373931885}, {'X': 0.4271755814552307, 'Y': 0.6864583492279053, 'Z': -0.07615042477846146}, {'X': 0.3992433249950409, 'Y': 0.6159443855285645, 'Z': -0.08994608372449875}, {'X': 0.5279771089553833, 'Y': 0.6065487861633301, 'Z': 0.004380516707897186}, {'X': 0.5078151226043701, 'Y': 0.47701138257980347, 'Z': -0.004044177010655403}, {'X': 0.49788710474967957, 'Y': 0.40709537267684937, 'Z': -0.009869110770523548}, {'X': 0.49224036931991577, 'Y': 0.3519582748413086, 'Z': -0.015509946271777153}, {'X': 0.579294741153717, 'Y': 0.589824378490448, 'Z': -0.005217256490141153}, {'X': 0.5569973587989807, 'Y': 0.4441223740577698, 'Z': -0.004821702837944031}, {'X': 0.541867196559906, 'Y': 0.3672121465206146, 'Z': -0.019329864531755447}, {'X': 0.5346382260322571, 'Y': 0.30372464656829834, 'Z': -0.028786947950720787}, {'X': 0.6306918859481812, 'Y': 0.6019737720489502, 'Z': -0.021626032888889313}, {'X': 0.6242175698280334, 'Y': 0.46868008375167847, 'Z': -0.028813527897000313}, {'X': 0.6172555088996887, 'Y': 0.3901633620262146, 'Z': -0.04254528135061264}, {'X': 0.6108197569847107, 'Y': 0.3237571120262146, 'Z': -0.05565599352121353}, {'X': 0.6846649646759033, 'Y': 0.6398610472679138, 'Z': -0.0432487316429615}, {'X': 0.6888527274131775, 'Y': 0.5338383316993713, 'Z': -0.06123347207903862}, {'X': 0.6860611438751221, 'Y': 0.4706916809082031, 'Z': -0.07981105148792267}, {'X': 0.6789026260375977, 'Y': 0.409145712852478, 'Z': -0.09116335958242416}]
[{'X': 0.6261208057403564, 'Y': 0.8970832824707031, 'Z': -0.00013617417425848544}, {'X': 0.5322464108467102, 'Y': 0.8824433088302612, 'Z': -0.036800969392061234}, {'X': 0.4629012644290924, 'Y': 0.7821049690246582, 'Z': -0.05328594520688057}, {'X': 0.42305248975753784, 'Y': 0.6849766969680786, 'Z': -0.07588893920183182}, {'X': 0.3976418375968933, 'Y': 0.6129443049430847, 'Z': -0.0875023603439331}, {'X': 0.5281999707221985, 'Y': 0.6057397127151489, 'Z': 0.003077960340306163}, {'X': 0.5064610838890076, 'Y': 0.4765973687171936, 'Z': -0.005719706881791353}, {'X': 0.49594905972480774, 'Y': 0.4075603783130646, 'Z': -0.012068732641637325}, {'X': 0.48995429277420044, 'Y': 0.3523389995098114, 'Z': -0.017757760360836983}, {'X': 0.5804781317710876, 'Y': 0.58919757604599, 'Z': -0.005361961666494608}, {'X': 0.5569767951965332, 'Y': 0.4430251121520996, 'Z': -0.00599320326000452}, {'X': 0.5406613945960999, 'Y': 0.3666120767593384, 'Z': -0.02066504769027233}, {'X': 0.532211422920227, 'Y': 0.3033389449119568, 'Z': -0.03043432906270027}, {'X': 0.6313463449478149, 'Y': 0.6007462739944458, 'Z': -0.019892383366823196}, {'X': 0.6240334510803223, 'Y': 0.46754246950149536, 'Z': -0.027938852086663246}, {'X': 0.6164024472236633, 'Y': 0.38839733600616455, 'Z': -0.04190880060195923}, {'X': 0.6087137460708618, 'Y': 0.3214971423149109, 'Z': -0.0561404787003994}, {'X': 0.6840518712997437, 'Y': 0.6376370191574097, 'Z': -0.03970108553767204}, {'X': 0.6868345141410828, 'Y': 0.5327340960502625, 'Z': -0.05747482180595398}, {'X': 0.6837073564529419, 'Y': 0.4697301983833313, 'Z': -0.07559774816036224}, {'X': 0.6761246919631958, 'Y': 0.40765684843063354, 'Z': -0.08653326332569122}]
[{'X': 0.6257773041725159, 'Y': 0.8934565782546997, 'Z': -0.00012745874118991196}, {'X': 0.5309995412826538, 'Y': 0.88081955909729, 'Z': -0.034213077276945114}, {'X': 0.4620513617992401, 'Y': 0.7804768085479736, 'Z': -0.04901343584060669}, {'X': 0.4225430488586426, 'Y': 0.6828857660293579, 'Z': -0.07028155028820038}, {'X': 0.396375447511673, 'Y': 0.6130138635635376, 'Z': -0.08051023632287979}, {'X': 0.5270517468452454, 'Y': 0.6040999293327332, 'Z': 0.009213797748088837}, {'X': 0.5054428577423096, 'Y': 0.47503986954689026, 'Z': 0.002543444512411952}, {'X': 0.4953595995903015, 'Y': 0.40546032786369324, 'Z': -0.0024043682496994734}, {'X': 0.48942527174949646, 'Y': 0.3500702381134033, 'Z': -0.008218057453632355}, {'X': 0.5786649584770203, 'Y': 0.5871014595031738, 'Z': 8.013477054191753e-05}, {'X': 0.5568630695343018, 'Y': 0.44151771068573, 'Z': 0.0020403731614351273}, {'X': 0.5415136218070984, 'Y': 0.36568132042884827, 'Z': -0.01211924385279417}, {'X': 0.5340556502342224, 'Y': 0.3024216592311859, 'Z': -0.02121138572692871}, {'X': 0.6289864778518677, 'Y': 0.5985039472579956, 'Z': -0.015631794929504395}, {'X': 0.6218944191932678, 'Y': 0.46488556265830994, 'Z': -0.022067299112677574}, {'X': 0.6141770482063293, 'Y': 0.38705742359161377, 'Z': -0.03497903048992157}, {'X': 0.6065564751625061, 'Y': 0.32042592763900757, 'Z': -0.04803682863712311}, {'X': 0.6820423007011414, 'Y': 0.6360810399055481, 'Z': -0.03612266853451729}, {'X': 0.685696542263031, 'Y': 0.5309202075004578, 'Z': -0.05304504558444023}, {'X': 0.6829533576965332, 'Y': 0.46791696548461914, 'Z': -0.07020952552556992}, {'X': 0.6760377287864685, 'Y': 0.4052850306034088, 'Z': -0.08026178926229477}]
[{'X': 0.6239673495292664, 'Y': 0.8884611129760742, 'Z': -0.00013868114911019802}, {'X': 0.5298410654067993, 'Y': 0.8741204738616943, 'Z': -0.04054727032780647}, {'X': 0.46091875433921814, 'Y': 0.7765308022499084, 'Z': -0.0584593266248703}, {'X': 0.42146968841552734, 'Y': 0.6808454990386963, 'Z': -0.08153300732374191}, {'X': 0.3955373167991638, 'Y': 0.6105691194534302, 'Z': -0.09600088000297546}, {'X': 0.5267508625984192, 'Y': 0.6013771295547485, 'Z': -0.001571240252815187}, {'X': 0.5047927498817444, 'Y': 0.4751424789428711, 'Z': -0.010575528256595135}, {'X': 0.4941879212856293, 'Y': 0.4049815535545349, 'Z': -0.019595695659518242}, {'X': 0.48802223801612854, 'Y': 0.3482440412044525, 'Z': -0.029213517904281616}, {'X': 0.5790069103240967, 'Y': 0.5852379202842712, 'Z': -0.007225285284221172}, {'X': 0.5578042268753052, 'Y': 0.43990886211395264, 'Z': -0.007697111926972866}, {'X': 0.5439362525939941, 'Y': 0.3628043234348297, 'Z': -0.024258175864815712}, {'X': 0.5374123454093933, 'Y': 0.2978523373603821, 'Z': -0.035849884152412415}, {'X': 0.6295180320739746, 'Y': 0.5962806344032288, 'Z': -0.01877991296350956}, {'X': 0.6213898658752441, 'Y': 0.46317601203918457, 'Z': -0.023778321221470833}, {'X': 0.6132969856262207, 'Y': 0.3876294493675232, 'Z': -0.03655504435300827}, {'X': 0.6053553819656372, 'Y': 0.32307422161102295, 'Z': -0.04941101372241974}, {'X': 0.6828407049179077, 'Y': 0.6319114565849304, 'Z': -0.03588904067873955}, {'X': 0.6851542592048645, 'Y': 0.5278025269508362, 'Z': -0.05000430345535278}, {'X': 0.6819934248924255, 'Y': 0.46632665395736694, 'Z': -0.06566186249256134}, {'X': 0.6746227741241455, 'Y': 0.40670645236968994, 'Z': -0.07507539540529251}]
