[{'X': 0.7176927328109741, 'Y': 0.913440465927124, 'Z': -7.8111159382388e-05}, {'X': 0.6122658848762512, 'Y': 0.8578459620475769, 'Z': 0.009792143478989601}, {'X': 0.564183235168457, 'Y': 0.7079445719718933, 'Z': 0.032070521265268326}, {'X': 0.5517448782920837, 'Y': 0.5851460695266724, 'Z': 0.03735437989234924}, {'X': 0.5294288396835327, 'Y': 0.5083906650543213, 'Z': 0.04932985082268715}, {'X': 0.6348409652709961, 'Y': 0.5391764640808105, 'Z': 0.06975218653678894}, {'X': 0.6351661682128906, 'Y': 0.3824968636035919, 'Z': 0.07919663190841675}, {'X': 0.6384714841842651, 'Y': 0.2952997088432312, 'Z': 0.09224256128072739}, {'X': 0.6430827379226685, 'Y': 0.22583919763565063, 'Z': 0.0972047746181488}, {'X': 0.6925938725471497, 'Y': 0.5307202339172363, 'Z': 0.035862475633621216}, {'X': 0.6974657773971558, 'Y': 0.3573148846626282, 'Z': 0.04960545152425766}, {'X': 0.6973105669021606, 'Y': 0.2606656551361084, 'Z': 0.0414070263504982}, {'X': 0.6999213099479675, 'Y': 0.1853000521659851, 'Z': 0.03818387910723686}, {'X': 0.7452790141105652, 'Y': 0.551536500453949, 'Z': -0.0027680674102157354}, {'X': 0.7541274428367615, 'Y': 0.39357611536979675, 'Z': -0.0031926988158375025}, {'X': 0.7550978660583496, 'Y': 0.30077484250068665, 'Z': -0.01681600883603096}, {'X': 0.7538098096847534, 'Y': 0.22296026349067688, 'Z': -0.03256329149007797}, {'X': 0.7993948459625244, 'Y': 0.5992249250411987, 'Z': -0.04302350431680679}, {'X': 0.802761435508728, 'Y': 0.4680890738964081, 'Z': -0.06188631430268288}, {'X': 0.8022065162658691, 'Y': 0.38995712995529175, 'Z': -0.08432772010564804}, {'X': 0.7989012002944946, 'Y': 0.3105660080909729, 'Z': -0.09862548857927322}]
[{'X': 0.7179672122001648, 'Y': 0.9101654291152954, 'Z': -0.00010979049693560228}, {'X': 0.6142436265945435, 'Y': 0.8527116775512695, 'Z': -0.008767976425588131}, {'X': 0.5634805560112, 'Y': 0.7059149742126465, 'Z': -0.0008795728790573776}, {'X': 0.5494683384895325, 'Y': 0.583636999130249, 'Z': -0.007197531871497631}, {'X': 0.5282488465309143, 'Y': 0.5032938718795776, 'Z': -0.0058770859614014626}, {'X': 0.6383629441261292, 'Y': 0.538741946220398, 'Z': 0.05942614749073982}, {'X': 0.6349928975105286, 'Y': 0.38794559240341187, 'Z': 0.0671662837266922}, {'X': 0.6365375518798828, 'Y': 0.3031628727912903, 'Z': 0.0728948563337326}, {'X': 0.6400733590126038, 'Y': 0.2330533266067505, 'Z': 0.07247734814882278}, {'X': 0.6977461576461792, 'Y': 0.5328853726387024, 'Z': 0.03497063368558884}, {'X': 0.6980243921279907, 'Y': 0.3625369071960449, 'Z': 0.04716939479112625}, {'X': 0.6996791958808899, 'Y': 0.2698361277580261, 'Z': 0.03547649085521698}, {'X': 0.7046508193016052, 'Y': 0.1974775493144989, 'Z': 0.030082685872912407}, {'X': 0.7507777810096741, 'Y': 0.5523239970207214, 'Z': 0.005709439050406218}, {'X': 0.7568057775497437, 'Y': 0.39677026867866516, 'Z': 0.008673183619976044}, {'X': 0.7579886317253113, 'Y': 0.3070058226585388, 'Z': -0.004939189646393061}, {'X': 0.759099543094635, 'Y': 0.2340179979801178, 'Z': -0.020580805838108063}, {'X': 0.8040421605110168, 'Y': 0.5978186130523682, 'Z': -0.026937156915664673}, {'X': 0.8064374923706055, 'Y': 0.4697515666484833, 'Z': -0.03805990889668465}, {'X': 0.8083397150039673, 'Y': 0.3939970135688782, 'Z': -0.056111399084329605}, {'X': 0.8081840872764587, 'Y': 0.3194273114204407, 'Z': -0.06889355927705765}]
[{'X': 0.7214350700378418, 'Y': 0.9084852933883667, 'Z': -0.000133491528686136}, {'X': 0.6164311766624451, 'Y': 0.8513680696487427, 'Z': -0.005468274932354689}, {'X': 0.5648596286773682, 'Y': 0.7035475969314575, 'Z': 0.006139932665973902}, {'X': 0.5503333210945129, 'Y': 0.5807172060012817, 'Z': 0.0011898520169779658}, {'X': 0.5297340154647827, 'Y': 0.4968355596065521, 'Z': 0.0014244744088500738}, {'X': 0.6380724906921387, 'Y': 0.5423001050949097, 'Z': 0.07026901841163635}, {'X': 0.6372990012168884, 'Y': 0.39425528049468994, 'Z': 0.0778384879231453}, {'X': 0.6411479115486145, 'Y': 0.3093482255935669, 'Z': 0.08215713500976562}, {'X': 0.6466672420501709, 'Y': 0.23987820744514465, 'Z': 0.08236198127269745}, {'X': 0.6953005194664001, 'Y': 0.5342411994934082, 'Z': 0.04463684558868408}, {'X': 0.6963532567024231, 'Y': 0.3668215274810791, 'Z': 0.06136186048388481}, {'X': 0.6962524652481079, 'Y': 0.272543728351593, 'Z': 0.051642294973134995}, {'X': 0.6997018456459045, 'Y': 0.1982918679714203, 'Z': 0.04817400872707367}, {'X': 0.7480981349945068, 'Y': 0.5518499612808228, 'Z': 0.01274191401898861}, {'X': 0.7549559473991394, 'Y': 0.39678165316581726, 'Z': 0.018186448141932487}, {'X': 0.7557979226112366, 'Y': 0.30683204531669617, 'Z': 0.006152148824185133}, {'X': 0.7553855776786804, 'Y': 0.23257651925086975, 'Z': -0.008547607809305191}, {'X': 0.8019301295280457, 'Y': 0.5937340259552002, 'Z': -0.023016180843114853}, {'X': 0.8051585555076599, 'Y': 0.46393775939941406, 'Z': -0.03417808935046196}, {'X': 0.8062889575958252, 'Y': 0.3884407877922058, 'Z': -0.051563628017902374}, {'X': 0.8047155141830444, 'Y': 0.31489649415016174, 'Z': -0.06346479803323746}]
[{'X': 0.7267968058586121, 'Y': 0.8950119018554688, 'Z': -0.00013736150867771357}, {'X': 0.621276319026947, 'Y': 0.8447158932685852, 'Z': -0.012388614006340504}, {'X': 0.5688823461532593, 'Y': 0.7002254724502563, 'Z': 0.00026699795853346586}, {'X': 0.5551762580871582, 'Y': 0.5774245262145996, 'Z': 0.000248293683398515}, {'X': 0.5380274653434753, 'Y': 0.49433469772338867, 'Z': 0.00831068679690361}, {'X': 0.6410913467407227, 'Y': 0.5421465635299683, 'Z': 0.0625065267086029}, {'X': 0.638790488243103, 'Y': 0.39520463347435, 'Z': 0.06715935468673706}, {'X': 0.6432737708091736, 'Y': 0.31095653772354126, 'Z': 0.07147973775863647}, {'X': 0.6494569182395935, 'Y': 0.24268949031829834, 'Z': 0.06979585438966751}, {'X': 0.6977986693382263, 'Y': 0.5317478775978088, 'Z': 0.040624912828207016}, {'X': 0.696468710899353, 'Y': 0.36720430850982666, 'Z': 0.053966887295246124}, {'X': 0.6970730423927307, 'Y': 0.27475789189338684, 'Z': 0.040266476571559906}, {'X': 0.7020743489265442, 'Y': 0.20253294706344604, 'Z': 0.03163393586874008}, {'X': 0.7498858571052551, 'Y': 0.5484069585800171, 'Z': 0.012235688976943493}, {'X': 0.7547082901000977, 'Y': 0.39721667766571045, 'Z': 0.013554034754633904}, {'X': 0.7563919425010681, 'Y': 0.3085218667984009, 'Z': -0.002241412876173854}, {'X': 0.7576537728309631, 'Y': 0.2342565357685089, 'Z': -0.02059132233262062}, {'X': 0.8034024834632874, 'Y': 0.5902569890022278, 'Z': -0.020386196672916412}, {'X': 0.8069015741348267, 'Y': 0.46692511439323425, 'Z': -0.03691986948251724}, {'X': 0.8092658519744873, 'Y': 0.39264851808547974, 'Z': -0.05847075581550598}, {'X': 0.8089590072631836, 'Y': 0.3170914649963379, 'Z': -0.07383598387241364}]
[{'X': 0.7347545027732849, 'Y': 0.9078842401504517, 'Z': -0.00013284744636621326}, {'X': 0.6285452246665955, 'Y': 0.8540029525756836, 'Z': -0.013900312595069408}, {'X': 0.5746562480926514, 'Y': 0.7082338333129883, 'Z': -0.004991778638213873}, {'X': 0.5593708753585815, 'Y': 0.585945188999176, 'Z': -0.00969748292118311}, {'X': 0.5381085276603699, 'Y': 0.49878549575805664, 'Z': -0.007977485656738281}, {'X': 0.6424070596694946, 'Y': 0.5469518899917603, 'Z': 0.06270595639944077}, {'X': 0.6383373141288757, 'Y': 0.4012333154678345, 'Z': 0.06807649880647659}, {'X': 0.6421521902084351, 'Y': 0.3165590167045593, 'Z': 0.07074369490146637}, {'X': 0.649021327495575, 'Y': 0.24532228708267212, 'Z': 0.0700950175523758}, {'X': 0.7013900876045227, 'Y': 0.5365157127380371, 'Z': 0.04338094964623451}, {'X': 0.699103832244873, 'Y': 0.3700099587440491, 'Z': 0.058848410844802856}, {'X': 0.7008963227272034, 'Y': 0.2784450054168701, 'Z': 0.04650545492768288}, {'X': 0.7067906260490417, 'Y': 0.20575711131095886, 'Z': 0.039500802755355835}, {'X': 0.7549290657043457, 'Y': 0.5509412288665771, 'Z': 0.017721982672810555}, {'X': 0.7586164474487305, 'Y': 0.39745032787323, 'Z': 0.021253665909171104}, {'X': 0.7611013650894165, 'Y': 0.30910876393318176, 'Z': 0.007290998939424753}, {'X': 0.7635529637336731, 'Y': 0.23551598191261292, 'Z': -0.009648313745856285}, {'X': 0.8091212511062622, 'Y': 0.5886196494102478, 'Z': -0.011997577734291553}, {'X': 0.8092315793037415, 'Y': 0.46351033449172974, 'Z': -0.022098682820796967}, {'X': 0.8116400241851807, 'Y': 0.3915996551513672, 'Z': -0.040905680507421494}, {'X': 0.81234210729599, 'Y': 0.319885790348053, 'Z': -0.05445127934217453}]
[{'X': 0.7350453734397888, 'Y': 0.9095970392227173, 'Z': -0.0001144357374869287}, {'X': 0.6335241198539734, 'Y': 0.8559775948524475, 'Z': -0.006730438210070133}, {'X': 0.5815198421478271, 'Y': 0.7119387984275818, 'Z': 0.005391114391386509}, {'X': 0.5657885670661926, 'Y': 0.5881845951080322, 'Z': 0.003258323296904564}, {'X': 0.5488199591636658, 'Y': 0.5006069540977478, 'Z': 0.010797659866511822}, {'X': 0.6478456854820251, 'Y': 0.5579550862312317, 'Z': 0.07534687221050262}, {'X': 0.6343270540237427, 'Y': 0.4205932319164276, 'Z': 0.08517984300851822}, {'X': 0.626731276512146, 'Y': 0.3426041901111603, 'Z': 0.08979711681604385}, {'X': 0.6226167678833008, 'Y': 0.27685433626174927, 'Z': 0.08971703052520752}, {'X': 0.7054038643836975, 'Y': 0.5437207221984863, 'Z': 0.051921296864748}, {'X': 0.7036623358726501, 'Y': 0.3790808916091919, 'Z': 0.07702243328094482}, {'X': 0.6999098658561707, 'Y': 0.28860044479370117, 'Z': 0.07307267189025879}, {'X': 0.7007381319999695, 'Y': 0.21658402681350708, 'Z': 0.06889791786670685}, {'X': 0.7570592164993286, 'Y': 0.5559494495391846, 'Z': 0.021196307614445686}, {'X': 0.7594539523124695, 'Y': 0.40409234166145325, 'Z': 0.031100494787096977}, {'X': 0.7573743462562561, 'Y': 0.3152875304222107, 'Z': 0.023381467908620834}, {'X': 0.7545651793479919, 'Y': 0.23839247226715088, 'Z': 0.007651491556316614}, {'X': 0.8088375329971313, 'Y': 0.5912599563598633, 'Z': -0.012925032526254654}, {'X': 0.8058174252510071, 'Y': 0.4675338864326477, 'Z': -0.01883835904300213}, {'X': 0.8035457730293274, 'Y': 0.396737277507782, 'Z': -0.031206700950860977}, {'X': 0.7995068430900574, 'Y': 0.32387953996658325, 'Z': -0.040569134056568146}]
[{'X': 0.7300951480865479, 'Y': 0.8955215215682983, 'Z': -0.00017028865113388747}, {'X': 0.6273184418678284, 'Y': 0.834728479385376, 'Z': 0.005902813747525215}, {'X': 0.582787036895752, 'Y': 0.6937263011932373, 'Z': 0.026022894307971}, {'X': 0.5746064186096191, 'Y': 0.5780702829360962, 'Z': 0.031937334686517715}, {'X': 0.5624221563339233, 'Y': 0.5009861588478088, 'Z': 0.038992296904325485}, {'X': 0.6496914029121399, 'Y': 0.5668915510177612, 'Z': 0.0961550697684288}, {'X': 0.6326035857200623, 'Y': 0.4463023543357849, 'Z': 0.09991776198148727}, {'X': 0.6165332794189453, 'Y': 0.39972665905952454, 'Z': 0.08973163366317749}, {'X': 0.6090850234031677, 'Y': 0.36990970373153687, 'Z': 0.0787011906504631}, {'X': 0.7039897441864014, 'Y': 0.5509824752807617, 'Z': 0.06989119201898575}, {'X': 0.6996046304702759, 'Y': 0.3934844732284546, 'Z': 0.0902731865644455}, {'X': 0.694381833076477, 'Y': 0.3048021197319031, 'Z': 0.07925759255886078}, {'X': 0.694049596786499, 'Y': 0.23114082217216492, 'Z': 0.06996172666549683}, {'X': 0.7566060423851013, 'Y': 0.5637099146842957, 'Z': 0.03457171842455864}, {'X': 0.755936324596405, 'Y': 0.41722556948661804, 'Z': 0.04440588131546974}, {'X': 0.7549278140068054, 'Y': 0.3308568298816681, 'Z': 0.034073907881975174}, {'X': 0.754340410232544, 'Y': 0.2547198534011841, 'Z': 0.019764302298426628}, {'X': 0.8099007606506348, 'Y': 0.5988001823425293, 'Z': -0.004284096881747246}, {'X': 0.8075153827667236, 'Y': 0.4769430458545685, 'Z': -0.010097313672304153}, {'X': 0.8045857548713684, 'Y': 0.40597885847091675, 'Z': -0.021612118929624557}, {'X': 0.8000022172927856, 'Y': 0.3346273601055145, 'Z': -0.034473270177841187}]
[{'X': 0.7066130638122559, 'Y': 0.877368152141571, 'Z': -0.00014080207620281726}, {'X': 0.6285912394523621, 'Y': 0.8276461362838745, 'Z': -0.012121034786105156}, {'X': 0.5845921039581299, 'Y': 0.6878238916397095, 'Z': -0.018940920010209084}, {'X': 0.5715332627296448, 'Y': 0.5785112977027893, 'Z': -0.04088876396417618}, {'X': 0.5709652900695801, 'Y': 0.4995179772377014, 'Z': -0.05904049053788185}, {'X': 0.6486001014709473, 'Y': 0.5686628818511963, 'Z': 0.044659506529569626}, {'X': 0.6221177577972412, 'Y': 0.4882349669933319, 'Z': 0.005671231541782618}, {'X': 0.6034204959869385, 'Y': 0.5407211780548096, 'Z': -0.0340200774371624}, {'X': 0.6030163764953613, 'Y': 0.5951226353645325, 'Z': -0.050610318779945374}, {'X': 0.6991488337516785, 'Y': 0.5449556708335876, 'Z': 0.020322855561971664}, {'X': 0.69228196144104, 'Y': 0.39706069231033325, 'Z': 0.03346724808216095}, {'X': 0.6832705736160278, 'Y': 0.31492751836776733, 'Z': 0.024791695177555084}, {'X': 0.6778549551963806, 'Y': 0.24620503187179565, 'Z': 0.019622275605797768}, {'X': 0.7506865859031677, 'Y': 0.5575537085533142, 'Z': -0.011549859307706356}, {'X': 0.7547374367713928, 'Y': 0.4073309898376465, 'Z': -0.002221619477495551}, {'X': 0.7508794069290161, 'Y': 0.32552239298820496, 'Z': 0.0006644224631600082}, {'X': 0.7461796402931213, 'Y': 0.25435134768486023, 'Z': 0.00014843906683381647}, {'X': 0.8033860325813293, 'Y': 0.5982991456985474, 'Z': -0.05109067261219025}, {'X': 0.8109084367752075, 'Y': 0.47921231389045715, 'Z': -0.05162844434380531}, {'X': 0.8068462014198303, 'Y': 0.4120730757713318, 'Z': -0.04442776367068291}, {'X': 0.8002099394798279, 'Y': 0.344462513923645, 'Z': -0.03992119058966637}]
[{'X': 0.7070624232292175, 'Y': 0.8762008547782898, 'Z': -0.00011880547390319407}, {'X': 0.630560576915741, 'Y': 0.809779167175293, 'Z': -0.011684807948768139}, {'X': 0.5873932838439941, 'Y': 0.6767462491989136, 'Z': -0.015117716044187546}, {'X': 0.5729737281799316, 'Y': 0.578777551651001, 'Z': -0.030973423272371292}, {'X': 0.5692266225814819, 'Y': 0.5028587579727173, 'Z': -0.042894378304481506}, {'X': 0.6547176837921143, 'Y': 0.5745590329170227, 'Z': 0.03230351582169533}, {'X': 0.637174129486084, 'Y': 0.4902559220790863, 'Z': -0.015006527304649353}, {'X': 0.6243526339530945, 'Y': 0.5612894296646118, 'Z': -0.05274752154946327}, {'X': 0.6248832941055298, 'Y': 0.6296337842941284, 'Z': -0.06593751907348633}, {'X': 0.7027252316474915, 'Y': 0.5570807456970215, 'Z': 0.010045050643384457}, {'X': 0.6977189183235168, 'Y': 0.40537944436073303, 'Z': 0.015573123469948769}, {'X': 0.6879933476448059, 'Y': 0.3225133419036865, 'Z': 0.006446400191634893}, {'X': 0.6780922412872314, 'Y': 0.2601495385169983, 'Z': 0.0008828264544717968}, {'X': 0.7519783973693848, 'Y': 0.5715813040733337, 'Z': -0.017844153568148613}, {'X': 0.7567799687385559, 'Y': 0.42389386892318726, 'Z': -0.015932781621813774}, {'X': 0.7535980939865112, 'Y': 0.34163737297058105, 'Z': -0.013658154755830765}, {'X': 0.7473366856575012, 'Y': 0.2766958475112915, 'Z': -0.0128009719774127}, {'X': 0.8003280162811279, 'Y': 0.6103736758232117, 'Z': -0.05410585552453995}, {'X': 0.8097453117370605, 'Y': 0.494538813829422, 'Z': -0.055730246007442474}, {'X': 0.805211067199707, 'Y': 0.42549583315849304, 'Z': -0.048425041139125824}, {'X': 0.7969985008239746, 'Y': 0.3561388850212097, 'Z': -0.0441952683031559}]
[{'X': 0.7101641893386841, 'Y': 0.883537232875824, 'Z': -0.0001025697129080072}, {'X': 0.6349291801452637, 'Y': 0.8142232298851013, 'Z': -0.002736288122832775}, {'X': 0.5945417881011963, 'Y': 0.6763976812362671, 'Z': -0.0004004621005151421}, {'X': 0.5807916522026062, 'Y': 0.5798811912536621, 'Z': -0.012115688994526863}, {'X': 0.5722038745880127, 'Y': 0.500701904296875, 'Z': -0.020016426220536232}, {'X': 0.6587211489677429, 'Y': 0.5797304511070251, 'Z': 0.03705986589193344}, {'X': 0.640487551689148, 'Y': 0.5008875727653503, 'Z': -0.012546227313578129}, {'X': 0.6292755007743835, 'Y': 0.5730217099189758, 'Z': -0.045245882123708725}, {'X': 0.6314205527305603, 'Y': 0.6425211429595947, 'Z': -0.054842982441186905}, {'X': 0.7032039761543274, 'Y': 0.5603331923484802, 'Z': 0.009154269471764565}, {'X': 0.6981915235519409, 'Y': 0.40787115693092346, 'Z': 0.00914569292217493}, {'X': 0.6913946270942688, 'Y': 0.32692235708236694, 'Z': 0.0017985895974561572}, {'X': 0.6820022463798523, 'Y': 0.2678528428077698, 'Z': -0.0024186139926314354}, {'X': 0.7510939240455627, 'Y': 0.5751509666442871, 'Z': -0.02596166916191578}, {'X': 0.7534493207931519, 'Y': 0.4255673587322235, 'Z': -0.028710125014185905}, {'X': 0.7520571947097778, 'Y': 0.3421643078327179, 'Z': -0.028897875919938087}, {'X': 0.7448643445968628, 'Y': 0.27555719017982483, 'Z': -0.029498210176825523}, {'X': 0.799628496170044, 'Y': 0.6157244443893433, 'Z': -0.06788048148155212}, {'X': 0.8072731494903564, 'Y': 0.49705612659454346, 'Z': -0.07516276836395264}, {'X': 0.8024807572364807, 'Y': 0.4285277724266052, 'Z': -0.07382018864154816}, {'X': 0.7918391227722168, 'Y': 0.36063557863235474, 'Z': -0.07362271100282669}]
[{'X': 0.7114955186843872, 'Y': 0.8850511312484741, 'Z': -0.00013701457646675408}, {'X': 0.6354750394821167, 'Y': 0.8186023235321045, 'Z': 0.0003265198029112071}, {'X': 0.5948633551597595, 'Y': 0.6839122176170349, 'Z': 0.005061923526227474}, {'X': 0.5804204344749451, 'Y': 0.5861610770225525, 'Z': -0.006830113939940929}, {'X': 0.5739877820014954, 'Y': 0.502469003200531, 'Z': -0.016571538522839546}, {'X': 0.6638278961181641, 'Y': 0.585144579410553, 'Z': 0.05187505856156349}, {'X': 0.6430337429046631, 'Y': 0.5096517205238342, 'Z': 0.004104868974536657}, {'X': 0.6284612417221069, 'Y': 0.5800544619560242, 'Z': -0.033986229449510574}, {'X': 0.6282583475112915, 'Y': 0.6464575529098511, 'Z': -0.0485532283782959}, {'X': 0.7070854306221008, 'Y': 0.5668405890464783, 'Z': 0.025087552145123482}, {'X': 0.6961860060691833, 'Y': 0.4245305061340332, 'Z': 0.03325776383280754}, {'X': 0.6843905448913574, 'Y': 0.3432704210281372, 'Z': 0.029535535722970963}, {'X': 0.6726144552230835, 'Y': 0.27998998761177063, 'Z': 0.027409372851252556}, {'X': 0.754318118095398, 'Y': 0.5807333588600159, 'Z': -0.010399631224572659}, {'X': 0.7551743388175964, 'Y': 0.4363911747932434, 'Z': -0.007551806978881359}, {'X': 0.7504599690437317, 'Y': 0.3539891242980957, 'Z': -0.0039022297132760286}, {'X': 0.7432742714881897, 'Y': 0.2871340811252594, 'Z': -0.0012100811582058668}, {'X': 0.8029900789260864, 'Y': 0.6191070079803467, 'Z': -0.0537012554705143}, {'X': 0.8063680529594421, 'Y': 0.5024158358573914, 'Z': -0.05818941071629524}, {'X': 0.796809196472168, 'Y': 0.4341357350349426, 'Z': -0.05476297810673714}, {'X': 0.7834659814834595, 'Y': 0.367423951625824, 'Z': -0.054678063839673996}]
[{'X': 0.7177897691726685, 'Y': 0.8873031139373779, 'Z': -0.0001304515899391845}, {'X': 0.6386796832084656, 'Y': 0.8213944435119629, 'Z': -0.004924245644360781}, {'X': 0.5954142808914185, 'Y': 0.6854677200317383, 'Z': -0.00147674058098346}, {'X': 0.5778335332870483, 'Y': 0.585460901260376, 'Z': -0.012906564399600029}, {'X': 0.5697460174560547, 'Y': 0.5015661716461182, 'Z': -0.020579887554049492}, {'X': 0.6620686054229736, 'Y': 0.587392270565033, 'Z': 0.04621507599949837}, {'X': 0.6415458917617798, 'Y': 0.5077669024467468, 'Z': -0.004249901976436377}, {'X': 0.627962589263916, 'Y': 0.578769862651825, 'Z': -0.0489690937101841}, {'X': 0.629490852355957, 'Y': 0.6454820036888123, 'Z': -0.06622081249952316}, {'X': 0.7053727507591248, 'Y': 0.5674226880073547, 'Z': 0.022268021479249}, {'X': 0.6949717402458191, 'Y': 0.4239509105682373, 'Z': 0.03199208527803421}, {'X': 0.6823619604110718, 'Y': 0.3454325199127197, 'Z': 0.026730354875326157}, {'X': 0.6709557771682739, 'Y': 0.2852473258972168, 'Z': 0.024170763790607452}, {'X': 0.7516148686408997, 'Y': 0.5789830684661865, 'Z': -0.010003459639847279}, {'X': 0.7501572370529175, 'Y': 0.4348295331001282, 'Z': -0.0069459727965295315}, {'X': 0.7433211803436279, 'Y': 0.3558666706085205, 'Z': -0.003365790471434593}, {'X': 0.7348918318748474, 'Y': 0.29198527336120605, 'Z': -5.219745435169898e-05}, {'X': 0.7987743616104126, 'Y': 0.6160012483596802, 'Z': -0.0500405877828598}, {'X': 0.8023761510848999, 'Y': 0.5002914071083069, 'Z': -0.05270630866289139}, {'X': 0.7954221963882446, 'Y': 0.4335441589355469, 'Z': -0.046702660620212555}, {'X': 0.7857006788253784, 'Y': 0.36548328399658203, 'Z': -0.042581912130117416}]
[{'X': 0.7141318917274475, 'Y': 0.8921962976455688, 'Z': -0.00013861179468221962}, {'X': 0.636080265045166, 'Y': 0.8250542283058167, 'Z': 0.007899414747953415}, {'X': 0.5974708795547485, 'Y': 0.689175009727478, 'Z': 0.01776115596294403}, {'X': 0.5798190832138062, 'Y': 0.58802729845047, 'Z': 0.0072732651606202126}, {'X': 0.5675529837608337, 'Y': 0.502015233039856, 'Z': -0.0034223299007862806}, {'X': 0.6649430394172668, 'Y': 0.5877195000648499, 'Z': 0.08440537750720978}, {'X': 0.6460398435592651, 'Y': 0.5151946544647217, 'Z': 0.029834583401679993}, {'X': 0.6313310861587524, 'Y': 0.5817959904670715, 'Z': -0.02789626270532608}, {'X': 0.6316543817520142, 'Y': 0.641497015953064, 'Z': -0.053496237844228745}, {'X': 0.7065030932426453, 'Y': 0.5665168762207031, 'Z': 0.05250554904341698}, {'X': 0.6980125904083252, 'Y': 0.4276078939437866, 'Z': 0.05817410722374916}, {'X': 0.6816985011100769, 'Y': 0.3544556498527527, 'Z': 0.044101789593696594}, {'X': 0.665450394153595, 'Y': 0.293536514043808, 'Z': 0.0405283123254776}, {'X': 0.7527927756309509, 'Y': 0.5776883363723755, 'Z': 0.010131790302693844}, {'X': 0.751851499080658, 'Y': 0.43258458375930786, 'Z': 0.010938845574855804}, {'X': 0.7377632260322571, 'Y': 0.35687434673309326, 'Z': 0.004791404586285353}, {'X': 0.7209064960479736, 'Y': 0.29005658626556396, 'Z': 0.0034947928506881}, {'X': 0.8010890483856201, 'Y': 0.6148290634155273, 'Z': -0.03847565874457359}, {'X': 0.807460367679596, 'Y': 0.5000181198120117, 'Z': -0.041397564113140106}, {'X': 0.8007994294166565, 'Y': 0.4331848919391632, 'Z': -0.03872501105070114}, {'X': 0.7901415228843689, 'Y': 0.3604823648929596, 'Z': -0.036725003272295}]
[{'X': 0.7129591703414917, 'Y': 0.8894792795181274, 'Z': -0.0001223049039253965}, {'X': 0.6359862685203552, 'Y': 0.824150800704956, 'Z': -0.004832736682146788}, {'X': 0.5938816070556641, 'Y': 0.6890459656715393, 'Z': -0.0006941998726688325}, {'X': 0.5770688056945801, 'Y': 0.5898337960243225, 'Z': -0.012012946419417858}, {'X': 0.568719208240509, 'Y': 0.5061016082763672, 'Z': -0.019672449678182602}, {'X': 0.659737765789032, 'Y': 0.58687424659729, 'Z': 0.050029393285512924}, {'X': 0.6407946944236755, 'Y': 0.5108619332313538, 'Z': -0.005435520317405462}, {'X': 0.6297729015350342, 'Y': 0.5825087428092957, 'Z': -0.05463213473558426}, {'X': 0.6327371597290039, 'Y': 0.6497678756713867, 'Z': -0.07527673244476318}, {'X': 0.7028246521949768, 'Y': 0.5667968988418579, 'Z': 0.023567084223031998}, {'X': 0.6944450736045837, 'Y': 0.42422473430633545, 'Z': 0.025069717317819595}, {'X': 0.6806192398071289, 'Y': 0.3481588363647461, 'Z': 0.013280743733048439}, {'X': 0.6656527519226074, 'Y': 0.28843170404434204, 'Z': 0.008534049615263939}, {'X': 0.7500787973403931, 'Y': 0.5795696377754211, 'Z': -0.011569058522582054}, {'X': 0.749455988407135, 'Y': 0.43474262952804565, 'Z': -0.015069209039211273}, {'X': 0.7400619983673096, 'Y': 0.35609352588653564, 'Z': -0.01794644258916378}, {'X': 0.7269600629806519, 'Y': 0.2919788360595703, 'Z': -0.017827611416578293}, {'X': 0.7988401651382446, 'Y': 0.6175147891044617, 'Z': -0.05483700707554817}, {'X': 0.8065976500511169, 'Y': 0.503696084022522, 'Z': -0.062234941869974136}, {'X': 0.8002042770385742, 'Y': 0.43370065093040466, 'Z': -0.062433693557977676}, {'X': 0.788700520992279, 'Y': 0.3609631657600403, 'Z': -0.06249912083148956}]
